# 122 - Helm's Deep



# County Title
title = c_helms_deep
				b_deeping_wall = ca_Pmilitia_barracks_1
				b_deeping_wall = ca_Ptraining_grounds_1
				b_deeping_wall = ca_Pcastleguards_1
				b_deeping_wall = ca_Pstable_1
				b_deeping_wall = ca_Ptown_1
				b_deeping_wall = ca_paved_road_3
				b_deeping_wall = ca_Phillsmen_1 
				
				b_helms_dike = ca_Pwall_1
				b_helms_dike = ca_Pwatchtower_1 
				b_helms_dike = ca_Pkeep_1
				b_helms_dike = ca_Pmilitia_barracks_1
				b_helms_dike = ca_Ptraining_grounds_1
				b_helms_dike = ca_Pcastleguards_1
				b_helms_dike = ca_Pstable_1
				b_helms_dike = ca_Ptown_1
				b_helms_dike = ca_paved_road_3
				b_helms_dike = ca_Phillsmen_1 
}
10853.1.1 = { culture = culture_rohirrim religion = religion_rhovanion

			b_kingshall = ca_Rwall_1
			b_kingshall = ca_Rwall_2
			b_kingshall = ca_Rwatchtower_1 
			b_kingshall = ca_Rwatchtower_2
			b_kingshall = ca_Rkeep_1
			b_kingshall = ca_Rkeep_2
			b_kingshall = ca_Rmilitia_barracks_1
			b_kingshall = ca_Rmilitia_barracks_2
			b_kingshall = ca_Rtraining_grounds_1
			b_kingshall = ca_Rtraining_grounds_2
			b_kingshall = ca_Rcastleguards_1
			b_kingshall = ca_Rcastleguards_2
			b_kingshall = ca_Rstable_1
			b_kingshall = ca_Rstable_2
			b_kingshall = ca_Rtown_1
			b_kingshall = ca_Rtown_2
			b_kingshall = ca_Nforge_1
			b_kingshall = ca_Napothecary_1
			b_kingshall = ca_militia_barracks_1rohan
			b_kingshall = ca_militia_barracks_2rohan
			b_kingshall = ca_paved_road_3
			
				b_hornburg = ca_Rwall_1
				b_hornburg = ca_Rwatchtower_1 
				b_hornburg = ca_Rkeep_1
				b_hornburg = ca_Rmilitia_barracks_1
				b_hornburg = ca_Rtraining_grounds_1
				b_hornburg = ca_Rcastleguards_1
				b_hornburg = ca_Rstable_1
				b_hornburg = ca_Rtown_1
				b_hornburg = ca_Nforge_1
				b_hornburg = ca_Napothecary_1
				b_hornburg = ca_militia_barracks_1rohan
				
				b_great_barraks = ca_Rwall_1
				b_great_barraks = ca_Rwatchtower_1 
				b_great_barraks = ca_Rkeep_1
				b_great_barraks = ca_Rmilitia_barracks_1
				b_great_barraks = ca_Rtraining_grounds_1
				b_great_barraks = ca_Rcastleguards_1
				b_great_barraks = ca_Rstable_1
				b_great_barraks = ca_Rtown_1
				b_great_barraks = ca_Nforge_1
				b_great_barraks = ca_Napothecary_1
				b_great_barraks = ca_militia_barracks_1rohan
				
				b_kingscourtyard = ca_Rwall_1
				b_kingscourtyard = ca_Rwatchtower_1 
				b_kingscourtyard = ca_Rkeep_1
				b_kingscourtyard = ca_Rmilitia_barracks_1
				b_kingscourtyard = ca_Rtraining_grounds_1
				b_kingscourtyard = ca_Rcastleguards_1
				b_kingscourtyard = ca_Rstable_1
				b_kingscourtyard = ca_Rtown_1
				b_kingscourtyard = ca_Nforge_1
				b_kingscourtyard = ca_Napothecary_1
				b_kingscourtyard = ca_militia_barracks_1rohan
				
				b_main_gate_helm = ca_Rwall_1
				b_main_gate_helm = ca_Rwatchtower_1 
				b_main_gate_helm = ca_Rkeep_1
				b_main_gate_helm = ca_Rmilitia_barracks_1
				b_main_gate_helm = ca_Rtraining_grounds_1
				b_main_gate_helm = ca_Rcastleguards_1
				b_main_gate_helm = ca_Rstable_1
				b_main_gate_helm = ca_Rtown_1
				b_main_gate_helm = ca_Nforge_1
				b_main_gate_helm = ca_Napothecary_1
				b_main_gate_helm = ca_militia_barracks_1rohan
				
				b_deeping_wall = ca_Rwall_1
				b_deeping_wall = ca_Rwatchtower_1 
				b_deeping_wall = ca_Rkeep_1
				b_deeping_wall = ca_Rmilitia_barracks_1
				b_deeping_wall = ca_Rtraining_grounds_1
				b_deeping_wall = ca_Rcastleguards_1
				b_deeping_wall = ca_Rstable_1
				b_deeping_wall = ca_Rtown_1
				b_deeping_wall = ca_Nforge_1
				b_deeping_wall = ca_Napothecary_1
				b_deeping_wall = ca_militia_barracks_1rohan
				
				b_helms_dike = ca_Rwall_1
				b_helms_dike = ca_Rwatchtower_1 
				b_helms_dike = ca_Rkeep_1
				b_helms_dike = ca_Rmilitia_barracks_1
				b_helms_dike = ca_Rtraining_grounds_1
				b_helms_dike = ca_Rcastleguards_1
				b_helms_dike = ca_Rstable_1
				b_helms_dike = ca_Rtown_1
				b_helms_dike = ca_Nforge_1
				b_helms_dike = ca_Napothecary_1
				b_helms_dike = ca_militia_barracks_1rohan
}
