#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ct_Awall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Atownmilitia_6;Town Militia;Milice urbaine;;;;;x 
ct_Atownmilitia_1_desc;The Town Militia trains light troops for war.;La milice urbaine entraîne des troupes lègères pour la guerre.;;;;;x
ct_Aguard_1;City Guard;Garde de la cité;;;;;x 
ct_Aguard_2;City Guard;Garde de la cité;;;;;x 
ct_Aguard_3;City Guard;Garde de la cité;;;;;x 
ct_Aguard_4;City Guard;Garde de la cité;;;;;x 
ct_Aguard_5;City Guard;Garde de la cité;;;;;x 
ct_Aguard_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ct_Amarketplace_1;Marketplace;Marché;;;;;x
ct_Amarketplace_2;Marketplace;Marché;;;;;x
ct_Amarketplace_3;Marketplace;Marché;;;;;x
ct_Amarketplace_4;Marketplace;Marché;;;;;x
ct_Amarketplace_5;Marketplace;Marché;;;;;x
ct_Amarketplace_6;Marketplace;Marché;;;;;x
ct_Amarketplace_1_desc;The marketplace allows merchant to sell their goods... and to pay taxes!;Le marché permet aux marchands de vendre des biens... et de payer des taxes !;;;;;x
ct_Aport_1;Port;Port;Hafen;Puerto;;;;;x
ct_Aport_2;Port;Port;Hafen;Puerto;;;;;x
ct_Aport_3;Port;Port;Hafen;Puerto;;;;;x
ct_Aport_4;Port;Port;Hafen;Puerto;;;;;x
ct_Aport_5;Port;Port;Hafen;Puerto;;;;;x
ct_Aport_1_desc;A port that services ships coming in to load or unload cargo.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen dazu dient, ihre Fracht zu be- oder entladen.;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;;x
ct_Ashipyard_1;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Ashipyard_2;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Ashipyard_3;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Ashipyard_4;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_telain;Telain;Telain;;;;;;;x
ct_telain_desc;Telain are platforms built in the trees - mallorns essentially - by the Galadhrim Elves of Lothlórien.;Les Telain sont des plates-formes construites dans les arbres -des mallorns- par les Galadhrims de la Lothlorien.;;;;;;;x
ct_elven_artisans;Noldor Artisans;Artisans Noldor;;;;;;;x
ct_elven_artisans_desc;The Noldor are skilled artisans.;Les Noldor sont des artisans réputés et talentueux.;;;;;;;x
tp_halls_remembrance;Halls of Remembrance;Salles du Souvenir;;;;;;;x
tp_halls_remembrance_desc;Elves gather in these rooms to remember those they have lost, and Ages now past. In these rooms, many documents tell the History of Middle-earth, and what has been lost.;Les Elfes se réunissent dans ces salles pour se souvenir de ceux qu'ils ont perdus, et des temps passés. Dans ces salles, de nombreux documents racontent l'Histoire de la Terre du Milieu, et de ce qui a été perdu.;;;;;;;x;;;;;;;;;
ct_imladris;Rivendell;Fondcombe;;;;;;;x
ct_gwaith_i_mirdain;Gwaith-i-Mirdain;Gwaith-i-Mirdain;;;;;;;x

