#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ca_Ncastleguards_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ca_Ntown_1;Castle Town;Ville du chateau;;;;;x
ca_Ntown_2;Castle Town;Ville du chateau;;;;;x
ca_Ntown_3;Castle Town;Ville du chateau;;;;;x
ca_Ntown_4;Castle Town;Ville du chateau;;;;;x
ca_Ntown_5;Castle Town;Ville du chateau;;;;;x
ca_Ntown_6;Castle Town;Ville du chateau;;;;;x
ca_Ntown_1_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Ntown_2_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Ntown_3_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Ntown_4_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Ntown_5_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Ntown_6_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_Nstable_1;Stables;Écurie;;;;;x
ca_Nstable_2;Stables;Écurie;;;;;x
ca_Nstable_3;Stables;Écurie;;;;;x
ca_Nstable_4;Stables;Écurie;;;;;x
ca_Nstable_5;Stables;Écurie;;;;;x
ca_Nstable_6;Stables;Écurie;;;;;x
ca_Nstable_1_desc;This stable just outside the castle walls houses all the steeds of the levy.;Cette écurie tout près du château abrite tous les destriers de l'ost.;;;;;x
ca_Nshipyard_1;Castle Shipyard;Chantier naval du château;;;;;x
ca_Nshipyard_2;Castle Shipyard;Chantier naval du château;;;;;x
ca_Nshipyard_3;Castle Shipyard;Chantier naval du château;;;;;x
ca_Nshipyard_4;Castle Shipyard;Chantier naval du château;;;;;x
Nshipyard_desc;Skilled shipwrights are hard at work here, building all sorts of seafaring vessels.;De talentueux charpentiers sont à l'œuvre ici, construisant toutes sortes de navires.;;;;;x
ca_healing2;Houses of Healing;Maison de Guérison;;;;;x
ca_healing2_desc;Much medicinal lore of Numenor is preserved in Gondor;L'art médécinal de Numenor est préservé au Gondor.;;;;;x
ca_bnpalace;Black Numenorean Palace;Palais des Numenoreans Noirs;;;;;x
ca_bnpalace_desc;Black Numenoreans live as a decadent elite among their lesser subjects;Les Numenoreens noirs vivent une vie décadente au coté de leur sujets.;;;;;x
ca_numenorean;Númenorean Walls of Minas Tirith;Murs Numénoréens de Minas Tirith;;;;;x
ca_numenorean_desc;Minas Tirith (as Minas Anor) was built in SA 3320 by Anárion, brother of Isildur, second son of Elendil, and a High King of Arnor. It was built on seven levels, each delved into the hill, and about each was set a wall, and in each was a gate.;Minas Tirith (à l'époque Minas Anor) a été construite en l'an 3320 du Second Age par Anárion, frère d'Isildur, second fils d'Elendil, and a Haut Roi de l'Arnor. La Cité a été construite sur sept niveaux, chacun creusé dans la roche, entouré d'un mur et protégé par une porte.;;;;;x
ca_numenorean2;Númenorean Walls of Minas Ithil;Murs Numénoréens de Minas Ithil;;;;;x
ca_numenorean2_desc;Minas Ithil was founded in the Second Age by the Númenorean, Isildur, son of Elendil, as a fortress city to defend Gondor from Sauron in Mordor.;Minas Ithil a été fondée au Second Age par Isildur, fils d'Elendil, pour servir de forteresse contre le Mordor.;;;;;x
ca_numenorean4;Númenorean Walls of Dol Amroth;Murs Numénoréens de Dol Amroth;;;;;x
ca_numenorean4_desc;One of the few fortresses built by the Númenoreans.;Une des quelques forteresses baties par les Númenoreéens.;;;;;x
ca_numenorean_Annuminas;Númenorean Walls;Murs Numénoréens;;;;;x
ca_numenorean_Annimunas_desc;One of the few fortresses built by the Númenoreans.;Une des quelques forteresses baties par les Númenoreéens.;;;;;x
ca_numenorean3;Haven of Umbar;Havre de Umbar;;;;;x
ca_umbar_haven;Haven of Umbar;Havre de Umbar;;;;;x
ca_umbar_haven_desc;A natural harbour of enclosing rock and a fortress of Númenor, a true haven for anyone seeking protection.;Un port naturel entouré de rochers et une forteresse de Númenor, c'est un vrai havre de protection pour ceux qui s'y trouvent.;;;;;x
ca_isengard1;Fortress of Orthanc;Forteresse D'Orthanc;;;;;x
ca_isengard1_desc;A great ring-wall of stone, like towering cliffs, encircling  the black impenetrable tower of Orthanc.;Un grand anneau de murs en pierre entourant la sombre et imprénétrable Tour d'Orthanc.;;;;;x
ca_isengard;Fortress of Isengard;Anneau d'Isengard;;;;;x
ca_isengard_desc;Saruman has built a fortress meant to rival that of Barad-dûr.;Une puissante forteresse batie par les Numenoréens de Jadis. La Tour d'Orthanc, en son centre, semble indestructible.;;;;;x
ca_hall_of_kings;The Hall of the Kings;La Salle des Rois;;;;;x
ca_hall_of_kings_desc;Annúminas was the city of the Kings of Arnor, built on the shores of Lake Evendim.;Annúminas est la grande capitale des Rois d'Arnor, fondée sur les rives du lac Evendim.;;;;;x
ca_tower_of_ecthelion;The Tower of Ecthelion;La Tour d'Ecthelion;;;;;x
ca_tower_of_ecthelion_desc;The White Tower of Minas Tirith, containing the throne of the Kings of Gondor, and the hidden hall of the Palantír.;La Tour Blanche de Minas Tirith, contenant le trône des Rois du Gondor, ainsi qu'une pièce secrète contenant le Palantir.;;;;;x
ca_warning_beacons;Warning Beacon;Feu d'Alarme;;;;;x
ca_warning_beacons_desc;With this fire signal, you will be notified quickly in case of invasion, and you'll be better prepared for defence as a result.;Grâce au feu d'alarme, vous serez averti plus rapidement en cas d'invasion, ce qui vous permettra d'être mieux préparé. ;;;;;x
ca_hidden_halls;Hidden Halls;Salles Secrètes;;;;;x
ca_hidden_halls_desc;The Dúnedain have installed secret rooms in their territories to defend themselves in case of invasion. Difficult to find, they offer greater protection.;Les Dunedains se sont installés des salles secrètes sur leurs territoires, pour se protéger en cas d'invasion. Difficiles à trouver, elles offrent une protection plus grande.;;;;;x
ca_henneth_annun;The Forbidden Pool;Le Lac Interdit;;;;;x
ca_henneth_annun_desc;Henneth Annun is a secret place, and rare are the enemies who can come close to the Forbidden Pool.;Henneth Annun est une place secrète, et rares sont les ennemis qui peuvent s'en approcher.;;;;;x
ca_tharbad_bridge;The Bridge of Tharbad;Le Pont de Tharbad;;;;;x
ca_tharbad_bridge_desc;The Bridge of Tharbad a was where the North-South Road crossed the Gwathló River at the city of Tharbad.;Le pont de Tharbad permettait à la route Nord-Sud de traverser la rivière Gwathló dans la ville de Tharbad.;;;;;x
ca_fornost_erain;Fornost Erain;Fornost Erain;;;;;x
ca_fornost_erain_desc;Fornost Erain was the capital of Arthedain. This powerful city-fortress was built in the earlier yaers of Arnor, and its name neams "Northern Fortress of Kings.";Fornost Erain est la capitale de l'Arthedain. Cette puissante cité-forteresse a été batie durant les premières années du Royaume d'Arnor, et son nom signifie "Forteresse du Nord des Rois";;;;;x
ca_fornost_ruins;Fornost Ruins;Ruines de Fornost;;;;;x
ca_fornost_ruins_desc;Since the fall of Fornost in TA 1974, the fortress has fallen into ruin. Now known as Deadman's Pike, only the Dúnedain ever walk there.;Depuis la chute de Fornost en 1974 TA, la forteresse est tombée en ruines. Son nom a été changé en Deadman's Pike, et nul homme hormis les Dunedains n'y met les pieds.;;;;;x
ca_annuminas_ruins;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;x
ca_annuminas_ruins_desc;After the Fall of Arnor, Annúminas fell into decay. Little by little, the people left for other cities, and the once great city was abandoned.;Depuis la division de l'Arnor, Annuminas a perdu de son éclat. Petit à petit, les habitants sont partis pour d'autres villes, et la cité a été abandonnée.;;;;;x
ca_stone_erech;The Stone of Erech;La Pierre d'Erech;;;;;x
ca_stone_erech_desc;The Stone of Erech is a great black stone, spherical in shape and roughly six feet in diameter. It was half-buried at the top of the Hill of Erech. The Stone was a mysterious and eerie place, shunned by the people of the valley, who claimed it had fallen from the sky, and that it was haunted by restless spirits. In fact, the Stone had its origins in Númenor, and was brought to Erech after the Downfall by Isildur himself.;La pierre d'Erech est une grande pierre noire, de forme sphérique et d'environ six pieds de diamètre. Elle a été à demi-enterré au sommet de la colline de Erech. La pierre est un lieu mystérieux et étrange, boudé par les habitants de la vallée, qui prétendent l'avoir vu tombé du ciel, et serait hantée par des esprits sans repos. En fait, la pierre avait ses origines à Númenor, et a été portée à Erech après la Chute par Isildur lui-même.;;;;;x
ca_argonath_isildur;Argond Isildur;Argond Isildur;;;;;x
ca_argonath_isildur_desc;This huge statue, built by Isildur and Anárion when they were joint rulers of the kingdoms of Gondor and Arnor, was carved in the image of Isildur. It marked the northern border of the Kingdom of Gondor.;Cet énorme pilier, bâti par Isildur et Anárion lorsqu'ils gouvernaient ensemble les Royaumes de Gondor et d'Arnor, a été sculpté à l'image d'Isildur. Il marque la limite nord du Royaume du Gondor.;;;;;x
ca_argonath_anarion;Argond Anárion;Argond Anárion;;;;;x
ca_argonath_anarion_desc;This statue pillar, built by Isildur and Anárion when they were joint rulers of the kingdoms of Gondor and Arnor, was carved in the image of Anárion. It marked the northern border of the Kingdom of Gondor.;Cet énorme pilier, bâti par Isildur et Anárion lorsqu'ils gouvernaient ensemble les Royaumes de Gondor et d'Arnor, a été sculpté à l'image d'Anárion. Il marque la limite nord du Royaume du Gondor.;;;;;x
ca_great_hall_osgiliath;The Great Hall of Osgiliath;La Grande Salle d'Osgiliath;;;;;x
ca_great_hall_osgiliath_desc;The Great Hall of Osgiliath was the joint throne room of Isildur and Anárion in the city of Osgiliath. Although the two brothers kept separate houses in Minas Ithil (Isildur) and Minas Anor (Anárion), their thrones were set side by side in the Great Hall.;La Grande Salle d'Osgiliath était la salle du trône commune d'Isildur et Anárion dans la ville d'Osgiliath. Bien que les deux frères aint vécus dans des cités séparées, Minas Ithil pour Isildur et Minas Anor pour Anárion, leurs trônes furent placés côte à côte dans la Grande Salle.;;;;;x
ca_dome_of_the_stars;The Dome of Stars;Le Dôme des Etoiles;;;;;x
ca_dome_of_the_stars2;The Dome of Stars;Le Dôme des Etoiles;;;;;x
ca_dome_of_the_stars_desc;The Dome of Stars is the Great Hall of the Kings in Osgiliath. The Kingdom of Gondor's chief Palantír was kept there.;Le Dôme des Etoiles est la Grande Salle des Rois à Osgiliath. Le Palantir-Maître était gardé en ce lieu.;;;;;x
ca_dome_of_the_stars_ruins;The Ruins of the Dome of Stars;Le Dôme des Etoiles en ruines;;;;;x
ca_dome_of_the_stars_ruins_desc;The Dome of Stars was the Great Hall of the Kings in Osgiliath. The Kingdom of Gondor's chief Palantír was kept there. The building was destroyed during the kin-strife and the Palantír lost in the flows of the Anduin river.;Le Dôme des Etoiles était la Grande Salle des Rois à Osgiliath. Le Palantir-Maître était gardé en ce lieu. Ce bâtiment a été détuit pendant la guerre fratricide et le Palantír a été perdu dans les flots du fleuve Anduin.;;;;;x
ca_Nelitetroops_1;Elite Troops;Troupes d'Elite;;;;;x
ca_Nelitetroops_2;Elite Troops;Troupes d'Elite;;;;;x
ca_Nelitetroops_3;Elite Troops;Troupes d'Elite;;;;;x
ca_Nelitetroops_4;Elite Troops;Troupes d'Elite;;;;;x
ca_Nelitetroops_5;Elite Troops;Troupes d'Elite;;;;;x
ca_Nelitetroops_6;Elite Troops;Troupes d'Elite;;;;;x
ca_Nelitetroops_1_desc;Well armored and trained troops from the Citadel;Troupes bien entraînées et solidement armées venant de la Citadelle;;;;;x
ca_Nrangers_1;Rangers;Rôdeurs;;;;;x
ca_Nrangers_2;Rangers;Rôdeurs;;;;;x
ca_Nrangers_3;Rangers;Rôdeurs;;;;;x
ca_Nrangers_4;Rangers;Rôdeurs;;;;;x
ca_Nrangers_5;Rangers;Rôdeurs;;;;;x
ca_Nrangers_6;Rangers;Rôdeurs;;;;;x
ca_Nrangers_1_desc;These skilled rangers are sent anywhere and operate while remaining unseen.;Ces rôdeurs sont envoyés un peu partout et agissent sans être repérés.;;;;;x
ca_pelargir;Great Port of Pelargir;Grand port de Pelargir;;;;;x
ca_pelargir_desc;The major port of Gondor, and also one of the first settlements the Númenóreans founded in Middle-earth during the Second Age.;Le plus grand port du Gondor mais aussi un des premiers endroits occupés par les Númenóréens lors du Second Age.;;;;;x
ca_lond_daer;Great Port of Lond Daer;Grand port de Lond Daer;;;;;x
ca_lond_daer_desc;The major port of Arnor, and also one of the first settlements the Númenóreans founded in Middle-earth during the Second Age. Although having lost its importance over the ages, The harbour is still an important trade hub in Middle-earth;Le plus grand port d'Arnor mais aussi un des premiers endroits occupés par les Númenóréens lors du Second Age.;;;;;xa_dol_amroth1;Knights of Dol Amroth's Stables;Ecuries des Chevaliers de Dol Amroth;;;;;x
tb_lond_daer;Great Port of Lond Daer;Grand port de Lond Daer;;;;;x
tb_lond_daer_desc;The major port of Arnor, and also one of the first settlements the Númenóreans founded in Middle-earth during the Second Age. Although having lost its importance over the ages, The harbour is still an important trade hub in Middle-earth;Le plus grand port d'Arnor mais aussi un des premiers endroits occupés par les Númenóréens lors du Second Age.;;;;;x
ca_dol_amroth1;Knights of Dol Amroth's Stables;Ecuries des Chevaliers de Dol Amroth;;;;;x
ca_dol_amroth2;Knights of Dol Amroth's Great Stables;Grandes écuries des Chevaliers de Dol Amroth;;;;;x
ca_dol_amroth3;Prince's Stables;Ecuries du Prince;;;;;x
ca_dol_amroth4;Prince's Great Stables;Grandes écuries du Prince;;;;;x
ca_dolamrothknights_desc;The Knights of Dol Amroth are an elite cavalry troop, and one of the most prestigious troop of Gondor. These Knights came from the True Numenorean families of Gondor, and fears no ennemies.;Les Chevaliers de Dol Amroth sont une troupe de cavalerie d'élite, et l'un des plus prestigieux corps d'armée du Gondor. Ces chevaliers sont les descendants des familles les plus anciennes du Gondor, et ne craignent aucun ennemis.;;;;;x
ca_dolamrothknights2_desc;The Knights of Dol Amroth are an elite cavalry troop, and one of the most prestigious troop of Gondor. These Knights came from the True Numenorean families of Gondor, and fears no ennemies. The Prince's Stables allow the city of Dol Amroth to train more units, and are the symbol of the strength and prestige of the Prince of Dol Amroth.;Les Chevaliers de Dol Amroth sont une troupe de cavalerie d'élite, et l'un des plus prestigieux corps d'armée du Gondor. Ces chevaliers sont venus des familles les plus anciennes du Gondor, et ne craignent aucun ennemis. Les écuries du Prince permettent à la ville de Dol Amroth de former plus de chevaliers, et sont le symbole du pouvoir et de la puissance du Prince de Dol Amroth.;;;;;x
ca_Nforge_1;Castle Forge;Forge du Chateau;;;;;x
ca_Nforge_2;Numenorean-like Forge;Forge de Tradition Numénoréenne;;;;;x
ca_Nforge_1_desc;This forge allow any kind of metalwork, from horseshoe to weapons and armors.;Cette forge permet le travail des métaux et permet de fabriquer toute sorte d'objet, depuis le fer à cheval aux armes et armures.;;;;;x
ca_Napothecary_1;Apothecary;Apothicaire;;;;;x
ca_Napothecary_2;Expert Apothecary;Apoticaire Renommé;;;;;x
ca_Napothecary_1_desc;Drugs, medecines... anything for sick people. Sometimes something to make them sick...;Drogues, médicaments... tout ce qu'il faut pour les gens malades... et parfois même de quoi les rendre malades.;;;;;x
ca_amon_sul;Amon Sûl;Amon Sûl;;;;;x
ca_amon_sul_desc;The Mighty Tower of Amon Sûl had been built during the days of Elendil the Tall, and stored one of the Palantiri of Arnor. It's one of the greatest fortress of Arnor, and the proud of the Men of the West.;La Puissante Tour d'Amon Sûl a été construite au temps d'Elendil le Grand, et renfermait en son sein l'un des Palantiri d'Arnor. Cette puissante forteresse était l'une des places fortes les plus importantes d'Arnor, et une fierté pour les Hommes de l'Ouest.;;;;;x
ca_amon_sul_ruins;Amon Sûl's Ruins;Ruines d'Amon Sûl;;;;;x
ca_amon_sul_ruins_desc;In 1409 of the Third Age, the legions of the Witch-king of Angmar besieged the Tower of Amon Sûl, and destroyed it, killing the King Arveleg I during the battle. Since this time, the Tower is ruins, and some shadows could be seen around the summit…;En 1409 du Tiers-Âge, les Légions du Roi-Sorcier d'Angmar ont assiégé la Tour d'Amon Sûl, et l'ont détruite, tuant le Roi Argeleb I d'Arthedain durant la bataille. Depuis ce temps, la Tour est en ruine, et on peut voir des ombres inquiétantes roder à son sommet...;;;;;x
ca_osgiliath_ruins;Ruines of Osgiliath;Ruins d'Osgiliath;;;;;x
ca_osgiliath_ruins_desc;Once the biggest city of Gondor, Osgiliath was hardly hit by the kin-strife and by the great plague. Only ruins remains to remind of its greatness.;Osgiliath fut autrefois la plus grande cité du Gondor, mais elle fut durement touchée par la guerre civile puis par la Grande Peste. Il ne reste que des ruines pour se rappeler de sa grandeur.;;;;;x
ca_amon_hen;Amon Hen;Amon Hen;;;;;x
ca_amon_hen_desc;Amon Hen, better known as the seat of seeing was built in the days of the great kings. It is rumored you can see hundreds of miles in all directions because of its magical properties;;;;;;x
ca_amon_lhaw;Amon Lhaw;Amon Lhaw;;;;;x
ca_amon_lhaw_desc;Amon Lhaw, better known as the seat of hearing was built in the days of the great kings. It is rumored you can hear miles around the hill because of its magical properties;;;;;;x
ca_rammas_echor;Rammas Echor;Rammas Echor;;;;;x
ca_rammas_echor_desc;An ancient wall located on the Pelennor fields surrounding Minas Tirith and functioning as the second defence, while the Anduin is the first one.;;;;;;
ca_great_gate_1;The Great Gate;The Great Gate;;;;;x
ca_great_gate_desc;The Great Gate of Gondor was nearly impenetrable, made of steel and iron.;;;;;;
ca_great_gate_2;The Great Gate Mithril;The Great Gate Mithril;The Great Gate Mithril;;;;;x
ca_great_gate_mithril_desc;The first gate was destroyed during the Siege of Minas Tirith in the War of the Ring, 3019 TA by the Forces of Mordor, so Aragorn II Elessar tasked the Dwarves under Gimli to build a new one made of Mithril;;;;;;
ca_causeway_forts;Causeway Forts;Causeway Forts;;;;;x
ca_causeway_forts_desc;The Causeway forts protect together with the wall of Rammas Echor the Pelennor fields;;;;;;
ca_cair_andros;Cair Andros;Cair Andros;;;;;x
ca_cair_andros_desc;The Fortress of Cair Andros was on a Isle in the Anduin River and guarded the second most important crossing over this river.;;;;;;
ca_barrow_downs;Barrow-downs;;;;;;x
ca_barrow_downs_desc;The Dúnedain of Cardolan entrenched themselves here, but eventually the realm fell. Around T.A. 1636 the Witch-king sent the Barrow-wights that haunted the hills, preventing any resettlement;;;;;;;x
ca_royal_burial_mounds;The royal burial mounds;;;;;;x
ca_royal_burial_mounds_desc;The Dúnedain of Cardolan entrenched themselves here, many of the hills were crowned with megaliths and barrows. Here the dead can rest in peace.;;;;;;;x
ca_minas_ithil_ruins;The ruins of Minas Ithil;;;;;;x
ca_minas_ithil_ruins_desc;Ithilien has been reclaimed from the forces of Mordor. But its capital still lies in ruin.;;;;;;x 
ca_tower_of_moon;The tower of the moon;;;;;;x
ca_tower_of_moon_desc; This silver white tower houses the palantir of Minas Ithil. The tower catches thee moonlight and reflects it over the city. A beautiful sight to behold.;;;;;;x
