#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITfallofarnor.1;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.10;Your spies report that the heirs of Forodacil were killed by Ulfang. The Line of Rhudaur will be extinguished with the current king's death, and it's now time for Ulfang to conquer the land.;Vos espions rapportent que les héritiers de Forodacil ont été tués par Ulfang. La lignée du Rhudaur s'éteindra avec la mort de l'actuel Roi, et il est temps pour Ulfang de conquérir ces terres.;;;;;;;;;;;;x
EVTOPTAfallofarnor.10;Good…;Très bien…;;;;;;;;;;;;x
EVTTITfallofarnor.11;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.11;Your spies report that just after the death of your sons, Ulfang began to gather an army. It seems clear now that he's the author of these murders, and you should go to crush his rebellion now.;Vos espions vous rapportent que juste après la mort de vos fils, Ulfang a commencé à rassembler une armée. Il semble clair maintenant qu'il est l'auteur de ces meurtres, et vous devriez aller écraser sa rebellion dès maintenant.;;;;;;;;;;;;x
EVTOPTAfallofarnor.11;I'll crush this fool !;Je vais écraser cet avorton !;;;;;;;;;;;;x
EVTOPTBfallofarnor.11;There's again a diplomatic issue…;Il y a encore une solution diplomatique possible…;;;;;;;;;;;;x
EVTTITfallofarnor.12;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.12;Forodacil now seems to have understood your plot, and is in the process of gathering its own troops to crush your rebellion. The long awaited moment finally arrives, the Witch King will be proud of you if you win!;Forodacil semble maintenant avoir compris votre complot, et est en train de réunir ses propres troupes pour écraser votre rebellion. Le moment tant attendu arrive enfin, le Roi-Sorcier sera fier de vous si vous l'emportez !;;;;;;;;;;;;x
EVTOPTAfallofarnor.12;WAR !!!!;GUERRE !!!;;;;;;;;;;;;x
EVTOPTBfallofarnor.12;No, i won't fight.;Non, je ne me battrais pas.;;;;;;;;;;;;x
EVTTITfallofarnor.13;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.13;The war has finally begun, but Ulfang seems to have more allies than expected. The Witch-king of Angmar itself seems ready to fight, and your vassals raised one by one. Will you call upon your allies?;La guerre a enfin commencée, mais Ulfang semble avoir plus d'alliés que prévu. Le Roi-Sorcier d'Angmar lui-même semble prêt à se battre, et vos vassaux se soulèvent un par un. Allez-vous faire appel à vos alliés?;;;;;;;;;;;;x
EVTOPTAfallofarnor.13;I'll fight alone!;Je me battrais seul !;;;;;;;;;;;;x
EVTOPTBfallofarnor.13;Cardolan and Arthedain should help me!;J'appelle le Cardolan et l'Arthedain à l'aide !;;;;;;;;;;;;x
EVTTITfallofarnor.14;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.14;Ulfang finally declared his war, and called all the hillmen to rise against Forodacil! Will you follow him, and walk against the Dunedain?;Ulfang a enfin déclaré sa guerre, et appelle tout les Hommes des Collines à se soulever contre Forodacil ! Allez-vous le suivre, et marcher contre les Dunedains?;;;;;;;;;;;;x
EVTOPTAfallofarnor.14;We'll fight against this King with you, Ulfang !;Nous nous battrons contre ce Roi avec vous, Ulfang !;;;;;;;;;;;;x
EVTOPTBfallofarnor.14;No, Forodacil is our True King.;Non, Forodacil est notre vrai Roi.;;;;;;;;;;;;x
EVTTITfallofarnor.15;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.15;You started your war, but will you ask the Hillmen of Rhudaur to follow you in your fight against Forodacil and the Dunedain?;Vous avez commencé votre guerre, allez-vous demander aux Hommes des Collines du Rhudaur de vous suivre dans votre combat contre Forodacil et les Dunedains?;;;;;;;;;;;;x
EVTOPTAfallofarnor.15;With me, Hillmen!;Avec moi, les Hommes des Collines !;;;;;;;;;;;;x
EVTOPTBfallofarnor.15;I don't need them.;Je n'ai pas besoin d'eux.;;;;;;;;;;;;x
EVTTITfallofarnor.16;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.16;Ulfang finally began his war agains the Dunedain, and fights start at Rhudaur. Will you join the Hillmen and expose your power in the face of the world?;Ulfang a enfin débuté sa guerre contre les Dunedains, et les combats commencent au Rhudaur. Allez-vous rejoindre les Hommes des Collines et exposer votre puissance à la face du monde?;;;;;;;;;;;;x
EVTOPTAfallofarnor.16;It's time to reveal myself.;Il est temps de me révéler.;;;;;;;;;;;;x
EVTOPTBfallofarnor.16;I'll wait to see what happens.;Je vais attendre de voir ce qu'il arrivera.;;;;;;;;;;;;x
EVTTITfallofarnor.17;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.17;The events that take place since months in Rhudaur finally seems to come to their conclusion, and Ulfang revealed his army and ambitions. War began, and Forodacil call you for help. What do you say?;Les évenements qui ont lieu depuis de nombreux mois au Rhudaur semblent enfin arriver à leur conclusion, et Ulfang a révélé son armée et ses ambitions. La Guerre a commencé, et Forodacil vous appelle à l'aide. Que répondez-vous?;;;;;;;;;;;;x
EVTOPTAfallofarnor.17;To War! For the Dunedain!;A la Guerre ! Pour les Dunedains !;;;;;;;;;;;;x
EVTOPTBfallofarnor.17;That's not my War!;Ce n'est pas ma Guerre.;;;;;;;;;;;;x
EVTTITfallofarnor.18;The Witch-King;Le Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.18;As you begin to fight, you learn that the Witch-king of Angmar left his fortress of Carn Dum and walks towards Rhudaur to help you. With his armies, victory seems assured!;Alors que vous commencez à vous battre, vous apprenez que le Roi-Sorcier d'Angmar est sorti de sa forteresse de Carn Dum et marche vers le Rhudaur pour vous aider. Avec ses armées, la victoire vous semble assurée !;;;;;;;;;;;;x
EVTOPTAfallofarnor.18;Thanks, my Lord.;Merci, Monseigneur.;;;;;;;;;;;;x
EVTTITfallofarnor.19;The Witch-King;Le Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.19;While the war began in Rhudaur, you learned that a new force has entered the battle. The Witch-king of Angmar himself leads his armies to Rhudaur, and is ready to fight to enslave the Dunedain.;Alors que la Guerre a commencé au Rhudaur, vous apprenez qu'une nouvelle force vient d'entrer dans la bataille. Le Roi-Sorcier d'Angmar lui-même mène ses armées vers le Rhudaur, et s'apprête à livrer bataille pour asservir les dunedains.;;;;;;;;;;;;x
EVTOPTAfallofarnor.19;An uncertain time…;Une époque incertaine …;;;;;;;;;;;;x
EVTTITfallofarnor.20;War in Rhudaur;La Guerre au Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.20;One of your messengers returned one day, carrying a strange new. A camp was sighted in the hills of Rhudaur, and an army seems to be assembled there ... You learn that the commandant is Ulfang, who wishes to take your crown.;Un de vos messagers revient un jour, porteur d'une étrange nouvelle. Un campement a été aperçu au milieu des collines du Rhudaur, et une armée semble s'y assembler... Vous apprenez que le commandant n'est autre qu'Ulfang, qui souhaite prendre votre couronne.;;;;;;;;;;;;x
EVTOPTAfallofarnor.20;I need to be ready to fight…;Je dois être prêt à me battre…;;;;;;;;;;;;x
EVTOPTBfallofarnor.20;A diplomatic issue is always possible;Une solution diplomatique est encore possible…;;;;;;;;;;;;x
EVTTITfallofarnor.21;A traitor ...;Un traitre…;;;;;;;;;;;;x
EVTDESCfallofarnor.21;Your sons returning from a patrol, wounded but alives. They were ambushed by some Hillmen, and managed to beat them. One of their prisoners revealed that they were leaded by Ulfang ...;Vos fils reviennent d'une patrouille, blessés, mais vivants. Ils ont été pris en embuscade par des Hommes des Collines, et ont réussis à les battre. L'un de leurs prisonniers a révélé qu'ils étaient commandés par Ulfang...;;;;;;;;;;;;x
EVTOPTAfallofarnor.21;I'll crush this abortion!;Je vais écraser cet avorton !;;;;;;;;;;;;x
EVTOPTBfallofarnor.21;A diplomatic issue is always possible;Une solution diplomatique est encore possible…;;;;;;;;;;;;x
EVTTITfallofarnor.22;A diplomatic issue?;Une Solution diplomatique?;;;;;;;;;;;;x
EVTDESCfallofarnor.22;Forodacil sent you a letter requesting that a meeting be held to find a diplomatic solution to your conflict. It may be a good way to achieve your goals quickly ...;Forodacil vous a envoyé une missive, demandant qu'une réunion soit organisée pour trouver une solution diplomatique à votre conflit. C'est peut-être un bon moyen d'arriver à vos fins rapidement...;;;;;;;;;;;;x
EVTOPTAfallofarnor.22;I don't want to fight anymore. I'll negociate a peace.;Je ne veux plus me battre. Je vais négocier la paix.;;;;;;;;;;;;x
EVTOPTBfallofarnor.22;I'll imprison him during this meeting!;Je le capturerais pendant cette réunion !;;;;;;;;;;;;x
EVTOPTCfallofarnor.22;It's too late. War is upon us.;C'est trop tard, la Guerre est sur nous.;;;;;;;;;;;;x
EVTTITfallofarnor.23;A diplomatic issue;Une Solution diplomatique;;;;;;;;;;;;x
EVTDESCfallofarnor.23;Ulfang accepts your request, and request that peace reigns again from you. He recognizes you as the King of Rhudaur truth, and no longer wishes to take your place.;Ulfang accepte votre demande, et demande à ce que la paix règne de nouveau entre vous. Il reconnait en vous le Vrai Roi du Rhudaur, et ne souhaite plus prendre votre place.;;;;;;;;;;;;x
EVTOPTAfallofarnor.23;That's better…;C'est mieux…;;;;;;;;;;;;x
EVTTITfallofarnor.24;A diplomatic issue?;Une Solution diplomatique?;;;;;;;;;;;;x
EVTDESCfallofarnor.24;Ulfang accepts your request and offers to meet you on neutral ground. You arrive there with a small escort, and you see that a tent was set up near a grove. The guards of Ulfang seem nervous ...;Ulfang accepte votre demande, et vous propose de vous rencontrer en terrain neutre. Vous arrivez là-bas, avec une petite escorte, et vous voyez qu'une tente a été installée près d'un bosquet. Les gardes d'Ulfang semblent nerveux...;;;;;;;;;;;;x
EVTOPTAfallofarnor.24;It was a bad idea to come here…;Ce n'était pas une bonne idée de venir…;;;;;;;;;;;;x
EVTTITfallofarnor.25;Ulfang failed…;Ulfang a échoué…;;;;;;;;;;;;x
EVTDESCfallofarnor.25;Ulfang failed, and the Kingdom of Rhudaur is still in the hands of the Dunedain. You can finally trust only yourself ...;Ulfang a échoué, et le Royaume du Rhudaur est toujours entre les mains des Dunedains. Vous ne pouvez finalement faire confiance qu'à vous mêmes... ;;;;;;;;;;;;x
EVTOPTAfallofarnor.25;I'll make this war myself !;Je vais faire cette Guerre moi-même!;;;;;;;;;;;;x
EVTOPTBfallofarnor.25;Curses !;Malédiction !;;;;;;;;;;;;x
EVTTITfallofarnor.26;The Fall of Forodacil;La Chute de Forodacil;;;;;;;;;;;;x
EVTDESCfallofarnor.26;Forodacil fell into your trap, and after some quick fights, he was forced to surrender. He's now in your prison, and you took the crown of Rhudaur. But what will you do with him?;Forodacil est tombé dans votre piège, et après quelques combats rapides, il est obligé de se rendre. Il se trouve maintenant dans votre prison, et vous avez pris la couronne du Rhudaur. Mais qu'allez-vous faire de lui?;;;;;;;;;;;;x
EVTOPTAfallofarnor.26;I'll Kill him!;Je vais le tuer !;;;;;;;;;;;;x
EVTOPTBfallofarnor.26;He'll die in my prison.;Il mourra dans ma prison.;;;;;;;;;;;;x
EVTOPTCfallofarnor.26;I'll banish him!;Je le banis de mon Royaume !;;;;;;;;;;;;x
EVTTITfallofarnor.27;The Witch-King;Le Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.27;Your spies reports that, in the North, the Witch King of Angmar is preparing his armies for a war for your throne. Peace with Ulfang wasn't enough to protect you, and you'll have to defend your lands against the terrible legions of Angmar ...;Vos espions vous rapportent qu'au Nord le Roi-Sorcier d'Angmar prépare ses armées pour une guerre visant votre trône. La paix avec Ulfang n'aura pas suffi à vous préserver, et vous allez devoir vous défendre contre les terribles légions d'Angmar...;;;;;;;;;;;;x
EVTOPTAfallofarnor.27;Curses !;Malédiction !;;;;;;;;;;;;x
EVTTITfallofarnor.28;The Time of the Witch-King;L'Heure du Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.28;It's time, my lord, to send your legions against this weak kingdom of Rhudaur who dared to challenge you. Your orcs, your trolls and your hillmen will destroy the Dunedains of these lands !;Il est temps, monseigneur, d'envoyer vos légions contre ce faible royaume du Rhudaur qui a osé vous défier. Que les tambours résonnent... Et que brûlent les Dunedains !;;;;;;;;;;;;x
EVTOPTAfallofarnor.28;I'll take the crown of Rhudaur!;Je prendrais la couronne du Rhudaur!;;;;;;;;;;;;x
EVTOPTBfallofarnor.28;No, it's not my time.;Non, ce n'est pas mon Heure…;;;;;;;;;;;;x
EVTTITfallofarnor.29;The Fall of Rhudaur;La Chute du Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.29;My lord, you're the ruler of a powerful kingdom, but in the South, the Dunedain are strong too. An Hillman once swore to serve you, and it's perhaps time to ask him to weaken the Rhudaur. What will you tell him?;Monseigneur, vous êtes le souverain d'un puissant Royaume, mais au Sud, les Dunedains sont forts également. Un Hommes des Collines a juré de vous servir, et il est peut-être temps de lui demander d'affaiblir le Rhudaur. Qu'allez-vous lui dire?;;;;;;;;;;;;x
EVTOPTAfallofarnor.29;Ulfang, take the crown of Rhudaur !;Ulfang, Prenez la Couronne du Rhudaur !;;;;;;;;;;;;x
EVTOPTBfallofarnor.29;No… I'll wait.;Non, j'attendrais.;;;;;;;;;;;;x
EVTTITfallofarnor.30;The Witch-King;Le Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.30;You're now the King of Rhudaur, and it's time to serve the Witch-King of Angmar. You can swear allegiance to Carn Dûm, or become independant. If you choose to serve the Iron Crown, your throne will be certainly more powerfull…;Vous êtes maintenant le roi de Rhudaur, et il est temps de servir le Roi-Sorcier d'Angmar. Vous pouvez prêter serment d'allégeance à Carn Dûm, ou devenir indépendant. Si vous choisissez de servir la Couronne de Fer, votre trône en sera certainement plus puissant ...;;;;;;;;;;;;x
EVTOPTAfallofarnor.30;I'm a Servant of the Witch-King;Je suis un Serviteur du Roi-Sorcier.;;;;;;;;;;;;x
EVTOPTBfallofarnor.30;I'm a King!;Je suis un Roi!;;;;;;;;;;;;x
EVTTITfallofarnor.31;Rhudaur;Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.31;The King of Rhudaur swear allegiance to your throne, and now, Rhudaur is part of your realm. You started to weaken the Dunedain Kingdoms of North, and a new age begin…;Le Roi du Rhudaur vous a prêté allégeance, et maintenant, son royaume fait partie de votre domaine. Vous avez commencé à affaiblir les Dunedains du Nord, et un nouvel âge va commencer...;;;;;;;;;;;;x
EVTOPTAfallofarnor.31;Excellent.;Excellent.;;;;;;;;;;;;x
EVTTITfallofarnor.32;Ulfang failed…;Ulfang a failli.;;;;;;;;;;;;x
EVTDESCfallofarnor.32;Your servant, Ulfang the Hillman, has failed in his mission, and Rhudaur is still in the hands of the Dunedain. You should raise your armies and take this Kingdom by yourself, my Lord.;Votre serviteur, Ulfang l'Homme des Collines, a failli à sa mission, et le Rhudaur est toujours entre les mains des Dunedains. Vous devriez prendre les choses en main par vous-mêmes maintenant, monseigneur...;;;;;;;;;;;;x
EVTOPTAfallofarnor.32;They are incapable!;Ce sont des incapables !;;;;;;;;;;;;x
EVTOPTBfallofarnor.32;No, it's not my time.;Non, ce n'est pas mon heure…;;;;;;;;;;;;x
EVTTITfallofarnor.33;The Legions of Carn Dûm;Les Légions de Carn Dûm;;;;;;;;;;;;x
EVTDESCfallofarnor.33;You went to war, and hidden in your fortress of Carn Dum, your legions are ready to fight. Will you release all your power to defeat your enemies?;Vous êtes entré en guerre, et, cachés dans votre forteresse de Carn Dûm, vos légions sont prêtes au combat. Allez-vous libérer toute votre puissance pour vaincre vos ennemis?;;;;;;;;;;;;x
EVTOPTAfallofarnor.33;Unleash all my legions !;Relâchez toutes mes légions !;;;;;;;;;;;;x
EVTOPTBfallofarnor.33;I prefer they remain hidden;Je préfère qu'ils restent cachés...;;;;;;;;;;;;x
true_king;True King;Vrai Roi;;;;;;;;;;;;x
EVTTITfallofarnor.34;The Fall of Rhudaur;La Chute du Rhudaur;;;;;;;;;;;;x
EVTDESCfallofarnor.34;My King, the Kingdom of Rhudaur failed, and the line of your cousin is broken. The Hillmen dominates now what was once part of Arnor, and Angmar extends its influence over Eriador.;Mon Roi, le Royaume du Rhudaur a échoué, et la lignée de votre cousin est brisée. Les Hommes des Collines dominent ce qui fut jadis une part d'Arnor, et l'Angmar étend son influence sur l'Eriador. ;;;;;;;;;;;;x
EVTOPTAfallofarnor.34;Curses !;Malédiction !;;;;;;;;;;;;x
EVTOPTCfallofarnor.33;Unleash my Orcs legions!;Relâchez mes légions d'Orques !;;;;;;;;;;;;x
EVTOPTDfallofarnor.33;Unleash my Hillmen legions!;Relâchez mes légions d'Hommes des Collines !;;;;;;;;;;;;x
EVTTITfallofarnor.35;Cardolan;Cardolan;;;;;;;;;;;;x
EVTDESCfallofarnor.35;The easiest part of your plan worked. You destroyed the Dunedains in Rhudaur, but it was the weakest of the Three Kingdoms. Cardolan will be a more difficult task, but destroy it will isolate the kingdom of Arthedain from potentials gondorians reinforcements...;La partie la plus simple de votre plan a fonctionné. Vous avez détruit les dunedains en Rhudaur, mais c'était le royaume le plus faible. Le Cardolan sera une mission plus difficile, mais le détruire isolera l'Arthedain de potentiels renforts venant du Gondor..;;;;;;;;;;;;x
EVTOPTAfallofarnor.35;Cardolan will be destroyed!;Le Cardolan sera détruit !;;;;;;;;;;;;x
EVTOPTBfallofarnor.35;No, It's enough.;Non, c'est assez.;;;;;;;;;;;;x
EVTTITfallofarnor.36;The Witch-King;Le Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.36;Your spies report that the Witch-king plans to attack your kingdom. Rhudaur has already fallen, so which strategy will you adopt?;Vos espions rapportent que le Roi-Sorcier prévoit d'attaquer votre Royaume. Le Rhudaur est déjà tombé, quelle stratégie allez-vous adopter?;;;;;;;;;;;;x
EVTOPTAfallofarnor.36;I reinforce my defenses!;Je renforce mes défenses !;;;;;;;;;;;;x
EVTOPTBfallofarnor.36;I'll accept my fate.;J'accepte mon destin.;;;;;;;;;;;;x
EVTOPTCfallofarnor.36;I'll attack Rhudaur !;Je vais reprendre le Rhudaur!;;;;;;;;;;;;x
EVTTITfallofarnor.37;Cardolan;Cardolan;;;;;;;;;;;;x
EVTDESCfallofarnor.37;Cardolan appears to be preparing its defenses, as if they're aware of your intentions. Will you let them reinforce without reacting, my lord?;Le Cardolan semble préparer ses défenses, comme s'il était au courant de vos intentions. Allez-vous les laisser se renforcer sans réagir, monseigneur?;;;;;;;;;;;;x
EVTOPTAfallofarnor.37;I expected this ... To War!;Je m'attendais à ça... A la Guerre !;;;;;;;;;;;;x
EVTTITfallofarnor.38;WAR !!!!;GUERRE !!!;;;;;;;;;;;;x
EVTDESCfallofarnor.38;Legions of Angmar walk to your kingdom and your people take refuge in your strongholds. The war has begun!;Les légions d'Angmar marchent vers votre Royaume, et vos habitants se retranchent dans vos places fortes. La guerre a commencée !;;;;;;;;;;;;x
EVTOPTAfallofarnor.38;I'll fight alone!;Je me battrais seul !;;;;;;;;;;;;x
EVTOPTBfallofarnor.38;I'll call Arthedain and Rivendell to aid !;J'appelle l'Arthedain et Fondcombe au secours!;;;;;;;;;;;;x
EVTOPTCfallofarnor.38;I'll only call Arthedain.;J'appelle l'Arthedain seulement.;;;;;;;;;;;;x
EVTTITfallofarnor.39;War in Cardolan!;La Guerre au Cardolan !;;;;;;;;;;;;x
EVTDESCfallofarnor.39;After Rhudaur, the Witch-King strikes Cardolan. The King of Cardolan is calling for help, and some of your commandants are ready to fight. What will you say?;Après le Rhudaur, le Roi-Sorcier s'attaque au Cardolan. Le Roi du Cardolan vous appelle à l'aide, et certains de vos généraux sont prêts à se battre. Que dites-vous?;;;;;;;;;;;;x
EVTOPTAfallofarnor.39;To War!;A la Guerre !;;;;;;;;;;;;x
EVTOPTBfallofarnor.39;That's not my War!;Ce n'est pas ma Guerre.;;;;;;;;;;;;x
EVTTITfallofarnor.40;War in Cardolan!;La Guerre au Cardolan !;;;;;;;;;;;;x
EVTDESCfallofarnor.40;After Rhudaur, the Witch-King will strike Cardolan. The war is here, and once again, the Dunedain are threatened by the Evil Force of the North.;Après le Rhudaur, le Roi-Sorcier s'attaque au Cardolan. La guerre est là, et encore une fois, les dunedains sont menacés par la force Maléfique du Nord.;;;;;;;;;;;;x
EVTOPTAfallofarnor.40;@FIXME@ It looks bad...;@FIXME@ It looks bad...;;;;;;;;;;;;x
EVTTITfallofarnor.41;A new King of Arnor ?;Un Nouveau Roi d'Arnor ?;;;;;;;;;;;;x
EVTDESCfallofarnor.41;Cardolan is threatened by legions of Angmar, but the King seems to have lost all hope, all courage ... You're the last strong heir of Isildur who rules a Northern Kingdom, and you should claim the crown of Arnor. ..;Le Cardolan est menacé par les légions d'Angmar, mais le Roi semble avoir perdu tout espoir, tout courage ... Vous êtes le dernier héritier d'Isildur suffisamment fort pour diriger un Royaume du Nord, et vous devriez réclamer la couronne d'Arnor...;;;;;;;;;;;;x
EVTOPTAfallofarnor.41;I'll be the King of Arnor.;Je serais le Roi d'Arnor.;;;;;;;;;;;;x
EVTOPTBfallofarnor.41;@FIXME@ Cardolan remains to this Kingdom.;@FIXME@ Cardolan remains to this Kingdom.;;;;;;;;;;;;x
EVTOPTCfallofarnor.41;All is lost…;Tout est perdu…;;;;;;;;;;;;x
EVTTITfallofarnor.42;A new King of Arnor ?;Un Nouveau Roi d'Arnor ?;;;;;;;;;;;;x
