#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
nick_goldenhood;Goldenhood;Capuchon-d'Or;;;Cappadoro;;x
nick_ironbeard;Ironbeard;Barbe-d'Acier;;;Barbaferrosa;;x
nick_ironshield;Ironshield;Ecu-d'Acier;;;Scudoferroso;;x
nick_ironaxe;Ironaxe;Hache-d'Acier;;;Asciadiferro;;x
nick_dragonhelm;Dragonhelm;Dragonhelm;;;Dragonelmo;;x
nick_irongloves;Irongloves;Gants-d'Acier;;;Guantiferro;;x
nick_lord_of_eagles;the Lord of the Eagles;le Seigneur des Aigles;;;Signore delle Aquile;;x
nick_deepdelver;Deepdelver;le Fouille-profond;;;Scavafondo;;x
nick_proudneck;Proudneck;le Faraud;;;Fierocollo;;x
nick_masterful;Masterful;l'Impérieux;;;l'Imperioso;;x
nick_broadbelt;Broadbelt;le Bedonnant;;;Largacinta;;x
nick_goldfather;Goldfather;le Grigou;;;Babbodoro;;x
nick_scattergold;Scattergold;le Prodigue;;;Fiumedoro;;x
nick_fatty;Fatty;le Gros;;;Grassotto;;x
nick_the_gaffer;the Gaffer;l'Ancien;;;il Gaffiere;;x
nick_erebor_founder;the Founder of Erebor;le Fondateur d'Erebor;;;il Fondatore d'Erebor;;x
nick_headstrong;Headstrong;Forte-Tête;;;Testaforte;;x
nick_the_magnificient;the Magnificient;le Magnifique;;;il Magnifico;;x
nick_greenhanded;the Greenhanded;la Mainverte;;;dalla Mano Verde;;x
nick_old_gammidgy;Old Gammidgy;le Vieux Gamegie;;;il Vecchio Cordaio;;x
nick_the_fair_woman;the Fair;la Toute-Belle;;;la Bella;;x
nick_halfelven;Half-elven;le Semi-Elfe;;;Mezzelfo;;x
nick_elffriend;Elf-friend;Ami-des-Elfes;;;Amico degli Elfi;;x
nick_steelsheen;Steelsheen;Bouclier-d'Acier;;;Bagliore d'Acciaio;;x
nick_the_blue;the Blue;le Bleu;;;il Blu;;x
nick_goodhost;Goodhost;Bonaccueil;;;;;x
nick_terriblehost;Terriblehost;Malaccueil;;;;;x
nick_isenflesc;Isenflesc;Isenflesc;;;;;x
nick_the_traitor;the Traitor;le Traitre;;;;;x
nick_flourdumpling;Flourdumpling;;;;;;x
nick_alcarin;Alcarin;Alcarin;;;Alcarin;;x
nick_falastur;Falastur;Falastur;;;Falastur;;x
nick_greymantle;Greymantle;Manteau-Gris;;;;;x
nick_longbeard;Longbeard;Longuebarbe;;;;;x
nick_the_accursed;the Accursed;Le Maudit;;;;;x
nick_black_serpent;the Black Serpent;le Serpent Noir;;;;;x
nick_of_many_colors;of Many Colors;of Many Colors;;;;;x
nick_the_golden;the Golden;le Doré;;;;;x
nick_elder_king;Elder King;Elder King;;;;;x
nick_star_kindler;Star-Kindler;Star-Kindler;;;;;x
nick_the_smith;the Smith;le Forgeron;;;;;x
nick_ever_young;Ever-Young;la Toujours-Jeune;;;;;x
nick_the_huntsman;the Huntsman;le Chasseur;;;;;x
nick_lady_of_mercy;the Lady of Mercy;the Lady of Mercy;;;;;x
nick_the_valiant;the Valiant;le Brave;;;;;x
nick_lord_of_waters;the Lord of Waters;Le Seigneur des Eaux;;;;;x
nick_the_weaver;the Weaver;the Weaver;;;;;x
nick_the_dancer;the Dancer;le Danceur;;;;;x
nick_the_judge;the Judge;le Juge;;;;;x
nick_the_healer;the Healer;le Soigneur;;;;;x
nick_master_of_dreams;the Master of Dreams;le Maitre des Rêves;;;;;x
nick_giver_of_fruits;the Giver of Fruits;Donneur de Fruits;;;;;x
nick_the_lady_of_mourning;the Lady of Mourning;the Lady of Mourning;;;;;x
nick_the_dark_traitor;the Dark Traitor;Le Traitre Noir;;;;;x
nick_lord_of_the_rings;the Lord of the Rings;Le Seigneur des Anneaux;;;;;x
nick_beast_of_gondolin;the Beast of Gondolin;;;;;;x
nick_hoarder;the Hoarder;;;;;;x
nick_dread_helm;Gorthol;;;;;;x
nick_the_black_sword;Mormegil;;;;;;x
nick_elf_man;Adanedhel;;;;;;x
nick_dark_elf;Dark Elf;;;;;;x
nick_russandol;Russandol;;;;;;x
nick_the_lion;The Lion;;;;;;x
nick_the_lionheart;The Valiant;;;;;;x
nick_the_crafty;The Crafty;;;;;;x
nick_the_fated;The Fated;;;;;;x
nick_the_dark;The Dark;;;;;;x
nick_the_blessed;The Blessed;;;;;;x
nick_gold_cleaver;Gold-Cleaver;;;;;;x
nick_mariner;The Mariner;;;;;;x
nick_shipwright;The Shipwright;;;;;;x
nick_the_defiler;The Defiler;;;;;;x
nick_skywanderer;Skywanderer;;;;;;x
nick_the_hapless;The Hapless;;;;;;x

