#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tomb_of_thorin;Visit the Tomb of Thorin Oakenshield;Se rendre sur la Tombe de Thorin Ecu-de-Chêne;;;;;;;;;;;;x
EVTDESCerebor.9;While your miners worked in galleries along the vein of gold recently discovered, one of them made ??an extraordinary discovery. A stone of incredible beauty has been updated. Immediately, you have been warned, and the stone has been sent to your best jewelers. They worked the stone into a multifaceted jewel, shining with its own pale light, but, when outer light fell upon the stone, it changed it into ten thousand sparks of white radiance shot with glints of the rainbow. This will be the treasure of your home, the Heart of the Mountain, and all will see the greatness of your kingdom.;Alors que vos mineurs travaillaient dans les galeries le long de la veine d'or récemment découvert, l'un d'eux a fait une découverte extraordinaire. Une pierre d'une beauté incroyable a été mise à jour. Immédiatement, vous avez été averti, et la pierre a été envoyé à vos meilleurs bijoutiers. Ils ont travaillé la pierre en un joyau aux multiples facettes, qui brille de sa propre lumière pâle, mais, lorsque la lumière du soleil ou de la lune tombe sur la pierre, elle est changée en dix mille étincelles d'un blanc éclatant avec des reflets de toutes les couleurs de l'arc-en-ciel. Ce sera le trésor de votre maison, le Coeur de la Montagne, et tous verront la grandeur de votre Royaume.;;;;;;;;;;;;x
EVTOPTAerebor.9;The Arkenstone, Heart of the Mountain.;L'Arkenstone, Cœur de la Montagne.;;;;;;;;;;;;x
EVTTITerebor.10;Nothing…;Rien…;;;;;;;;;;;;x
EVTDESCerebor.10;Your miners have worked with enthusiasm in the new galleries that you dug, but nothing seems to indicate the presence of new veins in there. They returned empty-handed, with only a few bags of charcoal.;Vos mineurs ont travaillés avec ardeurs dans les nouvelles galeries que vous avez fait creuser, mais rien ne semble indiquer la présence de nouveaux filons par là-bas. lls reviennent les mains vides, avec uniquement quelques sacs de charbons.;;;;;;;;;;;;x
EVTOPTAerebor.10;So many ressources wasted…;Tant de ressources gaspillées…;;;;;;;;;;;;x
EVTTITerebor.11;Iron and Copper;Fer et Cuivre;;;;;;;;;;;;x
EVTDESCerebor.11;Your miners have worked with enthusiasm in the new galleries that you dug, and found veins of iron and copper in abundance. This is obviously less interesting than gold, but these resources are nevertheless useful.;Vos mineurs ont travaillés avec ardeurs dans les nouvelles galeries que vous avez fait creuser, et ont trouvés des filons de fer et de cuivre en abondance. C'est évidemment moins interessant que de l'or, mais ces ressources seront néanmoins utiles.;;;;;;;;;;;;x
EVTOPTAerebor.11;At least.;C'est au moins ça.;;;;;;;;;;;;x
EVTTITerebor.12;Forges of Erebor;Les Forges d'Erebor;;;;;;;;;;;;x
EVTDESCerebor.12;You go to the blacksmiths of your city, known worldwide for their talents in the art of blacksmithing. You can ask them to build powerful spears that will pierce many enemies, or to forge armors that will withstand even the attack of a troll.;;;;;;;;;;;;;x
EVTOPTAerebor.12;I'll make some spears.;Je vais fabriquer des lances.;;;;;;;;;;;;x
EVTOPTBerebor.12;I'll make some armors.;Je vais fabriquer des armures.;;;;;;;;;;;;x
EVTTITerebor.13;The Spears of Erebor;Les Lances d'Erebor;;;;;;;;;;;;x
EVTDESCerebor.13;Your artisans have made ??many spears of very good quality, according to your requests. One of them, more tailored and richly adorned, was forged especially for you. But you can decide to offer it to one of your dwarves, if you think it will be more useful in his hands.;Vos artisans ont fabriqué de nombreuses lances de très bonne qualité, conformément à vos demandes. L'une d'entre elle, encore plus travaillée et richement parée, a été forgée spécialement pour vous. Mais vous pouvez décider de l'offrir à l'un de vos nains, si vous pensez qu'elle sera plus utile dans ses mains.;;;;;;;;;;;;x
EVTOPTAerebor.13;A great work.;Un travail fantastique.;;;;;;;;;;;;x
EVTTITerebor.14;The Armors of Erebor;Les Armures d'Erebor;;;;;;;;;;;;x
EVTDESCerebor.14;Your artisans have made ??many armors of very good quality, according to your requests. One of them, more tailored and richly adorned, was forged especially for you. But you can decide to offer it to one of your dwarves, if you think it will be more useful in his hands.;Vos artisans ont fabriqué de nombreuses armures de très bonne qualité, conformément à vos demandes. L'une d'entre elle, encore plus travaillée et richement parée, a été forgée spécialement pour vous. Mais vous pouvez décider de l'offrir à l'un de vos nains, si vous pensez qu'elle sera plus utile dans ses mains.;;;;;;;;;;;;x
EVTOPTAerebor.14;A great work.;Un travail fantastique.;;;;;;;;;;;;x
EVTTITerebor.15;Forges of Erebor;Les Forges d'Erebor;;;;;;;;;;;;x
EVTDESCerebor.15;Your craftsmen worked tirelessly to make the best possible artifacts, but unfortunately the quality of execution is not up to your expectations. None of these objects is not worthy of being worn by you, and you leave the pieces created for your worst soldiers.;Vos artisans ont travaillé sans relâche pour fabriquer les meilleurs artefacts possibles, mais malheureusement, la qualité de leur réalisation n'est pas à la hauteur de vos attentes. Aucun de ces objets n'est digne d'être porté par vous, et vous laisser les pièces créées à vos plus mauvais soldats.;;;;;;;;;;;;x
EVTOPTAerebor.15;Useless Blacksmiths…;Forgerons inutiles…;;;;;;;;;;;;x
EVTTITerebor.16;Trade Erebor-Dale;Commerce Erebor-Dale;;;;;;;;;;;;x
EVTDESCerebor.16;The King under the Mountain has sent you a letter asking you to increase exchanges between your two cities. Dale and Erebor could benefit both riches that will be trade and your alliance would strengthen.;Le Roi sous la Montagne vous a envoyé une missive, vous invitant à augmenter les échanges entre vos deux cités. Dale et Erebor pourraient profiter toutes deux des richesses qui transiteraient, et votre alliance n'en serait que renforcer.;;;;;;;;;;;;x
EVTOPTAerebor.16;More trade between us!;Plus d'échanges entre nous!;;;;;;;;;;;;x
EVTOPTBerebor.16;I don't want to trade with them anymore.;Je ne veux plus commercer avec eux.;;;;;;;;;;;;x
EVTTITerebor.17;Trade Erebor-Dale;Commerce Erebor-Dale;;;;;;;;;;;;x
EVTDESCerebor.17;The King of Dale has accepted your generous offer, and from now, trade between Dale and Erebor will increase, your alliance with the inhabitants of the Lake is also stronger. Your two nations can enjoy the benefits of your relationships.;Le Roi de Dale a accepté votre généreuse proposition, et à partir de maintenant, les échanges entre Dale et Erebor vont augmenter, votre alliance avec les habitants du Lac se renforce également. Vos deux nations pourront profiter des bienfaits de vos relations.;;;;;;;;;;;;x
EVTOPTAerebor.17;Great!;Parfait !;;;;;;;;;;;;x
EVTTITerebor.18;Trade Erebor-Dale;Commerce Erebor-Dale;;;;;;;;;;;;x
EVTDESCerebor.18;King Dale rejected your generous offer, and from now, trade between Dale and Erebor go down, your alliance with the inhabitants of the Lake is also disintegrating. The relationship between your two kingdoms become darker ...;Le Roi de Dale a rejeté votre généreuse proposition, et à partir de maintenant, les échanges entre Dale et Erebor vont baisser, votre alliance avec les habitants du Lac se délitant également. Les relations entre vos deux royaumes deviennent plus sombres ...;;;;;;;;;;;;x
EVTOPTAerebor.18;Stupid King…;Un Roi bien idiot…;;;;;;;;;;;;x
EVTDESCdwarveninfertility.2;You just got married, and there is a tradition among your people to take only one spouse during his life. Will you unite your soul to your spouse?;Vous venez de vous marier, et il est de tradition parmi votre peuple de ne prendre qu'une épouse au cours de sa vie. Allez-vous unir votre âme à votre conjoint?;;;;;;;;;;;;x
EVTOPTAdwarveninfertility.2;I truely love her.;Je l'aime vraiment.;;;;;;;;;;;;x
EVTOPTBdwarveninfertility.2;This is just a wife.;C'est juste une épouse.;;;;;;;;;;;;x
