#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITwarofthering.1;You Stand On The Brink;Sur le Pied de Guerre;;;;;;;;;;;;x
EVTOPTBwarofthering.11;No, they are needed here for the War.;Non, j'ai besoin d'eux ici pour la Guerre.;;;;;;;;;;;;x
EVTTITwarofthering.12;Sauron commands you;Sauron vous ordonne;;;;;;;;;;;;x
EVTDESCwarofthering.12;Seek out this 'Shire' and 'Baggins' and return with the Ring. Kill anyone who stands in your way!;"Cherchez tout ce qui se rapporte à ""Comté"" et ""Sacquet"", et revenez avec l'Anneau. Tuez tout ceux qui se tiendront sur votre chemin !";;;;;;;;;;;;x
EVTOPTAwarofthering.12;We shall find this 'Baggins'...;"Nous devrions trouver ce ""Sacquet""…";;;;;;;;;;;;x
EVTTITwarofthering.13;It is time, Frodo!;il est temps, Frodon !;;;;;;;;;;;;x
EVTDESCwarofthering.13;Gandalf has instructed you to leave the Shire and head for Rivendell, and you must do so with all haste. Sam Gamgee, your gardener, will accompany you.;Gandalf vous a conseillé de quitter la Comté et de partir pour Fondcombe, et vous devriez le faire avec hâte. Heureusement, Sam, Merry et Pippi viendront avec vous.;;;;;;;;;;;;x
EVTOPTAwarofthering.13;I am ready.;Je suis prêt.;;;;;;;;;;;;x
EVTTITwarofthering.14;Go to Rivendell;Aller à Rivendell;;;;;;;;;;;;x
EVTDESCwarofthering.14;You are accompanying Frodo in his quest to Rivendell.;Vous partez avec Frodon vers Fondcombe, enchanté de voir des elfes, et insouciant du danger !;;;;;;;;;;;;x
EVTOPTAwarofthering.14;Let's go!;Allons-y!;;;;;;;;;;;;x
EVTTITwarofthering.94;The Hobbits leave the Shire;Les Hobbits quittent la Comté;;;;;;;;;;;;x
EVTDESCwarofthering.94;Having heard no word from Gandalf, Frodo and Sam now set out for Rivendell. On their way, Meriadoc Brandybuck and Peregrin Took join them on their quest. This seemingly small task undertaken by a few Halflings may set in motion a chain of events that will rock the foundations of all realms, and perhaps lead to the beginning of a new age.;N'ayant pas eu de nouvelles de la part de Gandalf, Frodon et ses amis sont maintenant partis sur la route de Fondcombe. Cela devrait créer une réaction en chaine qui fera trembler les fondations de chaque Royaume, et peut-être même mener au commencement d'un Nouvel Âge.;;;;;;;;;;;;x
EVTOPTAwarofthering.94;We live in dark times.;Ok;;;;;;;;;;;;x
EVTTITwarofthering.17;Where is Gandalf?;Où est Gandalf?;;;;;;;;;;;;x
EVTDESCwarofthering.17;Gandalf has not attended to his urgent business in the Shire, and you are beginning to worry. Perhaps you should go to Bree, and see if there is any news of him there?;Gandalf n'est pas arrivé pour son affaire urgente dans la Comté, et vous commencez à vous inquiéter. Peut-être devriez-vous aller à Bree, et voir s'il y a des nouvelles de lui là-bas?;;;;;;;;;;;;x
EVTOPTAwarofthering.17;I will go to the Prancing Pony.;Je vais l'attendre au Poney Fringant.;;;;;;;;;;;;x
EVTOPTBwarofthering.17;No, I am busy.;Non, j'ai des choses à faire ici !;;;;;;;;;;;;x
EVTTITwarofthering.18;At the Prancing Pony;Au Poney Fringant;;;;;;;;;;;;x
EVTDESCwarofthering.18;A certain mister 'Underhill' is drawing unnecessary attention to himself, and if he is who you suspect...;"Un certain petit monsieur ""Souscolline"" attire un peu trop l'attention sur lui, et s'il est celui que vous suspectez…";;;;;;;;;;;;x
EVTOPTAwarofthering.18;I must help him get to Rivendell safely!;Je devrais l'aider à attendre Fondcombe entier !;;;;;;;;;;;;x
EVTOPTBwarofthering.18;I see now that I want the ring for myself, it has come to me, and is mine for the taking...;*votre regard s'obscurcit* Je vais juste prendre l'Anneau…;;;;;;;;;;;;x
EVTTITwarofthering.19;Strider;Grand-Pas;;;;;;;;;;;;x
EVTDESCwarofthering.19;At Bree you meet a ranger calling himself 'Strider'. He claims to be a friend of Gandalf and offers to help you reach Rivendell.;"A Bree, vous rencontrez un homme qui se fait appeler ""Grand-Pas"", et qui dit être un ami de Gandalf. Il vous propose ses services pour rejoindre Fondcombe sain et sauf.";;;;;;;;;;;;x
EVTOPTAwarofthering.19;We have to trust him.;Nous devons lui faire confiance…;;;;;;;;;;;;x
EVTTITwarofthering.20;Nazgûl!;Nazgûl!;;;;;;;;;;;;x
EVTDESCwarofthering.20;On the way to Rivendell, you are closely pursued by the Nazgûl - thankfully Aragorn is with you but the valley of Imladris is still very far away!;Sur la route de Fondcombe, vous êtes poursuivis de près par les Nazgûl. Heureusement, Aragorn est avec vous… Mais Fondcombe est si loin !;;;;;;;;;;;;x
EVTOPTAwarofthering.20;We must hurry!;Nous devons nous depecher!;;;;;;;;;;;;x
EVTTITwarofthering.95;Noooo!;Noooon!;;;;;;;;;;;;x
EVTDESCwarofthering.95;You cannot escape their pursuit, and one night the Nazgûl attack and overwhelm your small party. You are stabbed, and the ring is torn from your finger. In shock, you gasp for breath...;Vous ne pouvez vous échapper, et une nuit, les Nazgûl attaquent et submergent votre petit groupe. Vous êtes poignardé, et l'Anneau glisse de votre doigt. Sous le choc, vous essayez de respirer…;;;;;;;;;;;;x
EVTOPTAwarofthering.95;They took... the ring!;Ils ont… l'Anneau…;;;;;;;;;;;;x
EVTTITwarofthering.96;Alive!;Vivants!;;;;;;;;;;;;x
EVTDESCwarofthering.96;Through the skills of Aragorn and the aid of Glorfindel, you manage to make it past the Nazgûl, until they are finally seen off at the fords into Imladris. You are safe!;Grâce aux talents d'Aragorn et à l'aide de Glorfindel, qui a semblé surgir de nulle part, vous avez réussi à semer les Nazgûls, et ils ont finalement été défaits aux gués de Fondcombe. Vous êtes vivants !;;;;;;;;;;;;x
EVTOPTAwarofthering.96;I never thought we'd make it!;Je ne pensais pas qu'on y arriverait…;;;;;;;;;;;;x
EVTTITwarofthering.97;The Nazgûl Attack;L'attaque des Nazgûl;;;;;;;;;;;;x
EVTDESCwarofthering.97;You failed to elude your pursuers. The ring wraiths have you surrounded, and are going straight for Frodo. The odds seem hopeless, but...;Vous n'avez pas réussi à semer vos poursuivants. Les neuf serviteurs de l'Anneau vous ont cernés, et se rapprochent de Frodon. Votre situation semble sans espoir, mais... ;;;;;;;;;;;;x
EVTOPTAwarofthering.97;Elendil!;Elendil !;;;;;;;;;;;;x
EVTOPTBwarofthering.97;I dont want to die! Run!;Je ne veux pas mourir! Cours!;;;;;;;;;;;;x
EVTTITwarofthering.21;Unlimited Power!;Pas de limite à mon Pouvoiiir!;;;;;;;;;;;;x
EVTDESCwarofthering.21;Finally, your hunters have returned. The Witch King and the Nazgûl kneel, and present to you that which they were charged to bring back...;ENFIN! Vos chasseurs sont revenus. Le Roi-Sorcier et les Nazgûl s'agenouillent, et présentent à vos yeux avides ce qu'ils étaient chargés de ramener…;;;;;;;;;;;;x
EVTOPTAwarofthering.21;At long last! I will cover all of Middle-Earth in darkness!;Je suis de nouveau entier !;;;;;;;;;;;;x
EVTTITwarofthering.22;Sauron has the ring!;Sauron a l'Anneau!;;;;;;;;;;;;x
EVTDESCwarofthering.22;Word quickly spreads to every corner of Middle-Earth. Sauron has regained his ring. What power now exists that can stop him from unleashing a new age of darkness?;Ces mots font rapidement le tour de la Terre du Milieu. Sauron a retrouvé son Anneau. Quel pouvoir peut-il encore exister en Terre du Milieu pour l'empêcher de provoquer un nouvel Age des Ténèbres?;;;;;;;;;;;;x
EVTOPTAwarofthering.22;OK;OK…;;;;;;;;;;;;x
EVTOPTBwarofthering.22;Darkness will rule!;Les Ténèbres arrivent !;;;;;;;;;;;;x
EVTTITwarofthering.23;The ring has been found!;L'Anneau a été trouvé !;;;;;;;;;;;;x
EVTDESCwarofthering.23;Rumors reach you that the Ring of Power has been found, and that the White Council is protecting it. But what will they do with it? Use it, hide it, attempt to destroy it?;Des rumeurs font état du fait que l'Anneau Unique avait été découvert, et que le Conseil Blanc le protégerait. Mais que feront-ils avec? L'utiliser? Le cacher? Essayer de le détruire?;;;;;;;;;;;;x
EVTOPTAwarofthering.23;OK;OK…;;;;;;;;;;;;x
EVTOPTBwarofthering.23;They'll pay for this…;Ils paieront pour cela…;;;;;;;;;;;;x
EVTOPTCwarofthering.23;I helped bring it there!;J'ai aidé à l'amener ici!;;;;;;;;;;;;x
EVTTITwarofthering.24;A strange Dream;Un rêve étrange…;;;;;;;;;;;;x
EVTDESCwarofthering.24;In a dream, your sons saw the east grow dark, but a pale light lingered in the West. Isildur's bane is found, they heard. Who will you send to Imladris to unravel the meaning of these words?;Dans un rêve, vos fils ont vu que l'Est allait assombrir le monde, mais qu'une pale lumière venait de l'Ouest. Le fléau d'Isildur a été trouvé, entendent-ils. Qui enverrait-vous à Fondcombe pour comprendre ce que signifient ces mots?;;;;;;;;;;;;x
EVTOPTAwarofthering.24;I trust only Boromir with this task.;Je n'ai confiance qu'en Boromir pour cette mission!;;;;;;;;;;;;x
EVTOPTBwarofthering.24;Send Faramir.;Envoyez Faramir.;;;;;;;;;;;;x
EVTTITwarofthering.25;Ill news;Etrange nouvelles…;;;;;;;;;;;;x
EVTDESCwarofthering.25;The creature gollum has escaped, while we were distracted by an orc raid! We fear the enemy planned this. I must send Legolas to inform the White Council...;La créature Gollum s'est échappée, alors que nous étions occupé par un assaut d'Orques. Nous craignons que l'ennemi ait organisé ceci. Je devrais envoyer Legolas pour prévenir le Conseil Blanc…;;;;;;;;;;;;x
EVTOPTAwarofthering.25;Safe journeys, my son.;Bon voyage, mon fils.;;;;;;;;;;;;x
EVTTITwarofthering.26;Aragorn took the ring;@FIXME@ Aragorn took the ring;;;;;;;;;;;;x
EVTDESCwarofthering.26;The strange man you met at Bree has taken the ring from you by force, and left! There is nothing you can do now... your quest has failed before it even began.;@FIXME@ The strange man you met at Bree has taken the ring from you by force, and left! There is nothing you can do now... your quest has failed before it even began.;;;;;;;;;;;;x
## wotr2_events.txt ##;;;;;;;;;;;;;;
EVTTITwotr.1;Bilbo is in danger;Bilbon est en danger!;;;;;;;;;;;;x
EVTDESCwotr.1;Agents of the enemy have approached us, asking about 'Baggins' and 'Shire'. We told them nothing, of course, but he should be warned.;"Des Agents de l'Ennemi nous ont approchés, nous demandant des informations à propos de ""Sacquet"" et ""Comté"". Nous ne leur avons rien dit, mais il devrait être averti…";;;;;;;;;;;;x
EVTOPTAwotr.1;Fare well, Gimli son of Gloin.;Une Quête pour Gimli, fils de Gloin.;;;;;;;;;;;;x
EVTTITwotr.2;You have arrived at Rivendell;Vous êtes à Fondcombe.;;;;;;;;;;;;x
EVTDESCwotr.2;It seems there is going to be a great council. Emissaries from all the free folk are here, and they will decide what to do with the ring.;Il semble qu'il va y avoir un grand Conseil. Des Emissaires de tout les Peupes Libres sont ici, et ils vont décider quel destin accorder à l'Anneau.;;;;;;;;;;;;x
EVTOPTAwotr.2;I did what I set out to do.;J'ai accompli ma Quête.;;;;;;;;;;;;x
EVTTITwotr.3;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.3;The ring has come to Rivendell. At a secret council, you and others are arguing for the destruction of the ring. Others oppose. It will take a very influential ruler to sway the decision firmly towards one direction.;L'Anneau est venu à Fondcombe. Lors d'un Conseil secret, certains d'entre vous disent qu'il faut le détuire. D'autres s'y oppsent. Il faudra une personne très influente pour faire osciller la décision dans une direction…;;;;;;;;;;;;x
EVTOPTAwotr.3;We must wait for a decision.;Nous devons attendre la décision finale…;;;;;;;;;;;;x
EVTTITwotr.4;Imladris;Imladris;;;;;;;;;;;;x
EVTDESCwotr.4;While the council of Elrond proceeds and a decision seems to be not imminent, the elven-smiths of Imladris offer to reforge the Sword of Kings. Narsil... now Anduril, the Flame of the West!;Alors que le Conseil d'Elrond est en cours et qu'une décision semble imminente, les forgerons elfes d'Imladris proposent de reforger l'épée des Rois, Narsil... ;;;;;;;;;;;;x
EVTOPTAwotr.4;The Flame of the West!;La Flamme de l'Ouest! Anduril!;;;;;;;;;;;;x
EVTTITwotr.5;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.5;A secret council is being held in Rivendell, but they cannot agree on the fate of the One Ring. It will take a very influential ruler to sway the council to a decision.;Un Conseil secret a été organisé à Fondcombe, mais ils n'arrivent pas à se mettre d'accord sur le destin de l'Anneau. Il faudra quelqu'un de très influent pour arriver à faire prendre une décision au Conseil…;;;;;;;;;;;;x
EVTOPTAwotr.5;OK;OK;;;;;;;;;;;;x
EVTTITwotr.6;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.6;A secret council is being held in Rivendell, but they cannot agree on the fate of the ring. As someone held in extremely high regard, you could sway the Council to your side.;Un Conseil secret a été organisé à Fondcombe, mais aucune décision n'arrive à être prise sur le destin de l'Anneau. Vous êtes quelqu'un de respecté, vous devriez tenter d'influencer la décision…;;;;;;;;;;;;x
EVTOPTAwotr.6;The ring must be destroyed in the Flames of Orodruin!;L'Anneau doit être détruit!;;;;;;;;;;;;x
EVTOPTBwotr.6;Throw that damn Ring in the Great Sea!;Jetez le dans la Mer!;;;;;;;;;;;;x
EVTOPTCwotr.6;Someone should protect the Ringbearer…;Je protégerais Frodon.;;;;;;;;;;;;x
influence_the_council;@FIXME@ Influence the council;@FIXME@ Influence the council;;;;;;;;;;;;x
influence_the_council_desc;@FIXME@ Influence the council;@FIXME@ Influence the council;;;;;;;;;;;;x
EVTTITwotr.7;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.7;The Council has been persuaded to throw the ring into the sea. It will be lost for another age. The Fellowship has done it's duty, and will now disband.;Le Conseil a été persuadé de jeter l'Anneau dans la Mer. Il sera perdu pour un Âge supplémentaire, au moins. La Communauté a fait son devoir, et est maintenant dissoute.;;;;;;;;;;;;x
EVTOPTAwotr.7;OK;OK;;;;;;;;;;;;x
EVTTITwotr.8;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.8;The Council has been persuaded to send Frodo to another realm, where the ruler has vowed to keep him safe. The Fellowship disbands.;Le Conseil a été persuadé d'envoyer Frodon à un autre endroit, où le Seigneur a fait vœu de le protéger. La Communauté est dissoute.;;;;;;;;;;;;x
EVTOPTAwotr.8;OK;OK;;;;;;;;;;;;x
EVTTITwotr.9;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.9;The Council has decided that you must go to a strong realm, which will keep you safe and hidden until a way can be found to destroy the ring.;Le Conseil est persuadé que vous devriez partir pour un Royaume plus puissante, qui vous gardera vivant et caché jusqu'à ce qu'une manière de détruire l'Anneau ait été découverte.;;;;;;;;;;;;x
EVTOPTAwotr.9;Oh dear...;Oh pitié…;;;;;;;;;;;;x
EVTTITwotr.10;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.10;After long debate, you finally convince the Council to bend to your will.;Après de longs débats, vous avez persuadé le Conseil de suivre votre volonté.;;;;;;;;;;;;x
EVTOPTAwotr.10;The Ring must be destroyed.;L'Anneau doit être détruit!;;;;;;;;;;;;x
EVTOPTBwotr.10;The Ring will stay here.;L'Anneau restera ici.;;;;;;;;;;;;x
EVTTITwotr.11;Council of Elrond;Le Conseil d'Elrond;;;;;;;;;;;;x
EVTDESCwotr.11;Since the ring is not being sent to Mount Doom, you are free to go south and aid in the wars of your kin! Perhaps Anduril will help turn the tide.;Depuis que l'on sait que l'Anneau n'ira pas à la Montagne du Destin, vous êtes libre d'aller au Sud et de participer à la guerre de votre Peuple ! Peut-être qu'Anduril changera le destin de cette guerre…;;;;;;;;;;;;x
EVTOPTAwotr.11;I will head south and fight Sauron;Je pars pour le Sud combattre Sauron!;;;;;;;;;;;;x
EVTOPTBwotr.11;No, my place is in the North.;Ma place est dans le Nord.;;;;;;;;;;;;x
EVTTITwotr.12;The Ring goes South;L'Anneau part au Sud;;;;;;;;;;;;x
EVTDESCwotr.12;You finally set out on the Quest for Mt.Doom. The pass of Caradhas is closed, so you head for the mines of Moria... but a kraken attacks you outside it's gates!;Vous partez enfin pour votre Quête vers la Montagne du Destin. Le col de Caradhras est fermé, vous partez donc pour les Mines de la Moria... Mais le Guetteur de l'Eau vous attaque à l'exterieur des Portes!;;;;;;;;;;;;x
EVTOPTAwotr.12;Into the mines then!;Dans les mines ! Vite !;;;;;;;;;;;;x
EVTTITwotr.13;Bridge of Khazad-Dum;Le Pont de Khazad-Dum;;;;;;;;;;;;x
EVTDESCwotr.13;After fighting goblins in several battles, you finally reach the last bridge. The Balrog has caught up with you - But Gandalf stands in the way, giving you time to flee to safety!;Après avoir du combattre des bataillons de gobelins dans les mines, vous atteignez enfin le dernier pont. Mais une créature vous poursuit. Le Balrog de Morgoth, fléau de Durin, est sur vous. Gandalf se tient sur son chemin, vous laissant le temps de vous enfuire.;;;;;;;;;;;;x
EVTOPTAwotr.13;Gandalf!;Gandalf!;;;;;;;;;;;;x
EVTTITwotr.14;Lorien;Lorien;;;;;;;;;;;;x
EVTDESCwotr.14;After a long journey, making haste to avoid any Orcs who might have followed from the mines of Moria, you finally arrive at the Elvish realm of Lorien. Safe behind their guarded borders, your party takes a well earned chance to rest, rearm and take council with Celeborn and Galadriel, perhaps the fairest and wisest elves in Middle-Earth.;Vous vous arrêtez pour vous reposer en Lorien, en sécurité derrière leurs frontières protégées des Orques qui vous poursuivaient depuis la Moria.;;;;;;;;;;;;x
EVTOPTAwotr.14;Safety, at last!;Enfin en sécurité…;;;;;;;;;;;;x
EVTTITwotr.15;Invaders!;Des Intrus!;;;;;;;;;;;;x
EVTDESCwotr.15;Dwarves, elves, and humans passed through your realm! Mobilize the troops and pursue as soon as the sun sets!;Des Nains, elfes, et humains ont traversé votre Royaume. Mobilisez vos troupes et poursuivez les dès que le Soleil se couchera!;;;;;;;;;;;;x
EVTTITwotr.16;Footsteps of doom...;Des Traces de Malheur…;;;;;;;;;;;;x
EVTDESCwotr.16;The Fellowship has entered Lorien, pursued by an orc host from Moria. Orcs of great size have also been spotted coming up from the south by Rohan's border.;La Communauté est entrée en Lorien, poursuivie par une troupe d'Orques de la Moria. Des Orques de grande stature ont été aperçus également, arrivant du Sud par les frontières du Rohan.;;;;;;;;;;;;x
EVTOPTAwotr.16;They bring great evil here...;Ils apportent un grand mal…;;;;;;;;;;;;x
EVTTITwotr.17;The Mirror of Galadriel;Le Miroir de Galadriel;;;;;;;;;;;;x
