#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
craft_a_jewel;Create a Jewel;Créer un Bijou;;;;;;;;;;;;x
EVTDESCcraft.8;You get inside your mountain to the dwarf forge ahead there. You begin to activate the bellows to stoke the fire of the forge, and to finally start working.;Vous descendez au coeur de votre montagne, vers la forge naine qui attend là-bas. Vous commencez à activer les soufflets, afin d'alimenter le feu de la forge, et pouvoir enfin commencer votre travail.;;;;;;;;;;;;x
EVTOPTAcraft.8;Time to make a New Sword!;Il est temps de créer une nouvelle épée !;;;;;;;;;;;;x
EVTTITcraft.9;A New Sword;Votre épée;;;;;;;;;;;;x
EVTDESCcraft.9;You hitch up to the task, and you start to make your own sword. You quickly create a blade very good bill, but to make it even better, you should renforce it with finest materials. A miner offers to dig to find you the best materials, but it will cost you ...;Vous vous attelez à la tâche, et vous commencez à fabriquer votre propre épée. Vous arrivez rapidement à créer une lame de fort bonne facture, mais pour la rendre encore meilleure, vous devriez la renforcer avec des matériaux plus nobles. Un mineur vous propose de creuser la terre afin de vous trouver les meilleurs matériaux, mais il vous en coutera...;;;;;;;;;;;;x
EVTOPTAcraft.9;This is a low price for a masterpiece.;C'est un prix peu élevé pour un chef d'œuvre!;;;;;;;;;;;;x
EVTOPTBcraft.9;I don't have so much money to waste.;Je n'ai pas autant d'argent à gaspiller.;;;;;;;;;;;;x
EVTTITcraft.10;A Great Sword.;Une Superbe Epée;;;;;;;;;;;;x
EVTDESCcraft.10;After a few weeks of work, you have successfully created your sword. The brilliance of this blade is unique, and its deadly sharp. The miner kept his promise, and you brought ores first qualities, allowing you to create a perfect blend. The sword is ready, and will be the glory of your name.;Après quelques semaines de travail, vous avez créé avec succès votre épée. L'éclat de cette lame est unique, et son tranchant mortel. Le mineur a tenu sa promesse, et vous a ramené des minerais de première qualités, vous permettant de créer un alliage parfait. L'épée est prête, et fera la gloire de votre nom.;;;;;;;;;;;;x
EVTOPTAcraft.10;It's a good sword.;C'est une bonne épée.;;;;;;;;;;;;x
EVTTITcraft.11;You failed;Vous avez échoué;;;;;;;;;;;;x
EVTDESCcraft.11;While you were still working on the sword, the fire of your forge began to fade. The forge has lost effectiveness, and the quality of your metal is felt. The sword is damn, and you can't rework its flaws anymore. You will have to wait for another opportunity to create your masterpiece.;Alors que vous travaillez encore sur l'épée, le feu de votre forge a commencé à s'éteindre. La forge a perdue en efficacité, et la qualité de votre métal s'en est ressenti. L'épée est fichue, et vous ne pourrez pas retravailler ses défauts. Vous devrez attendre une autre occasion pour créer votre chef d'oeuvre.;;;;;;;;;;;;x
EVTOPTAcraft.11;So bad…;Oh non…;;;;;;;;;;;;x
### JEWELS CRAFT;;;;;;;;;;;;;;x
EVTTITcraft.12;To the Workshop;A l'Atelier;;;;;;;;;;;;x
EVTDESCcraft.12;You head to the workshop where you practiced the art of jewelery. Here you have a few raw materials, like gold, silver, but in small quantities. What will you want to do?;Vous vous dirigez vers votre atelier, où vous vous êtes exercé à l'art de la joaillerie. Vous disposez ici d'un peu de matières premières en petite quantité. Que souhaitez-vous faire?;;;;;;;;;;;;x
EVTOPTAcraft.12;I want to make a necklace.;Je veux réaliser un collier.;;;;;;;;;;;;x
EVTOPTBcraft.12;I'll first search after a rare gem.;Je vais d'abord rechercher une pierre précieuse.;;;;;;;;;;;;x
EVTOPTCcraft.12;I won't create anything for now.;Je ne vais pas créer maintenant.;;;;;;;;;;;;x
EVTTITcraft.13;A Necklace;Un Collier;;;;;;;;;;;;x
EVTDESCcraft.13;You've decided to create a necklace, using your skills. Now you start to works with the materials at your disposal, and you realize the base of your collar pretty quickly.;Vous avez décidé de créer un collier, en utilisant vos talents. Vous commencez maintenant à travailler avec les matériaux à votre disposition, et vous réalisez la base de votre collier assez rapidement.;;;;;;;;;;;;x
EVTOPTAcraft.13;This will be a masterpiece.;Ce sera un chef d'œuvre.;;;;;;;;;;;;x
EVTTITcraft.14;A Necklace;Un Collier;;;;;;;;;;;;x
EVTDESCcraft.14;You made the base of your necklace, but now you realize that you don't have enough gems to crimp it properly. You'll have to find new ones, but how?;Vous avez réalisé la base de votre collier, mais vous vous rendez maintenant compte que vous n'avez pas assez de pierres précieuses pour le sertir correctement. Vous allez devoir en trouver de nouvelles, mais par quel moyen?;;;;;;;;;;;;x
EVTOPTAcraft.14;I'll search them by myself!;Je vais les rechercher moi-même !;;;;;;;;;;;;x
EVTOPTBcraft.14;I'll buy some gems to a merchant.;Je vais acheter quelques pierres à un marchand.;;;;;;;;;;;;x
EVTOPTCcraft.14;I don't want to continue this work.;Je ne veux pas continuer ce travail.;;;;;;;;;;;;x
EVTTITcraft.15;Some Gems;Quelques Pierres…;;;;;;;;;;;;x
EVTDESCcraft.15;After nearly two months of prospecting, you've finally found the perfect stone for your necklace. You can now return to your workshop to finish your work.;Après près de deux mois de prospection, vous avez finalement trouvé les pierres parfaites pour votre collier. Vous pouvez maintenant retourner à votre atelier, afin de finir votre oeuvre.;;;;;;;;;;;;x
EVTOPTAcraft.15;Great !;Parfait.;;;;;;;;;;;;x
EVTTITcraft.16;Some Gems;Quelques Pierres…;;;;;;;;;;;;x
EVTDESCcraft.16;After nearly two months of prospecting, you haven't found enough gems to adorn your beautiful necklace. Discouraged, you leave out your crafty talents for some time.;Après près de deux mois de prospection, vous n'avez pas trouvé des pierres suffisamment belles pour orner votre collier. Découragé, vous laissez de côté vos talents d'artisan pour quelques temps.;;;;;;;;;;;;x
EVTOPTAcraft.16;So bad…;Oh non…;;;;;;;;;;;;x
EVTTITcraft.17;Some Gems;Quelques Pierres…;;;;;;;;;;;;x
EVTDESCcraft.17;You quickly found a merchand who had beautiful gemstones. After making your choice, and pay a fee to acquire them, you can return to your shop to finish your work.;Vous avez rapidement trouvé un marchand qui possédait de magnifiques pierres précieuses. Après avoir fait votre choix, et payer une somme modique pour les acquérir, vous pouvez retourner à votre atelier pour finir votre oeuvre.;;;;;;;;;;;;x
EVTOPTAcraft.17;Great !;Parfait.;;;;;;;;;;;;x
EVTTITcraft.18;A Necklace;Un Collier;;;;;;;;;;;;x
EVTDESCcraft.18;After much work, your work is finally completed. The necklace sparkles and shows your expertise to all your peers. You can be proud of your achievement.;Après tant de travail, votre oeuvre est enfin achevée. Le collier brille de mille feux, et affiche votre savoir-faire à tous vos pairs. Vous pouvez être fier de votre réalisation.;;;;;;;;;;;;x
EVTOPTAcraft.18;I'm proud of my skills.;Je suis fier de mon talent.;;;;;;;;;;;;x
EVTTITcraft.19;Fail of your Work;Echec de votre Travail;;;;;;;;;;;;x
EVTDESCcraft.19;You worked hard, but you weren't able to crimp your necklace with the gemstones you get. Whatever you do, the result is not up to your talent. Discouraged, you let your talents aside for a while.;Vous travaillez longuement, mais vous n'arrivez pas à sertir votre collier avec les pierres que vous avez obtenu. Quoique vous fassiez, le résultat n'est pas à la hauteur de votre talent. Découragé, vous laissez vos talents de coté pendant un moment.;;;;;;;;;;;;x
EVTOPTAcraft.19;So bad…;Oh non…;;;;;;;;;;;;x
EVTTITcraft.20;Gem Searching;Recherche d'un Joyau;;;;;;;;;;;;x
EVTDESCcraft.20;You go in search of the gemstone that will allow you to make a masterpiece. It'll certainly take some time to find something that suits you, but this research definitely deserves the time and money you'll put in it.;Vous partez à la recherche de la pierre qui vous permettra de réaliser un chef d'oeuvre. Il vous fera certainement un peu de temps avant de trouver quelquechose qui vous convienne, mais cette recherche vaut certainement le temps et l'argent que vous y mettrez.;;;;;;;;;;;;x
EVTOPTAcraft.20;Go ahead!;En Avant !;;;;;;;;;;;;x
EVTTITcraft.21;A Perfect Gem!;Une Pierre Parfaite !;;;;;;;;;;;;x
EVTDESCcraft.21;After some research, you finally find the perfect stone. It needs to be reworked, but its brightness makes it the perfect gem to make a masterpiece. You can return to your workshop now.;Après quelques recherches, vous trouvez enfin la pierre parfaite. Elle a besoin d'être retravaillée, mais son éclat fait d'elle le joyau parfait pour réaliser un chef d'oeuvre. Vous pouvez retourner à votre atelier maintenant.;;;;;;;;;;;;x
EVTOPTAcraft.21;I know what i'll do with it.;Je sais ce que je vais en faire.;;;;;;;;;;;;x
EVTOPTBcraft.21;I'll sell it.;Je vais la revendre.;;;;;;;;;;;;x
EVTTITcraft.22;No Gems?;Aucune Pierre Précieuse?;;;;;;;;;;;;x
EVTDESCcraft.22;After some research, you weren't able to find the perfect stone. All the stones you've found are too bland, and none has inspired you. You're discouraged, and you won't be ready to return to your workshop before a long time.;Après quelques recherches, vous ne trouvez pas la pierre parfaite. Toutes les pierres que vous avez trouvé sont trop fades, et aucune ne vous a inspiré. Vous êtes découragé, et n'êtes pas prêt à retourner dans votre atelier avant un long moment.;;;;;;;;;;;;x
EVTOPTAcraft.22;Oh no…;Oh non…;;;;;;;;;;;;x
EVTTITcraft.23;A Perfect Gem!;Une Pierre Parfaite !;;;;;;;;;;;;x
EVTDESCcraft.23;You've decided to rework the stone, and you'll polish it, shape it, to give it a more exciting form and an even greater brilliance. If you success in this work, you'll be celebrated as one of the greatest living jewelers.;Vous avez décidé de retravailler la pierre, et vous allez donc la polir, la façonner, afin de lui donner une forme plus exaltante et une brillance encore plus grande. Si vous réussissez ce travail, vous serez célébré comme l'un des plus grands joailliers vivant.;;;;;;;;;;;;x
EVTOPTAcraft.23;A long and perillous work…;Un long et délicat travail…;;;;;;;;;;;;x
EVTTITcraft.24;A Perfect Gem!;Une Pierre Parfaite !;;;;;;;;;;;;x
EVTDESCcraft.24;After a precision work, you managed to reshape the stone as you wanted, and now the gems sparkles like never before. This stone may be present prominently in the treasure of all the rulers of the Middle-Earth.;Après un travail de précision, vous avez réussi à refaçonner la pierre comme vous le souhaitiez, et elle brille maintenant de mille feux. Cette pierre pourrait être présente en bonne place dans le trésor de tous les souverains de la Terre-du-Milieu. ;;;;;;;;;;;;x
EVTOPTAcraft.24;A Great Jewel.;Une Pierre magifique.;;;;;;;;;;;;x
EVTTITcraft.25;Disaster!;Désastre !;;;;;;;;;;;;x
EVTDESCcraft.25;While you were focused on your work, giving specific small strokes on the stone to reshape it, you were suddenly surprised by a falling shelf near you. In your surprise, you made a wrong move, and split the stone in two. Your job is destroyed, you're demoralized and you won't work again before a long time in this workshop.;Alors que vous étiez concentré sur votre travail, donnant de précis petit coups sur la pierre pour la refaçonner, vous êtes soudain surpris par une étagère qui tombe près de vous. Dans votre surprise, vous faites un mauvais geste, et fendez la pierre en deux. Votre travail est détruit, vous êtes démoralisé et ne retravaillerez pas avant un long moment dans cet atelier.;;;;;;;;;;;;x
EVTOPTAcraft.25;Stupid me!;Je suis si idiot !;;;;;;;;;;;;x
EVTTITcraft.26;A Perfect Gem!;Une Pierre Parfaite !;;;;;;;;;;;;x
EVTDESCcraft.26;You brought the stone to your workshop and you've decided to create a brooch to insert the gem. If you manage to accomplish this work, no doubt the greatest lords will want to wear it.;Vous avez ramené la pierre à votre atelier, et avez décidé de créer une broche afin d'y insérer la gemme. Si vous réussissez à accomplir cette oeuvre, nul doute que les plus grands seigneurs voudront la porter.;;;;;;;;;;;;x
EVTOPTAcraft.26;I'll work on it.;Je vais travailler dessus.;;;;;;;;;;;;x
EVTTITcraft.27;A Sparkling Brooch;Une Broche Etincelante;;;;;;;;;;;;x
EVTDESCcraft.27;After a long work, you finally managed to carve the stone correctly, and to include it in your brooch. Now, the jewel sparkles, and it's with pride that you present it around you. You're worthy of your title of craftsman.;Après un long travail, vous avez finalement réussi à tailler la pierre correctement, et à l'inclure dans votre broche. Dorénavant, le bijou brille de mille feux, et c'est avec fierté que vous le présentez à vos proches. Vous êtes digne de votre titre d'artisan.;;;;;;;;;;;;x
EVTOPTAcraft.27;A Great Jewel.;Un Bijou Parfait.;;;;;;;;;;;;x
EVTTITcraft.28;Disaster!;Désastre !;;;;;;;;;;;;x
EVTDESCcraft.28;While working on your brooch, you tried to include your gemstone. Unfortunately, your calculations weren't good, and after forced to crimp the stone, she finds herself cramped, and finally cracked and breaked. Your work is done for, and your morale is low. You neglect the workshop for a while.;Alors que vous travaillez sur votre broche, vous tentez d'y inclure votre pierre précieuse. Malheureusement, vos calculs n'étaient pas bons, et après avoir forcé pour sertir la pierre, elle se retrouve à l'étroit, et finit par se fissurer, puis se briser. Votre travail est fichu, et votre moral est au plus bas. Vous délaissez l'atelier pendant un temps.;;;;;;;;;;;;x
EVTOPTAcraft.28;Stupid me!;Je suis si idiot !;;;;;;;;;;;;x
EVTTITcraft.29;The Gwaith-i-Mirdain;La Gwaith-i-Mirdain;;;;;;;;;;;;x
EVTDESCcraft.29;Once in Eregion, Celebrimbor and some of the best blacksmiths and jewelers of the Noldor gathered to form a fraternity, fully oriented to the research and the manufacture of the finest objects. In this place, the Dwarves of Khazad-Dum and the Noldor were working together, and fashioned the most delicate works of the Second Age. It's within this guild also that Sauron, disguised under the guise of Annatar, helped the Elves of Eregion to forge the Rings of Power. You're a renowned craftsman, and the elves have repossessed Eregion under your rule. It might be wise to rebuild this fraternity, the Gwaith-i-Mirdain, for the Glory of the Noldor. What do you think?;Autrefois, en Eregion, Celebrimbor et certains des meilleurs forgerons et joailliers elfes  se sont réunis pour former une fraternité, entièrement tournée vers la recherche et la confection des plus beaux objets possibles. Dans ce lieu, les Nains de Khazad-Dûm et les Noldor travaillaient de concert, et façonnaient les ouvrages les plus délicates du Second Âge. C'est au sein de cette guilde également, que Sauron, déguisé sous les traits d'Annatar, a aidé les Elfes d'Eregion a forgé les Anneaux de Pouvoir. Vous êtes un artisan renommé, et les elfes ont repris possession de l'Eregion. Il serait peut-être avisé de refonder cette fraternité, le Gwaith-i-Mirdain, qu'en pensez-vous?;;;;;;;;;;;;x
EVTOPTAcraft.29;I shall rebuild this fraternity.;Je devrais rebatir cette fraternité.;;;;;;;;;;;;x
EVTOPTBcraft.29;I've got other priorities;J'ai d'autres priorités.;;;;;;;;;;;;x
EVTTITcraft.30;The Gwaith-i-Mirdain;La Gwaith-i-Mirdain;;;;;;;;;;;;x
EVTDESCcraft.30;You're going to rebuild the brotherhood of Gwaith-i-Mirdain, but alone, you will not get anywhere. You should call in Ost-in-Edhil some of the best craftsmen of your realm.;Vous vous apprêtez à rebatir la fraternité du Gwaith-i-Mirdain, mais seul, vous n'arriverez à rien. Vous devriez appeler certains des meilleurs artisans de votre royaume à venir s'installer à Ost-in-Edhil.;;;;;;;;;;;;x
EVTOPTAcraft.30;It's time to gather our craftsmen!;Il est temps de réunir nos artisans !;;;;;;;;;;;;x
EVTTITcraft.31;The Gwaith-i-Mirdain;La Gwaith-i-Mirdain;;;;;;;;;;;;x
EVTDESCcraft.31;Several artisans of high quality responded to your call, and came to Ost-in-Edhil. It seems that your project can be created quickly now!;Plusieurs artisans de grande qualité ont répondu à votre appel, et sont venus à Ost-in-Edhil. Il semble que votre projet puisse voir le jour rapidement maintenant !;;;;;;;;;;;;x
EVTOPTAcraft.31;Great !;Parfait!;;;;;;;;;;;;x
EVTTITcraft.32;The Gwaith-i-Mirdain;La Gwaith-i-Mirdain;;;;;;;;;;;;x
EVTDESCcraft.32;There's no good artisans who joined your call, and nobody seems to be interested in the Gwaith-i-Mirdain. It seems that your project can't be created now...;Plusieurs artisans de grande qualité ont répondu à votre appel, et sont venus à Ost-in-Edhil. Il semble que votre projet puisse voir le jour rapidement maintenant !;;;;;;;;;;;;x
EVTOPTAcraft.32;So bad…;Oh non…;;;;;;;;;;;;x
EVTTITcraft.33;The Gwaith-i-Mirdain;La Gwaith-i-Mirdain;;;;;;;;;;;;x
EVTDESCcraft.33;Now that several artisans have joined you, it's time to rebuild the Gwaith-i-Mirdain. This famous brotherhood will for sure increase your business, and give back to the Noldor smiths the great reputation they had. However, you must not repeat the mistakes of the past, and many people continue to fear an excess of power in your accomplishments.;Maintenant que plusieurs artisans se sont joins à vous, il est temps de rebatir la Gwaith-i-Mirdain. Cette confrérie renommée permettra à coup sur d'augmenter votre commerce, et de redonner aux Noldor la réputation de grands forgerons qu'ils avaient. Vous devrez cependant ne plus reproduire les erreurs de jadis, et nombreux sont ceux qui continueront à craindre un excès de pouvoir dans vos réalisations.;;;;;;;;;;;;x
EVTOPTAcraft.33;Time to recreate the Brotherhood !;;;;;;;;;;;;;x
EVTOPTBcraft.33;Only Celebrimbor was able to create it…;Seul Celebrimbor était capable de la diriger.;;;;;;;;;;;;x
EVTTITcraft.100;Craft an Object;Créer un Objet;;;;;;;;;;;;x
EVTDESCcraft.100;You are a craftsman, and as such, you are able to create objects of great value. What action would you like to achieve?;Vous êtes un artisan, et en tant que tel, vous êtes capable de réaliser des objets de grande valeur. Quelle action souhaitez-vous réaliser?;;;;;;;;;;;;x
EVTOPTAcraft.100;I'll forge a Sword!;Je vais forger une Epée!;;;;;;;;;;;;x
EVTOPTBcraft.100;I'll create a Great Jewel!;Je vais créer un Superbe Bijou !;;;;;;;;;;;;x
EVTOPTCcraft.100;I'll rebuild the Gwaith-i-Mirdain !;Je vais recréer le Gwaith-i-Mirdain !;;;;;;;;;;;;x
EVTOPTDcraft.100;There's nothing i want to forge.;Il n'y a rien que je veuille forger.;;;;;;;;;;;;x
