#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTTITcouncilgondor.0;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTTITcouncilgondor.3;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.3;[From.GetTitle] [From.GetFirstName] refused to join the Council of Gondor.;[From.GetTitle] [From.GetFirstName] refuse de rejoindre le Conseil du Gondor.;;;;;x
EVTOPTAcouncilgondor.3;I'll remember this.;Je m'en souviendrais.;;;;;x
EVTTITcouncilgondor.4;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.4;The Council of Gondor met within the walls of the Citadel of Minas Tirith. Many topics can be studied, and as the Lord of Gondor, it's up to you to submit a proposal to the Council vote. What will you ask to the Captains of the Kingdom?;Le Conseil du Gondor s'est réuni, dans l'enceinte de la Citadelle de Minas Tirith. Plusieurs sujets peuvent être étudiés, et en tant que dirigeant du Gondor, c'est à vous de soumettre une proposition au vote du Conseil. Qu'allez-vous demander aux Capitaines du Royaume?;;;;;x
EVTOPTAcouncilgondor.4;I want to improve the Power of the Steward.;Je veux augmenter la Puissance de l'Intendant.;;;;;x
EVTOPTBcouncilgondor.4;I want to declare a new war for Gondor.;Je veux déclarer une Guerre pour le Gondor !;;;;;x
EVTOPTCcouncilgondor.4;I want to stronger the defenses of Minas Tirith.;Je veux augmenter la défense de Minas Tirith.;;;;;x
EVTOPTDcouncilgondor.4;I want to find the Heir of Isildur.;Je veux trouver l'Héritier d'Isildur.;;;;;x
EVTTITcouncilgondor.5;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.5;The Steward of Gondor has asked the Council for permission to increase its power over the lands of Gondor. This should allow Gondor to be better managed if the Steward is able. What do you vote?;L'Intendant du Gondor a demandé au Conseil l'autorisation d'augmenter son pouvoir sur les terres du Gondor. Cela devrait permettre au Gondor d'être mieux dirigé, si l'Intendant en est capable. Que votez-vous?;;;;;x
EVTOPTAcouncilgondor.5;I vote for this proposal.;Je vote pour cette proposition.;;;;;x
EVTOPTBcouncilgondor.5;I vote against this proposal.;Je vote contre cette proposition.;;;;;x
EVTDESCcouncilgondor.6;"It is the turn of [From.GetTitle] [From.GetFirstName] to vote for your proposal. [From.GetFirstName] rises, and with a loud voice, that each captain can hear clearly, proclaims: ""I vote for the proposal.""";"C'est au tour de [From.GetTitle] [From.GetFirstName] de voter pour votre proposition. [From.GetFirstName] se lève, et d'une voix forte, que chaque capitaine peut entendre clairement, proclame : ""Je vote pour la Proposition"".";;;;;x
EVTOPTAcouncilgondor.6;Thanks, [From.GetFirstName];Merci, [From.GetFirstName];;;;;x
EVTDESCcouncilgondor.7;"It is the turn of [From.GetTitle] [From.GetFirstName] to vote for your proposal. [From.GetFirstName] rises, and with a loud voice, that each captain can hear clearly, proclaims: ""I vote against the proposal.""";"C'est au tour de [From.GetTitle] [From.GetFirstName] de voter pour votre proposition. [From.GetFirstName] se lève, et d'une voix forte, que chaque capitaine peut entendre clairement, proclame : ""Je vote contre la proposition"".";;;;;x
EVTOPTAcouncilgondor.7;I see, [From.GetFirstName];Très bien, [From.GetFirstName];;;;;x
EVTTITcouncilgondor.8;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.8;Each Captain of Gondor has voted, and it's now time to do the accounts. Was your proposal accepted by the Council of Gondor?;Chaque Capitaine du Gondor a voté, et il est temps maintenant de faire les comptes. Votre proposition a-t-elle été acceptée par le Conseil du Gondor?;;;;;x
EVTOPTAcouncilgondor.8;The Result is…;Le Résultat est …;;;;;x
EVTTITcouncilgondor.10;Proposal passed!;Proposition Votée !;;;;;x
EVTDESCcouncilgondor.10;In their great wisdom, the Captains of Gondor have accepted your proposal and your power over the Territories of Gondor now sees increased. You're now more powerful, but the Lords of Gondor will less easily forgive you your excess. You should be a wise ruler.;Dans leur grande sagesse, les Capitaines du Gondor ont accepté votre proposition, et votre pouvoir sur les Territoires du Gondor s'en voit dès maintenant augmenté. Vous êtes maintenant plus puissant, mais les Seigneurs du Gondor ne vous pardonneront moins facilement vos excès... Il vous faudra être un sage dirigeant.;;;;;x
EVTOPTAcouncilgondor.10;Thanks to you, Lords of Gondor.;Merci à vous, Seigneurs du Gondor.;;;;;x
EVTTITcouncilgondor.9;Proposal not passed!;Proposition non Votée !;;;;;x
EVTDESCcouncilgondor.9;In their Great Wisdom, the Captains of Gondor have decided that you weren't worthy of having more control over the lands of Gondor. Their vote is rotated in the general interest of Gondor, and you can only accept this decision ... For the moment.;Dans leur grande sagesse, les Capitaines du Gondor ont décidé que vous n'étiez pas digne d'avoir plus de pouvoir sur les terres du Gondor. Leur vote est tourné dans l'interêt général du Gondor, et vous ne pouvez qu'accepter cette décision... Pour le moment.;;;;;x
EVTOPTAcouncilgondor.9;I understand your vote.;Je comprends votre vote.;;;;;x
EVTTITcouncilgondor.11;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.11;You have decided to seek the vote of the Council to attack one of your enemies. But which one do you want to attack?;Vous avez décidé de demander l'autorisation au Conseil pour attaquer un de vos ennemis. Mais lequel voulez-vous attaquer?;;;;;x
EVTOPTAcouncilgondor.11;I'll re-conquer Umbar!;Je vais reconquérir Umbar !;;;;;x
EVTOPTBcouncilgondor.11;Harondor should be in the realm.;L'Harondor doit être dans le Royaume.;;;;;x
EVTOPTCcouncilgondor.11;Near-Harad is my target.;Le Proche-Harad est ma cible.;;;;;x
EVTOPTDcouncilgondor.11;Middle-Harad is my target.;Le Moyen-Harad est ma cible.;;;;;x
EVTOPTEcouncilgondor.11;Far-Harad is my target.;Le Lointain-Harad est ma cible.;;;;;x
EVTOPTFcouncilgondor.11;Mordor should be destroy.;Le Mordor doit être détruit.;;;;;x
EVTTITcouncilgondor.14;Proposal passed!;Proposition Votée !;;;;;x
EVTDESCcouncilgondor.14;In their great wisdom, the Captains of Gondor have accepted your proposal and now, it's time to raise the armies to go to war. Too long, these ennemies has threatened you, and it's time to show them the Glory of Gondor.;Dans leur grande sagesse, les Capitaines du Gondor ont accepté votre proposition, et il est maintenant temps de lever les armées. Trop longtemps, vos ennemis ont été une menace, et ils vont maintenant découvrir la Gloire du Gondor !;;;;;x
EVTOPTAcouncilgondor.14;Thanks to you, Lords of Gondor.;Merci à vous, Seigneurs du Gondor.;;;;;x
EVTTITcouncilgondor.13;Proposal not passed!;Proposition non Votée !;;;;;x
EVTDESCcouncilgondor.13;In their Great Wisdom, the Captains of Gondor have decided that the Kingdom shouldn't be at War for now. The realm isn't as strong as they want to raise the armies, and they think that you won't be a good commander for them.;Dans leur grande sagesse, les Capitaines du Gondor ont décidé que le Royaume était trop faible pour entrer en guerre, et que vous n'étiez pas assez bon commandant pour mener un conflit. Ils ont ainsi décidé de ne pas lever les troupes.;;;;;x
EVTOPTAcouncilgondor.13;I understand your vote.;Je comprends votre vote.;;;;;x
EVTTITcouncilgondor.15;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.15;The Steward of Gondor has asked the Council for permission to declare war on one of the ennemies of the Kingdom. He told the council that it's time to show the true Strength of Gondor, and claim some new lands for our men. What will you vote?;L'Intendant du Gondor a demandé au Conseil l'autorisation de déclarer la guerre à l'un des ennemis du Royaume. Il a déclaré au Conseil qu'il était temps de montrer la Force du Gondor, et de réclamer de nouvelles terres pour nos Hommes. Qu'allez-vous voter?;;;;;x
EVTOPTAcouncilgondor.15;I vote for this proposal.;Je vote pour cette proposition.;;;;;x
EVTOPTBcouncilgondor.15;I vote against this proposal.;Je vote contre cette proposition.;;;;;x
EVTDESCcouncilgondor.17;In their Great Wisdom, the Captains of Gondor have decided that they can't send more armies in the capital to stronger its defenses. They needs all their men in their own citadels to defendes their territories, and think that they'll be more usefull in these lands.;Dans leur grande sagesse, les Capitaines du Gondor ont décidé de ne pas envoyer de troupes pour renforcer les défenses du Gondor. Ils préfèrent garder leurs hommes à l'intérieur de leurs propres citadelles, afin de défendre les territoires dont ils ont la charge.;;;;;x
EVTOPTAcouncilgondor.17;I understand your vote.;Je comprends votre vote.;;;;;x
EVTTITcouncilgondor.18;Proposal passed!;PropositionVotée !;;;;;x
EVTDESCcouncilgondor.18;In their great wisdom, the Captains of Gondor have accepted your proposal and are sending more troops to defens your capital against the ennemies of Gondor. With them, your defenses are stronger.;Dans leur grande sagesse, les Capitaines du Gondor ont accepté votre proposition, et ont envoyé des troupes pour renforcer la capitale contre les ennemis du Gondor. Avec eux, vos défenses sont plus solides, et vos propres hommes se sentent moins déprimés.;;;;;x
EVTOPTAcouncilgondor.18;Thanks to you, Captains of Gondor.;Merci à vous, Capitaines du Gondor.;;;;;x
EVTTITcouncilgondor.20;The Council of Gondor;Le Conseil du Gondor;;;;;x
EVTDESCcouncilgondor.20;You want to find the heir of Isildur, to give him the throne of Gondor, as a legitimate heir. You submit this vote to the Council, asking them to make the best decision for Gondor.;Vous souhaitez rechercher l'héritier d'Isildur, afin de lui donner le trône du Gondor, en tant qu'héritier légitime. Vous soumettez donc ce vote au conseil, leur demandant de prendre la meilleure décision possible pour le Gondor.;;;;;x
EVTOPTAcouncilgondor.20;I want to see the Return of the King!;Je veux voir le retour du Roi !;;;;;x
EVTDESCcouncilgondor.22;In their great wisdom, the Captains of Gondor decided that the Heir of Isildur wasn't worthy of becoming the King of Gondor, and you're asked  to not go looking for him. The Return of the King is not for now.;Dans leur grande sagesse, les Capitaines du Gondor ont décidé que l'Héritier d'Isildur n'était pas digne de devenir le Roi du Gondor, et vous ont donc demandé de ne pas partir à sa recherche. Le Retour du Roi n'est pas pour aujourd'hui.;;;;;x
EVTOPTAcouncilgondor.22;I understand your vote.;Je comprends votre vote.;;;;;x
EVTDESCcouncilgondor.23;In their wisdom, the Captains of Gondor have accepted your proposal, and asked you to make every effort to find the Heir of Isildur, and to offer him the throne of Gondor. It's now time to start this search.;Dans leur grande sagesse, les Capitaines du Gondor ont accepté votre proposition, et  vous ont demandé de tout mettre en oeuvre pour retrouver la trace de l'Héritier d'Isildur, afin de lui proposer le trône du Gondor. Il est maintenant temps de commencer cette recherche.;;;;;x
EVTOPTAcouncilgondor.23;I'll send some men in the North;Je vais envoyer quelques Hommes dans le Nord.;;;;;x
EVTTITcouncilgondor.24;The Heir of Isildur;L'Héritier d'Isildur;;;;;x
EVTDESCcouncilgondor.24;After several weeks of research in the North, your men found traces of the heir of Isildur. Now is the time to send him a message ...;Après plusieurs semaines de recherches dans le Nord, vos hommes ont trouvé la trace de l'héritier d'Isildur. Il est maintenant temps de lui envoyer un message...;;;;;x
EVTOPTAcouncilgondor.24;I'll ask him to take the Throne of Gondor.;Je vais lui demander de prendre le Trône du Gondor.;;;;;x
EVTDESCcouncilgondor.25;After several weeks of research in the North, your men didn't find any traces of the heir of Isildur. It seems that the line of the Kings is lost.;Après plusieurs semaines de recherches dans le Nord, vos hommes n'ont pas trouvé la trace de l'héritier d'Isildur. Il semble que la lignée des Rois se soit perdue…;;;;;x
EVTOPTAcouncilgondor.25;I hope that the line isn't broken.;J'espère que la lignée n'est pas brisée.;;;;;x
EVTDESCcouncilgondor.26;A messenger comes a day in your camp, wearing a uniform emblazoned with the White Tree of Gondor. He tells you that he's the bearer of a message from the Steward of Gondor, and this message should be delivered to the Heir of Isildur himself. You present yourself as such and take the sealed parchment. Inside is written a long text telling you that the Council of Gondor invites you to come in the South Kingdom of the Numenoreans, to take the throne that rightfully belongs to your lineage. What will you do?;Un messager arrive un jour dans votre campement, portant un uniforme arborant l'Arbre Blanc du Gondor. Il vous annonce qu'il est porteur d'un message de l'Intendant du Gondor, et que ce message ne doit être remis qu'à l'Héritier d'Isildur en personne. Vous vous présentez comme tel, et prenez le parchemin scellé. A l'intérieur, est écrit un long texte, vous annonçant que le Conseil du Gondor vous invite à vous rendre au Royaume du Sud, afin d'accepter de prendre le trône qui revient de droit à votre lignée. Qu'allez-vous faire?;;;;;x
EVTOPTAcouncilgondor.26;It's my destiny.;C'est mon destin.;;;;;x
EVTOPTBcouncilgondor.26;I'm not a King.;Je ne suis un Roi.;;;;;x
EVTDESCcouncilgondor.27;While you no longer hoping a response from the Heir of Isildur, the bells of the city began to ring. A troop comes from North, brandishing the banner of the King of Gondor. At its head, a tall rider moves towards the capital of Gondor. Finally, the Heir of Isildur accepted the fate of his lineage, and just come to take what rightfully his. You go out to meet him, and give him symbolically the Scepter of the Stewards, symbol of your power among Gondor. He accept it, and give it back to you, as a thank you for your lineage, and holds the Scepter of Annuminas, symbol of the Kings of Arnor. The Return of the King is finally becoming reality.;Alors que vous n'espériez plus une réponse de l'Héritier d'Isildur, les cloches de la ville se mettent à sonner. Une troupe arrive du Nord, brandissant l'étendard du Roi du Gondor. A sa tête, un cavalier de haute stature s'avance vers la capitale du Gondor. Finalement, l'Héritier d'Isildur a accepté le destin de sa lignée, et vient prendre ce qui lui revient de droit. Vous sortez à sa rencontre, et lui remettez symboliquement le Baton des Intendants, symbole de votre pouvoir. Il vous le rend, en guise de remerciement pour votre lignée, et brandit devant lui le Sceptre d'Annuminas, symbole des Rois d'Arnor. Le Retour du Roi devient enfin réalité.;;;;;x
EVTOPTAcouncilgondor.27;Welcome in your Kingdom, my King.;Bienvenue dans votre Royaume, mon Roi.;;;;;x
EVTDESCcouncilgondor.28;The weeks pass without response from the Heir of Isildur. One day, finally, your messenger returns gloomily. The legitimate King refused to take the crown, and your line will therefore continue to ensure the regency of Gondor.;Les semaines passent, sans réponse de la part de l'Héritier d'Isildur. Finalement, votre messager revient, l'air sombre. Le Roi légitime a refusé de prendre la couronne, et votre lignée devra donc continuer d'assurer la régence du Gondor.;;;;;x
EVTOPTAcouncilgondor.28;This is my fate to be the Steward of Gondor.;C'est ma destinée d'être Intendant du Gondor.;;;;;x
EVTTITcouncilgondor.29;The Return of the King;Le Retour du Roi;;;;;x
EVTDESCcouncilgondor.29;Finally, the line of Isildur inherits the throne of Gondor. You go on the heights of Minas Tirith, and there lend your oath, swearing loyalty to Gondor and its people. The people are cheering. The return of the King is finally a reality.;Finalement, la lignée d'Isildur hérite du Trône du Gondor. Vous vous rendez sur les hauteurs de Minas Tirith, et y prêtez votre serment, jurant fidélité au Gondor et à son peuple. Le peuple est en liesse, le retour du Roi est enfin une réalité.;;;;;x
EVTOPTAcouncilgondor.29;I'm the True King.;Je suis le véritable Roi du Gondor.;;;;;x
EVTDESCcouncilgondor.30;A new comes from Gondor: The Return of the King on the throne of Anarion! The people of Gondor is cheering, and the Kingdom is about to find a new golden age.;Une nouvelle vient du Gondor : le Retour d'un Roi sur le trône d'Anarion! Le peuple du Gondor est en liesse, et le Royaume s'apprête à retrouver un âge d'or, selon toute vraisemblance.;;;;;x
EVTOPTAcouncilgondor.30;Great news!;Une très bonne nouvelle.;;;;;x
EVTOPTBcouncilgondor.30;Bad news...;Une sombre nouvelle…;;;;;x
EVTDESCcouncilgondor.31;You go to Minas Tirith, to participate in an important event: the Coronation of the King of Gondor. The Lineage of Isildur finally found the way to the Kingdom of the South, and your heart is celebrating the idea that the ??Gondor finally find his true power and glory.;Vous vous rendez à Minas Tirith, afin de participer à un événement que vous n'esperiez plus : le Sacre du Roi du Gondor. La Lignée d'Isildur a enfin trouvée le chemin du Royaume du Sud, et votre coeur est en fête à l'idée de voir le Gondor retrouver enfin sa véritable puissance et gloire.;;;;;x
EVTOPTAcouncilgondor.31;This is my King.;C'est mon Roi !;;;;;x
