#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITfrodo.1;Towards Mordor;Vers le Mordor!;;;;;;;;;;;;x
EVTDESCfrodo.12;Sam bursts into the room wielding sting, he has come to rescue you! He kills the last few orcs, and together, you make it out of the fortress.;Sam fait irruption dans la pièce, brandissant Sting ! Il est venu vous sauver ! Il arrive à tuer les Orques restants, alors que des bruits de combats se font entendre dans la Tour. Vous vou échappez ensemble, et reprenez l'Anneau qu'il avait protégé.;;;;;;;;;;;;x
EVTOPTAfrodo.12;Now for the final step of the quest...;Maintenant, la dernière étape de notre Quête.;;;;;;;;;;;;x
EVTTITfrodo.13;Mt.Doom;La Montagne du Destin;;;;;;;;;;;;x
EVTDESCfrodo.13;After a torturous journey, half delirious, you finally reach Mt.Doom. Yet in the end, you cannot do it. The ring... your preciousss... and then something attacks you from behind!;Après un voyage épuisant, vous atteignez la Montagne du Destin à moitié fou. Mais là, à la fin, vous n'y arrivez pas. L'Anneau… Votre Précieux… Vous entendez quelquechose approcher de vous par derrière...;;;;;;;;;;;;x
EVTOPTAfrodo.13;Wait - Gollum - no! I'm your master!;Gollum, non! Je suis votre Maître!;;;;;;;;;;;;x
EVTTITfrodo.14;Mt.Doom;La Montagne du Destin;;;;;;;;;;;;x
EVTDESCfrodo.14;While trying to take the Ring from you, you struggle with gollum, until he finally falls into the chasm with the ring. It... it's over... !;Vous vous battez avec Gollum, alors qu'il essaie de vous prendre l'Anneau. Soudain, il tombe dans la lave avec l'Anneau. C'est… C'est fini … !;;;;;;;;;;;;x
EVTOPTAfrodo.14;We made it!;Nous avons réussi!;;;;;;;;;;;;x
EVTTITfrodo.15;Mt.Doom;La Montagne du Destin;;;;;;;;;;;;x
EVTDESCfrodo.15;While trying to take the Ring from you, you struggle with gollum, until he finally takes the ring and escapes with it. It's... over... !;Vous vous battez avec Gollum, alors qu'il essaie de vous prendre l'Anneau. Soudain, il arrive à ses fins et s'ennuie avec l'Anneau. C'est… C'est fini…?;;;;;;;;;;;;x
EVTOPTAfrodo.15;I'm so tired... I'll just...;Je suis épuisé… Je vais juste…;;;;;;;;;;;;x
EVTTITfrodo.16;Your eye is roving;L'Œil du Mordor;;;;;;;;;;;;x
EVTDESCfrodo.16;While your eye is fixed on the upstart king of Gondor and his armies, suddenly you feel fear for the first time in centuries. Your ring... it is... being destroyed!;Alors que votre Œil est fixé sur le Roi du Gondor et ses armées, vous ressentez soudainement une peur terrible, telle que vous n'avez pas ressenti depuis des Âges. Votre Anneau… a été… détruit !;;;;;;;;;;;;x
EVTOPTAfrodo.16;Noooooooooo!!!;Noooooon !!;;;;;;;;;;;;x
EVTTITfrodo.17;Sauron is defeated;Sauron a été vaincu!;;;;;;;;;;;;x
EVTDESCfrodo.17;The Dark Lord has been destroyed - all is woe! Mordor is now leaderless, you must do what you can to hold on to your own lands!;Le Seigneur Noir a été détruit, tout est perdu! Le Mordor n'a désormais plus de maitre, vous devez faire ce que vous pouvez pour préserver votre Royaume!;;;;;;;;;;;;x
EVTOPTAfrodo.17;Curses!;Malédiction!;;;;;;;;;;;;x
EVTTITfrodo.18;Sauron is defeated;Sauron a été vaincu!;;;;;;;;;;;;x
EVTDESCfrodo.18;The Dark Lord has been destroyed - your life also was tied to the power of the One Ring - you feel your spirit dissipating!;Le Seigneur Noir a été détruit, votre destin ayant été lié à celui de l'Anneau, vous sentez votre force et votre esprit se dissiper…;;;;;;;;;;;;x
EVTOPTAfrodo.18;Noooo!!!;Noooon !!!;;;;;;;;;;;;x
EVTTITfrodo.19;Sauron is defeated;Sauron a été vaincu!;;;;;;;;;;;;x
EVTDESCfrodo.19;Word spreads like wildfire throughout Middle-Earth. The forces of good have prevailed, and managed to destroy the One Ring! Mordor is in disarray, but elsewhere in the West, victory bells ring day and night!;La Nouvelle se répond comme une trainée de poudre à travers la Terre du Milieu. Les Peuples Libres ont réussi à détruire l'Anneau Unique ! Le Mordor est en désarroi, mais partout à l'Ouest, les cloches de la Victoire résonnent jour et nuit!;;;;;;;;;;;;x
EVTOPTAfrodo.19;A New Age dawns!;Un Nouvel Âge commence!;;;;;;;;;;;;x
EVTOPTBfrodo.19;A curse be upon them!;Maudits soient-ils!;;;;;;;;;;;;x
EVTTITfrodo.20;Sauron is defeated;Sauron a été vaincu!;;;;;;;;;;;;x
EVTDESCfrodo.20;With Sauron finally defeated, the fellowship can disband, and you can all return to your homes as heroes!;Avec Sauron et l'Anneau détruits, votre Communauté peut maintenant se dissoudre, et vous pouvez retourner chez vous, loués comme des Héros !;;;;;;;;;;;;x
EVTOPTAfrodo.20;At last!;Enfin!;;;;;;;;;;;;x
EVTTITfrodo.21;The Ring has been found!;L'Anneau a été découvert!;;;;;;;;;;;;x
EVTDESCfrodo.21;Two witless halflings tried to enter Mordor, and they brought you a mighty gift - your Ring! Your orcs captured them, and now, at long last, you are whole again!;Deux semi-hommes ont tentés d'entrer au Mordor, et ils apportaient avec eux un puissant cadeau… Votre Anneau! Vos orques les ont capturés, et maintenant, enfin, vous revoila complet!;;;;;;;;;;;;x
EVTOPTAfrodo.21;I feel so alive!;Je me sens vivant !;;;;;;;;;;;;x
EVTTITfrodo.22;Sauron has won;Sauron est vainqueur!;;;;;;;;;;;;x
EVTDESCfrodo.22;The quest for Mt.Doom has failed - a dark cloud is spreading from mordor, cloaking the land in darkness. Sauron has regained his ring! It will not be long now, until he rules all...;La Quête de la Montagne du Destin a échouée… Un nuage noir s'échappe du mordor, enfermant les terres dans les ténèbres. Sauron a de nouveau son Anneau! Dans peu de temps maintenant, il dominera toute vie…;;;;;;;;;;;;x
EVTOPTAfrodo.22;Oh dear...;Oh non…;;;;;;;;;;;;x
EVTOPTBfrodo.22;Darkness shall overcome all!;Les Ténèbres domineront tout!;;;;;;;;;;;;x
EVTTITfrodo.23;Sauron has won;Sauron est vainqueur!;;;;;;;;;;;;x
EVTDESCfrodo.23;With Sauron having regained his ring, the fellowship has failed. You should return to your homes, while you still can...;Sauron a retrouvé son Anneau, la Communauté a échouée. Vous devriez retourner chez vous, tant que vous le pouvez encore…;;;;;;;;;;;;x
EVTOPTAfrodo.23;No!!!;Nous avons été indignes de la confiance d'Elrond…;;;;;;;;;;;;x
EVTTITfrodo.24;The Ring has been found!;L'Anneau a été découvert!;;;;;;;;;;;;x
EVTDESCfrodo.24;A somewhat familiar skulking creature was found trying to leave your realm. Your orcs captured it and found your ring, and now, at long last, you are whole again!;Une créature familière a été découverte, essayant de fuir votre royaume. Vos orques l'ont capturé, et ont découvert l'Anneau. Maintenant, enfin, vous revoila complet!;;;;;;;;;;;;x
EVTOPTAfrodo.24;I feel so alive!;Je me sens si vivant !;;;;;;;;;;;;x
EVTTITfrodo.26;Towards Mordor;Vers le Mordor!;;;;;;;;;;;;x
EVTDESCfrodo.26;After hiding for ages, you can delay no longer. Gondor seems to have been defeated, and Ithilien is thick with enemy troops. Now is your last chance.;Après vous être caché longuement, vous ne pouvez attendre plus. Le Gondor semble avoir été défait, et l'Ithilien est infesté par les troupes ennemies. C'est maintenant votre dernière chance.;;;;;;;;;;;;x
EVTOPTAfrodo.26;I'm so scared...;J'ai tellement peur…;;;;;;;;;;;;x
EVTTITfrodo.27;The secret stair;L'Escalier Secret;;;;;;;;;;;;x
EVTDESCfrodo.27;While climbing the steps of Cirith Ungol and into a hidden passage, you are attacked by Shelob! You wake up to find Orcs have captured you!;Alors que vous avez grimpé l'Escalier et que vous êtes entré dans la Passe de Cirith Ungol, Arachne vous attaque! Vous vous réveillez en découvrant que les Orques vous ont capturés!;;;;;;;;;;;;x
EVTOPTAfrodo.27;Oh no, they took the ring!;Oh non, ils ont l'Anneau!;;;;;;;;;;;;x
EVTTITfrodo.28;Sauron is destroyed;Sauron est détruit !;;;;;;;;;;;;x
EVTDESCfrodo.28;With Sauron destroyed, the power of your own ring fades - you are no longer a Nazgul, and you are no longer immortal either!;Avec la destruction de Sauron, le pouvoir de votre propre Anneau s'est évaporé. Vous n'êtes plus un Nazgul, ne dépendez plus de l'Unique, mais n'êtes plus immortel… Votre fin est proche.;;;;;;;;;;;;x
EVTOPTAfrodo.28;Noooooooo !;Noooooon !;;;;;;;;;;;;x
EVTDESCfrodo.29;Sauron is destroyed, and his armies fled eastward, away from your restored glory. Lands of Ithilien can now be taken over by your men without great effort, and you should appoint a Lord to govern this new Demesne.;Sauron est détruit, et ses armées s'enfuient vers l'Est, loin de votre gloire restaurée. Les Terres de l'Ithilien peuvent maintenant être reprises par vos hommes sans grandes efforts, et vous devriez nommer un Seigneur pour gouverner ce nouveau domaine. ;;;;;;;;;;;;x
EVTTITfrodo.29;Reconstruction of Ithilien;Reconstruction de l'Ithilien;;;;;;;;;;;;x
EVTOPTAfrodo.29;The House of the Stewards will rule these lands!;La Maison des Intendants gouvernera ces terres.;;;;;;;;;;;;x
EVTOPTBfrodo.29;I'll needs more time… i'll rule these lands myself for some years.;J'ai besoin de plus de temps… Je gouvernerais en attendant…;;;;;;;;;;;;x
EVTTITfrodo.30;Reconstruction of Ithilien;Reconstruction de l'Ithilien;;;;;;;;;;;;x
EVTDESCfrodo.30;Ithilien is again a part of Gondor, and you are the Lord of this land. You should start reconstruction work quickly, and restore these lands on their former glory.;L'Ithilien est de nouveau une partie du Gondor, et vous en êtes le Seigneur. Vous devriez commencer le travail de reconstruction rapidement, et redonner à ces terres leur gloire de jadis.;;;;;;;;;;;;x
EVTOPTAfrodo.30;I will purify Minas Ithil!;Je vais purifier Minas Ithil !;;;;;;;;;;;;x
EVTTITfrodo.31;Gimli ask you to rules Aglarond;Gimli demande à être le Seigneur d'Aglarond;;;;;;;;;;;;x
EVTDESCfrodo.31;During his journey with the Fellowship, Gimli discovered the Glittering Caves of Aglarond, and fell in love of this place. He now wants to bring together a company of Dwarves of Erebor to settle in this place. Will you let him travel to Aglarond?;Durant son voyage avec la Communauté, Gimli a découvert les Cavernes Etincelantes d'Aglarond, et en est tombé amoureux. Il souhaite réunir une compagnie de nains d'Erebor pour aller s'installer dans ce lieu. Allez-vous le laissez faire?;;;;;;;;;;;;x
EVTOPTAfrodo.31;We needs to ask the King of Rohan.;Nous devons demander au Roi du Rohan.;;;;;;;;;;;;x
EVTOPTBfrodo.31;No, i need him here.;Non, j'ai besoin de lui ici.;;;;;;;;;;;;x
EVTTITfrodo.32;Dwarves in our Kingdom?;Des Nains dans le Royaume?;;;;;;;;;;;;x
EVTDESCfrodo.32;Some messengers from the mighty King of the line of Durin reached Meduseld. They ask permission to install a community of dwarves in the Glittering Caves of Aglarond under the rule of Gimli, son of Gloin. What do you say?;Des messagers en provenance du puissant Roi de la lignée de Durin sont arrivés à Meduseld. Ils demandent l'autorisation d'installer une Communauté de Nains dans les Cavernes Etincelantes d'Aglarond, sous le contrôle de Gimli, fils de Gloin. Qu'en dites-vous?;;;;;;;;;;;;x
EVTOPTAfrodo.32;Gimli is a friend of Rohan. He can rule Aglarond!;Gimli est un ami du Rohan. Qu'il Gouverne Aglarond !;;;;;;;;;;;;x
EVTOPTBfrodo.32;Aglarond is a part of Rohan, and a treasure of my House!;Aglarond est une partie du Rohan, et un trésor de ma Maison!;;;;;;;;;;;;x
EVTTITfrodo.33;An Answer from Rohan;Une Réponse du Rohan;;;;;;;;;;;;x
EVTDESCfrodo.33;The King of Rohan sent his answer, and allows you to install a colony of dwarves in Aglarond. You can now give your final answer to Gimli.;Le Roi du Rohan a envoyé sa réponse, et vous autorise à installer une colonie de nains en Aglarond. Vous pouvez maintenant donner votre réponse finale à Gimli.;;;;;;;;;;;;x
EVTOPTAfrodo.33;Go, Gimli son of Gloin, lord of the Glittering Caves!;Allez, Gimli fils de Gloin, Seigneur des Cavernes Etincelantes !;;;;;;;;;;;;x
EVTOPTBfrodo.33;I want him to finally stay here.;Je souhaite finalement qu'il reste ici.;;;;;;;;;;;;x
EVTTITfrodo.34;Go to Aglarond!;En Route vers Aglarond!;;;;;;;;;;;;x
EVTDESCfrodo.34;Your King allow you to settle the Glittering Caves of Aglarond. You're now a true Lord of the Dwarves !;Votre Roi vous autorise à coloniser les Cavernes Etincelantes. Vous êtes le véritable Seigneur d'Aglarond maintenant!;;;;;;;;;;;;x
EVTOPTAfrodo.34;Yes!;Oui!;;;;;;;;;;;;x
EVTTITfrodo.35;Legolas wants to go to Ithilien;Legolas veut aller en Ithilien;;;;;;;;;;;;x
EVTDESCfrodo.35;Legolas returned his quest with the Fellowship of the Ring, but no longer seems to have the mind turned to your kingdom. Quickly, he comes to you, asking you for permission to go and settle in Ithilien, to help to revive the forests of this region.;Legolas est revenu de sa quête avec la communauté de l'Anneau, mais semble ne plus avoir l'esprit tourné vers votre Royaume. Rapidement, il vient vers vous, vous demandant l'autorisation d'aller s'installer en Ithilien, afin de faire revivre les forêts de cette région.;;;;;;;;;;;;x
EVTOPTAfrodo.35;The King of Gondor must give you the Right First…;Le Roi du Gondor devra donner son accord…;;;;;;;;;;;;x
EVTOPTBfrodo.35;No, I need him in Erebor.;@FIXME@ No, I need him in Erebor.;;;;;;;;;;;;x
EVTTITfrodo.36;A Silvan Kingdom in Ithilien?;Un Royaume Sylvestre en Ithilien?;;;;;;;;;;;;x
EVTDESCfrodo.36;Legolas came to Minas Tirith, asking your permission to install a community of Sylvan Elves in the Forests of South Ithilien. He wants to help to restore the past glory of this region.;Legolas est venu à votre cour, demandant votre autorisation afin d'installer une communauté d'elfes sylvains dans les forêts du Sud de l'Ithilien. Il souhaite ainsi aider à restaurer la Gloire passée de cette région.;;;;;;;;;;;;x
EVTOPTAfrodo.36;He's welcome!;Il est le bienvenue !;;;;;;;;;;;;x
EVTOPTBfrodo.36;It's the Age of Men, not Elves…;C'est l'Âge des Hommes, pas des Elfes…;;;;;;;;;;;;x
EVTTITfrodo.37;Legolas wants to go to Ithilien;Legolas veut aller en Ithilien;;;;;;;;;;;;x
EVTDESCfrodo.37;Legolas came to see you, with the permission of King Elessar to settle in Ithilien. Will you give your permission to leave your kingdom with some of your people?;Legolas est revenu vous voir, avec l'autorisation du Roi Elessar de s'installer en Ithilien. Allez-vous donner votre accord pour qu'il quitte votre Royaume avec une partie de votre peuple?;;;;;;;;;;;;x
EVTOPTAfrodo.37;Go Legolas, my son.;Vas Legolas, mon fils...;;;;;;;;;;;;x
EVTOPTBfrodo.37;This Kingdom should remain!;Ce Royaume doit perdurer !;;;;;;;;;;;;x
EVTTITfrodo.38;Legolas is in Ithilien;Legolas est en Ithilien;;;;;;;;;;;;x
EVTDESCfrodo.38;You've got the right to settle in Ithilien, and you're now the Lord of the Silvan Elves of Ithilien. ;Vous avez le droit de vous installer en Ithilien, et êtes maintenant le Seigneur des Elfes Sylvains d'Ithilien.;;;;;;;;;;;;x
king_restored;King Restored;A Restauré le Royaume;;;;;;;;;;;;x
EVTOPTAfrodo.38;I'm near to Aragorn !;@FIXME@ I'm near to Aragorn !;;;;;;;;;;;;x
EVTfrodo.39;@FIXME@ All the vassals of Aragorn get a better opinion during some years;@FIXME@ All the vassals of Aragorn get a better opinion during some years;;;;;;;;;;;;x
EVTDESCfrodo.39;@FIXME@ All the vassals of Aragorn get a better opinion during some years;@FIXME@ All the vassals of Aragorn get a better opinion during some years;;;;;;;;;;;;x
EVTOPTAfrodo.39;I'll die...;@FIXME@ I'll die...;;;;;;;;;;;;x
EVTfrodo.40;Eryn Lasgalen;Eryn Lasgalen;;;;;;;;;;;;x
EVTDESCfrodo.40;Sauron is defeated, and his evil power will now disappear from the Forest of Mirkwood. It's time to call this land Eryn Lasgalen, the Wood of Greenleaves.;Sauron a été vaincu, et son pouvoir maléfique se dissipe au sein de la forêt de Mirkwood. Il est temps maintenant de lui donner son véritable nom : Eryn Lasgalen, Vertbois le Grand!;;;;;;;;;;;;x
EVTOPTAfrodo.40;A great news.;Une Grande Nouvelle.;;;;;;;;;;;;x
EVTfrodo.41;East Lorien;La Lorien Orientale;;;;;;;;;;;;x
EVTDESCfrodo.41;Sauron is defeated, and with your troops, you enter Dol Guldur, killing the last orcs in the place. It's time to install elves again in the former capital of Oropher. You'll create the Kingdom of East Lorien!;Sauron a été vaincu, et avec vos troupes, vous êtes entré à Dol Guldur, tuant les derniers orques qui s'y réfugiaient. Les elfes doivent maintenant se réinstaller dans l'ancienne capitale d'Oropher. Vous allez créer le Royaume de Lorien Orientale ! ;;;;;;;;;;;;x
EVTOPTAfrodo.41;These lands remains to Elves.;Ces terres appartiennent aux elfes.;;;;;;;;;;;;x
EVTOPTBfrodo.41;@FIXME@ No;@FIXME@ Non;;;;;;;;;;;;x
EVTOPTAfrodo.42;No, Wilderness only for these lands.;Non, ces terres seront abandonnées.;;;;;;;;;;;;x
EVTfrodo.43;The Westmarch;Oui!;;;;;;;;;;;;x
EVTDESCfrodo.43;The Westmarch has been reconquered but the former Heath-thanes do not own it.;Oui!;;;;;;;;;;;;x
EVTOPTAfrodo.43;Glory to the Wulfhelmings!;Oui!;;;;;;;;;;;;x
EVTTITfrodo.44;The fall of Barad-dûr;;;;;;;;;;;;;x
EVTDESCfrodo.44;The foundations of Barad-dûr were built with the power of the Ring, anf without it, they cannot endure.;;;;;;;;;;;;;x
EVTOPTAfrodo.44;Curse it all!;;;;;;;;;;;;;x
TT_MEP_WRECK_BARADDUR;All holdings lose buildings above Level 2, as well as the special Barad-dûr Walls.;;;;;;x
TT_MEP_DEPOPULATE_TO3;The population level drops to Lightly populated (level III).;;;;;;x
EVTTITfrodo.50;Trust in Elbereth;;;;;;;;;;;;;x
EVTDESCfrodo.50;After hiding for ages, you are sick of waiting. Wars still rage, you have no idea what has happened to Aragorn or Gondor, and Ithilien is thick with enemy troops. Now is your last chance, dim as it seems.;;;;;;;;;;;;;x
EVTOPTAfrodo.50;Time to destroy the ring.;;;;;;;;;;;;;x
