#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;;;;;;;;x
k_arthedain;Arthedain;Arthedain;;;Arthedain;;;;;;;;;x
k_arthedain_adj;Arthedainrim;Arthedainien;;;Arthedainrim;;;;;;;;;x
k_anduin_vale;Vales of Anduin;Val d'Anduin;;;Valli dell'Anduin;;;;;;;;;x
k_anduin_vale_adj;Anduinrim;Anduinien;;;Anduinrim;;;;;;;;;x
k_khand;Khand;Khand;;;Khand;;;;;;;;;x
k_khand_adj;Khandrim;Khandien;;;Khandrim;;;;;;;;;x
k_misty_mountains;Misty Mountains;Monts Brumeux;;;Montagne Nebbiose;;;;;;;;;x
k_misty_mountains_adj;Misty Mountains';Montagnard;;;delle Montagne Nebbiose;;;;;;;;;x
k_erebor;Erebor;Erebor;;;Erebor;;;;;;;;;x
k_erebor_adj;Ereborim;Ereborien;;;di Erebor;;;;;;;;;x
k_rhudaur;Rhudaur;Rudhaur;;;Rhudaur;;;;;;;;;x
k_rhudaur_adj;Rhudaurim;Rudhaurien;;;Rhudaurim;;;;;;;;;x
k_mirkwood;Eryn Galen;Eryn Galen;;;Eryn Galen;;;;;;;;;x
k_mirkwood_adj;Galenrim;Galenrim;;;Eryn Galenrim;;;;;;;;;x
k_brownlands;Brownlands;Terres Brunes;;;Terre Brune;;;;;;;;;x
k_brownlands_adj;Brownlands';Brunien;;;delle Terre Brune;;;;;;;;;x
k_forlindon;Forlindon;Forlindon;;;Forlindon;;;;;;;;;x
k_forlindon_adj;Forlindonrim;Forlindonien;;;Forlindonrim;;;;;;;;;x
k_chelkar;Chelkar;Chelkar;;;Chelkar;;;;;;;;;x
k_chelkar_adj;Chelkarim;Chelkarien;;;Chelkarim;;;;;;;;;x
k_haruzan;Haruzan;Haruzan;;;Haruzan;;;;;;;;;x
k_haruzan_adj;Haruzanrim;Haruzanien;;;Haruzanrim;;;;;;;;;x
k_pezarsan;Pezarsan;Pezarsan;;;Pezarsan;;;;;;;;;x
k_pezarsan_adj;Pezarsanrim;Pezarsanien;;;Pezarsanrim;;;;;;;;;x
k_akhor;Akhôr;Akhôr;;;Akhôr;;;;;;;;;x
k_akhor_adj;Akhôrim;Akhôrien;;;Akhôrim;;;;;;;;;x
k_arysis;Arysis;Arysis;;;Arysis;;;;;;;;;x
k_arysis_adj;Arysisrim;Arysisien;;;Arysisrim;;;;;;;;;x
k_lurmsakun;Lurmsakûn;Lurmsakûn;;;Lurmsakûn;;;;;;;;;x
k_lurmsakun_adj;Lurmsakûnrim;Lurmsakûnien;;;Lurmsakûnrim;;;;;;;;;x
k_bellakar;Bellakar;Bellakar;;;Bellakar;;;;;;;;;x
k_bellakar_adj;Bellakarim;Bellakarien;;;Bellakarim;;;;;;;;;x
k_umbar;Umbar;Umbar;;;Umbar;;;;;;;;;x
k_umbar_adj;Umbarim;Umbarien;;;Umbarim;;;;;;;;;x
k_dale;Dale;Dale;;;Dale;;;;;;;;;x
k_dale_adj;Dale's;Dalien;;;di Dale;;;;;;;;;x
k_nurn;Nurn;Nurn;;;Nurn;;;;;;;;;x
k_nurn_adj;Nurnim;Nurnien;;;Nurnim;;;;;;;;;x
k_rhovanion;Rhovanion;Rhovanion;;;Rhovanion;;;;;;;;;x
k_rhovanion_adj;Rhovaniorim;Rhovanionien;;;Rhovanionrim;;;;;;;;;x
k_dorwinion;Dorwinion;Dorwinion;;;Dorwinion;;;;;;;;;x
k_dorwinion_adj;Dorwiniorim;Dorwinionian;;;Dorwinionrim;;;;;;;;;x
k_iron_mountains;Iron Hills;Monts du Fer;;;Colli Ferrosi;;;;;;;;;x
k_iron_mountains_adj;Iron Hills';Ferrien;;;dei Colli Ferrosi;;;;;;;;;x
k_rhun;Rhûn;Rhûn;;;Rhûn;;;;;;;;;x
k_rhun_adj;Rhûnrim;Rhûnien;;;Rhûnrim;;;;;;;;;x
k_angmar;Angmar;Angmar;;;Angmar;;;;;;;;;x
k_angmar_adj;Angmarim;Angmarim;;;Angmarim;;;;;;;;;x
k_haradwaith;Haradwaith;Haradwaith;;;Haradwaith;;;;;;;;;x
k_haradwaith_adj;Haradwaithrim;Haradwaith;;;Haradwaithrim;;;;;;;;;x
k_nurad;Nûrad;Nûrad;;;Nûrad;;;;;;;;;x
k_nurad_adj;Nûradrim;Nûradien;;;Nûradrim;;;;;;;;;x
k_zirakdum;Zirakdûm;Zirakdûm;;;Zirakdûm;;;;;;;;;x
k_zirakdum_adj;Zirakdûmrim;Zirakdûmien;;;Zirakdûmrim;;;;;;;;;x
k_gundabad;Gundabad;Gundabad;;;Gundabad;;;;;;;;;x
k_gundabad_adj;Gundabadrim;Gundabadien;;;Gundabadrim;;;;;;;;;x
k_mithlond;Mithlond;Mithlond;;;Mithlond;;;;;;;;;x
k_mithlond_adj;Mithlondrim;Mithlondien;;;Mithlondrim;;;;;;;;;x
k_eregion;Eregion;Eregion;;;Eregion;;;;;;;;;x
k_eregion_adj;Eregionrim;Eregionien;;;Eregionrim;;;;;;;;;x
k_isengard;Isenmarch;Isenmarch;;;Isenmarca;;;;;;;;;x
k_isengard_adj;Isenmarchian;Isenmarchien;;;Isenmarcrim;;;;;;;;;x
k_pinnath_gelin;Pinnath Gelin;Pinnath Gelin;;;Pinnath Gelin;;;;;;;;;x
k_pinnath_gelin_adj;Pinnathrim;Pinnath-Gelinien;;;Pinnathrim;;;;;;;;;x
k_nurunkhizdin;Nurunkhizdin;Nurunkhizdin;;;Nurunkhizdin;;;;;;;;;x
k_nurunkhizdin_adj;Nurunkhizdrim;Nurunkhizdinien;;;Nurunkhizdinrim;;;;;;;;;x
k_woodsmen_mirkwood;Woodmen of Mirkwood;Bucherons de la Forêt Noire;;;Boscaioli di Bosco Atro;;;;;;;;;x
k_woodsmen_mirkwood_adj;Woodmen;Bucherons;;;dei Boscaioli;;;;;;;;;x
k_balchoths;Balchoths;Balchoths;;;Balchoth;;;;;;;;;x
k_balchoths_adj;Balchoths;Balchoths;;;dei Balchoth;;;;;;;;;x
k_wainriders;Wainriders;Wainriders;;;Carrieri;;;;;;;;;x
k_wainriders_adj;Wainriders;Wainriders;;;dei Carrieri;;;;;;;;;x
k_hillmen;Hill-men of Rhudaur;Hommes des Collines;;;Rhudaurim delle Colline;;;;;;;;;x
k_hillmen_adj;Rhudaurim;Hommes des Collines;;;Rhudaurim;;;;;;;;;x
k_thain_shire;the Shire;Comté;;;Contea;;;;;;;;;x
k_thain_shire_adj;Shire's;Hobbits;;;Hobbit;;;;;;;;;x
k_forochel;Forochel;Forochel;;;Forochel;;;;;;;;;x
k_forochel_adj;Forochelrim;Forochelrim;;;Forochelrim;;;;;;;;;x
k_angmarim_hillmen;Hill-men of Angmar;Hommes des Collines d'Angmar;;;Angmarim delle Colline;;;;;;;;;x
k_angmarim_hillmen_adj;Angmarim;Angmarim;;;Angmarim;;;;;;;;;x
k_dunland;Emyn Hithui;Emyn Hithui;;;Emyn Hithui;;x;;;;;;;
k_dunland_adj;Emyn Hithuirim;Emyn Hithuirim;;;Emyn Hithuirim;;x;;;;;;;
k_grey_mountains;Grey Mountains;Montagnes Grises;;;Monti Grigi;;;;;;;;;x
k_grey_mountains_adj;Grey Mountains;Montagnes Grises;;;dei Monti Grigi;;;;;;;;;x
k_nogrod;Nogrod;Nogrod;;;Nogrod;;;;;;;;;x
k_nogrod_adj;Nogrodrim;Nogrodrim;;;Nogrodrim;;;;;;;;;x
k_belegost;Belegost;Belegost;;;Belegost;;;;;;;;;x
k_aglarond;Glittering Caves;Cavernes Etincelantes;;;Caverne Scintillanti;;;;;;;;;x
k_silvan_ithilien;Silvan Elves of Ithilien;Elfes Sylvestres d'Ithilien;;;Silvani dell'Ithilien;;;;;;;;;x
k_belegost_adj;Belegostrim;Belegostrim;;;Belegostrim;;;;;;;;;x
k_aglarond_adj;Aglarondrim;Aglarondrim;;;Aglarondrim;;;;;;;;;x
k_silvan_ithilien_adj;Silvan;Sylvains;;;Silvana;;;;;;;;;x
k_avari;Gweithavar;Gweithavar;;;Gweithavar;;;;;;;;;x
k_avari_adj;Gweithavarim;Gweithavarim;;;Gweithavarim;;;;;;;;;x
k_dol_guldur;Shadows of Mirkwood;Dol Guldur;;;Ombre di Bosco Atro;;;;;;;;;x
k_dol_guldur_adj;Guldurim;Guldurim;;;Guldurim;;;;;;;;;x
k_andunie;Andunië;Andunië;;;Andunië;;;;;;;;;x
k_east_lorien;East Lórien;Lórien Orientale;;;Lórien Orientale;;;;;;;;;x
k_east_lorien_adj;Lórienrim;Lórienrim;;;Lórienrim;;;;;;;;;x
k_eothed;Éothéod;Éothéod;;;Éothéod;;;;;;;;;x
k_eothed_adj;Éothéod;Éothéod;;;Éothéod;;;;;;;;;x
k_andunie_adj;Anduniërim;Anduniërim;;;Anduniërim;;;;;;;;;x
k_khundolars;Khundolars;Khundolars;;;Khundolar;;;;;;;;;x
k_khundolars_adj;Khundolar;Khundolar;;;Khundolar;;;;;;;;;x
k_jangovars;Jangovars;Jangovars;;;Jangovar;;;;;;;;;x
k_jangovars_adj;Jangovar;Jangovar;;;Jangovar;;;;;;;;;x
#Valar Kingdoms, not in game;;;;;;;;;;;;;;x #
k_mandos;Mandos;Mandos;;;Mandos;;;;;;;;;x
k_mandos_adj;Mandos;Mandos;;;di Mandos;;;;;;;;;x
k_yavanna;Yavanna;Yavanna;;;Yavanna;;;;;;;;;x
k_yavanna_adj;Yavanna;Yavanna;;;di Yavanna;;;;;;;;;x
k_aule;Aulë;Aulë;;;Aulë;;;;;;;;;x
k_aule_adj;Aulë;Aulë;;;di Aulë;;;;;;;;;x
k_orome;Oromë;Oromë;;;Oromë;;;;;;;;;x
k_orome_adj;Oromë;Oromë;;;di Oromë;;;;;;;;;x
k_nienna;Nienna;Nienna;;;Nienna;;;;;;;;;x
k_nienna_adj;Nienna;Nienna;;;di Nienna;;;;;;;;;x
k_lorien_valinor;Gardens of Lórien;Jardins de Lórien;;;Giardini di Lórien;;;;;;;;;x
k_lorien_valinor_adj;Gardens of Lórien;Jardins de Lórien;;;dei Giardini;;;;;;;;;x
k_ulmo;Ulmo;Ulmo;;;Ulmo;;;;;;;;;x
k_ulmo_adj;Ulmo;Ulmo;;;di Ulmo;;;;;;;;;x
k_tulkas;Tulkas;Tulkas;;;Tulkas;;;;;;;;;x
k_tulkas_adj;Tulkas;Tulkas;;;di Tulkas;;;;;;;;;x
# More Kingdoms;;;;;;;x
k_meneltarma;Meneltarma;Meneltarma;;;Meneltarma;;;;;;;;;x
k_meneltarma_adj;Meneltarmarim;Meneltarmarim;;;Meneltarmarim;;;;;;;;;x
k_eagles;the Eagles;des Aigles;;;Le Aquile;;;;;;;;;x
k_eagles_adj;Thoronrim;Thoronrim;;;Thoronrim;;;;;;;;;x
k_eredrim;The Eredrim;les Eredrim;;;;;;;;;;;;x
k_eredrim_adj;Eredrim;Eredrim;;;;;;;;;;;;x
k_black_serpent;Legion of the Black Serpent;Légion du Serpent Noir;;;;;;;;;;;;x
k_black_serpent_adj;Legion of the Black Serpent;Légion du Serpent Noir;;;;;;;;;;;;x
k_stonefoot;Stonefoot;Stonefoot;;;;;;;;;;;;x
k_stonefoot_adj;Stonefoot;Stonefoot;;;;;;;;;;;;x
k_nothing;Nothing;;;;;;x
k_nothing_adj;Nothing;;;;;;x
