#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTDESC1721;My [GetFromRelation] [From.GetFirstName] chided me for my obsession with fairness, explaining that justice is simply a word invented by silly elves with too much time on their hands.;Mon obsession de l'équité m'a valu une réprimande de la part de mon(ma) [GetFromRelation], [From.GetFirstName], qui m'a expliqué que la justice n'est qu'un mot inventé par des gens qui ne savent que faire de leur temps.;[GetFromRelation] [From.GetFirstName] schalt mich wegen meiner Gerechtigkeitsbesessenheit und erklärte, dass Gerechtigkeit einfach ein Wort ist, das von Leuten mit zuviel Zeit erfunden wurde.;;Mi [GetFromRelation] [From.GetFirstName] me riñó por mi obsesión con la justicia, diciendo que esta es una palabra inventada por personas a quienes les sobra demasiado tiempo.;;;;;;;;;x
EVTOPTA1970;I need a new hobby. Oh, a book!;Il me faut un nouveau passe-temps. Oh, une Bible !;Ich brauche ein neues Steckenpferd. Oh, eine Bibel!;;Necesito una afición nueva. ¡Oh, una biblia!;;;;;;;;;x
EVTDESC1985;I know I should not be drawn to other men but I can't seem to help it. Should I deny my feelings and be as my family wants me to be?;Je sais que je ne devrais pas être attiré par d'autres hommes, mais c'est plus fort que moi. Dois-je refouler ce que je ressens et être à l'image de ce que l'Église et le monde attendent de moi ?;Ich weiß, ich sollte mich nicht zu anderen Männern hingezogen fühlen, aber ich scheine nichts daran tun zu können. Soll ich meine Gefühle unterdrücken und so sein, wie Kirche und Welt es gebieten?;;Sé que no deberían gustarme otros hombres pero no lo puedo evitar. ¿Debería negar mis sentimientos y ser como la iglesia y el mundo quieren que sea?;;;;;;;;;x
EVTDESC1995;I know I should not be drawn to other women but I can't seem to help it. Should I deny my feelings and be as my family wants me to be?;Je sais que je ne devrais pas être attirée par d'autres femmes, mais c'est plus fort que moi. Dois-je refouler ce que je ressens et être à l'image de ce que l'Église et le monde attendent de moi ?;Ich weiß, ich sollte mich nicht zu anderen Frauen hingezogen fühlen, aber ich scheine nichts daran tun zu können. Soll ich meine Gefühle unterdrücken und so sein, wie Kirche und Welt es gebieten?;;Sé que no deberían gustarme otras mujeres pero no lo puedo evitar. ¿Debería negar mis sentimientos y ser como la iglesia y el mundo quieren que sea?;;;;;;;;;x
EVTOPTD2060;Envy is the deadliest of vices!;L'envie est le plus grave des péchés mortels !;Neid ist die tödlichste aller Sünden!;;¡La envidia es el más mortal de los pecados!;;;;;;;;;x
EVTDESC2070;My [GetFromRelation] [From.GetFirstName] has a tender and loving soul, trusting everyone in the court. I fear [From.GetSheHe] will get hurt someday.;Mon(Ma) [GetFromRelation], [From.GetFirstName], a un cœur tendre et aimant, et fait confiance à tout le monde au château. Je crains qu'[From.GetSheHe] en souffre un jour.;[GetFromRelation] [From.GetFirstName] ist ein echtes Seelchen, das allen in der Burg vertraut. Ich fürchte, [From.GetSheHe] wird das einst bereuen.;;Mi [GetFromRelation] [From.GetFirstName] tiene un alma tierna y cariñosa y confía en todos en el castillo. Temo que algún día hagan le daño.;;;;;;;;;x
EVTDESC2130;My little [GetFromRelation] [From.GetTitledFirstName] always has [From.GetPossPronoun] nose in old books, and spends all [From.GetPossPronoun] time among the priests.;Mon(Ma) petit(e) [GetFromRelation], [From.GetTitledFirstName], a toujours le nez fourré dans les saintes Écritures et passe tout son temps avec les prêtres.;[GetFromRelation] [From.GetTitledFirstName] steckt immer mit der Nase in der Bibel und verbringt [From.GetPossPronoun] ganze Zeit mit den Priestern.;;Mi pequeño [GetFromRelation] [From.GetTitledFirstName] siempre está leyendo las escrituras y pasa todo el tiempo con los curas.;;;;;;;;;x
EVTOPTA2130;Such a bright little child!;Quelle intelligence !;So ein helles Köpfchen!;;¡Qué niño tan inteligente!;;;;;;;;;x
EVTOPTB2130;I will not raise a racist!;Pas question que j'élève un(e) fanatique religieux(ieuse) !;Ich werde keinen Eiferer in meinem Haus dulden!;;¡No criaré a un fanático!;;;;;;;;;x
EVTDESC3000;I managed to blame the priests at a nearby shrine for one of my more sensuous songs of courtly love.;J'ai réussi à faire passer les moines d'un monastère voisin pour les auteurs d'une de mes chansons les plus voluptueuses sur l'amour courtois.;Ich schaffte es, die Verantwortung für eines meiner sinnlichen Lieder über höfische Liebe auf die Mönche in einem naheliegenden Kloster zu schieben.;;He logrado culpar a los monjes de un monasterio cercano por una de mis canciones de amor cortés más sensuales.;;;;;;;;;x
EVTOPTA3000;Whatever;Je mens à mon confesseur.;Meinen Beichtvater anlügen;;Mentir a mi confesor;;;;;;;;;x
EVTOPTB3000;I should fess up...;Je me confesse et je prie.;Beichten und beten;;Confesarme y rezar;;;;;;;;;x
EVTDESC3011;While bored, I've been reading some... interesting works of fiction.  The stories of love are most exciting!;Oh, Ovide m'a procuré tellement de joie ! Son écriture a quelque chose de divin. Mais pourquoi est-ce que je me sens si coupable ?;Oh, wieviel Freude mir Ovid gebracht hat. Solch großartiges Schreibtalent ist ganz klar gottgegeben. Aber warum fühle ich mich so schuldig?;;Qué lo bien lo he pasado con Ovidio. Debe haber algo divino en sus escritos. ¿Pero por qué me siento tan culpable?;;;;;;;;;x
EVTOPTA3011;This is inappropriate!;Mon Dieu, pardonnez-moi !;Bitte, Gott, vergib mir!;;¡Dios mío, perdóname!;;;;;;;;;x
EVTOPTB3012;Let the Priests decide...;Je laisse l'Église décider...;Die Kirche entscheiden lassen ...;;Dejar que la iglesia decida...;;;;;;;;;x
EVTOPTA3013;Scold our host for his exorbitance.;Je réprimande mon hôte pour ses péchés.;Unseren Gastgeber für seine Sünden tadeln;;Riñe a nuestro anfitrión por sus pecados.;;;;;;;;;x
EVTOPTB3013;We deserve to enjoy life.;Je ne dis rien et prie pour que Dieu me pardonne mon péché.;Mund halten und beten, dass Gott uns diese Sünde vergeben wird.;;Cálmate y pídele a Dios que nos perdone.;;;;;;;;;x
EVTDESC3020;Words of my charity has reached the High King who sent a courier with a letter of approval.;Le Pape a entendu dire que j'envisageais de devenir chaste et a envoyé un messager pour me remettre une lettre d'approbation avec sa bénédiction.;Die Kunde über mein Keuschheitsgelöbnis hat den Papst erreicht, der einen Boten mit einem Brief aussandte, in dem er seine Zustimmung und seinen Segen gab.;;El Papa se ha enterado de mi voto de castidad y ha enviado un mensajero con una carta de aprobación y su bendición.;;;;;;;;;x
EVTOPTA3020;I love to provide for my people!;C'est un signe qui devrait m'inciter à devenir chaste !;Das ist ein Zeichen, dass ich abstinent sein muss!;;¡Es una señal de que debería ser célibe!;;;;;;;;;x
EVTOPTB3020;What does that pomp want from me?;Le Pape espère-t-il que je lui accorde mes terres ?;Glaubt der Papst, ich würde ihm meine Ländereien überschreiben?;;¿Cree el Papa que le daré mis tierras?;;;;;;;;;x
EVTOPTC3020;Praise the High King in court!;Je dédie une messe à la chasteté !;Eine Messe zu Ehren der Keuschheit halten!;;¡Celebra una misa por la castidad!;;;;;;;;;x
EVTOPTD3020;Charity is always needed.;Je rends discrètement grâce à Dieu à la chapelle.;Gott in der Kapelle im Stillen danken.;;Da gracias a Dios en la capilla...;;;;;;;;;x
EVTDESC3021;Word of my charity has reached the High King who has a sent a scholar to help with my endeavours.;Le Pape a entendu dire que j'envisageais de devenir chaste et a envoyé un prêtre dévot pour m'aider à me rapprocher un peu plus de Dieu.;Die Kunde über mein Keuschheitsgelöbnis hat den Papst erreicht, der einen devoten Priester entsandte, der mich Gott noch näher führen soll.;;El Papa se ha enterado de mi voto de castidad y ha enviado un sacerdote devoto para que me acerque aún más a Dios.;;;;;;;;;x
EVTDESC3022;With the presence of an old and experienced scholar in the court, there is much to learn about the aspect of chastity and how it helps our people prosper.;La présence d'un érudit âgé et expérimenté à la Cour peut nous apprendre beaucoup sur la chasteté et sur la façon dont cette vertu nous rapproche de Dieu.;Mit einem alten, erfahrenen Gelehrten am Hof gibt es viel über die Keuschheit zu lernen, und darüber, wie diese Tugend uns Gott näher bringt.;;Habiendo un hombre sabio y experto en la corte hay mucho que aprender sobre la castidad y cómo esta virtud acerca a Dios.;;;;;;;;;x
EVTDESC3025;Every time I reject one of the desirable women who throws themself in my way, the others increase their efforts. Do they want to destroy my reputation?;Chaque fois que je repousse une des nombreuses femmes désirables qui s'offrent à moi, les autres redoublent d'efforts. Veulent-elles donc que je brûle en enfer ?;Jedes Mal, wenn ich eine der begehrenswerten Frauen abweise, die sich in meine Arme werfen wollen, strengen sich die anderen nur um so mehr an. Wollen sie, dass ich in der Hölle schmore?;;Siempre que rechazo a una de las deseables mujeres que se cruzan en mi camino, las demás aumentan sus esfuerzos. ¿Quieren que arda en el infierno?;;;;;;;;;x
EVTOPTA3025;I find them repulsive.;Je ne céderai pas à la tentation.;Ich werde der Versuchung widerstehen.;;No cederé a la tentación.;;;;;;;;;x
EVTOPTB3025;I must not give in to temptation!;Mon Dieu, je vous en prie, sauvez mon âme !;Oh Herr, rette meine Seele!;;¡Dios mío, salva mi alma!;;;;;;;;;x
EVTOPTA3026;If you can't beat them...;Mon Dieu, ayez pitié de mon âme !;Oh Herr, sei meiner Seele gnädig.;;Dios, apiádate de mi alma.;;;;;;;;;x
EVTOPTB3026;Push the woman away!;Je repousse cette femme !;Die Frau wegstoßen!;;¡Quítate a la mujer de encima!;;;;;;;;;x
EVTDESC3046;Truth be told, I never thought I would ever really like [From.GetTitledFirstName], but when [From.GetSheHe] held a great banquet we drank together and I had a good time.;Honnêtement, je n'aurais jamais cru que j'en viendrais un jour à apprécier [From.GetTitledFirstName]. Pourtant, [From.GetSheHe] a organisé un magnifique banquet au cours duquel nous avons bu et beaucoup ri ensemble.;Um ehrlich zu sein: Ich hätte nie gedacht, dass ich [From.GetTitledFirstName] jemals richtig mögen würde, aber [From.GetSheHe] gab ein großes Bankett, wo wir uns zusammen besoffen, und ich amüsierte mich königlich.;;Para ser sincero, nunca creí que me gustaría [From.GetTitledFirstName], pero cuando celebramos un gran banquete nos emborrachamos juntos y nos divertimos.;;;;;;;;;x
EVTDESC3055;My love for food has left me with no desire left in my body. All that is left to me is to eat, eat and eat!;Mon obésité et mon appétit ne laissent la place à aucun autre désir. Je ne pense plus qu'à manger, manger et encore manger !;Meine Fettleibigkeit und mein Hunger nach Essen lässt in meinem Körper kein Verlangen für irgendetwas anderes. Alles, was mir noch bleibt, ist essen, essen, essen!;;Mi obesidad y mi gula ha dejado a mi cuerpo sin deseo. ¡Todo lo que me queda es comer, comer y comer!;;;;;;;;;x
EVTDESC3080;Being charitable is about loving others and forgiving them the wrongs they do to us.;Être charitable consiste à aimer son prochain et à pardonner à ceux qui nous ont offensés.;Nächstenliebe bedeutet, andere Menschen zu lieben und ihnen ihre Vergehen uns gegenüber zu verzeihen.;;La caridad es amar a otros seres humanos y perdonar sus ofensas.;;;;;;;;;x
EVTDESC3081;Caring for the wounded and bereaved is one of the duties of charity. There are people in our court that need our help.;La charité consiste notamment à prendre soin des malades et des infirmes. Certains membres de notre Cour ont besoin de notre aide.;Eine der Pflichten der Nächstenliebe ist, sich um die Kranken und Gebrechlichen zu kümmern. An unserem Hof sind Leute, die unsere Hilfe brauchen.;;Cuidar de los débiles y enfermos es uno de los deberes de la caridad. Hay gente en nuestra corte que precisa nuestra ayuda.;;;;;;;;;x
EVTDESC3083;Being charitable means that you have to love the wicked and educate them on their wrongdoings.;Être charitable consiste à aimer le pécheur et à le réprimander pour ses péchés.;Nächstenliebe bedeutet, Sünder zu lieben und sie wegen ihrer Sünden zu ermahnen.;;Ser caritativo significa que debes amar al pecador y amonestarle por sus pecados.;;;;;;;;;x
EVTOPTA3083;It is for their own good.;C'est un devoir pour lui garantir une vie éternelle.;Es ist eine Pflicht für ihr ewiges Leben.;;Es un deber para su vida eterna.;;;;;;;;;x
EVTDESC3084;Being charitable means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;Thomas d'Aquin nous enseigne que la charité consiste à prendre son mal en patience. Certaines personnes ne m'aiment pas et souhaitent qu'il m'arrive malheur, mais je leur pardonne.;Der Heilige Thomas von Aquin lehrt uns, dass die Tugend der Nächstenliebe bedeutet, erlittene Schmach geduldig zu ertragen. Manche Menschen mögen mich nicht und wünschen mir Übles, aber ich vergebe ihnen.;;Tomás de Aquino enseña que mantener la virtud de la caridad implica soportar los agravios con paciencia. Hay gente a la que no gusto y me desea desgracias, pero les perdono.;;;;;;;;;x
EVTOPTA3084;I thank [This.Religion.GetHighGodName] for his creation.;Je baisse la tête pour prier.;Ich neige meinen Kopf im Gebet.;;Me inclino para orar.;;;;;;;;;x
EVTOPTB3085;I can not stand such people...;Je ne peux pas suivre ces enseignements...;Ich kann diesen Lehren nicht folgen ...;;No puedo seguir esas enseñanzas...;;;;;;;;;x
EVTDESC3121;Being a lord of my people means working hard at keeping my personal relations with vassals at an acceptable level. Sometimes though, they seem to have grudges against me, and I must work at eliminating those and instill proper loyalty.;Un Seigneur féodal doit tout mettre en œuvre pour entretenir des relations cordiales avec ses vassaux. Pourtant, ils gardent parfois envers moi des rancunes que je dois m'efforcer d'effacer afin de gagner leur loyauté.;Als Feudalherr muss man seine persönlichen Beziehungen zu seinen Vasallen auf einer akzeptablen Stufe halten. Manchmal aber scheinen sie mir gegenüber Groll zu hegen. Diesen muss ich beseitigen und ihnen zugleich die rechte Loyalität einimpfen.;;Ser un señor feudal implica trabajar duro para mantener tus relaciones personales con tus vasallos a un nivel aceptable. Pero a veces parecen sentir rencor hacia mí, y debo esforzarme por eliminarlo e inspirar lealtad.;;;;;;;;;x
EVTOPTB3121;Talk to them about their obligations.;Je vais leur parler des obligations féodales.;Mit ihnen über feudale Verpflichtungen sprechen.;;Hablarles sobre las obligaciones feudales.;;;;;;;;;x
EVTDESC3123;Following the teachings of great loremasters, a diligent human should strive for peaceful resolutions. I have members of my court who do not see eye to eye, and my duty as their liege is to arbitrate their disputes.;Conformément aux enseignements des penseurs frappés par l'inspiration divine, un être assidu doit s'efforcer de prendre des résolutions pacifiques. Mon devoir de suzerain est d'arbitrer les querelles qui opposent les membres de ma Cour.;Gemäß den Lehren göttlich inspirierter Denker sollte ein fleißiger und gewissenhafter Mensch nach friedlichen Lösungen streben. An meinem Hof sind Leute, die sich nicht grün sind, und es ist meine Pflicht als ihr Lehnsherr, ihre Zwistigkeiten beizulegen.;;Según las enseñanzas de pensadores divinamente inspirados una persona diligente debería esforzarse por hallar soluciones pacíficas. Hay miembros en mi corte que no se soportan y mi deber como su señor es arbitrar sus disputas.;;;;;;;;;x
EVTDESC3125;Since I am such a diligent person, I make sure that everything is as good as it can be.  When it comes to my realm's warriors, I can focus on one of two things.;Grâce à mon assiduité, je veille à ce que tout se déroule au mieux. Quand il s'agit de mes combattants, je me concentre sur un ou deux points.;Als gewissenhafter und fleißiger Mensch sorge ich dafür, dass alles immer so gut ist, wie es eben nur geht. Bei meinen Kämpfern kann ich mich auf zwei Sachen konzentrieren.;;Dado que soy diligente, me aseguraré de que todo esté como debe estar. En lo que respecta a mis soldados puedo centrarme en una de las dos cosas.;;;;;;;;;x
EVTOPTA3126;May [Root.Religion.GetRandomGodName] forgive me.;Que Dieu ait pitié de mon âme !;Gott sei meiner Seele gnädig.;;Que Dios se apiade de mi alma.;;;;;;;;;x
EVTDESC3160;There is always a place at my table and a warm spot in front of the hearth for all those who have served me before and now have nowhere else to go. Their stories delight everyone and I see no need for them to be forgotten after long lives of hard work for me.;Il y a toujours une place à ma table et près de l'âtre pour les hommes et les femmes âgés qui ont travaillé pour moi et n'ont aujourd'hui nulle part où aller. Leurs histoires charment tout le monde et je ne vois pas pourquoi on les oublierait après une longue vie de dur labeur à mon service.;Für all die alten Männer und Frauen, die mir gedient haben und nun nicht wisen, wohin, gibt es immer einen Stuhl an meiner Tafel und einen warmen Platz vor meinem Ofen. Ihre Geschichten wärmen die Herzen aller, und ich sehe keine Veranlassung, sie nach lebenslanger harter Arbeit für mich einfach zu vergessen.;;Siempre hay un sitio en mi mesa y un lugar cálido en mi corazón para todas las personas mayores que me sirvieron en el pasado y ahora no tienen adonde ir. Sus historias gustan a todos y creo que no deben ser olvidados tras una larga vida de trabajo para mí.;;;;;;;;;x
EVTDESC3190;I gave the priest such a scolding today when he dared ask me, his rightful liege and lord, for a donation! Isn't he living on my sufferance? Haven't I allowed him to collect money himself?;J'ai aujourd'hui adressé une belle semonce au prêtre. Comment ose-t-il me demander de l'argent, à moi son Seigneur et Suzerain légitime ?! N'est-ce pas moi qui tolère sa présence ? Ne lui ai-je pas permis de collecter de l'argent lui-même auprès de sa paroisse ?;Heute machte ich den Priester richtig zur Minna, als er es wagte, mich, seinen rechtmäßigen Lehnshern, um eine Spende anzuhauen! Lebt er nicht nur wegen meiner Duldung? Habe ich ihm nicht erlaubt, Geld von seiner Gemeinde einzusammeln?;;¡Hoy reprendí al cura cuando osó pedirme a mí, a su legítimo señor, una donación! ¿Acaso no le permito vivir? ¿Es que no le permití recaudar dinero de su parroquia?;;;;;;;;;x
EVTDESC3192;As I exited the shrine I heard [From.GetTitledFirstName] mention my scolding of the priest to a couple of [From.GetHerHis] friends, sounding distressed and angry. I walked closer and as I approached them, [From.GetTitledFirstName] started showering me with insults before I even had a chance to explain.;En sortant de l'église, j'ai entendu [From.GetTitledFirstName] parler à un couple de ses amis et leur faire part de l'incompréhension et de la colère que lui inspirait la semonce que j'ai adressée au prêtre. Au moment où je m'approchais d'eux, [From.GetTitledFirstName] a commencé à m'insulter sans me laisser m'expliquer.;Als ich aus der Kirche kam, hörte ich, wie [From.GetTitledFirstName] meine Beschimpfung des Priesters gegenüber einigen Freunden erwähnte. Er klang ärgerlich. Ich näherte mich, und als ich auf Rufweite war, begann [From.GetTitledFirstName] mich mit Unflat zu überschütten, noch bevor ich eine Erklärung abgeben konnte.;;Cuando salía de la iglesia oí que [From.GetTitledFirstName] hablaba de mi bronca al cura con un par de amigos y parecía enfadado y angustiado. Me acerqué a ellos y [From.GetTitledFirstName] empezó a insultarme antes de poder explicarme.;;;;;;;;;x
EVTDESC3193;After my scolding of the priest I left fuming with anger and was ready to slap whoever it was that touched my arm to stop me. In front of me stood [From.GetTitledFirstName], who told me that the priest certainly deserved the scolding, given all I had done for him.;Après avoir réprimandé le prêtre, j'ai tourné les talons, fou(folle) de rage et prêt(e) à gifler quiconque tenterait de s'interposer. J'ai trouvé devant moi [From.GetTitledFirstName] qui m'a dit que le prêtre méritait certainement cette semonce compte tenu de tout ce que j'avais fait pour lui et l'Église.;Nachdem ich den Priester die Meinung gesagt hatte, ging ich zornesglühend weg, bereit, jedem eine Backpfeife zu verpassen, der mir in den Weg kam. Vor mir stand [From.GetTitledFirstName], der mir mitteilte, dass der Priester die Abreibung wohl verdient hatte, nach allem, was ich für ihn und die Kirche getan hatte.;;Tras mi bronca al cura estaba encolerizado y listo para golpear a quien intentara detenerme. Frente a mí estaba [From.GetTitledFirstName], que me dijo que el cura merecía la reprimenda, teniendo en cuenta todo lo que he hecho por él y por la iglesia.;;;;;;;;;x
EVTOPTA3195;Madness!;Ça barde !;Die Hölle ist los!;;¡Al infierno con ello!;;;;;;;;;x
EVTDESC3200;There are people in my court who are quick to anger, and who may need a patient voice to calm them down.;Le livre saint nous enseigne que la patience relève du bon sens tandis que la colère est une manifestation de la folie. Certains membres de ma Cour s'emportent vite et peuvent avoir besoin d'une voix patiente pour les calmer.;Das Gute Buch sagt uns, dass 'der geduldige Mann Vernunft zeigt, doch der jähzornige Mann zeigt Narretei von höchstem Grade'. An meinem Hof gibt es aufbrausende Menschen, die eine geduldige Stimme brauchen, um sie zu besänftigen.;;Las escrituras nos dicen que 'el hombre paciente demuestra sentido común, pero el irascible demuestra la mayor locura'. En mi corte hay gente muy irascible y necesitan una voz paciente para calmarse.;;;;;;;;;x
EVTDESC3203;Patience is the key to respect.  When my vassals say foolish nonsense it would be wise to hold my tongue.;Saint Paul nous enseigne d'être patients avec ceux qui nous entourent et de veiller au bien de tous.;Der heilige Paulus lehrt uns, 'Seid geduldig mit allen. Achtet darauf, dass niemand Übel mit Übel vergilt, und stattdessen immer nach dem Guten für alle strebt'.;;Como nos enseña San Pablo, 'Sé paciente con todos. Que nadie devuelva mal por mal, sino más bien busca lo que es bueno para ambos y para todos'.;;;;;;;;;x
EVTTOOLTIP3204;will learn of our greatness.;aura vent de notre grâce.;wird von unserem Anstand lernen.;;Aprenderá de nuestra gracia.;;;;;;;;;x
EVTOPTA3204;Thank [This.Religion.GetHighGodName]!;Dieu merci !;Gott sei Dank!;;¡Gracias, Dios mío!;;;;;;;;;x
EVTDESC3205;What greater way to show my mercy than to help those who have wronged me.;La patience est une vertu à travers laquelle Dieu nous enseigne la miséricorde à l'égard des pécheurs. Quel meilleur moyen de manifester sa miséricorde que de pardonner au plus grand pécheur et de prier avec lui pour son salut ?!;Durch die Tugend der Geduld lehrt uns Gott, Sündern gegenüber gnädig zu sein. Es gibt keine größere Gnade, als dem größten Sünder zu vergeben und mit ihm für seine Rettung zu beten.;;Profesando la virtud de la paciencia, Dios nos enseña cómo ser piadoso con los pecadores. Qué mejor modo de mostrar piedad que perdonar al mayor pecador y rezar con él por su salvación.;;;;;;;;;x
EVTOPTA3205;Discuss forgiveness with a trival tonight.;Ce soir, je prierai avec le pécheur à la chapelle.;Betet heute abend mit dem Sünder in der Kapelle.;;Rezar con el pecador en la capilla esta noche.;;;;;;;;;x
EVTOPTB3205;They will find their own way.;Je prierai seul(e) pour son âme.;Betet alleine für seine Seele.;;Rezar solo por su alma.;;;;;;;;;x
EVTDESC3206;Our wrongdoings have not gone unnoticed. My liege, [From.GetTitledFirstName] is inviting me to join [From.GetHerHim] in their chambers in an attempt to reconcile our differences.;Mes péchés ne sont pas passés inaperçus. Mon suzerain, [From.GetTitledFirstName], m'invite à l'accompagner ce soir à la chapelle pour tenter de sauver mon âme.;Unsere Sünden sind nicht unbemerkt geblieben. Mein Lehnsherr [From.GetTitledFirstName] lädt mich heute abend in die Kapelle ein, um meine Seele zu retten.;;Nuestros pecados no han pasado desapercibidos. Mi señor, [From.GetTitledFirstName], me invita a unirme a él en la capilla para intentar salvar mi alma esta noche.;;;;;;;;;x
EVTOPTA3206;Join [From.GetTitledFirstName]!;Je rejoins [From.GetTitledFirstName] pour prier !;Betet zusammen mit [From.GetTitledFirstName]!;;¡Únete en oración a [From.GetTitledFirstName]!;;;;;;;;;x
EVTDESC3207;[From.GetTitledFirstName] came to my chambers, with tears in [From.GetHerHis] eyes. We spent the night in discussion, until the sun went up. We have worked out our differences and [From.GetSheHe] pledges to be a better person.;[From.GetTitledFirstName] est venu(e) à la chapelle, les larmes aux yeux. Nous avons passé la nuit à prier, jusqu'à ce que le soleil se lève. Nous avons prié désespérément pour que Dieu nous accorde sa miséricorde.;[From.GetTitledFirstName] kam mit Tränen in den Augen in die Kapelle. Wir verbrachten die Nacht im Gebet, bis die Sonne aufging. Wir beteten verzweifelt um Gottes Gnade.;;[From.GetTitledFirstName] entró a la capilla con lágrimas en los ojos. Rezamos toda la noche hasta que amaneció. Pidiendo desesperadamente piedad a Dios...;;;;;;;;;x
EVTOPTA3207;Very good!;Non nobis.;Non nobis ...;;Damos gracias...;;;;;;;;;x
EVTDESC3208;I spent the night alone, sad that we have lost this opportunity for reconcilliation.;J'ai passé la nuit à la chapelle à prier pour le salut de [From.GetTitledFirstName] qui ne s'est jamais montré(e).;Ich verbrachte die Nacht alleine in der Kapelle, wo ich inbrünstig für die Seelenrettung von [From.GetTitledFirstName] betete. [From.GetTitledFirstName] kam überhaupt nicht vorbei.;;He pasado la noche solo en la capilla rezando fervientemente por la salvación de [From.GetTitledFirstName]. [From.GetSheHe] no apareció.;;;;;;;;;x
