#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;Ce personnage se laisse facilement distraire, et a tendance à oublier rapidement certaines choses. ;;;;;;;;;;;;;x
deaf;Deaf;Sourd;;;;;;;;;;;;;x
deaf_desc;This character is hard of hearing, or, worse, cannot hear at all. Such a disability limits their ability to function.;Ce personnage a beaucoup de mal à entendre, peut-être même complètement. Difficile pour lui de tenir ses fonctions dans ses conditions…;;;;;;;;;;;;;x
lip_reader;Lip-reader;Lit sur les lèvres;;;;;;;;;;;;;x
lip_reader_desc;This character has overcome their deafness by learning how to read lips.;Ce personnage a surmonté sa surdité, et a appris à lire sur les lèvres.;;;;;;;;;;;;;x
#creative;Creative;Créatif;;;;;;;;;;;;;x
#creative_desc;This character is more imaginative than most, able to concoct innovative solutions and come up with exceptional, unexpected ideas.;Ce personnage est plus créatif que la moyenne, et a surement des idées inattendues.;;;;;;;;;;;;;x
calm_voice;Calm Voice;Voix calme;;;;;;;;;;;;;x
calm_voice_desc;This character's voice is naturally soothing. While it is neither powerful nor melodious, its mildness can calm even the angriest of people, and slyly persuade even the most skeptical of men.;Ce personnage a une voix douce. Il arrive à calmer même les plus agressifs interlocuteurs, et peut sournoisement persuader le plus sceptique.;;;;;;;;;;;;;x
imposing;Imposing;Imposant;;;;;;;;;;;;;x
imposing_desc;Whether because of their physical stature or just their typical complexion, this character has a striking posture and a commanding presence. To some, they are even terrifying at times.;Ce personnage a une posture imposante, et une présence digne d'un commandant. Il peut paraitre effrayant à ses ennemis.;;;;;;;;;;;;;x
fertile;Fertile;Fertile;;;;;;;;;;;;;x
fertile_desc;This character is unusually fertile, and seems to be made for producing healthy heirs.;Ce personnage est incroyablement fertile, et donnera certainement naissance à de nombreux héritiers.;;;;;;;;;;;;;x
fashionable;Fashionable;Chic;;;;;;;;;;;;;x
fashionable_desc;This character always wears the lateset fashion trends.;;;;;;;;;;;;;;x
authoritative;Authoritative;Autoritaire;;;;;;;;;;;;;x
authoritative_desc;This character is respected by his subjects.;;;;;;;;;;;;;;x
rude;Rude;Grossier;;;;;;;;;;;;;x
rude_desc;Lacking in tact and politeness...;;;;;;;;;;;;;;x
stubborn;Stubborn;Obstiné;;;;;;;;;;;;;x
stubborn_desc;Is not likely to change.;;;;;;;;;;;;;;x
honorable;Honorable;Honorable;;;;;;;;;;;;;x
honorable_desc;This person is considered Honorable.;;;;;;;;;;;;;;x
selfish;Selfish;Egoiste;;;;;;;;;;;;;x
selfish_desc;;;;;;;;;;;;;;;x
stressed;Exhausted;Epuisé;;;;;;;;;;;;;x
depressed;Sad;Triste;;;;;;;;;;;;;x
dead_target;Dead;Mort;;;;;;;;;;;;;x
dead_target_desc;This character is dead.;Ce personnage est mort.;;;;;;;;;;;;;x
at_east;In the East;Parti à l'Est;;;;;;;;;;;;;x
at_east_desc;This character is on a mission in the unknown lands, far to the east of the Sea of Rhûn.;Ce personnage est en mission dans les terres inconnues, à l'Est de la Mer de Rhûn. ;;;;;;;;;;;;;x
love_amroth;The Love of Amroth and Nimrodel;L'Amour d'Amroth et Nimrodel;;;;;;;;;;;;;x
love_amroth_desc;Amroth and Nimrodel are in love, but the Sylvan Elf refuses to marry the King of Lorien, as he can't promise her a life of peace.;Amroth et Nimrodel s'aiment, mais l'elfe sylvain refuse d'épouser le Roi de la Lorien, tant que celui-ci ne peut lui promettre une vie de paix.;;;;;;;;;;;;;x
story_amroth;The Journey of Amroth and Nimrodel;Le Voyage d'Amroth et Nimrodel;;;;;;;;;;;;;x
story_amroth_desc;Amroth and Nimrodel have left Lorien, and opened a path that will lead to their loss, or to their happiness.;Amroth et Nimrodel ont quittés la Lorien, et entamés un chemin qui les mènera à leurs pertes, ou à leur bonheur.;;;;;;;;;;;;;x
spiritform;Spirit Form;Esprit non incarné;;;;;;;;;;;;;x
spiritform_desc;This character lost his material form after the One Ring was cut from his finger at the Battle of the Last Alliance. If he regains this ring, he will be able to return to his full strength.;Ce personnage a perdu sa forme corporelle lorsque l'Anneau Unique a été coupé de sa main, durant la Bataille de la Dernière Alliance. S'il retrouve l'Anneau, il sera alors capable de retrouver sa pleine puissance, et sa forme perdue.;;;;;;;;;;;;;x
torturer;Torturer;FRE;;;;;;;;;;;;;x
torturer_desc;This character is a torturer.;;;;;;;;;;;;;;x
animal_lover;Animal Lover;FRE;;;;;;;;;;;;;x
animal_lover_desc;This character just loves animals.;;;;;;;;;;;;;;x
nature_lover;Nature Lover;;;;;;x
nature_lover_desc;This character simply loves Nature in all forms.;;;;;;x
animal_tongue;Animal-tongue;FRE;;;;;;;;;;;;;x
animal_tongue_desc;This character seems to be able to communicate with animals.;;;;;;;;;;;;;;x
dreamer;Dreamer;FRE;;;;;;;;;;;;;x
dreamer_desc;This character is a dreamer.;;;;;;;;;;;;;;x
blood_thirsty;Blood Thirsty;FRE;;;;;;;;;;;;;x
blood_thirsty_desc;This character craves for blood.;;;;;;;;;;;;;;x
good_speaker;Good Speaker;FRE;;;;;;;;;;;;;x
good_speaker_desc;This character knows well how to adress a crowd.;;;;;;;;;;;;;;x
elf_friend;Elf-Friend;FRE;;;;;;;;;;;;;x
elf_friend_desc;This character is friendly to elves.;;;;;;;;;;;;;;x
# wizard_friend;Wizard-Friend;FRE;;;;;;;;;;;;;x
# wizard_friend_desc;This character is friendly to wizards.;;;;;;;;;;;;;;x
dwarf_friend;Dwarf-Friend;FRE;;;;;;;;;;;;;x
dwarf_friend_desc;This character is friendly to dwarves.;;;;;;;;;;;;;;x
hobbit_friend;Hobbit-Friend;FRE;;;;;;;;;;;;;x
hobbit_friend_desc;This character is friendly to hobbits.;;;;;;;;;;;;;;x
pipe_smoker;Pipe-Smoker;FRE;;;;;;;;;;;;;x
pipe_smoker_desc;WIP;;;;;;;;;;;;;;x
warg_breeder;Warg-Breeder;FRE;;;;;;;;;;;;;x
warg_breeder_desc;WIP;;;;;;;;;;;;;;x
