#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_Mwall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_Mwatchtower_4;Watchtower;Tour de garde;;;;;x
ct_Mwatchtower_5;Watchtower;Tour de garde;;;;;x
ct_Mwatchtower_6;Watchtower;Tour de garde;;;;;x
ct_Mwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;;x
ct_Mbarracks_1;Barracks;Baraquements;;;;;x
ct_Mbarracks_2;Barracks;Baraquements;;;;;x
ct_Mbarracks_3;Barracks;Baraquements;;;;;x
ct_Mbarracks_4;Barracks;Baraquements;;;;;x
ct_Mbarracks_5;Barracks;Baraquements;;;;;x
ct_Mbarracks_6;Barracks;Baraquements;;;;;x
ct_Mbarracks_1_desc;Barracks allow more troops to be stationned in the city.;Ces baraquements permettent de stationner plus de troupe dans la ville;;;;;x
ct_Mtownmilitia_1;Town Militia;Milice urbaine;;;;;x
ct_Mtownmilitia_2;Town Militia;Milice urbaine;;;;;x
ct_Mtownmilitia_3;Town Militia;Milice urbaine;;;;;x
ct_Mtownmilitia_4;Town Militia;Milice urbaine;;;;;x 
ct_Mtownmilitia_5;Town Militia;Milice urbaine;;;;;x
ct_Mtownmilitia_6;Town Militia;Milice urbaine;;;;;x 
ct_Mtownmilitia_1_desc;The Town Militia trains light troops for war.;La milice urbaine entraîne des troupes lègères pour la guerre.;;;;;x
ct_Mguard_1;City Guard;Garde de la cité;;;;;x 
ct_Mguard_2;City Guard;Garde de la cité;;;;;x 
ct_Mguard_3;City Guard;Garde de la cité;;;;;x 
ct_Mguard_4;City Guard;Garde de la cité;;;;;x 
ct_Mguard_5;City Guard;Garde de la cité;;;;;x 
ct_Mguard_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ct_Mmarketplace_1;Marketplace;Marché;;;;;x
ct_Mmarketplace_2;Marketplace;Marché;;;;;x
ct_Mmarketplace_3;Marketplace;Marché;;;;;x
ct_Mmarketplace_4;Marketplace;Marché;;;;;x
ct_Mmarketplace_5;Marketplace;Marché;;;;;x
ct_Mmarketplace_6;Marketplace;Marché;;;;;x
ct_Mmarketplace_1_desc;The marketplace allows merchant to sell their goods... and to pay taxes!;Le marché permet aux marchands de vendre des biens... et de payer des taxes !;;;;;x
ct_Mport_1;Port;Port;Hafen;Puerto;;;;;x
ct_Mport_2;Port;Port;Hafen;Puerto;;;;;x
ct_Mport_3;Port;Port;Hafen;Puerto;;;;;x
ct_Mport_4;Port;Port;Hafen;Puerto;;;;;x
ct_Mport_5;Port;Port;Hafen;Puerto;;;;;x
ct_Mport_1_desc;A port that services ships coming in to load or unload cargo.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen dazu dient, ihre Fracht zu be- oder entladen.;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;;x
ct_Mshipyard_1;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Mshipyard_2;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Mshipyard_3;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_Mshipyard_4;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x


