#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITrohanisengard.0;Time for the Betrayal;Le Temps de la Trahison;;;;;;;;;;;;x
EVTDESCrohanisengard.5;While Gandalf the Grey was your prisoner, on the highest platform of the Tower of Orthanc, you heared, in the night, like the sound of loud flapping wings, descending from the mountains. You rush to the prison of the Grey Pilgrim, but you're too late. A Great Eagle takes him away from Isengard. You lost your prisoner.;Alors que Gandalf le Gris était votre prisonnier, sur la plus haute plateforme de la Tour d'Orthanc, vous entendez dans la nuit comme le bruit d'un grand battement d'aile, descendant des montagnes. Vous vous ruez vers la prison du Pèlerin Gris, mais vous arrivez trop tard. Un Grand Aigle l'emmene loin de l'Isengard. Vous avez perdu votre prisonnier.;;;;;;;;;;;;x
EVTOPTArohanisengard.5;How could it be...?;Comment est-il possible…?;;;;;;;;;;;;x
EVTTITrohanisengard.6;Saruman the White;Saruman le Blanc;;;;;;;;;;;;x
EVTDESCrohanisengard.6;You learn that the rohirrims servants of Saruman were driven from Isengard, and that Dunlendings replace them with even more terrible creatures: Orcs. It seems that Saruman has made a dark and terrible choice, and despite the soothing words from your advisor Grima, your heart is troubled. Your son Théodred and your nephew Eomer ask you to fortify the Fords of Isen, just in case ...;Vous apprenez que les serviteurs rohirrims de Saruman ont été chassés de l'Isengard, et que des Hommes du Pays de Dun les remplacent, ainsi que des créatures plus terribles encore : des Orques. Il semble que Saruman ait fait un choix bien sombre, et malgré les paroles d'apaisement de votre conseiller Grima, votre coeur est troublé. Votre fils Théodred et votre neveu Eomer vous demandent de fortifier les gués de l'Isen, au cas où...;;;;;;;;;;;;x
EVTOPTArohanisengard.6;We should stronger our defenses…;Nous devrions renforcer nos défenses.;;;;;;;;;;;;x
EVTTITrohanisengard.7;Weaken the Rohan;Affaiblir le Rohan;;;;;;;;;;;;x
EVTDESCrohanisengard.7;You learn that Théodred, the son and heir of Théoden, began to fortify the Fords of Isen. It seems to be the perfect time to weaken Rohan, and just al little more the King's mind. If you send some of your troops on the Fords of Isen, that should be enough to bring down Théodred.;Vous apprenez que Théodred, le fils et héritier de Théoden, a commencé à fortifier les Gués de l'Isen. Il semble que ce soit le moment idéal pour affaiblir le Rohan, et un peu plus l'esprit du Roi. Si vous lancez une partie de vos troupes sur les Gués de l'Isen, cela devrait être suffisant pour mettre à bas Théodred.;;;;;;;;;;;;x
EVTOPTArohanisengard.7;I'll attack the Fords of Isen!;Je vais attaquer les Gués de l'Isen !;;;;;;;;;;;;x
EVTOPTBrohanisengard.7;No, that's not the time.;Non, ce n'est pas le moment…;;;;;;;;;;;;x
EVTTITrohanisengard.8;The Fords of Isen;Les Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.8;You're warned of the approach of an army of Orcs and Dunlendings, at the Fords of Isen. You have strengthened your fortifications, but you need a general to command the troops in this perilous fight. Who among Eomer or Théodred seems most able to lead in this battle?;Vous êtes alerté de l'approche d'une armée composée d'orques et d'Hommes du Pays de Dun, au niveau des Gués de l'Isen. Vous avez renforcé vos fortifications, mais vous avez besoin d'un général pour commander les troupes lors de ce périlleux combat. Qui parmi Eomer ou Théodred vous semble le plus à même de mener cette bataille?;;;;;;;;;;;;x
EVTOPTArohanisengard.8;My son Théodred should lead.;Mon fils Théodred doit commander.;;;;;;;;;;;;x
EVTOPTBrohanisengard.8;Go, Eomer, my nephew!;Allez Eomer, mon neveu !;;;;;;;;;;;;x
EVTTITrohanisengard.9;The Fords of Isen;Les Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.9;The King Théoden sent his own son Théodred to lead troops of Rohan at the Fords of Isen. Your plan is on track ... It's time to launch the assault!;Le Roi Théoden a envoyé son propre fils Théodred pour commander les troupes du Rohan aux Gués de l'Isen. Votre plan se déroule comme prévu... Il est temps de lancer l'assaut !;;;;;;;;;;;;x
EVTOPTArohanisengard.9;Kill primarily the son of the King!;Tuez en priorité le fils du Roi!;;;;;;;;;;;;x
EVTTITrohanisengard.10;The Fords of Isen;Les Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.10;It would seem that an army of orcs from Isengard to attack Rohan Fords of Isen. This news is not good news, and confirms the fears about a betrayal of Saruman ...;Il semblerait qu'une armée d'orques venant de l'Isengard attaque le Rohan aux Gués de l'Isen. Cette nouvelle est de mauvaise augure, et vient confirmer les craintes au sujet d'une trahison de Saruman...;;;;;;;;;;;;x
EVTOPTArohanisengard.10;That's a terrible news!;C'est une nouvelle bien sombre…;;;;;;;;;;;;x
EVTTITrohanisengard.11;The First Battle of the Fords of Isen;La Première Bataille des Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.11;Your troops arrived to Fords of Isen, and engage in combat.;Vos troupes sont arrivées aux Gués de l'Isen, et engagent le combat.;;;;;;;;;;;;x
EVTOPTArohanisengard.11;Kill primarily the son of the King!;Tuez en priorité le fils du Roi!;;;;;;;;;;;;x
EVTTITrohanisengard.12;The First Battle of the Fords of Isen;La Première Bataille des Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.12;An army of Isengard came to the Fords of Isen! We now need to defend positions against the enemy, and hold this strategic position, or th whole Rohan will be threaten ...;Une première armée de l'Isengard est arrivée aux Gués de l'Isen ! Il va falloir maintenant défendre les positions contre l'ennemi, et tenir cette place stratégique, ou tout le Rohan sera menacé...;;;;;;;;;;;;x
EVTOPTArohanisengard.12;Hold the Fords!;Tenez les Gués !;;;;;;;;;;;;x
EVTTITrohanisengard.13;Théodred;Théodred;;;;;;;;;;;;x
EVTDESCrohanisengard.13;It seems that this attack was in fact a trap, in order to directly attack your son, Théodred! He finds himself surrounded by very many troops, as he's trying to defend your kingdom. What to do to help him?;Il semble que cette attaque n'ait été en fait qu'un piège, afin d'attaquer directement votre fils, Théodred ! Il se retrouve en ce moment même encerclé par de nombreuses troupes, alors qu'il tente de défendre votre royaume. Que faire pour l'aider ?;;;;;;;;;;;;x
EVTOPTArohanisengard.13;We should send Eomer!;Nous devrions envoyer Eomer!;;;;;;;;;;;;x
EVTOPTBrohanisengard.13;Our troops must help him to escape!;Nos troupes doivent l'aider à s'enfuir!;;;;;;;;;;;;x
EVTTITrohanisengard.14;The Fords of Isen;Les Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.14;You realize that the troops that guarded another pass come to you to lend a hand, even with the risk to loose the Fords. It seems they have received orders to help you to escape!;Vous vous rendez compte que les troupes qui devaient garder un autre passage viennent vers vous pour vous prêter main forte, au risque de perdre les Gués. Il semble qu'ils aient reçus l'ordre de vous aider à vous enfuir !;;;;;;;;;;;;x
EVTOPTArohanisengard.14;I need to resist and guard the fords.;Je dois résister et garder les Gués.;;;;;;;;;;;;x
EVTOPTBrohanisengard.14;I'll escape this trap!;Je vais m'échapper de ce piège!;;;;;;;;;;;;x
EVTTITrohanisengard.15;Théodred;Théodred;;;;;;;;;;;;x
EVTDESCrohanisengard.15;While Théodred fought bravely on your behalf, he was overwhelmed by enemy troops. His men protected him as much as possible, but he eventually received a mortal blow. Your son and heir fell in the battle.;Alors que Théodred se battait courageusement en votre nom, il a été submergé par les troupes ennemies. Ses hommes l'ont protégé le plus possible, mais il a fini par recevoir un coup mortel. Votre fils et héritier est tombé.;;;;;;;;;;;;x
EVTOPTArohanisengard.15;Where… Where's my son?;Où… Où est mon fils?;;;;;;;;;;;;x
EVTTITrohanisengard.16;Théodred;Théodred;;;;;;;;;;;;x
EVTDESCrohanisengard.16;While Théodred fought bravely on your behalf, he was overwhelmed by enemy troops. His men protected him as much as possible, and he was able to escape from the battle. He's alive, but we don't know if he was wounded or not.;Alors que Théodred se battait courageusement en votre nom, il a été submergé par les troupes ennemies. Ses hommes l'ont protégé le plus longtemps possible, et il a finalement réussi à s'échapper de la bataille. Il est vivant, mais nous ne savons pas encore s'il a été blessé ou non.;;;;;;;;;;;;x
EVTOPTArohanisengard.16;Glad to know it.;Heureux de l'apprendre.;;;;;;;;;;;;x
EVTTITrohanisengard.17;Death of Théodred;Mort de Théodred;;;;;;;;;;;;x
EVTDESCrohanisengard.17;Your plan worked perfectly! During the battle, your troops have surrounded the prince, and after a long struggle, he was finally defeated, and now lies among the other corpses. Rohan is much weaker without him, and the King will be easier to control.;Votre plan a fonctionné parfaitement! Durant la bataille, vos troupes ont encerclés le Prince, et après un long combat, il a finalement été vaincu, et gît maintenant parmi les autres cadavres. Le Rohan est bien plus faible sans lui, et le Roi sera plus influençable.;;;;;;;;;;;;x
EVTOPTArohanisengard.17;Time to send more men now.;Il est temps d'envoyer plus d'hommes.;;;;;;;;;;;;x
EVTTITrohanisengard.18;Théodred escaped!;Théodred s'est échappé!;;;;;;;;;;;;x
EVTDESCrohanisengard.18;According to your plans, Théodred has quickly found surrounded in battle. Despite the superiority of your troops, the force of the Prince was larger, and he finally managed to escape. You should send more men to take control of Fords, anyway.;Conformément à vos plans, Théodred s'est très vite retrouvé encerclé durant la bataille. Malgré la supériorité de vos troupes, la force du Prince était plus grande, et il a finalement réussi à s'échapper. Vous devriez envoyer plus d'hommes pour prendre le contrôle des Gués, de toute manière.;;;;;;;;;;;;x
EVTOPTArohanisengard.18;Take the Fords!;Prenez les Gués!;;;;;;;;;;;;x
EVTTITrohanisengard.19;The Second Battle of the Fords of Isen;La Seconde Bataille des Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.19;The reinforcements arrived in the Fords, and now begin to attack the last garrisons of Rohan there.;Les renforts sont arrivés aux Gués, et commencent dès maintenant à attaquer les derniers hommes du Rohan encore présents.;;;;;;;;;;;;x
EVTOPTArohanisengard.19;Slain them all!;Tuez les tous !;;;;;;;;;;;;x
EVTTITrohanisengard.20;The Second Battle of the Fords of Isen;La Seconde Bataille des Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.20;Isengard has sent more troops to the Fords, and the battle raged. You hope that your men can resist ...;L'Isengard a envoyé plus de troupes aux Gués, et la bataille fait rage. Esperons que vos hommes pourront résister...;;;;;;;;;;;;x
EVTOPTArohanisengard.20;Guards the Fords!;Gardez les Gués !;;;;;;;;;;;;x
EVTTITrohanisengard.21;Eomer;Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.21;You learn that the Rohan strengthens the Fords of Isen, and that the troops are ordered by Eomer, nephew of the King, and one of the main marshals of Rohan. This is of course not the Prince Théodred, but the death of Eomer should still weaken the Rohan ...;Vous apprenez que le Rohan fortifie les Gués de l'Isen, et que les troupes y sont commandées par Eomer, le neveu du Roi, et l'un des principaux maréchaux du Rohan. Ce n'est bien sur pas Théodred, mais la mort d'Eomer affaiblirait quand même le Rohan...;;;;;;;;;;;;x
EVTOPTArohanisengard.21;Time to attack then!;A l'attaque alors!;;;;;;;;;;;;x
EVTTITrohanisengard.22;The Fords of Isen;Les Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.22;The battle rages in the Fords of Isen, and your troops, commanded by Eomer are encircled. It appears that your nephew is the main target of the enemy armies ... It's a trap! What will you do to help him?;La bataille fait rage aux Gués de l'Isen, et vos troupes, commandées par Eomer, sont encerclées. Il semblerait que votre neveu soit la cible principale des armées ennemies... C'est un piège! Qu'allez-vous faire pour l'aider?;;;;;;;;;;;;x
EVTOPTArohanisengard.22;Théodred, go to help him!;Théodred, allez l'aider!;;;;;;;;;;;;x
EVTOPTBrohanisengard.22;We should help Eomer to flee!;Nous devons aider Eomer à s'enfuir!;;;;;;;;;;;;x
EVTTITrohanisengard.23;The Fords of Isen;Les Gués de l'Isen;;;;;;;;;;;;x
EVTDESCrohanisengard.23;You realize that the troops that guarded another pass come to you to lend a hand, even with the risk to loose the Fords. It seems they have received orders to help you to escape!;Vous vous rendez compte que les troupes qui devaient garder un autre passage viennent vers vous pour vous prêter main forte, au risque de perdre les Gués. Il semble qu'ils aient reçus l'ordre de vous aider à vous enfuir !;;;;;;;;;;;;x
EVTOPTArohanisengard.23;I need to resist and guard the fords.;Je dois résister et garder les Gués.;;;;;;;;;;;;x
EVTOPTBrohanisengard.23;I'll escape this trap!;Je vais m'échapper de ce piège!;;;;;;;;;;;;x
EVTTITrohanisengard.24;Eomer;Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.24;While Eomer fought bravely on your behalf, he was overwhelmed by enemy troops. His men protected him as much as possible, but he eventually received a mortal blow. Your nephew fell in the battle.;Alors qu'Eomer se battait courageusement en votre nom, il a été submergé par les troupes ennemies. Ses hommes l'ont protégé le plus possible, mais il a fini par recevoir un coup mortel. Votre neveu est tombé.;;;;;;;;;;;;x
EVTOPTArohanisengard.24;Where… Where's Eomer?;Où… Où est Eomer?;;;;;;;;;;;;x
EVTTITrohanisengard.25;Eomer;Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.25;While Eomer fought bravely on your behalf, he was overwhelmed by enemy troops. His men protected him as much as possible, and he was able to escape from the battle. He's alive, but we don't know if he was wounded or not.;Alors qu'Eomer se battait courageusement en votre nom, il a été submergé par les troupes ennemies. Ses hommes l'ont protégé le plus longtemps possible, et il a finalement réussi à s'échapper de la bataille. Il est vivant, mais nous ne savons pas encore s'il a été blessé ou non.;;;;;;;;;;;;x
EVTOPTArohanisengard.25;Glad to know it.;Heureux de l'apprendre.;;;;;;;;;;;;x
EVTTITrohanisengard.26;Death of Eomer;Mort d'Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.26;Your plan worked perfectly! During the battle, your troops have surrounded Eomer, and after a long struggle, he was finally defeated, and now lies among the other corpses. Rohan is much weaker without him, and the King will be easier to control.;Votre plan a fonctionné parfaitement! Durant la bataille, vos troupes ont encerclés Eomer, et après un long combat, il a finalement été vaincu, et gît maintenant parmi les autres cadavres. Le Rohan est bien plus faible sans lui, et le Roi sera plus influençable.;;;;;;;;;;;;x
EVTOPTArohanisengard.26;Time to send more men now.;Il est temps d'envoyer plus d'hommes.;;;;;;;;;;;;x
EVTTITrohanisengard.27;Eomer escaped!;Eomer s'est échappé!;;;;;;;;;;;;x
EVTDESCrohanisengard.27;According to your plans, Eomer has quickly found surrounded in battle. Despite the superiority of your troops, the force of the Rohir was larger, and he finally managed to escape. You should send more men to take control of Fords, anyway.;Conformément à vos plans, Eomer s'est très vite retrouvé encerclé durant la bataille. Malgré la supériorité de vos troupes, la force du Maréchal était plus grande, et il a finalement réussi à s'échapper. Vous devriez envoyer plus d'hommes pour prendre le contrôle des Gués, de toute manière.;;;;;;;;;;;;x
EVTOPTArohanisengard.27;Take the Fords!;Prenez les Gués!;;;;;;;;;;;;x
EVTTITrohanisengard.28;Fight at the Fords!;Combats aux Gués!;;;;;;;;;;;;x
EVTDESCrohanisengard.28;The fights rages in the Fords of Isen. It seems that all this is a trap to slain the main generals of Rohan, but despite that, the King sends you to help the men placed there. Will you obey him?;Les combats font rage aux Gués de l'Isen. Il semble que tout ceci ne soit qu'un piège pour tuer les principaux généraux du Rohan, mais malgré ça, le Roi vous envoie prêter main forte aux hommes placés là-bas. Allez-vous lui obéir?;;;;;;;;;;;;x
EVTOPTArohanisengard.28;Of course, I'll help them!;Bien sur que je vais les aider!;;;;;;;;;;;;x
EVTOPTBrohanisengard.28;This is a trap!;C'est un Piège !;;;;;;;;;;;;x
EVTTITrohanisengard.29;Eomer and Théodred;Eomer and Théodred;;;;;;;;;;;;x
EVTDESCrohanisengard.29;Eomer and Théodred are now fighting together, in the Fords of Isen. The arrival of reinforcements seems to have given courage to your troops, but the soldiers of Isengard continue to surround them. We hope that the outcome will be favorable ...;Eomer and Théodred sont en train de combattre ensemble, aux Gués de l'Isen. L'arrivée des renforts semble avoir redonné du courage à vos troupes, mais les soldats d'Isengard continuent de les encercler. Esperons que l'issue nous soit favorable...;;;;;;;;;;;;x
EVTOPTArohanisengard.29;I hope they'll survive!;J'espère qu'ils survivront!;;;;;;;;;;;;x
EVTTITrohanisengard.31;Théodred;Théodred;;;;;;;;;;;;x
EVTDESCrohanisengard.31;Despite the reinforcements, the battle goes wrong. Théodred finds himself surrounded on one of the islands, unable to fall back, and Eomer wasn't able to come to his rescue. After a valiant fight, he collapsed, killed by his enemies.;Malgré les renforts, le combat tourne mal. Théodred se retrouve encerclé sur un des ilots, sans pouvoir se replier, et sans qu'Eomer puisse venir à son secours. Après un valeureux combat, il s'effondre, tué par ses ennemis.;;;;;;;;;;;;x
EVTOPTArohanisengard.31;Where's my son?;Où est mon fils?;;;;;;;;;;;;x
EVTTITrohanisengard.32;Théodred and Eomer;Théodred et Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.32;Disaster! While your reinforcements arrived to rescue your men, they found themselves in turn trapped. Eomer and Théodred were separated, and weren't able to gather their forces, and one after another, were defeated by your enemies. Their dead bodies were brought back to Edoras, and you cry for your broken line.;Désastre! Alors que vos renforts arrivaient pour secourir vos hommes, ils se sont retrouvés à leur tour pris au piège. Eomer et Théodred, séparés, ne purent rassemblés leurs forces, et l'un après l'autre, ont été vaincus par vos ennemis. Leurs corps sans vie ont été ramenés à Edoras, et vous pleurez votre lignée brisée.;;;;;;;;;;;;x
EVTOPTArohanisengard.32;The House of Eorl failed…;La Maison d'Eorl a failli…;;;;;;;;;;;;x
EVTTITrohanisengard.33;Théodred and Eomer;Théodred et Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.33;Your reinforcements seemed to have arrived on time and were able to quickly create a breach in the enemy lines, allowing the circled troops to escape the trap. Théodred and Eomer fought many more hours, but they survived.;Vos renforts semblent être arrivés à temps, et ont réussi à créer rapidement une brèche dans les lignes ennemies, permettant ainsi aux troupes encerclées de se replier. Théodred et Eomer ont combattu encore de nombreuses heures, mais ils ont survécus. ;;;;;;;;;;;;x
EVTOPTArohanisengard.33;They're great commanders.;Ce sont de grands commandants.;;;;;;;;;;;;x
EVTTITrohanisengard.34;Eomer;Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.34;Despite the reinforcements, the battle goes wrong. Eomer finds himself surrounded on one of the islands, unable to fall back, and Théodred wasn't able to come to his rescue. After a valiant fight, he collapsed, killed by his enemies.;Malgré les renforts, le combat tourne mal. Eomer se retrouve encerclé sur un des ilots, sans pouvoir se replier, et sans que Théodred puisse venir à son secours. Après un valeureux combat, il s'effondre, tué par ses ennemis.;;;;;;;;;;;;x
EVTOPTArohanisengard.34;Where's Eomer?;Où est Eomer?;;;;;;;;;;;;x
EVTTITrohanisengard.35;Théodred and Eomer;Théodred et Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.35;Great news my Lord! Théodred and Eomer fought together at the Fords of Isen, and we managed to beat them both! They now lie in Edoras and the line of Eorl seems broken. What a wonderful plan!;Grande nouvelle monseigneur! Théodred et Eomer se sont battus ensemble aux Gués de l'Isen, et nous avons réussi à les vaincre tous les deux! Ils gisent maintenant à Edoras, et la lignée d'Eorl semble brisée. Quel merveilleux plan!;;;;;;;;;;;;x
EVTOPTArohanisengard.35;I didn't expect so much!;Je n'en espérais pas autant!;;;;;;;;;;;;x
EVTTITrohanisengard.36;Théodred and Eomer;Théodred et Eomer;;;;;;;;;;;;x
EVTDESCrohanisengard.36;Bad news my Lord! Théodred and Eomer fought together at the Fords of Isen, and they managed to escape the fight! They're both alive, and your plan failed…;Mauvaise nouvelle Monseigneur! Théodred et Eomer ont combattu ensemble aux Gués de l'Isen, et ont réussi à s'échapper de votre piège. Ils sont tous deux vivants… Votre plan a échoué.;;;;;;;;;;;;x
EVTOPTArohanisengard.36;I've got incompetents generals!;J'ai des généraux incompétents !;;;;;;;;;;;;x
