#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTTITamroth.0;The Story of Amroth and Nimrodel;L'Histoire d'Amroth et Nimrodel;;;;;;x
EVTDESCamroth.10;You will find separate you from Amroth, on a path that you don't know. Some robbers continue to pursue you, and you're forced to move forward.;Vous vous retrouvez séparée d'Amroth, sur un chemin que vous ne connaissez pas. Quelques brigands vous poursuivent, et vous êtes obligée d'aller de l'avant.;;;;;;x
EVTOPTAamroth.10;I'll escape them!;Je vais m'échapper !;;;;;;x
EVTDESCamroth.11;While you try to escape, the robbers surrounded you. You try to defend yourself, but one of them stabs you, and leave you in a thicket, dying.;Alors que vous tentez de vous échapper, des brigands vous ont encerclé. Vous tentez de vous défendre, mais l'un d'entre eux vous poignarde, et vous laisse dans un bosquet, agonisante.;;;;;;x
EVTOPTAamroth.11;Amroth… Where are… you?;Amroth… Où… es-tu?;;;;;;x
EVTDESCamroth.12;You stayed alongside Amroth, and he was able to defend you. You're safe, ready to continue your journey ...;Vous êtes restée aux cotés d'Amroth, et il a réussi à vous défendre. Vous êtes sains et saufs, prêts à poursuivre votre route...;;;;;;x
EVTOPTAamroth.12;Edhellond is not so far now.;Edhellond n'est plus très loin.;;;;;;x
EVTDESCamroth.13;During the battle, you have lost sight of Nimrodel. She's now on the road, but you don't know which direction she could have taken ...;Pendant la bataille, vous avez perdu de vue Nimrodel. Elle est maintenant sur les routes, mais vous ne savez pas quelle direction elle a pu prendre...;;;;;;x
EVTOPTAamroth.13;I'll go to Edhellond directly.;Je vais aller directement à Edhellond;;;;;;x
EVTOPTBamroth.13;I'll search Nimrodel.;Je vais chercher Nimrodel.;;;;;;x
EVTDESCamroth.14;After the battle, you discover a few hundred yards away the body of Nimrodel, lifeless. She was killed by one of the robbers, and all hope leave you now. You should follow the plan and take the sea for Valinor.;Après la bataille, vous découvrez, à quelques centaines de mètres plus loin, le corps de Nimrodel, sans vie. Elle a été tuée par l'un des brigands, et tout espoir vous quitte maintenant. Vous devriez suivre le plan, et prendre la mer.;;;;;;x
EVTOPTAamroth.14;My life has no meaning now.;Ma vie n'a plus de sens maintenant.;;;;;;x
EVTDESCamroth.15;You are now in Edhellond, ready to embark for the Lands of Valinor. You will never see again your Kingdom of Lorien, but you know it will be in good hands.;Vous êtes maintenant en Edhellond, prêt à embarquer pour les Terres de Valinor. Vous ne reverrez plus jamais votre Royaume de Lorien, mais vous savez qu'il sera entre de bonnes mains.;;;;;;x
EVTOPTAamroth.15;I'll never come back.;Je ne reviendrais pas.;;;;;;x
EVTDESCamroth.16;You're now in Edhellond, ready to sail for the Lands of Valinor. You'll be able to love your wife, in a realm without any wars.;Vous êtes maintenant en Edhellond, prêt à embarquer pour les Terres de Valinor. Vous ne reverrez plus jamais votre Royaume de Lorien, mais vous savez que vous pourrez vivre avec votre femme dans un royaume sans guerres…;;;;;;x
EVTOPTAamroth.16;For my love, to Valinor.;Pour mon amour, vers Valinor.;;;;;;x
EVTDESCamroth.17;You're now in Edhellond, but Nimrodel is not here. You don't know where she is, but you'll wait for her, in the last boat of the Sindar.;Vous êtes en Edhellond, mais Nimrodel n'est pas là. Vous ne savez pas où elle peut se trouver, et vous allez l'attendre, dans le dernier bateau des Sindar d'Edhellond.;;;;;;x
EVTOPTAamroth.17;Where could she be?;Où peut-elle être?;;;;;;x
EVTDESCamroth.19;You're lost, in the forests of Belfalas. You don't know where you have to go, but you find a river, like yours in Lorien.;Vous êtes perdue, dans les forêts du Belfalas, et vous ne savez quelle direction vous devez prendre. Un jour, vous vous retrouvez sur les rives d'une rivière, ressemblant à celle auprès de laquelle vous viviez en Lorien.;;;;;;x
EVTOPTAamroth.19;I'll take some rest here.;Je prendrais un peu de repos ici.;;;;;;x
EVTDESCamroth.20;As winter approaches, a great storm arose in the Bay of Belfalas. You live in the ship for weeks, and suddenly let go of the ropes. The ship is carried out to sea, and in the midst of the storm, you fall into the water.;;;;;;;x
EVTOPTAamroth.20;I'm drowning!;Je me noie !;;;;;;x
EVTDESCamroth.18;For three months, you have traveled the lands of Belfalas, but did not find evidence of Nimrodel. Will you continue to search, or go now to expect her in Edhellond?;Pendant trois mois, vous avez parcouru les terres du Belfalas, mais n'avez pas trouvé signe de Nimrodel. Allez-vous continuer, ou aller maintenant l'attendre en Edhellond?;;;;;;x
EVTOPTAamroth.18;I'll wait for her in Edhellond.;Je vais l'attendre à Edhellond.;;;;;;x
EVTOPTBamroth.18;I'll search again.;Je vais chercher encore.;;;;;;x
EVTDESCamroth.21;After some time sleeping near to the river, you finally wake up. You take the road to get in Edhellond, hoping it is not too late.;Après un certain temps à dormir au bord de la rivière, vous vous réveillez enfin. Vous reprenez la route pour vous rendre en Edhellond, en esperant qu'il ne soit pas trop tard.;;;;;;x
EVTDESCamroth.22;One morning, when you get off the boat to scan the horizon, you see Nimrodel and courtesans off. Your heart leaps for joy, it will now be time to leave.;Un matin, alors que vous descendez du bateau pour scruter l'horizon, vous voyez Nimrodel et ses courtisanes au loin. Votre coeur bondit de joie, il va maintenant être temps de partir.;;;;;;x
EVTOPTAamroth.22;We'll travel now!;Nous pouvons prendre le large !;;;;;;x
EVTDESCamroth.23;As you ascend the course of a river, you find Nimrodel, and some of her following, housed in a clearing. You're happy to find her, and you can now go to Edhellond, without leaving her.;Alors que vous remontez le cours d'une rivière, vous trouvez Nimrodel, et certaines de ses suivantes, abritées dans une clairière. Vous êtes heureux de la retrouver, et vous vous mettez en route pour Edhellond, ne la quittant plus des yeux.;;;;;;x
EVTOPTAamroth.23;I'll never leave you!;Je ne vous quitterais plus !;;;;;;x
EVTTITamroth.24;An Elf lost in Belfalas;Une Elfe perdue en Belfalas;;;;;;x
EVTDESCamroth.24;A Numenorean named Imrazôr, whose family has long been installed in Belfalas, comes to see you. He found an elf wandering in the woods, and known under the name of Mithrellas. It appears to be a servant of Nimrodel, the love of Amroth of Lorien, who was lost with his mistress in the forests of Belfalas. Will you propose to stay in your court?;Un numénoréen du nom d'Imrazôr, dont la famille est depuis longtemps installée au Gondor, vient vous voir. Il a trouvé une elfe errant dans les bois, et qui répond au nom de Mithrellas. Il semblerait qu'elle soit une servante de Nimrodel, l'amour d'Amroth de la Lorien, qui s'est perdue avec sa maitresse. Allez-vous lui proposer de rester dans votre cour?;;;;;;x
EVTOPTAamroth.24;I'll welcome her.;Je l'accueille avec joie.;;;;;;x
EVTOPTBamroth.24;She needs to return with her kin.;Elle doit retourner avec son peuple.;;;;;;x
EVTDESCamroth.25;You were lost, but Imrazôr, a descendant of Numenoreans, found you. You have been invited to stay in the court of the Prince of Belfalas, time as you like.;Vous étiez perdue, mais Imrazôr, un descendant des Numénoréens, vous a trouvé. Vous avez été invitée à séjourner dans la cour du Prince du Belfalas, le temps qu'il vous plaira.;;;;;;x
EVTOPTAamroth.25;Thanks, Lord.;Merci, Seigneur.;;;;;;x
EVTDESCamroth.26;The first time you met Mithrellas in the woods of Belfalas, you're immediately fell in love. Your love continues to grow, and it is time to declare your flame to the elve.;La première fois que vous avez rencontré Mithrellas dans les bois du Belfalas, vous êtes immédiatement tombé amoureux. Votre amour ne cesse de croitre, et il est temps de le déclarer à l'élue de votre coeur.;;;;;;x
EVTOPTAamroth.26;I want to marry you, Mithrellas;Je veux vous épouser, Mithrellas;;;;;;x
EVTDESCamroth.27;Imrazor comes to you, the anxious air. After a long discussion, he reveals his love for you, and asks you to marry him.;Imrazor vient vers vous, l'air anxieux. Après une longue discussion, il vous révéle son amour pour vous, et vous demande de l'épouser.;;;;;;x
EVTOPTAamroth.27;I accept your offer.;J'accepte votre demande;;;;;;x
EVTDESCamroth.28;Mithrellas has accepted your asking, and is now your wife.;;;;;;;x
EVTOPTAamroth.28;Praise the Valar!;Louez soient les Valar !;;;;;;x
EVTDESCamroth.29;Mithrellas gave birth to your first child, and it's a boy. An elven blood lineage is now born.;Mithrellas a donné naissance à votre premier enfant, et c'est un garçon. Une lignée au sang elfique est maintenant née.;;;;;;x
EVTOPTAamroth.29;His name will be Galador;Son nom sera Galador;;;;;;x
EVTDESCamroth.30;A lineage elven blood appeared on the land of Belfalas. Will you let this dynasty take control of the territory, for the greatness of your people?;Une lignée au sang elfique est apparue sur les terres du Belfalas. Allez-vous laisser cette dynastie prendre les commandes de ce territoire, pour la grandeur de votre peuple?;;;;;;x
EVTOPTAamroth.30;The Children of Imrazor are so prestigious!;Les Enfants d'Imrazôr sont si prestigieux !;;;;;;x
EVTOPTBamroth.30;No, Mithrellas was only a maid.;Non, Mithrellas n'était qu'une servante.;;;;;;x
EVTDESCamroth.31;Amroth didn't find Nimrodel, or she refused to marry him;@FIXME@: Amroth don't find Nimrodel in the first events, or she refuse to marry him;;;;;;x
EVTOPTAamroth.31;He's nobler than me.;@FIXME@: He's nobliest than me.;;;;;;x
