#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
reconquer_moria;Reclaim Khazad-Dûm;Reconquérir Khazad-Dûm;;;;;;;;;;;x
EVTDESCholywars.5;You have gathered many troops, and it is now time to launch this campaign. Take back the halls of Khazad-dûm and Dwarrowdelf for your people!;Vous avez rassemble de nombreuses forces, et il est temps maintenant de lancer cette guerre que vous attendez. La cité de Khazad-Dûm est votre cible, et il est temps de la reprendre pour votre Peuple !;;;;;;;;;;;x
EVTOPTAholywars.5;Baruk Khazâd! Khazâd ai-mênu!;Baruk Khazâd! Khazâd ai-mênu! ;;;;;;;;;;;x
EVTTITholywars.6;@FIXME@ The Forces of the Dwarves join the War;@FIXME@ The Forces of the Dwarves join the War;;;;;;;;;;;x
EVTDESCholywars.6;@FIXME@ The Forces of the Dwarves join the War;@FIXME@ The Forces of the Dwarves join the War;;;;;;;;;;;x
EVTOPTAholywars.6;Time to Fight Now!;@FIXME@ Time to Fight Now!;;;;;;;;;;;x
EVTTITholywars.7;Reinforcements from the Mountains;Des renforts venus des Montagnes;;;;;;;;;;;x
EVTDESCholywars.7;Coming from across the Mountains, Orcs, Goblins and Trolls join you, attracted by the promise of blood to come. These reinforcements will help you to stand firm, and face off the approaching Dwarven armies.;;;;;;;;;;;;x
EVTOPTAholywars.7;There will be enough Dwarf Meat for all!;Il y aura assez de Viande Naine pour Tous!;;;;;;;;;;;x
reconquer_osgiliath;Reclaim Osgiliath;Reconquérir Osgiliath;;;;;;;;;;;x
reconquer_osgiliath_desc;Osgiliath is held by our enemies. This city belongs to the Gondor, and you can try to reclaim it for your Kingdom.;Osgiliath est occupée par l'un de nos ennemis. Cette cité appartient au Gondor, et nous devons tout faire pour la reprendre !;;;;;;;;;;;x
EVTTITholywars.8;Reclaim Osgiliath;Reconquérir Osgiliath;;;;;;;;;;;x
EVTDESCholywars.8;Osgiliath, the former capital of the united Kingdom, where the thrones of Isildur and Anarion sit, is occupied by the enemy. You can gather a powerful army, and try to regain control of the city, although it has long since been abandoned.;Osgiliath, l'ancienne capitale du Royaume Unifié, où se trouvent les trônes d'Isildur et d'Anarion, est occupée par l'ennemi. Vous devriez rassembler une puissante troupe, et reprendre le contrôle de cette ville, même si elle a été abandonnée longtemps. ;;;;;;;;;;;x
EVTOPTAholywars.8;I will reclaim Osgiliath for the Gondor!;Je vais reprendre Osgiliath pour le Gondor !;;;;;;;;;;;x
EVTOPTCholywars.8;We are not strong enough, this is folly.;Je ne suis pas assez fort…;;;;;;;;;;;x
EVTTITholywars.9;Threat from Gondor...;Une Menace venant du Gondor…;;;;;;;;;;;x
EVTDESCholywars.9;You learn that Gondor rallies troops to retake Osgiliath. You should prepare your defenses, their attack will come soon.;Vous apprenez que le Gondor rassemble des troupes pour reprendre Osgiliath. Vous devriez préparer vos défenses, car ils ne tarderont certainement pas à attaquer.;;;;;;;;;;;x
EVTOPTAholywars.9;I will crush them.;Je les écraserais.;;;;;;;;;;;x
EVTTITholywars.10;Reclaim Osgiliath;Reconquérir Osgiliath;;;;;;;;;;;x
EVTDESCholywars.10;You are ready to fight against the forces of enemy occupying the city of Osgiliath. It is time to attack, and show your enemies that Gondor is still strong!;Vous êtes prêt à vous battre contre les forces qui occupent la cité d'Osgiliath. Il est maintenant temps d'attaquer, et de montrer à vos ennemis que le Gondor n'est pas si faible qu'il y parait.;;;;;;;;;;;x
EVTOPTAholywars.10;For Gondor!;Pour le Gondor !;;;;;;;;;;;x
EVTTITholywars.11;Battle for Osgiliath;La Bataille d'Osgiliath;;;;;;;;;;;x
EVTDESCholywars.11;The armies of Gondor have begun their campaign to reclaim their ancient capital. You have fortified the ruins, many reinforcements have arrived in recent days, and you're ready to see them off.;;;;;;;;;;;;x
EVTOPTAholywars.11;I do not fear them!;Je ne les crains pas !;;;;;;;;;;;x
reconquer_gundabad;Reclaim Gundabad;Reconquérir Gundabad;;;;;;;;;;;x
reconquer_gundabad_desc;Mount Gundabad is a sacred place, the mountain where Durin I the Deathless awoke in First Age. You can try to reclaim it's desecrated halls and bring glory to the Dwarves once more.;Le Mont Gundabad est l'endroit où s'éveilla jadis Durin Trompe-la-Mort, avant qu'il ne s'installe à Khazad-Dûm. Vous devriez reprendre cette montagne sacrée.;;;;;;;;;;;x
EVTTITholywars.12;Reclaim Gundabad;Reconquérir Gundabad;;;;;;;;;;;x
EVTDESCholywars.12;Mount Gundabad, where Durin I the Deathless awoke in First Age, has long been abandoned by the Dwarves, and defiled by Orcs. There once stood, in this place revered by Dwarves, a Grand Assembly of your kin. All rulers of Dwarves met here, to trade, negotiate and rule as one. If you succeeded in reclaiming this Mountain, it would be a strong signal for the return of Old Time, and perhaps once more all the Clans of Dwarves could be united one banner.;Le Mont Gundabad, où s'éveilla jadis Durin Trompe-la-Mort, est depuis longtemps abandonné par les nains, et souillé par les Orques. Autrefois, en ce lieu vénéré par les vôtres, se tenait une Grande Assemblée des Nains. Nul doute que si vous réussissiez à reconquérir la Montagne, les Nains des autres Tribus y verrait un signal fort du retour des Temps Anciens, et peut-être pourrez-vous unir tout les clans sous une seule bannière?;;;;;;;;;;;x
EVTOPTAholywars.12;I will gather all the Clans of Dwarves!;Je vais rassembler tous les Clans des Nains!;;;;;;;;;;;x
EVTOPTBholywars.12;I will reclaim this Holy Mountain alone.;Je vais reprendre ce Mont Sacré seul.;;;;;;;;;;;x
EVTOPTCholywars.12;We can't reclaim this mountain, it is folly...;Je ne reconquérerais pas le Mont.;;;;;;;;;;;x
EVTTITholywars.13;Reclaim Gundabad;Reconquérir Gundabad;;;;;;;;;;;x
EVTDESCholywars.13;You receive a message from [From.GetTitle] [From.GetFirstName], it reads: "Holiest Mount Gundabad has for too long beat a seat of our enemies. I appeal to all the clans of Dwarves to reclaim the Mount where Durin the Deathless awoke, to finally drive out those who took our lands, for the glory and honor of our People. Will you respond the call [From.GetTitle] [From.GetFirstName]?";"Vous recevez un message de [From.GetFirstName], qui dit ceci : ""Le Mont Saint de Gundabad est depuis trop longtemps occupé par nos ennemis. J'en appelle à tous les clans des Nains pour reconquérir ce lieu où s'éveilla Durin Trompe-la-Mort au nom de notre Peuple, et en chasser enfin ceux qui ne devraient pas y vivre. Allez-vous répondre favorablement à mon appel?  [From.GetFirstName]"". ";;;;;;;;;;;x
EVTOPTAholywars.13;I will join you,[From.GetFirstName].;Je vais me joindre à vous, [From.GetTitle] [From.GetFirstName].;;;;;;;;;;;x
EVTOPTBholywars.13;This is folly, I will not send help.;Pas de guerre pour moi.;;;;;;;;;;;x
EVTTITholywars.14;Reclaim Gundabad;Reconquérir Gundabad;;;;;;;;;;;x
EVTDESCholywars.14;You receive a response from [From.GetTitle] [From.GetFirstName]. He will join you with a war party to reclaim the Mount where Durin the Deathless awoke.;Vous recevez la réponse de [From.GetFirstName], et celle-ci est positive. Il vous rejoindra avec une partie de ses forces, pour reprendre ce Mont Saint des Nains.;;;;;;;;;;;x
EVTOPTAholywars.14;We are stronger together!;Nous sommes plus forts!;;;;;;;;;;;x
EVTTITholywars.15;Threatening Dwarves;Des Nains menaçants…;;;;;;;;;;;x
EVTDESCholywars.15;Your spies report to you that Dwarves led by [From.GetTitle] [From.GetFirstName] gather their forces, they hope to reconquer Mount Gundabad. They seem determined, and you will have to fight to defend the city.;Vos espions vous rapportent que des Nains, menés par le [From.GetTitle] [From.GetFirstName], rassemblent leurs forces, dans l'espoir de reprendre le Mont Gundabad de vos mains. Ils semblent déterminés, et il parait évident que vous devrez vous battre pour garder la cité. ;;;;;;;;;;;x
EVTOPTAholywars.15;I will crush them.;Je les écraserais.;;;;;;;;;;;x
EVTTITholywars.16;Reclaim Gundabad;Reconquérir Gundabad;;;;;;;;;;;x
EVTDESCholywars.16;You have gathered many troops, and it is now time to launch this campaign. Mount Gundabad is your target, take it back for your people!;Vous avez rassemble de nombreuses forces, et il est temps maintenant de lancer cette guerre que vous attendez. Le Mont Gundabad est votre cible, et il est temps de la reprendre pour votre Peuple !;;;;;;;;;;;x
EVTOPTAholywars.16;Baruk Khazâd! Khazâd ai-mênu! ;Baruk Khazâd! Khazâd ai-mênu! ;;;;;;;;;;;x
EVTTITholywars.17;@FIXME@ The Forces of the Dwarves join the War;@FIXME@ The Forces of the Dwarves join the War;;;;;;;;;;;x
EVTDESCholywars.17;@FIXME@ The Forces of the Dwarves join the War;@FIXME@ The Forces of the Dwarves join the War;;;;;;;;;;;x
EVTOPTAholywars.17;Time to Fight Now!;@FIXME@ Time to Fight Now!;;;;;;;;;;;x
EVTTITholywars.18;Reinforcements from the Mountains;Des renforts venus des Montagnes;;;;;;;;;;;x
EVTDESCholywars.18;Coming from across the Mountains, Orcs, Goblins and Trolls join you, attracted by the promise of blood to come. These reinforcements will help you to stand firm, and face off the approaching Dwarven armies.;;;;;;;;;;;;x
EVTOPTAholywars.18;There will be enough Dwarf Meat for all!;Il y aura assez de Viande Naine pour Tous!;;;;;;;;;;;x
