#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL;Merchant Republics are not allowed to change Capital, unless they are moving it to a city in a province with a port from a province without a port;Les républiques marchandes ne peuvent pas déplacer leur capitale à moins de la déplacer d'une ville de province sans port à une ville de province avec port.;Kaufmannsrepubliken dürfen ihre Hauptstadt nicht verlegen, es sei denn, die Verlegung erfolgt von einer Provinz ohne Hafen in eine Provinz mit Hafen.;;Las repúblicas mercantes no son permitidas cambiar capital, a menos que lo muevan a una ciudad en una provincia con puerto desde una provincia sin  puerto.;;;;;;;;;x
PRESTIGE_LAW_PASSED_SETUP;Law Instituted;Loi instaurée;Gesetz eingeführt;;Ley instituida;;;;;;;;;x
GOV_BUILD_WITH_PIETY_DESC;Uses Piety to build $HOLDINGS_LIST$ Holdings;L'établissement de propriétés de type '$HOLDINGS_LIST$' consomme de la piété;Verwendet Pietät, um die Liegenschaften $HOLDINGS_LIST$ zu errichten;;Utiliza piedad para construir  $HOLDINGS_LIST$ propiedades;;;;;;;;;x
GOVERNMENT_VASSALS_LESS_THAN;Have less than §Y$NUM$§! §Y$GOVERNMENT$§! vassals;Avoir moins de §Y$NUM$§! vassaux d'un gouvernement de type '§Y$GOVERNMENT$§!';Weniger als 'Y$NUM$'! Vasallen der Regierungsform 'Y$GOVERNMENT$'!;;Tiene menos de §Y$NUM$§! §Y$GOVERNMENT$§!vasallos. ;;;;;;;;;x
GOVERNMENT_VASSALS_AT_LEAST;Have at least §Y$NUM$§! §Y$GOVERNMENT$§! vassals;Avoir au moins §Y$NUM$§! vassaux d'un gouvernement de type '§Y$GOVERNMENT$§!';Mindestens 'Y$NUM$'! Vasallen der Regierungsform 'Y$GOVERNMENT$'!;;Tiene por lo menos §Y$NUM$§! §Y$GOVERNMENT$§!vasallos.;;;;;;;;;x
FEATURES;Features;Caractéristiques;Merkmale;;Características;;;;;;;;;x
HINT_SPLASH_2_INTRO;You are playing a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle]!;Vous endossez le rôle d'un[GetNoneE] [PrimaryTitle.GetRulerTitle] [GetReligionMascFem] [GetCultureMascFem] !;Ihr spielt als: [Culture.GetName], [Religion.GetName], [PrimaryTitle.GetRulerTitle];;Estás jugando como un [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle].;;;;;;;;;x
UNSELECT_CHAR;Unselect Character;Désélectionner le personnage;Charakterauswahl aufheben;;Cancelar selección de personaje;;;;;;;;;x
tribal_governments_FEATURES;§Y*§! Can reform to Feudal and Haven Republic governments;§Y*§! Peut se réformer en gouvernement féodal, en iqtâ ou en république marchande;Y*'! Kann per Reform die Regierungsformen Feudal, Iqta und Kaufmannsrepublik annehmen;;§Y*§! Puede reformar al Feudal, Iqta y los gobiernos de las Repúblicas Mercantiles.;;;;;;;;;x
nomadic_governments_FEATURES;§Y*§! Can settle to Feudal and Haven Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§! Can abandon provinces to gain increased population and manpower growth;§Y*§! Peut se réformer en gouvernement féodal, en iqtâ ou en république marchande\n§Y*§! Peut piller des colonies pour accroître sa richesse et sa technologie\n§Y*§! Peut abandonner des provinces pour gagner en population et en effectifs;Y*'! Kann per Reform die Regierungsformen Feudal, Iqta und Kaufmannsrepublik annehmen\n'Y*'! Kann Siedlungen plündern und dabei Reichtum und technischen Fortschritt erwerben\n'Y*'! Kann Provinzen aufgeben, um ein verbessertes Wachstum von Bevölkerung und Mannstärke zu erlangen.;;§Y*§! Puede reformar al feudalismo, Iqta y los gobiernos de las Repúblicas Mercantiles.\n§Y*§! Puede saquear los asentamientos para ganar riqueza y tecnología\n§Y*§! puede abandonar provincias para obtener mayor crecimiento de la población y la soldadesca;;;;;;;;;x
GOVERNMENT_UNLOCKS;Governments unlocked: ;Gouvernements débloqués : ;Regierungsformen freigeschaltet: ;;Gobiernos desbloqueados:;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2G;Our $GOVERNMENT$ administration allows us to revoke §Y$TIER$§! titles without objections from the aristocracy.;Notre administration $GOVERNMENT$ nous autorise à révoquer les titres de §Y$TIER$§! sans opposition de l'aristocratie.;Unsere $GOVERNMENT$-Verwaltung ermöglicht uns den Entzug von Titeln des Rangs 'Y$TIER$'! ohne Widerspruch der Aristokratie.;;Nuestra administración de $GOVERNMENT$ permite que nosotros revoquemos el §Y$TIER$§! títulos sin objeciones por parte de la aristocracia.;;;;;;;;;x
IS_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is of Divine Blood;La dynastie §Y$DYNASTY$§! est une dynastie de sang divin.;Die 'Y$DYNASTY$'!-Dynastie ist von göttlichem Geblüt.;;La §Y$DYNASTY$§!dinastía es de Sangre Divina;;;;;;;;;x
IS_NOT_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is NOT of Divine Blood;La dynastie §Y$DYNASTY$§! n'est pas une dynastie de sang divin.;Die 'Y$DYNASTY$'!-Dynastie ist NICHT von göttlichem Geblüt.;;La §Y$DYNASTY$§!dinastía NO es de Sangre Divina;;;;;;;;;x
SET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is now considered of Divine Blood\n;La dynastie §Y$DYNASTY$§! est désormais considérée comme une dynastie de sang divin.\n;Die 'Y$DYNASTY$'!-Dynastie gilt nun als Dynastie von göttlichem Geblüt\n;;La §Y$DYNASTY$§!Dinastía se considera ahora de Sangre divina\n;;;;;;;;;x
UNSET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is no longer considered of Divine Blood\n;La dynastie §Y$DYNASTY$§! n'est plus considérée comme une dynastie de sang divin.\n;Die 'Y$DYNASTY$'!-Dynastie gilt nun nicht mehr als Dynastie von göttlichem Geblüt\n;;La §Y$DYNASTY$§!Dinastía ya no se considera de la Sangre Divina;;;;;;;;;x
AIREASON_AMBITION;Ambition;Ambition;Ambition;;Ambición;;;;;;;;;x
ANSWER_YES;Yes.;Oui.;Ja.;;Sí.;;;;;;;;;x
ANSWER_NO;No.;Non.;Nein.;;No.;;;;;;;;;x
b_yumen;Yumen;Yumen;Yumen;;Yumen;;;;;;;;;x
CHRONICLE_FOUNDED_MERCHANT_REPUBLIC;[From.GetDynName] founded a Haven republic in [From.GetHerHis] domains, abandoning the old tribal ways.;[From.GetDynName] a fondé une république marchande dans son domaine, abandonnant les anciennes coutumes tribales.;[From.GetDynName] gründete in [From.GetHerHis] Gebieten eine Handelsrepublik und gab die Stammestraditionen auf.;;;;;;;;;;;x
nomadic_emperor_female;Host Leader;Khatoun;Khatun;;Khatun;;;;;;;;;x
nomadic_king_female;Host Leader;Khanoum;Khanum;;Khanum;;;;;;;;;x
FACTIONS_MENU;§YFactions§!;§YFactions§!;§YFraktionen§!;;§YFacciones§!;;;;;;;;;x
CLANS_MENU;§YHost§!;§YClans§!;§YKlans§!;;§YClanes§!;;;;;;;;x
THE_REPUBLIC_MENU;§YThe Haven§!;§YLa République§!;§YDie Republik§!;;§YLa República§!;;;;;;;;;x
STAT_WEALTH_MENU;§YWealth§!;§YRichesses§!;§YReichtum§!;;§YRiqueza§!;;;;;;;;;x
STAT_PRESTIGE_MENU;§YInfluence§!;§YPrestige;§!Prestige;;§YPrestigio§!;;;;;;;;;x
STAT_PIETY_MENU;§YPiety§!;§YPiété§!;§YPietät§!;;§YPiedad§!;;;;;;;;;x
STAT_PIETY_MENU_HONOR;§YHonor§!;§YHonneur§!;§YEhre§!;;§YHonor§!;;;;;;;;;x
STAT_PIETY_MENU_KARMA;§YKarma§!;§YKarma§!;§YKarma§!;;§YKarma§!;;;;;;;;;x
STAT_PIETY_MENU_PURITY;§YPurity§!;§YPureté§!;§YReinheit§!;;§YPureza§!;;;;;;;;;x
STAT_DEMESNE_SIZE_MENU;§YDemesne Size§!;§YTaille du domaine§!;§YDomänengröße§!;;§YTamaño de la heredad§!;;;;;;;;;x
STAT_VASSAL_LIMIT_MENU;§YVassal Limit§!;§YNombre limite de vassaux§!;§YVasallenlimit§!;;§YLímite de Vasallos§!;;;;;;;;;x
STAT_REALM_SIZE_MENU;§YRealm Size§!;§YTaille du pays§!;§YReichsgröße§!;;§YTamaño del reino§!;;;;;;;;;x
STAT_SCORE_MENU;§YScore§!;§YScore§!;§YPunkte§!;;§YPuntuación§!;;;;;;;;;x
STAT_POPULATION_MENU;§YPopulation§!;§YPopulation§!;§YBevölkerung§!;;§YPoblación§!;;;;;;;;;x
STAT_MANPOWER_MENU;§YManpower§!;§YEffectifs§!;§YMannstärke§!;;§YMano de obra§!;;;;;;;;;x
TECHNOLOGY;Technology;Technologie;Technologie;Technologia;Tecnología;Tecnologia;Technológia;Technologie;;;;;;x
LAW;Laws;Lois;Gesetze;;Leyes;;;;;;;;;x
MILITARY;Military;Armée;Militär;;Fuerzas armadas;Militare;;;;;;;;x
INTRIGUE;Intrigue;Intrigue;Intrige;;Intriga;;;;;;;;;x
DEMESNE_INTERFACE_LABEL;§YDemesne§!;§YDomaine§!;§YDomäne§!;;§YHeredad§!;;;;;;;;;x
TRADE_INTERFACE_LABEL;§YTrade§!;§YCommerce§!;§YHandel§!;;§YComerciar§!;;;;;;;;;x
FORTS_INTERFACE_LABEL;§YForts§!;§YForts§!;§YForte§!;;§YFortalezas§!;;;;;;;;;x
SIEGES_INTERFACE_LABEL;§YSieges§!;§YSièges§!;§YBelagerungen§!;§YOblenia§!;§YAsedios§!;§YAssedi§!;§YOstromok§!;§YObležení§!;;;;;;x
ENEMY_SIEGES_INTERFACE_LABEL;§YHostile Sieges§!;§YSièges hostiles§!;§YFeindliche Belagerungen§!;;§YAsedios hostiles§!;§YAssedi del nemico§!;;;;;;;;x
COMBATS_INTERFACE_LABEL;§YLand Combat§!;§YBatailles§!;§YGefechte§!;§YWalki§!;§YCombates§!;§YCombattimento terrestre§!;§YCsaták§!;§YPozemní boj§!;;;;;;x
ARMIES_INTERFACE_LABEL;§YArmies§!;§YArmées§!;§YArmeen§!;;§YEjércitos§!;§YEserciti§!;;;;;;;;x
NAVIES_INTERFACE_LABEL;§YNavies§!;§YFlottes§!;§YFlotten§!;;§YArmada§!;§YFlotte§!;;;;;;;;x
MESSAGERULES_INTERFACE_LABEL;§YMessage Rules§!;§YRègles des messages§!;§YNachrichtenregeln§!;;§YReglas de mensaje§!;;;;;;;;;x
SPECIAL_INTEREST_CHARACTERS_INTERFACE_LABEL;§YCharacters of Special Interest§!;§YPersonnages importants§!;§YCharaktere von besonderem Interesse§!;;§YPersonajes especialmente interesantes§!;;;;;;;;;x
OL_COURT_INTERFACE_LABEL;§YCourt§!;§YCour§!;§YHof§!;;§YCorte§!;;;;;;;;;x
OL_MP_PLAYERLIST_INTERFACE_LABEL;§YPlayers in Multiplayer§!;§YJoueurs si multijoueur§!;§YSpieler im Multiplayermodus§!;;§YJugadores en multijugador§!;;;;;;;;;x
OL_DISABLED_ALERTS_INTERFACE_LABEL;§YDisabled Alerts§!;§YAlertes désactivés§!;§YDeaktivierte Alarme§!;;§YAvisos desactivados§!;;;;;;;;;x
MESSWINDOW_HIGHPRIO_INTERFACE_LABEL;§YHigh Priority Messages§!;§YMessages de haute priorité§!;§YNachrichten mit hoher Priorität§!;;§YMensajes de alta prioridad§!;;;;;;;;;x
MESSWINDOW_LOWPRIO_INTERFACE_LABEL;§YLow Priority Messages§!;§YMessages de basse priorité§!;§YNachrichten mit niedriger Priorität§!;;§YMensajes de baja prioridad§!;;;;;;;;;x
FC_FIND_CHARACTERS_INTERFACE_LABEL;§YFind Characters§!;§YTrouver des personnages§!;§YCharakter Suchen§!;;§YEncontrar personajes§!;;;;;;;;;x
MAIN_MENU_INTERFACE_LABEL;§YMain Menu§!;§YMenu principal§!;§YHauptmenü§!;;§YMenú principal§!;§YMenu principale§!;;;;;;;;x
ZOOM_IN_INTERFACE_LABEL;§YZoom in§!;§YEffectuer un zoom avant§!;§YVergrößern§!;§YPowiêksz§!;§YAcerca el zum§!;§YIngrandire§!;§YKözelítés§!;§YZaostøit nablízko§!;;;;;;x
ZOOM_OUT_INTERFACE_LABEL;§YZoom out§!;§YEffectuer un zoom arrière§!;§YVerkleinern§!;§YPomniejsz§!;§YAleja el zum§!;§YRidurre§!;§YTávolítás§!;§YZaostøit na dálku§!;;;;;;x
HOME_INTERFACE_LABEL;§YGo to Home Province§!;§YAller à la province d'origine§!;§YZur Heimatprovinz Gehen§!;;§YIr a la Provincia de Origen§!;§YAndare alla Capitale§!;;;;;;;;x
LEDGER_MENU_INTERFACE_LABEL;§YLedger§!;§YGrand livre§!;§YArchiv§!;;§YLibro de contabilidad§!;§YRegistro§!;;;;;;;;x
LOGGER_MENU_INTERFACE_LABEL;§YMessage Log§!;§YJournal des messages§!;§YNachrichten-Log§!;;§YRegistro de mensajes§!;;;;;;;;;x
FIND_PROVINCE_INTERFACE_LABEL;§YFind Title or Region§!;§YTrouver un titre ou une région§!;§YTitel oder Region suchen§!;;§YEncuentra título o región§!;;;;;;;;;x
OPEN_CHRONICLE_INTERFACE_LABEL;§YOpen Chronicle§!;§YOuvrir la chronique§!;§YOffene Chronik§!;;§YAbrir Crónica§!;;;;;;;;x
DYNASTYTREE_INTERFACE_LABEL;§YDynasty Tree§!;§YArbre dynastique§!;§YDynastieübersicht§!;;§YÁrbol dinástico§!;;;;;;;;;x
FAMILYTREE_INTERFACE_LABEL;§YFamily Tree§!;§YArbre familial§!;§YStammbaum§!;;§YÁrbol genealógico§!;;;;;;;;;x
REALM_TREE_INTERFACE_LABEL;§YRealm Tree§!;§YArbre hiérarchique§!;§YReichsübersicht§!;;§YÁrbol del Reino§!;;;;;;;;;x
HAS_LESS_SETTLEMENTS;Less than §Y$VAL$§! holdings.;Moins de §Y$VAL$§! propriétés.;Weniger als §Y$VAL$§! Gebäude.;;Menos de §Y$VAL$§! posesiones.;;;;;;;;;x
HAS_LEAST_SETTLEMENTS;At least §Y$VAL$§! holdings.;Au moins §Y$VAL$§! propriétés.;Mindestens §Y$VAL$§! Gebäude.;;§Y$VAL$§! posesiones como máximo.;;;;;;;;;x
CAPTAIN_female;Captain;;;;;;;;;;;;;x
messalian_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;§Y*§! Les femmes peuvent occuper tous les postes du Conseil\n§Y*§! Les femmes peuvent mener des armées au combat;§Y*§! Frauen können alle Ratspositionen bekleiden\n§Y*§! Frauen können Armeen befehligen;;§Y*§! Las mujeres pueden ocupar todos los puestos de consejero\n§Y*§!Las mujeres pueden dirigir ejércitos;;;;;;;;;x
CONFIRM_BUILD_EXTRA_PRESTIGE_OR_PIETY_HOLDING_DESC;Are you sure you want to build a $TYPE$?\nIt will cost you §Y$COST$§! and will be finished on §Y$FINISHED$§!;Voulez-vous vraiment établir une propriété de type '$TYPE$' ?\nVous devrez payer §Y$COST$§! et cela s'achèvera le §Y$FINISHED$§!;$TYPE$ wirklich bauen?\nDies kostet §Y$COST$§!, Fertigstellung am §Y$FINISHED$§!.;;¿Estás seguro/a de que desea construir un/a $TYPE$?\n Te costará §Y$COST$§! y estará terminado en §Y$FINISHED$§!;;;;;;;;;x
EVTDESC_HL_10501B;[eloper.GetFirstName] has eloped with the notorious mercenary [From.GetFirstName].;[eloper.GetFirstName] a fui avec le célèbre mercenaire [From.GetFirstName].;[eloper.GetFirstName] ist mit dem berüchtigten Söldner [From.GetFirstName] durchgebrannt.;;[eloper.GetFirstName] se fugó con el famoso mercenario [From.GetFirstName].;;;;;;;;;x
#recently_burnt_the_land_not_owner;Recently Burned the Land;Terre brûlée récemment;Steckte vor kurzem das Land in Brand;;Tierra recientemente quemada;;;;;;;;;x
PRESTIGE_LAW_PASSED_LOG;§Y$RULER$§! has instituted the §Y$LAW$§! Law in §Y$TITLE$§!.;§Y$RULER$§! a institué la loi §Y$LAW$§! en §Y$TITLE$§!.;§Y$RULER$§! hat das §Y$LAW$§! Gesetz in §Y$TITLE$§! eingeführt.;;§Y$RULER$§! ha instituido la  ley §Y$LAW$§! en §Y$TITLE$§!.;;;;;;;;;x
EVTTITLE_HL_1031;[From.GetSonDaughter] of the Wolf?;[From.GetSonDaughter] du Loup ?;[From.GetSonDaughter] einer Wölfin?;;¿[From.GetSonDaughter] de la loba?;;;;;;;;;x
EVTNAME62923;The [From.PrimaryTitle.GetTier] of Castille;Le [From.PrimaryTitle.GetTier] de Castille;Das [From.PrimaryTitle.GetTier] von Kastilien;;El [From.PrimaryTitle.GetTier] de Castilla;;;;;;;;;x
EVTNAME62925;The [From.PrimaryTitle.GetTier] of Portugal;Le [From.PrimaryTitle.GetTier] du Portugal;Das [From.PrimaryTitle.GetTier] von Portugal ;;El [From.PrimaryTitle.GetTier] de Portugal;;;;;;;;;x
EVTNAME62927;The [From.PrimaryTitle.GetTier] of Aragon;Le [From.PrimaryTitle.GetTier] d'Aragon;Das [From.PrimaryTitle.GetTier] von Aragon;;El [From.PrimaryTitle.GetTier] de Aragón;;;;;;;;;x
CONTAINS_UNAVAILABLE_DECISION_UNLOCKS;Unlocks decisions not available for your character.;Débloque des décisions actuellement non disponibles pour votre personnage.;Entriegelt Entscheidungen die jetzt für Ihre Charakter nicht verfügbar sind.;;Desbloquea decisiones que no están actualmente disponibles para su personaje.;;;;;;;;;x
LAND_OF_CLAN;§YNomadic Counties held by House $CLAN$§!;§YComtés nomades détenus par le clan $CLAN$§!;§YNomadische Grafschaften unter der Kontrolle von Klan $CLAN$§!;;§YCondados nómadas poseídos por clan $CLAN$§!;;;;;;;;;x
