colonisation2desc;A dwarf noble is in your court. It will be extremely costly, but you can send him to convince some of his people to settle in a new province, while you start building the infrastructure and clearing the lands of enemies.;;;;;;;;;;;;x
colonisation2A;Yes, dwarves will live in this province.;;;;;;;;;;;;x
colonisation3desc;This province has been settled by dwarves, who will be a valuable addition to your realm.;;;;;;;;;;;;x
being_colonised_with_elves;Being colonised with Elves;;;;;;;;;;;;x
colonisation4desc;An elven noble is in your court. It will be extremely costly, but you can send him to convince some of his people to settle in a new province, while you start building the infrastructure and clearing the lands of enemies.;;;;;;;;;;;;x
colonisation4A;Yes, elves will live in this province.;;;;;;;;;;;;x
colonisation5desc;This province has been settled by elves, who will be a valuable addition to your realm.;;;;;;;;;;;;x
colonisation_wilderness_with_halflings;Colonize Wilderness with Halflings;;;;;;;;;;;;x
colonisation_wilderness_with_elves;Colonize Wilderness with Elves;;;;;;;;;;;;x
colonisation4A;Yes, elves will live in this province.;;;;;;;;;;;;x
colonisation4desc;An elven noble is in your court. It will be extremely costly, but you can send him to convince some of his people to settle in a new province, while you start building the infrastructure and clearing the lands of enemies.;;;;;;;;;;;;x
colonisation5desc;This province has been settled by elves, who will be a valuable addition to your realm.;;;;;;;;;;;;x
being_colonised_with_halflings;Being colonised with Halflings;;;;;;;;;;;;x
colonisation_wilderness_with_halflings;Colonise wilderness with halflings;;;;;;;;;;;;x
colonisation6desc;An influential halfing is in your court. It will be very costly, but you can send him to convince some of his people to settle in a new province, while you start building the infrastructure and clearing the lands of enemies.;;;;;;;;;;;;x
colonisation6A;Yes, halflings will live in this province.;;;;;;;;;;;;x
colonisation7desc;This province has been settled by halflings, who will be a valuable addition to your realm;;;;;;;;;;;;x
being_colonised_with_gondorian_middlemen;Being colonised with Gondorian Middle Men;;;;;;;;;;;;x
being_colonised_with_arnorian_middlemen;Being colonised with Arnorian Middle Men;;;;;;;;;;;;x
being_colonised_with_southrons;Being colonised with Southrons;;;;;;;;;;;;x
colonisation8desc;It will be very expensive to settle these lands with those of Dúnedain ancestry, as their numbers are few. Do you want to settle with middle men instead?;;;;;;;;;;;;x
colonisation8A;No, this province will be for the High Men.;;;;;;;;;;;;x
colonisation8B;Yes, send in some Gondorian Middle-Men.;;;;;;;;;;;;x
colonisation8C;Yes, send in some Arnorian Middle-Men.;;;;;;;;;;;;x
colonisation8D;Yes, send in some Southrons instead.;;;;;;;;;;;;x
colonisation9desc;This province has been settled by Gondorian Middle Men, who will be a valuable addition to your realm.;;;;;;;;;;;;x
colonisation10desc;This province has been settled by Arnorian Middle Men, who will be a valuable addition to your realm.;;;;;;;;;;;;x
colonisation11desc;This province has been settled by Southrons, who will be a valuable addition to your realm.;;;;;;;;;;;;x
colonisation14desc;This province has been settled by the High Men, who will be a valuable addition to your realm.;;;;;;;;;;;;x
population_increasing;Population Increasing;;;;;;;;;;;;x
population_increasing_desc;Though Elves, Dúnedain, and Dwarves grow their populations slowly, in this province a lot of effort has been expended to increase the population, and within 20 years results should be shown.;;;;;;;;;;;;x
