#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
#GONDOR;;;;;;;;x
title_lieutenantofbaraddur_desc;The Mouth of Sauron, also known as Lieutenant of the Tower of Barad-dûr is the title of an important commander in the land of Mordor. He's one of the most important servants of the Dark Lord and his personal Messenger.;;;;;;x
#HOBBIT;;;;;;;x
title_matriarch;Matriarch;Matriarche;;;;;x
title_matriarch_desc;;;;;;;x
#DWARVES;;;;;;;x
title_masterofguardsofkhazad_dum;Azraku Shamur Khazad-Dum;;;;;;x
title_masterofguardsofkhazad_dum_desc;Master of (the) Guards of Khazad-Dum;;;;;;x
title_masterofguardsoferebor;Azraku Shamur Erebor;;;;;;x
title_masterofguardsoferebor_desc;Master of (the) Guards of Erebor;;;;;;x
title_masterofguardsofaglarond;Azraku Shamur Aglarond;;;;;;x
title_masterofguardsofaglarond_desc;Master of (the) Guards of Aglarond;;;;;;x
title_masterofguardsofthaforabbad;Azraku Shamur Thaforabbad;;;;;;x
title_masterofguardsofthaforabbad_desc;Master of (the) Guards of Thaforabbad;;;;;;x
title_masterofguardsofiron_hills;Azraku Shamur Iron Hills;;;;;;x
title_masterofguardsofiron_hills_desc;Master of (the) Guards of Iron Hills;;;;;;x
title_masterofguardsofkhagolabbad;Azraku Shamur Khagolabbad;;;;;;x
title_masterofguardsofkhagolabbad_desc;Master of (the) Guards of Khagolabbad;;;;;;x
title_masterofguardsofnurunkhizdin;Azraku Shamur Nurunkhizdin;;;;;;x
title_masterofguardsofnurunkhizdin_desc;Master of (the) Guards of Nurunkhizdin;;;;;;x
title_masterofguardsofstonefoot;Azraku Shamur Stonefoot;;;;;;x
title_masterofguardsofstonefoot_desc;Master of (the) Guards of Stonefoot;;;;;;x
title_masterofguardsofzirakdum;Azraku Shamur Zirakdûm;;;;;;x
title_masterofguardsofzirakdum_desc;Master of (the) Guards of Zirakdûm;;;;;;x
title_masterofguardsofgundabad;Azraku Shamur Gundabad;;;;;;x
title_masterofguardsofgundabad_desc;Master of (the) Guards of Gundabad;;;;;;x
title_azrakubarkkhazad;Azraku Bark Khazad;;;;;;x
title_azrakubarkkhazad_desc;Master of (the) Axe Dwarves;;;;;;x
title_azrakuukab;Azraku Ukâb;;;;;;x
title_azrakuukab_desc;Master of (the) Quarrelers;;;;;;x
title_azrakutherakaidag;Azraku Therakaidâg;;;;;;x
title_azrakutherakaidag_desc;Master of (the) Pikes;;;;;;x
title_azrakutalakh;Azraku Talâkh;;;;;;x
title_azrakutalakh_desc;Master of (the) Smiths;;;;;;x
title_azrakuutrab;Azraku Utrâb;;;;;;x
title_azrakuutrab_desc;Master of (the) Crafters;;;;;;x
title_umrazugabsh;Umrazu Gabsh;;;;;;x
title_umrazugabsh_desc;Keeper of (the) Treasure;;;;;;x
title_umrazuathak;Umrazu Athâk;;;;;;x
title_umrazuathak_desc;Keeper of (the) Mines;;;;;;x
title_azrakusabaj;Azraku Sabâj;;;;;;x
title_azrakusabaj_desc;Master of Spies/Scouts;;;;;;x
title_uryat;Uryat;;;;;;x
title_uryat_desc;A minor Advisor;;;;;;x
title_azrakuafhan;Azraku Afhân;;;;;;x
title_azrakuafhan_desc;Master of Lore;;;;;;x
title_azrakuatarubkarath;Azraku Atârub Karâth;;;;;;x
title_azrakuatarubkarath_desc;Master of (the) Crafters of Runes;;;;;;x
title_umrazudarag;Umrazu Darâg;;;;;;x
title_umrazudarag_desc;Keeper of (the) Tombs;;;;;;x
