#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITbuildings.1;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
rebuild_fornost_desc;Since the decline of Arthedain and abandonment of Fornost in TA 1974, the fortress has fallen into ruin. You can try to rebuild and reestablish the ruins, but it won't be easy.;Depuis la chute de Fornost en 1974 TA, la forteresse est tombée en ruines. Vous pouvez maintenant essayer de la rebatir et d'y établir votre territoire, mais cela ne sera pas chose aisée.;;;;;;;;;;;;x
rebuild_annuminas;Rebuild Annúminas;Reconstruire Annúminas;;;;;;;;;;;;x
rebuild_annuminas_desc;Since the Split of Arnor, Annúminas has lost its luster. Little by little, people have left for other cities, and the city was abandoned. You can try to rebuild the City of Kings, but it won't be easy ...;Depuis la division de l'Arnor, Annuminas a perdu de son éclat. Petit à petit, les habitants sont partis pour d'autres villes, et la cité a été abandonnée. Vous pouvez tenter de reconstruire la cité des Rois, mais cela ne sera pas chose aisée...;;;;;;;;;;;;x
EVTTITbuildings.8;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.8;Since the Split of Arnor, Annúminas has lost its luster. Little by little, people have left for other cities, and the city was abandoned. You can try to rebuild the City of Kings, but it won't be easy ...;Depuis la division de l'Arnor, Annuminas a perdu de son éclat. Petit à petit, les habitants sont partis pour d'autres villes, et la cité a été abandonnée. Vous pouvez tenter de reconstruire la cité des Rois, mais cela ne sera pas chose aisée...;;;;;;;;;;;;x
EVTOPTAbuildings.8;Annúminas will raise once again !;Annúminas va se relever !;;;;;;;;;;;;x
EVTOPTBbuildings.8;No, i'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuildings.9;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.9;You soon realize that Annúminas is occupied by many looters, and that before starting the project, you''ll have to fight against these pests. Will you fight?;Vous vous rendez vite compte que Annuminas est occupée par de nombreux pillards, et qu'avant de pouvoir débuter le chantier, vous allez devoir vous débarasser de ces parasites. Allez-vous-vous battre?;;;;;;;;;;;;x
EVTOPTAbuildings.9;I'll slain all the Looters!;Je vais tuer tous ces pillards !;;;;;;;;;;;;x
EVTOPTBbuildings.9;No, i'm too weak…;Non, je suis trop faible…;;;;;;;;;;;;x
EVTTITbuildings.10;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.10;You managed to kill most of the looters into the ruins of Annuminas. The city seems to be calm, and your men put away their swords. Now, the hardest work begins, you should clean the city of debris and vegetation.;Vous avez réussi à chasser la plupart des pillards des Ruines d'Annuminas. La cité semble calme, et vos hommes rangent leurs épées. Maintenant, le travail le plus difficile commence, il faut nettoyer la cité des débris et de la végétation.;;;;;;;;;;;;x
EVTOPTAbuildings.10;I'll clean the city.;Je vais nettoyer la cité.;;;;;;;;;;;;x
EVTOPTBbuildings.10;No, i'm exhausted.;Je suis fatigué…;;;;;;;;;;;;x
EVTTITbuildings.11;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.11;The looters are many more than you think, and you're quickly overwhelmed by the number. You must retreat, or you may suffer heavy losses.;Les pillards sont beaucoup plus nombreux que vous ne le pensiez, et vous êtes vite submergé par le nombre. Vous devez battre en retraite, ou vous risquez de subir de lourdes pertes.;;;;;;;;;;;;x
EVTOPTAbuildings.11;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.12;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.12;You managed to clean most of the city and is now habitable. It's time to rebuild the buildings, walls, and giving back to Annuminas its former glory.;Vous avez réussi à nettoyer la majeure partie de la cité, et elle est maintenant habitable. Il est temps de rebatir les batiments, les murs, et de redonner à Annuminas sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.12;Great!;Parfait!;;;;;;;;;;;;x
EVTTITbuildings.13;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.13;The looters weren't finally abandoned the city, and came back. You have to fight again, but overwhelmed by the enemy, you have to retreat.;Les pillards n'ont finalement pas abandonné la cité, et reviennent en force. Vous avez du vous battre de nouveau, mais submergé par l'ennemi, vous avez du battre en retraite.;;;;;;;;;;;;x
EVTOPTAbuildings.13;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.14;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.14;As you begin to clean the ruins of the Hall of Kings, you discover a hidden room by a landslide. Large enough, it's richly decorated. At the other end, you can see a large throne, certainly the one the Kings of Arnor, and Isildur himself.;Alors que vous commencez à nettoyer les ruines du Hall des Rois, vous découvrez une salle cachée par un éboulement. Assez grande, celle-ci est richement décorée. A l'autre bout, vous apercevez un large trône, certainement celui des Rois d'Arnor, et d'Isildur lui-même.;;;;;;;;;;;;x
EVTOPTAbuildings.14;It'll fit perfectly for me!;Il sera parfait pour moi!;;;;;;;;;;;;x
EVTTITbuildings.15;The Bridge of Tharbad;Le Pont de Tharbad;;;;;;;;;;;;x
EVTDESCbuildings.15;You rules the city of Tharbad, famous in all the western lands for its Bridge. This allows to overcome the Gwathlo along the North-South Road, which makes Tharbad an important merchant place.;Vous dirigez la cité de Tharbad, renommée dans toutes les Terres de l'Ouest pour son Pont. Celui-ci permet de franchir le Gwathlo en suivant la Route Nord-Sud, ce qui fait de Tharbad une importante plaque commerçante.;;;;;;;;;;;;x
EVTOPTAbuildings.15;I'm proud of this Bridge!;Je suis fier de ce Pont !;;;;;;;;;;;;x
EVTTITbuildings.16;The Bridge of Tharbad;Le Pont de Tharbad;;;;;;;;;;;;x
EVTDESCbuildings.16;The Bridge of Tharbad was abandoned during the fall of the Northern Kingdoms, and gradually fell into ruins. Today it's a dangerous place, that few can cross. You should repair the bridge and give new life to the city of Tharbad, what will you say?;Le Pont de Tharbad a été abandonné lors de la chute des Royaumes du Nord, et est petit à petit tombé en ruines. C'est aujourd'hui un endroit dangereux, que peu peuvent traverser. Vous devriez réparer ce pont et redonner une nouvelle jeunesse à la ville, qu'en dites vous?;;;;;;;;;;;;x
EVTOPTAbuildings.16;I'll rebuild the Bridge!;Je reconstruirais le Pont !;;;;;;;;;;;;x
EVTOPTBbuildings.16;I can't do it by myself…;Je ne peux le faire seul…;;;;;;;;;;;;x
EVTTITbuildings.17;The Bridge of Tharbad;Le Pont de Tharbad;;;;;;;;;;;;x
EVTDESCbuildings.17;With the help of your men, you've removed the rubbles and rebuilt the bridge. The City of Tharbad will regain its former glory thanks to you, and crossing the Gwathlo is once again safe.;Avec vos hommes, vous avez enlevé les gravas et reconstruit le Pont. La ville de Tharbad va retrouver sa gloire passée grâce à vous, et la traversée du Gwathlo est de nouveau sure.;;;;;;;;;;;;x
EVTOPTAbuildings.17;I'm proud of this Bridge!;Je suis fier de ce Pont !;;;;;;;;;;;;x
EVTTITbuildings.18;The Bridge of Tharbad;Le Pont de Tharbad;;;;;;;;;;;;x
EVTDESCbuildings.18;The Ruins of the Bridge are more dangerous than you think, and some of your men died during construction. The work doesn't seem to move ahead, and you need to hire professional masons to achieve the construction ...;Les ruines du pont sont plus dangereuses que vous ne le pensiez, et certains de vos hommes sont morts durant les travaux. Les travaux ne semblent pas avancer, et il vous faut recruter des maçons professionnels pour avancer plus vite...;;;;;;;;;;;;x
EVTOPTAbuildings.18;I'll hire more people!;Je vais embaucher plus de monde !;;;;;;;;;;;;x
EVTOPTBbuildings.18;I can't do it by myself…;Je ne peux le faire seul…;;;;;;;;;;;;x
EVTTITbuildings.19;The Bridge of Tharbad;Le Pont de Tharbad;;;;;;;;;;;;x
EVTDESCbuildings.19;Despite the arrival of more labor, the bridge is in too poor condition to be repaired. You still managed to put in order some pillars, and maybe next time you'll achieve this construction ...;Malgré l'arrivée de plus de main d'oeuvre, le pont est en trop mauvais état pour pouvoir être réparé. Vous avez cependant réussi à remettre en ordre certains pilliers, et peut-être que la prochaine fois, vous y arriverez...;;;;;;;;;;;;x
EVTOPTAbuildings.19;That damned bridge ...;Ce maudit pont…;;;;;;;;;;;;x
EVTTITbuildings.100;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.100;You tried to install a few buildings inside the ruins of Fornost Erain, but because of the creatures that roam the buildings collapsed all around, you're quickly forced to abandon this new construction. When you return to this place a few days later, you realize that your new structure has already collapsed.;Vous avez tenté d'installer quelques batiments à l'intérieur des ruines de Fornost Erain, mais à cause des créatures qui rodent dans les batiments effondrés tout autour, vous êtes rapidement obligés d'abandonner cette nouvelle construction. Lorsque vous revenez à cet endroit quelques jours plus tard, vous vous rendez compte que votre nouvelle structure s'est déjà effondrée.;;;;;;;;;;;;x
EVTOPTAbuildings.100;I need to clean the ruins before rebuilding…;Je dois nettoyer les ruines avant toute reconstruction...;;;;;;;;;;;;x
EVTTITbuildings.101;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;;;;;;;;x
EVTDESCbuildings.101;You tried to install a few buildings inside the ruins of Annúminas, but because of the many looters inside the city, you're quickly forced to abandon this new construction. When you return to this place a few days later, you realize that your new structure has been burned.;Vous avez tenté d'installer quelques batiments à l'intérieur des ruines d'Annúminas, mais à cause des pillards qui se sont installés dans la cité, vous êtes rapidement obligés d'abandonner cette nouvelle construction. Lorsque vous revenez à cet endroit quelques jours plus tard, vous vous rendez compte que votre nouvelle structure a été incendiée.;;;;;;;;;;;;x
EVTTITbuildings.102;The Ruins of Edhellond;Les Ruines d'Edhellond;;;;;;;;;;;;x
EVTDESCbuildings.102;You tried to install a few buildings inside the ruins of the Haven of Edhellond, but as the land was abandonned since a long time, the city is regularly flooded by the sea or the surrounding rivers. You're quickly forced to abandon this new construction to the waves, and you'll have to rebuild the dikes of the Havens before to install yourself there.;Vous avez tenté d'installer quelques batiments à l'intérieur des ruines d'Edhellond, mais, ce territoire ayant été abandonné depuis longtemps, vous êtes à la merci des inondations, venant de la mer comme des rivières environnantes. Vous êtes rapidement obligés d'abandonner cette nouvelle construction aux flots, et vous devrez reconstruire les digues avant de pouvoir vous installer ici.;;;;;;;;;;;;x
rebuild_edhellond;Rebuild Edhellond;Reconstruire Edhellond;;;;;;;;;;;;x
rebuild_edhellond_desc;The Havens of Edhellond were founded at the end of the first Age by Sindar. For centuries, the ships of the Sindar started from this port to travel to the West. But since the death of Amroth, King of Lorien, the harbors were abandoned and eventually fell into oblivion.;Les Havres d'Edhellond ont été fondé à la fin du premier Âge par des Sindar. Pendant de longs siècles, les navires des Sindar partaient de ce port vers l'Ouest. Mais depuis la mort d'Amroth, le Roi de la Lorien, les havres ont été abandonnés, et sont finalement tombés dans l'oubli.;;;;;;;;;;;;x
EVTTITbuildings.20;The Ruins of Edhellond;Les Ruines d'Edhellond;;;;;;;;;;;;x
EVTDESCbuildings.20;The Havens of Edhellond were founded at the end of the first Age by Sindar. For centuries, the ships of the Sindar started from this port to travel to the West. But since the death of Amroth, King of Lorien, the harbors were abandoned and eventually fell into oblivion.;Les Havres d'Edhellond ont été fondé à la fin du premier Âge par des Sindar. Pendant de longs siècles, les navires des Sindar partaient de ce port vers l'Ouest. Mais depuis la mort d'Amroth, le Roi de la Lorien, les havres ont été abandonnés, et sont finalement tombés dans l'oubli.;;;;;;;;;;;;x
EVTOPTAbuildings.20;I'll rebuild this Haven!;Je vais reconstruire ces Havres !;;;;;;;;;;;;x
EVTOPTBbuildings.20;I don't have any time to loose for this…;Je n'ai pas de temps à perdre à ça…;;;;;;;;;;;;x
EVTTITbuildings.21;The Ruins of Edhellond;Les Ruines d'Edhellond;;;;;;;;;;;;x
EVTDESCbuildings.21;While you send your workers start the work at Edhellond, the foreman comes back with bad news. The whole city is flooded, the dikes that protected Edhellond having surrendered a long time ago. Before you can clean up the city, we must begin by building new dikes.;Alors que vous envoyez vos ouvriers commencer les travaux à Edhellond, le contremaitre revient avec une mauvaise nouvelle. Toute la cité est inondée, les digues qui la protégeait ayant cédées depuis longtemps. Avant de pouvoir nettoyer la cité, il faudra commencer par construire de nouvelles digues de protection.;;;;;;;;;;;;x
EVTOPTAbuildings.21;Well, build it!;Bien, allez-y!;;;;;;;;;;;;x
EVTOPTBbuildings.21;No, it's too much work.;Non, c'est trop de travail.;;;;;;;;;;;;x
EVTTITbuildings.22;The Ruins of Edhellond;Les Ruines d'Edhellond;;;;;;;;;;;;x
EVTDESCbuildings.22;You managed to rebuild the levees and dams that protected the city, and now it's time to continue the work by clearing the rabbles that clog the streets. You'll also needs to remove the wreckage that blocks the harbor entrance.;Vous avez réussi à reconstruire les digues et les barrages qui protégeaient la cité, et il est maintenant temps de continuer le travail, en déblayant les gravas qui encombrent les rues. Il faudra également réussir à retirer les épaves qui bloquent l'entrée du port.;;;;;;;;;;;;x
EVTOPTAbuildings.22;Time to clean all this land!;Il est temps de nettoyer toute cette terre!;;;;;;;;;;;;x
EVTOPTBbuildings.22;No… that's too much work.;Non, c'est trop de travail.;;;;;;;;;;;;x
EVTTITbuildings.23;The Ruins of Edhellond;Les Ruines d'Edhellond;;;;;;;;;;;;x
EVTDESCbuildings.23;Despite the work of your workers, the dikes failed to contain the waves, and the city remains flooded. Demoralized, you give up the job for now.;Malgré le travail de vos ouvriers, les digues n'arrivent pas à contenir les flots, et la cité reste inondée. Démoralisé, vous abandonnez le travail, pour le moment.;;;;;;;;;;;;x
EVTOPTAbuildings.23;That's too much work…;C'est trop de travail…;;;;;;;;;;;;x
EVTTITbuildings.24;The Ruins of Edhellond;Les Ruines d'Edhellond;;;;;;;;;;;;x
EVTDESCbuildings.24;After several weeks of intensive work, your workers have finally cleaned the city and unlocked the harbor entrance. You can now rebuild the port of Edhellond, and restore it to its former glory.;Après plusieurs semaines de travail intensif, vos ouvriers ont enfin nettoyé la ville, et débloqué l'entrée du port. Vous pouvez maintenant reconstruire le port d'Edhellond, et lui redonner sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.24;That's a Great News!;C'est une Grande Nouvelle !;;;;;;;;;;;;x
EVTTITbuildings.25;Les Ruines d'Edhellond;;;;;;;;;;;;;x
EVTDESCbuildings.25;After several weeks of intensive work, your workers were able to clean most of the city, but are unable to remove many wrecks that block the port. Without the port, the city has no reason to be, and you leave the job for now.;Après plusieurs semaines de travail intensif, vos ouvriers ont réussi à nettoyer une grande partie de la ville, mais n'arrivent pas à enlever les nombreuses épaves qui bloquent le port. Sans le port, cette cité n'a pas de raisons d'être, et vous abandonnez le travail pour le moment.;;;;;;;;;;;;x
EVTOPTAbuildings.25;Edhellond is still ruined…;Edhellond reste en ruine…;;;;;;;;;;;;x
rebuild_osgiliath_west;Rebuild the West Shore of Osgiliath;Reconstruire la Rive Ouest d'Osgiliath;;;;;;;;;;;;x
rebuild_osgiliath_west_desc;Since the Kin-strife, and the loss of the Palantir of Osgiliath, the former capital of Gondor was gradually abandoned, and the magnificent palaces and buildings crumbling. It would be wise to rebuild the city and restore the Gondor nobility of yesteryear.;Depuis la Guerre Fratricide, et la perte du Palantir d'Osgiliath, l'ancienne capitale du Gondor a été petit à petit abandonnée, et les magnifiques palais et batiments tombent en ruines. Il serait sâge de reconstruire la cité et redonner au Gondor sa noblesse d'antan.;;;;;;;;;;;;x
rebuild_osgiliath_east;Rebuild the East Shore of Osgiliath;Reconstruire la Rive Est d'Osgiliath;;;;;;;;;;;;x
rebuild_osgiliath_east_desc;Since the Kin-strife, and the loss of the Palantir of Osgiliath, the former capital of Gondor was gradually abandoned, and the magnificent palaces and buildings crumbling. It would be wise to rebuild the city and restore the Gondor nobility of yesteryear.;Depuis la Guerre Fratricide, et la perte du Palantir d'Osgiliath, l'ancienne capitale du Gondor a été petit à petit abandonnée, et les magnifiques palais et batiments tombent en ruines. Il serait sâge de reconstruire la cité et redonner au Gondor sa noblesse d'antan.;;;;;;;;;;;;x
EVTTITbuildings.26;The Ruins of Osgiliath;Les Ruines d'Osgiliath;;;;;;;;;;;;x
EVTDESCbuildings.26;Since the Kin-strife, and the loss of the Palantir of Osgiliath, the former capital of Gondor was gradually abandoned, and the magnificent palaces and buildings crumbling. It would be wise to rebuild the city and restore the Gondor nobility of yesteryear.;Depuis la Guerre Fratricide, et la perte du Palantir d'Osgiliath, l'ancienne capitale du Gondor a été petit à petit abandonnée, et les magnifiques palais et batiments tombent en ruines. Il serait sâge de reconstruire la cité et redonner au Gondor sa noblesse d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.26;Osgiliath will raise once again !;Osgiliath va se relever !;;;;;;;;;;;;x
EVTOPTBbuildings.26;No, i'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuildings.27;The Ruins of Osgiliath;Les Ruines d'Osgiliath;;;;;;;;;;;;x
EVTDESCbuildings.27;You soon realize that Osgiliath is occupied by many creatures, and that before starting the project, you''ll have to fight against these pests. Will you fight?;Vous vous rendez vite compte qu'Osgiliath est occupée par de nombreuses créatures, et qu'avant de pouvoir débuter le chantier, vous allez devoir vous débarasser de ces parasites. Allez-vous-vous battre?;;;;;;;;;;;;x
EVTOPTAbuildings.27;I'll slain all the Looters!;Je vais tuer tous ces pillards !;;;;;;;;;;;;x
EVTOPTBbuildings.27;No, i'm too weak…;Non, je suis trop faible…;;;;;;;;;;;;x
EVTTITbuildings.28;The Ruins of Osgiliath;Les Ruines d'Osgiliath;;;;;;;;;;;;x
EVTDESCbuildings.28;You managed to kill most of the creatures into the ruins of Osgiliath. The city seems to be calm, and your men put away their swords. Now, the hardest work begins, you should clean the city of debris and vegetation.;Vous avez réussi à chasser la plupart des créatures des Ruines d'Osgiliath. La cité semble calme, et vos hommes rangent leurs épées. Maintenant, le travail le plus difficile commence, il faut nettoyer la cité des débris et de la végétation.;;;;;;;;;;;;x
EVTOPTAbuildings.28;I'll clean the city.;Je vais nettoyer la cité.;;;;;;;;;;;;x
EVTOPTBbuildings.28;No, i'm exhausted.;Je suis fatigué…;;;;;;;;;;;;x
EVTTITbuildings.29;The Ruins of Osgiliath;Les Ruines d'Osgiliath;;;;;;;;;;;;x
EVTDESCbuildings.29;The creatures are many more than you think, and you're quickly overwhelmed by the number. You must retreat, or you may suffer heavy losses.;Les créatures sont beaucoup plus nombreux que vous ne le pensiez, et vous êtes vite submergé par le nombre. Vous devez battre en retraite, ou vous risquez de subir de lourdes pertes.;;;;;;;;;;;;x
EVTOPTAbuildings.29;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.30;The Ruins of Osgiliath;Les Ruines d'Osgiliath;;;;;;;;;;;;x
EVTDESCbuildings.30;You managed to clean most of the city and is now habitable. It's time to rebuild the buildings, walls, and giving back to Osgiliath its former glory.;Vous avez réussi à nettoyer la majeure partie de la cité, et elle est maintenant habitable. Il est temps de rebatir les batiments, les murs, et de redonner à Osgiliath sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.30;Great!;Parfait!;;;;;;;;;;;;x
EVTTITbuildings.31;The Ruins of Osgiliath;Les Ruines d'Osgiliath;;;;;;;;;;;;x
EVTDESCbuildings.31;The créatures weren't finally abandoned the city, and came back. You have to fight again, but overwhelmed by the enemy, you have to retreat.;Les créatures n'ont finalement pas abandonné la cité, et reviennent en force. Vous avez du vous battre de nouveau, mais submergé par l'ennemi, vous avez du battre en retraite.;;;;;;;;;;;;x
EVTOPTAbuildings.31;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.32;The Ruins of Osgiliath;Les Ruines d'Osgiliath;;;;;;;;;;;;x
EVTDESCbuildings.32;While your men clear debris near one of the old bridges of Osgiliath, they discovered, under the waters of the Anduin, a large round stone, blocked by a pillar. After a quick inspection, you realize that this is the Palantir of Osgiliath, the Master-Stone of the Palantíri! This is for sure an important discovery, which will restore a little more the prestige of Gondor.;Alors que vos hommes enlèvent des débris près de l'un des anciens ponts d'Osgiliath, ils découvrent, sous l'eau, une pierre ronde d'une taille imposante, bloquée par un pilier. Après une rapide inspection, vous vous rendez compte qu'il s'agit du Palantir d'Osgiliath, la Pierre-Maitresse de tout les Palantiri ! C'est à coup sur une découverte importante, qui restaurera un peu plus le prestige du Gondor.;;;;;;;;;;;;x
EVTOPTAbuildings.32;The Master-Stone…;La Pierre-Maitresse…;;;;;;;;;;;;x
### AMON SUL;x;;;;;;;;;;;;;
rebuild_amon_sul;Rebuild the Tower of Amon Sûl;Reconstruire la tour d'Amon Sûl;;;;;;;;;;;;x
rebuild_amon_sul_desc;The Mighty Tower of Amon Sûl was the site of one of the Palantíri of Arnor during the Third Age, until it was destroyed under the Reign of Arveleg, the eighth King of Arthedain. Rebuilding the Tower will restore the former prestige of your demesne, with no doubt.;La Puissante Tour d'Amon Sûl était l'emplacement de l'un des Palantiri d'Arnor durant le Troisième Âge, jusqu'à sa destruction sous le Règne d'Arveleg, le huitième Roi d'Arthedain. Reconstruire cette Tour redonnera à votre domaine son prestige d'autrefois.;;;;;;;;;;;;x
EVTTITbuildings.33;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.33;The Mighty Tower of Amon Sûl was the site of one of the Palantíri of Arnor during the Third Age, until it was destroyed under the Reign of Arveleg, the eighth King of Arthedain. Rebuilding the Tower will restore the former prestige of your demesne, with no doubt.;La Puissante Tour d'Amon Sûl était l'emplacement de l'un des Palantiri d'Arnor durant le Troisième Âge, jusqu'à sa destruction sous le Règne d'Arveleg, le huitième Roi d'Arthedain. Reconstruire cette Tour redonnera à votre domaine son prestige d'autrefois.;;;;;;;;;;;;x
EVTOPTAbuildings.33;Amon Sûl will raise once again !;Amon Sûl va se relever !;;;;;;;;;;;;x
EVTOPTBbuildings.33;No, i'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuildings.34;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.34;You soon realize that Amon Sûl is occupied by some wights and evil creatures, and that before starting the project, you''ll have to fight against this danger. Will you fight them?;Vous vous rendez vite compte qu'Amon Sûl est occupée par de nombreuses ombres et créatures néfastes, et qu'avant de pouvoir débuter le chantier, vous allez devoir vous débarasser de ce danger. Allez-vous les combattre?;;;;;;;;;;;;x
EVTOPTAbuildings.34;I will push the darkness!;Je vais repousser ces ténèbres !;;;;;;;;;;;;x
EVTOPTBbuildings.34;No, i'm too weak…;Non, je suis trop faible…;;;;;;;;;;;;x
EVTTITbuildings.35;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.35;You managed to push most of the shadows out of the ruins of Amon Sûl. The ruins seems to be calm, and your men put away their swords. Now, the hardest work begins, you should clean the tower of debris and vegetation.;Vous avez réussi à chasser la plupart des ombres des Ruines d'Amon Sûl. Les ruines semblent calme, et vos hommes rangent leurs épées. Maintenant, le travail le plus difficile commence, il faut nettoyer la Tour des débris et de la végétation.;;;;;;;;;;;;x
EVTOPTAbuildings.35;I'll clean the Tower.;Je vais nettoyer la Tour.;;;;;;;;;;;;x
