#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITrotk.46;Boromir returns!;Boromir est de retour!;;;;;;;;;;;;x
EVTTITrotk.50;The Heir of Isildur;L'héritier d'Isildur;;;;;;;;;;;;x
EVTDESCrotk.50;Aragorn, son of Arathorn... last true heir of the Kings rides with the Rohirrim in battle against Saruman. He wields Anduril, Narsil-reforged! Has he come for the throne of Gondor?;Aragorn, fils d'Arathorn... Le dernier véritable héritier des Rois chevauche avec les Rohirrim dans la bataille contre Saruman. Il brandit Anduril, reforgée avec les fragments de Narsil! Est-ce qu'il vient pour le trône du Gondor?;;;;;;;;;;;;x
EVTOPTArotk.50;The rule of Gondor is mine!;Le destin du Gondor est entre mes mains!;;;;;;;;;;;;x
EVTOPTBrotk.50;I see...;Je vois…;;;;;;;;;;;;x
EVTTITrotk.51;The Hour Approaches;L'heure approche…;;;;;;;;;;;;x
EVTDESCrotk.51;Black Fumes rise from Mt.Doom, covering the land in darkness. Soon it will reach Minas Tirith, and when it does, you will unleash your armies upon the pathetic remnants of Numenor;Des fumées noires s'élevent de la Montagne du Destin, recouvrant les terres de ténèbres. Bientôt, ce nuage atteindra Minas Tirith, et quand ce sera le cas, vous lacherez vos armées sur les restes pathétiques de Numenor.;;;;;;;;;;;;x
EVTOPTArotk.51;Soon...;Bientôt…;;;;;;;;;;;;x
EVTTITrotk.52;The Hour Approaches;L'heure approche…;;;;;;;;;;;;x
EVTDESCrotk.52;Black Fumes rise from Mt.Doom, covering the land in darkness. Soon it will reach Minas Tirith, and when it does, Sauron will unleash his armies upon the heirs of mighty Numenor.;Des fumées noires s'élevent de la Montagne du Destin, recouvrant les terres de ténèbres. Bientôt, ce nuage atteindra Minas Tirith, et quand ce sera le cas, Sauron enverra ses armées sur les héritiers de la puissante Numenor.;;;;;;;;;;;;x
EVTOPTArotk.52;Prepare the defenses!;Préparez les défenses!;;;;;;;;;;;;x
EVTTITrotk.53;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.53;The Shadow has reached Minas Tirith. It is now time to launch the main assault.;L'Ombre a atteint Minas Tirith. Il est maintenant temps de lancer l'assaut principal !;;;;;;;;;;;;x
EVTOPTArotk.53;Let darkness rule!;Que les Ténèbres soient!;;;;;;;;;;;;x
EVTTITrotk.54;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.54;Sauron has launched his great war against Gondor. This is the hour we have been waiting for. Now we can strike at Belfalas and Anfalas in great force, meeting little resistance!;Sauron a commencé sa Grande Guerre contre le Gondor. C'est le moment pour lequel nous avons attendu. Maintenant, nous pouvons attaquer le Belfalas et l'Anfalas en force, nous rencontrerons peu de résistance! ;;;;;;;;;;;;x
EVTOPTArotk.54;Unleash the Black Fleet!;Que la Flotte Noire prenne la Mer!;;;;;;;;;;;;x
EVTOPTBrotk.54;No, not now.;Non, pas maintenant.;;;;;;;;;;;;x
EVTTITrotk.55;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.55;Sauron has launched his great war against Gondor. The beacons are lit. You have done what you can for Rohan, now you must come to Minas Tirith by a different road...;Sauron a entamé sa grande guerre contre le Gondor. Les feux d'alarme sont allumés. Vous avez fait ce que vous avez pu pour le Rohan, maintenant vous devez rejoindre Minas Tirith... en prenant un chemin détourné…;;;;;;;;;;;;x
EVTOPTArotk.55;The path of the dead...;Le chemin des Morts…;;;;;;;;;;;;x
EVTTITrotk.56;The Heir of Isildur;L'héritier d'Isildur;;;;;;;;;;;;x
EVTDESCrotk.56;Your spies report that the Heir of Isildur has left Rohan, and is headed for Gondor - by the paths of the dead in Dunharrow!;Vos espions vous informent que l'Héritier d'Isildur a quitté le Rohan, et fait route vers le Gondor, par le chemin des Morts à Dunharrow!;;;;;;;;;;;;x
EVTOPTArotk.56;Madness!;Folie!;;;;;;;;;;;;x
EVTOPTBrotk.56;Perhaps the old prophecy is true?;L'ancienne prophétie est-elle vraie?;;;;;;;;;;;;x
EVTTITrotk.57;Gondor At Last!;Le Gondor, enfin.;;;;;;;;;;;;x
EVTDESCrotk.57;With an army of the dead following you, you come to Lamedon, where the light of Anduril and your kingly presence quickly gathers more men to your side. The rumor of your coming flows before you like wildfire.;Avec l'Armée des Morts à vos cotés, vous êtes entré dans le Lamedon, où la lumière d'Anduril et votre présence royale a rapidement réuni de nombreux hommes à vos cotés. La rumeur de votre venue s'étens devant vous comme une traînée de poudre.;;;;;;;;;;;;x
EVTOPTArotk.57;We march swiftly.;Allons avec célérité!;;;;;;;;;;;;x
EVTTITrotk.58;The Men of the South Rally;Les Hommes du Sud se rallient à vous.;;;;;;;;;;;;x
EVTDESCrotk.58;More men flock to your banner. These are not professional soldiers, but rather the local garrisons. The army of the dead drives away a Corsair fleet, and more join you at Pelargir. Now for Minas Tirith!;De plus en plus d'hommes s'unissent sous votre bannière. Ils ne sont pas des soldats professionnels, mais plus des milices locales. L'armée des Morts a fait s'enfuir une flotte de Corsaires, et encore plus d'hommes vous rejoignent à Pelargir. En avant, vers Minas Tirith maintenant!;;;;;;;;;;;;x
EVTOPTArotk.58;We must hurry!;Depêchons-nous!;;;;;;;;;;;;x
EVTTITrotk.59;The Heir of Isildur;L'héritier d'Isildur;;;;;;;;;;;;x
EVTDESCrotk.59;Aragorn's army of the dead has driven away a Corsair fleet about to attack Pelargir, and now he rallies the men of the South to come to the aid of Minas-Tirith.;L'armée des morts menée par Aragorn a fait fuir une flotte de Corsaires qui s'appretait à attaquer Pelargir, et maintenant il rallie les hommes du Sud pour apporter de l'aide à Minas Tirith.;;;;;;;;;;;;x
EVTOPTArotk.59;Damn him!;Maudit soit-il…;;;;;;;;;;;;x
EVTOPTBrotk.59;He could be a true King...;Il pourrait être un vrai Roi…;;;;;;;;;;;;x
EVTTITrotk.60;Light the Beacons;Allumer les Feux d'Alarme;;;;;;;;;;;;x
EVTDESCrotk.60;Rohan has suffered greatly, but our situation is dire. We must light the beacons, and let them know of our great need!;Le Rohan a beaucoup souffert, mais notre situation est encore pire. Nous devrions allumer les feux d'alarme, et les prévenir que nous avons grand besoin d'eux!;;;;;;;;;;;;x
EVTOPTArotk.60;Light the Beacons!;Allumez les Feux!;;;;;;;;;;;;x
EVTOPTBrotk.60;Gondor needs no help from ill-bred peasants!;Le Gondor n'a pas besoin de ses soldats-paysans!;;;;;;;;;;;;x
EVTTITrotk.61;The beacons are lit!;Les feux d'alarme sont allumés!;;;;;;;;;;;;x
EVTDESCrotk.61;Gondor calls for aid - they are facing the full might of the Dark Lord and his armies. But we have suffered greatly... can we answer their call?;Le Gondor appelle à l'aide! Ils font face à toute la puissance du Seigneur Noir et de ses armées. Mais nous avons souffert grandement... Pouvons-nous répondre à leur appel?;;;;;;;;;;;;x
EVTOPTArotk.61;We ride for Minas Tirith!;Nous chevauchons pour le Gondor!;;;;;;;;;;;;x
EVTOPTBrotk.61;They did not come to our aid...;Ils ne sont pas venus à notre aide…;;;;;;;;;;;;x
EVTTITrotk.62;The War;La Guerre;;;;;;;;;;;;x
EVTDESCrotk.62;The battles rage, and from the top of the Tower of Echtelion, you can see fires burning in many nearby provinces. With such a vast host the enemy has gathered against you, he must still fear the might of Gondor.;La bataille fait rage, et depuis le sommet de la tour d'Ecthelion, vous pouvez voir des incendies faire rage dans de nombreuses provinces. Avec la si vaste armée que Sauron a réuni, il doit certainement craindre encore la puissance du Gondor.;;;;;;;;;;;;x
EVTOPTArotk.62;Gondor still stands!;Le Gondor résiste encore!;;;;;;;;;;;;x
EVTTITrotk.63;The Battles Rage;La Bataille fait rage;;;;;;;;;;;;x
EVTDESCrotk.63;The War you have been preparing for all your life is raging across Gondor, and with Anduril blazing with the fire of the west, enemy hosts will break before you!;La Guerre pour laquelle vous vous êtes préparé toute votre vie faire rage dans tout le Gondor, et avec Anduril brulant vec le Feu de l'Ouest, chaque adversaire sera brisé avant vous! ;;;;;;;;;;;;x
EVTOPTArotk.63;Elendil! Elendil!;Elendil! Elendil!;;;;;;;;;;;;x
EVTTITrotk.64;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.64;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
EVTOPTArotk.64;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITrotk.65;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.65;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
EVTOPTArotk.65;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITrotk.66;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.66;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
EVTOPTArotk.66;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITrotk.67;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.67;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
EVTOPTArotk.67;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITrotk.68;Ride of the Rohirrim;La Chevauchée des Rohirrim;;;;;;;;;;;;x
EVTDESCrotk.68;Though the hour may be late, the Rohirrim are honoring the Oath of Eorl and will ride to Minas Tirith with all the forces they can spare!;Même si l'heure est tardive, les Rohirrim vont honorer le Serment d'Eorl, et chevauchent en ce moment vers Minas Tirith avec toutes les forces qu'ils ont pu rassembler !;;;;;;;;;;;;x
EVTOPTArotk.68;Let's hope they make it in time.;Esperons qu'ils arriveront à temps…;;;;;;;;;;;;x
EVTTITrotk.71;A black mood takes you;Une humeur sombre vous prend…;;;;;;;;;;;;x
EVTDESCrotk.71;Boromir is gone, and the hosts of Mordor will only return with greater strength again and again. The Palantir has shown you the truth - There can be no final victory. Your mind begins to turn to madness and despair.;Boromir est mort, et les armées du Mordor reviendront de plus en plus puissantes, encore et encore. Le Palantir avait montré la vérité... Il ne peut y avoir de victoire au final. Votre esprit commence à pencher vers la folie et le desespoir.;;;;;;;;;;;;x
EVTOPTArotk.71;No tomb for Denethor - I will burn!;Pas de tombeau pour Denethor… Je Brulerais!;;;;;;;;;;;;x
EVTOPTBrotk.71;I must live on for Gondor.;Je dois vivre pour le Gondor!;;;;;;;;;;;;x
EVTTITrotk.72;Thus passes Denethor;Ainsi périt Denethor…;;;;;;;;;;;;x
EVTDESCrotk.72;Denethor, Steward of Gondor, has committed suicide in despair at seeing the full extent of the enemy's power through the Palantir, and driven mad by the death of his favored son Boromir. What now, for Gondor?;Denethor, l'Intendant du Gondor, s'est suicidé par desespoir après avoir vu toutes les forces de l'ennemi dans le Palantir, et après être devenu fou de chagrin suite à la mort de son fils favori Boromir. Qu'arrivera-til au Gondor?;;;;;;;;;;;;x
EVTOPTArotk.72;OK;OK;;;;;;;;;;;;x
EVTTITrotk.73;Sauron's forces are defeated!;Les forces de Sauron ont été battues!;;;;;;;;;;;;x
EVTDESCrotk.73;Through the valor of your armies, and the timely aid of the Heir of Isildur, Gondor has repulsed the great attack of the enemy! Many in Gondor would now like to see the Return of the King - as Steward, what do you say?;Grâce à la valeur de vos armées, et à l'aide inattendue de l'Héritier d'Isildur, le Gondor a repoussé la grande attaque de l'Ennemi! Nombreaux au Gondor sont ceux qui souhaiteraient voir le retour du Roi... En tant qu'Intendant, qu'en dites vous?;;;;;;;;;;;;x
EVTOPTArotk.73;Prepare the city for his coming! Sound the trumpets!;Préparez la ville a sa venue! Sonnez les trompettes!;;;;;;;;;;;;x
EVTOPTBrotk.73;I can't stop him, but in due time...;Je ne peux l'arrêter, mais en temps voulu…;;;;;;;;;;;;x
EVTTITrotk.74;The Return of the King;Le retour du Roi;;;;;;;;;;;;x
EVTDESCrotk.74;You have proven yourself a worthy Heir to the throne of Gondor. Silver trumpets call you to the City of Kings, and the people rejoice. They have hope now, that Sauron can be defeated.;Vous avez prouvé que vous étiez digne d'hériter du trône du Gondor. Des trompettes d'argent vous appellent à entrer dans la Cité des Rois, et le peuple se réjouit. Ils ont de l'espoir maintenant, celui que Sauron puisse être battu.;;;;;;;;;;;;x
EVTOPTArotk.74;The Dúnedain shall rise again.;Les Dúnedains vont s'élever de nouveau!;;;;;;;;;;;;x
EVTTITrotk.75;Your Ancient Claims are Recognized;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCrotk.75;As the heir of Elendil, you are not only King of Gondor, but also of Arnor. In time, the northern realm shall rise again, and a Re-United Kingdom of the Dúnedain shall restore the glories of old.;Comme héritier d'Elendil, vous n'êtes pas seulement Roi du Gondor, mais aussi d'Arnor. Le Royaume du Nord va être rebati, et un Royaume Unifié des Dúnedain devrait restaurer la Gloire passée.;;;;;;;;;;;;x
EVTOPTArotk.75;Indeed it shall!;Cela sera!;;;;;;;;;;;;x
EVTTITrotk.76;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCrotk.76;The Heir of Isildur has returned to the throne of Gondor, and its people rejoice. A Re-United Kingdom of Arnor and Gondor is proclaimed, and Sauron's great assault has been beaten back.;L'Héritier d'Isildur a pris le trône du Gondor, et son peuple se réjouit. Un Royaume Unifié de Gondor et d'Arnor a été proclamé, et le grand assaut de Sauron a été repoussé.;;;;;;;;;;;;x
EVTOPTArotk.76;The Dúnedain shall arise again!;Les Dúnedains vont s'élever de nouveau!;;;;;;;;;;;;x
EVTOPTBrotk.76;A curse upon him!;Maudit soit-il!;;;;;;;;;;;;x
EVTOPTCrotk.76;OK;OK;;;;;;;;;;;;x
EVTTITrotk.77;Defeat;Défaite!;;;;;;;;;;;;x
EVTDESCrotk.77;The doom of men is at hand! Even with the heir of Elendil wielding Anduril, the enemy streams into Eastern Gondor and your people flee. What now of the return of the King?;La destruction des Hommes est à notre porte! Même avec l'héritier d'Elendil brandissant Anduril, l'Ennemi occupe l'Est du Gondor, et notre peuple s'enfuit. Comment penser au retour d'un Roi maintenant?;;;;;;;;;;;;x
EVTOPTArotk.77;He has failed, and is no King of mine.;Il a échoué, et n'est pas mon Roi.;;;;;;;;;;;;x
EVTOPTBrotk.77;Our people need hope. They need a King.;Notre peuple a besoin d'espoir. Il faut un Roi!;;;;;;;;;;;;x
EVTTITrotk.78;Failure and Defeat;Echec et défaite…;;;;;;;;;;;;x
EVTDESCrotk.78;Despite your best efforts, Minas Tirith fell to the enemy. The steward rejects your claim, and you must now return north and prepare for the coming darkness.;Malgré tout vos efforts, Minas Tirith est tombée entre les mains de l'Ennemi. L'Intendant du Gondor rejete votre revendication. Vous devriez retourner au Nord et vous préparer aux Ténèbres qui arrivent…;;;;;;;;;;;;x
EVTOPTArotk.78;There never was much hope...;Il n'y aura plus d'espoir…;;;;;;;;;;;;x
EVTTITrotk.79;Failure and Defeat;Echec et défaite…;;;;;;;;;;;;x
EVTDESCrotk.79;Despite your best efforts, Minas Tirith fell to the enemy. The people still accept you as King, however, but your task now is almost impossible...;Malgré tout vos efforts, Minas Tirith est tombée entre les mains de l'Ennemi. Le Peuple veut vous voir devenir Roi, mais votre tâche deviendra presque impossible…;;;;;;;;;;;;x
EVTOPTArotk.79;But there is still hope!;Il y a encore de l'espoir!;;;;;;;;;;;;x
EVTTITrotk.80;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCrotk.80;Though defeated, you are still the rightful King of both Arnor and Gondor. You take up your crown, and look to the battles ahead.;Même battu, vous êtes le véritable Roi d'Arnor et de Gondor. Vous prenez votre couronne, et vous préparez aux batailles à venir…;;;;;;;;;;;;x
EVTOPTArotk.80;At least I got my crown...;Au moins j'ai ma couronne…;;;;;;;;;;;;x
EVTTITrotk.81;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCrotk.81;The King has returned, but surely not all true men of Gondor welcome this last heir of a ragged northern line, long bereft of Lordship. In time, I shall gather support and oust this usurper!;Le Roi est revenu sur son trône, mais tous les vrais Hommes du Gondor ne saluent pas l'arrivée du dernier héritier d'une lignée d'hommes en haillons du Nord, privée depuis longtemps de toute seigneurie. Le Moment venu, je leur apporterais mon soutien et nous chasserons cet usurpateur...;;;;;;;;;;;;x
EVTOPTArotk.81;The Line of the Stewards deserve that crown...;La Maison des Intendants mérite cette couronne…;;;;;;;;;;;;x
EVTTITrotk.82;Boromir's Judgement;Le Jugement de Boromir;;;;;;;;;;;;x
EVTDESCrotk.82;Boromir took the ring from [mep_fellowship_ringbearer.GetFirstName]. We cannot wield it, but it must be kept safe. Boromir will be locked away, deep beneath the city, where he will suffer his ill fate.;Boromir a pris l'Anneau à [mep_fellowship_ringbearer.GetFirstName]. Nous ne pouvons lui pardonner, mais sa vie doit être épargnée. Boromir sera arrêté, amené jusqu'à la Cité, où il devra accepter son destin.;;;;;;;;;;;;x
EVTOPTArotk.82;Send the guards for him!;Envoyez des Gardes après lui!;;;;;;;;;;;;x
EVTTITrotk.83;King's Judgement;Le Jugement du Roi;;;;;;;;;;;;x
EVTDESCrotk.83;Tower Guards sent by Aragorn come to arrest you. You are charged with high treason, and theft. They want the ring! And after all I did to defend our people?!;Des Guardes de la Citadelle ont été envoyés par Aragorn pour vous arrêter. Vous êtes accusé de Haute Trahison, et Vol. Ils veulent l'Anneau! Après tout ce que j'ai fait pour défendre mon peuple?;;;;;;;;;;;;x
EVTOPTArotk.83;I will go with them...;Je les suivrais…;;;;;;;;;;;;x
EVTOPTBrotk.83;Weak fools! I will flee to Umbar!;Pauvre fous! J'embarque pour Umbar!;;;;;;;;;;;;x
EVTTITrotk.84;Boromir's Judgement;Le Jugement de Boromir;;;;;;;;;;;;x
EVTDESCrotk.84;Boromir submitted, and is now safely locked in your dungeon.;Boromir s'est rendu, et est maintenant emprisonné dans des quartiers sous surveillance à Minas Tirith.;;;;;;;;;;;;x
EVTOPTArotk.84;Good.;Bien.;;;;;;;;;;;;x
EVTTITrotk.85;Escape;La Fuite;;;;;;;;;;;;x
EVTDESCrotk.85;You put on the ring, escape the guards, and flee the city. Your only choice now is to run to Umbar, and appeal to the Corsairs for sanctuary...;Vous mettez l'Anneau à votre doigt, vous échappez aux Gardes, and fuyez la Cité. Votre seul choix maintenant est de fuir vers Umbar, et de demander asile aux Corsaires... ;;;;;;;;;;;;x
EVTOPTArotk.85;I will return as a conqueror!;Je reviendrais en Conquérant!;;;;;;;;;;;;x
EVTTITrotk.86;Escape;La Fuite;;;;;;;;;;;;x
EVTDESCrotk.86;You put on the ring, but the guards seize you before you manage to leave the city. You have no escape now.;Vous mettez l'Anneau à votre doigt, mais les Gardes vous repèrent avant que vous ne réussissiez à quitter la Cité. Vous n'avez plus de possibilité de vous échapper maintenant…;;;;;;;;;;;;x
EVTOPTArotk.86;Curses!;Malédiction!;;;;;;;;;;;;x
EVTTITrotk.87;A Gondorian Prince appears;Un Prince du Gondor arrive…;;;;;;;;;;;;x
EVTDESCrotk.87;Boromir of Gondor has fled his lands and is branded a traitor and criminal. He seeks sanctuary. He could be a useful tool... do you give it to him?;Boromir du Gondor a fui ses terres et est recherché comme un traître et un criminel. Il demande asile. Il peut nous être utile... Allons-nous lui accorder?;;;;;;;;;;;;x
EVTOPTArotk.87;Welcome, my dear!;Bienvenue en Umbar!;;;;;;;;;;;;x
EVTTITrotk.88;You arrive in Umbar;Vous êtes en Umbar!;;;;;;;;;;;;x
EVTDESCrotk.88;The Corsairs welcome you, and are eager to know all that you do of Gondor's defenses. It's strengths, weaknesses... ;Les Corsaires vous accueillent, et sont pressés de savoir tout ce que vous avez fait pour assurer les défenses du Gondor. Quelles sont ses forces, ses faiblesses…;;;;;;;;;;;;x
EVTOPTArotk.88;I'll find a way to seize power here.;Je trouverais un moyen de prendre le pouvoir ici…;;;;;;;;;;;;x
EVTTITrotk.89;Boromir escaped!;Boromir s'est enfui!;;;;;;;;;;;;x
EVTDESCrotk.89;Using the ring, Boromir evaded your guards and has seemingly escaped the city! Some folk by the harbor said they saw an empty boat suddenly untie itself and sail south...;Utilisant l'Anneau, Boromir échappe à vos gardes et il semble qu'il se soit enfuit de la cité! Certaines personnes au port disent qu'ils ont vus un navire vide briser soudainement ses amarres et naviguer vers le Sud…;;;;;;;;;;;;x
EVTOPTArotk.89;You can run, Boromir... but I'll find you!;Vous pouvez courir Boromir, mais je vous trouverais!;;;;;;;;;;;;x
EVTTITrotk.90;The Great War;la Grande Guerre;;;;;;;;;;;;x
EVTDESCrotk.90;The great battle of our time has come, but you have not been idle. Forces have been sent to the aid of Minas Tirith from your vassals, and they are now awaiting your command.;La Grande Bataille de notre Temps est venue, et vous n'avez pas perdu de temps. Des forces ont été envoyées pour secourir Minas Tirith depuis les quatre coins du Royaume, et attendent votre commandement.;;;;;;;;;;;;x
EVTOPTArotk.90;So few have come...;Si peu sont venus…;;;;;;;;;;;;x
EVTTITrotk.91;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCrotk.91;If the antic crown of Gondor was found on the tomb of Eärnil II in the houses of the dead, Elrond kept in Rivendell the Sceptre of Annuminas since the Split of Arnor. He come to you now, and give you the symbol of the Kings of the North.;Si l'antique couronne des Rois du Gondor reposait sur la tombe d'Eärnil II à Minas Tirith, le Sceptre d'Annuminas était gardé depuis la division d'Arnor par Elrond, à Fondcombe. Il se présente maintenant devant vous, vous offrant le symbole de la Couronne du Nord.;;;;;;;;;;;;x
EVTOPTArotk.91;I'm the King of Arnor!;Je suis le Roi d'Arnor!;;;;;;;;;;;;x
EVTTITgaladrielring.0;High Queen;La Haute Reine;;;;;;;;;;;;x
EVTDESCgaladrielring.0;With the ring, you are the most powerful elven ruler since the days of Feanor, Fingolfin, and Gil-Galad. You have surely earned the right to call yourself High Queen of the Elves!;Avec l'Anneau, vous devenez le plus puissant elfe depuis les jours de Fëanor, Fingolfin et Gil-Galad. Vous avez certainement le droit de vous faire appeler maintenant la Haute-Reine de tout les Elfes !;;;;;;;;;;;;x
EVTOPTAgaladrielring.0;Send out riders. The elves must unite again.;Envoyez des Messagers. Les elfes doivent s'unir.;;;;;;;;;;;;x
EVTTITgaladrielring.1;Expand your Realm;Etendez votre Domaine…;;;;;;;;;;;;x
EVTDESCgaladrielring.1;The Orcs of Moria have long been a threat, but now that you have the ring it is time to end it once and for all.  You should prepare your armies. This is just the beginning!;Les Orques de la Moria ont été longtemps une menace, mais maintenant que vous avez l'Anneau, il est temps de mettre un terme à celle-ci. Vous devriez préparer vos armées… C'est juste le commencement.;;;;;;;;;;;;x
EVTOPTAgaladrielring.1;The Age of the Orc is ending.;L'Âge des Orques est terminé !;;;;;;;;;;;;x
EVTTITgaladrielring.2;Expand your Realm;Etendez votre Domaine…;;;;;;;;;;;;x
EVTDESCgaladrielring.2;The men of Anduin Vale are under threat from the orcs of Gundabad. You should send your armies there to protect them, and organize their men for the future war against Sauron.;Les Hommes du Val d'Anduin sont sous la menace des Orques de Gundabad. Vous devriez envoyer vos armées pour les protéger, et organiser ces Hommes pour la guerre à venir contre Sauron.;;;;;;;;;;;;x
EVTOPTAgaladrielring.2;Let's hope they do not resist us too fiercely.;Esperons qu'ils ne résisteront pas trop…;;;;;;;;;;;;x
EVTTITgaladrielring.3;A new Ring-Lord;Un Nouveau Seigneur de l'Anneau;;;;;;;;;;;;x
EVTDESCgaladrielring.3;Rumors reach you that Galadriel has taken up the ring, and is preparing to move against the realm of Anduin vale, supposedly to protect them. Yet if her elven armies are opposed, will she use force to gain their allegiance?;Des Rumeurs courent selon lesquelles Galadriel aurait pris l'Anneau et se préparerait à faire mouvement contre les Terres du Val d'Anduin, soit-disant pour les protéger. Pourtant, si les armées elfes trouvent une opposition, utilisera-t-elle la Force pour s'emparer des terres?;;;;;;;;;;;;x
EVTOPTAgaladrielring.3;She better not use force!;Elle ne devrait pas utiliser la force…;;;;;;;;;;;;x
EVTOPTBgaladrielring.3;Galadriel has the ring? Interesting...;Galadriel a l'Anneau? Interessant…;;;;;;;;;;;;x
EVTOPTCgaladrielring.3;Cursed elves!;Maudits elfes !;;;;;;;;;;;;x
EVTTITgaladrielring.4;Expand your Realm;Expansion de votre Royaume;;;;;;;;;;;;x
EVTDESCgaladrielring.4;The woodsmen are under threat from the orcs of Dol Guldur. You should send your armies there to protect them, and organize their men for the future war against Sauron.;Les Bucherons de la Forêt Noire sont sous la menace des Orques de Dol Guldur. Vous devriez envoyer vos armées pour les protéger, et préparer ces hommes à la future guerre contre Sauron.;;;;;;;;;;;;x
EVTOPTAgaladrielring.4;Let's hope they do not resist us too fiercely.;Esperons qu'ils ne résisteront pas trop…;;;;;;;;;;;;x
EVTTITgaladrielring.5;A new Ring-Lord;Un Nouveau Seigneur de l'Anneau;;;;;;;;;;;;x
EVTDESCgaladrielring.5;Emissaries from Galadriel reach you. She has taken the title High Queen of the Elves, and asks for your allegiance. Together, you will set things right, and destroy Sauron and all evil creatures!;Des Emissaires de Galadriel sont venus à vous. Elle a pris le titre de Haute Reine des Elfes, et demande votre allégeance. Ensemble, vous remettrez tout en Ordre, détruirez Sauron et toutes les créatures maléfiques.;;;;;;;;;;;;x
EVTOPTAgaladrielring.5;Yes, we need to unite!;Oui, nous devons nous unir!;;;;;;;;;;;;x
EVTOPTBgaladrielring.5;No! The ring will corrupt her.;Non, l'Anneau va la corrompre!;;;;;;;;;;;;x
