#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTBnewkinstrife.14;Good!;@FIXME@ Good!;;;;;;;;;;;;x
EVTTITnewkinstrife.15;Some want a new ruler;@FIXME@ Some want a new ruler;;;;;;;;;;;;x
EVTDESCnewkinstrife.15;Your current King has little or no Numenorean blood, but you receive word from this Prince - if you will help him, he will seize the throne, and restore the dignity of Gondor and re-make it in the image of ancient Numenor!;@FIXME@ Your current King has little or no Numenorean blood, but you receive word from this Prince - if you will help him, he will seize the throne, and restore the dignity of Gondor and re-make it in the image of ancient Numenor!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.15;It's a new age! Who cares about such things?;@FIXME@ It's a new age! Who cares about such things?;;;;;;;;;;;;x
EVTOPTBnewkinstrife.15;It must be done, for the dignity of Gondor!;@FIXME@ It must be done, for the dignity of Gondor!;;;;;;;;;;;;x
EVTTITnewkinstrife.16;You receive word;@FIXME@ You receive word;;;;;;;;;;;;x
EVTDESCnewkinstrife.16;This Prince is willing to support your cause, even if it means war. You should prepare your armies.;@FIXME@ This Prince is willing to support your cause, even if it means war. You should prepare your armies.;;;;;;;;;;;;x
EVTOPTAnewkinstrife.16;Send word. We gather our full strength.;@FIXME@ Send word. We gather our full strength.;;;;;;;;;;;;x
EVTTITnewkinstrife.17;Kinstrife is upon us!;@FIXME@ Kinstrife is upon us!;;;;;;;;;;;;x
EVTDESCnewkinstrife.17;The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!;@FIXME@ The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.17;Ready the banners. We march.;@FIXME@ Ready the banners. We march.;;;;;;;;;;;;x
EVTTITnewkinstrife.18;It is time.;@FIXME@ It is time.;;;;;;;;;;;;x
EVTDESCnewkinstrife.18;You've come this far, now there is no going back. You must declare yourself openly, and let your supporters know that they are with you to the end now.;@FIXME@ You've come this far, now there is no going back. You must declare yourself openly, and let your supporters know that they are with you to the end now.;;;;;;;;;;;;x
EVTOPTAnewkinstrife.18;Do it.;@FIXME@ Do it.;;;;;;;;;;;;x
EVTTITnewkinstrife.20;Kinstrife is upon us!;@FIXME@ Kinstrife is upon us!;;;;;;;;;;;;x
EVTDESCnewkinstrife.20;The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!;@FIXME@ The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.20;Ready the banners. We march.;@FIXME@ Ready the banners. We march.;;;;;;;;;;;;x
newkinstrife_claimant;The Kinstrife War Claimant;@FIXME@ The Kinstrife War Claimant;;;;;;;;;;;;x
newkinstrife_war;The Kinstrife War;@FIXME@ The Kinstrife War;;;;;;;;;;;;x
