#PROV;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
PROV36;Eregost;Eregost;;;Eregost;;x
PROV37;Methrast;Methrast;;;Methrast;;x
PROV38;Bar Tyliand;Bar Tyliand;;;Bar Tyliand;;x
PROV39;Nargond;Nargond;;;Nargond;;x
PROV40;Bar Algund;Bar Algund;;;Bar Algund;;x
PROV41;Rohallor;Rohallor;;;Rohallor;;x
PROV42;Edhelion;Edhelion;;;Edhelion;;x
PROV43;Andram;Andram;;;Andram;;x
PROV44;Dudhrandir;Dudhrandir;;;Dudhrandir;;x
PROV45;Maldred;Maldred;;;Maldred;;x
PROV46;Arandal;Arandal;;;Arandal;;x
PROV47;Drinbar;Drinbar;;;Drinbar;;x
PROV48;Finnarphen;Finnarphen;;;Finnarphen;;x
PROV49;Asgaril;Asgaril;;;Asgaril;;x
PROV50;Coruvegil;Coruvegil;;;Coruvegil;;x
PROV51;Henneth Annûn;Henneth Annûn;;;Henneth Annûn;;x
PROV52;Wilwarin;Wilwarin;;;Wilwarin;;x
PROV53;Curedain;Curedain;;;Curedain;;x
PROV54;Othnir;Othnir;;;Othnir;;x
PROV55;Usuluni;Usuluni;;;Usuluni;;x
PROV56;Elemir;Elemir;;;Elemir;;x
PROV57;Rian;Rian;;;Rian;;x
PROV58;Glorel;Glorel;;;Glorel;;x
PROV59;Telengaur;Telengaur;;;Telengaur;;x
PROV60;Alagdor;Alagdor;;;Alagdor;;x
PROV61;Tiridor;Tiridor;;;Tiridor;;x
PROV62;Athrad Poros;Athrad Poros;;;Athrad Poros;;x
PROV63;Tir Ethraid;Tir Ethraid;;;Tir Ethraid;;x
PROV64;Morgevil;Morgevil;;;Morgevil;;x
PROV65;Derndingle;Derndingle;;;Derndingle;;x
PROV66;Tarmasundar;Tarmasundar;;;Tarmasundar;;x
PROV67;Gilros;Gilros;;;Gilros;;x
PROV68;Astirian;Astirian;;;Astirian;;x
PROV69;Harnastin;Harnastin;;;Harnastin;;x
PROV70;Araglas;Araglas;;;Araglas;;x
PROV71;Fangorn;Fangorn;;;Fangorn;;x
PROV72;Udûn ;Udûn ;;;Udûn ;;x
PROV73;Overbourn Marshes;Marches d'Overbourn;;;Transpaludi;;x
PROV74;The Marish;La Maresque;;;La Palude;;x
PROV75;Frogmorton;La Grenouillère;;;Chianarana;;x
PROV76;Bridge Fields;Champs du Pont;;;Campoponte;;x
PROV77;Hills of Scary;Collines de Scary;;;Colli di Scary;;x
PROV78;Oatbarton;Oatbarton;;;Fondoquercia;;x
PROV79;Iach Sarn;Iach Sarn;;;Iach Sarn;;x
PROV80;Cor Wilishar;Cor Wilishar;;;Cor Wilishar;;x
PROV81;Sackville;Sackville;;;Sackville;;x
PROV82;Hardbottle;Hardbottle;;;Pietracasa;;x
PROV83;Longbottom;Longoulet;;;Pianilungone;;x
PROV84;Hobbiton;Hobbitebourg;;;Hobbiville;;x
PROV85;Bywater;Lezeau;;;Lungacque;;x
PROV86;Waymeet;Carrefour;;;Quadrivio;;x
PROV87;Little Delving;Courtecave;;;Piccola Forata;;x
PROV88;Gamwich;Gamwich;;;Gamwich;;x
PROV89;Overhill;Par-delà la Colline;;;Surcolle;;x
PROV90;Greenfields;Champs-Verts;;;Terreverdi;;x
PROV91;Needlehole;Trou-de-l'Aiguille;;;Forodago;;x
PROV92;Longcleeve;Longcleeve;;;Lungoscavo;;x
PROV93;Whitwell;Bonblanc;;;Bianchi Poggi;;x
PROV94;Green Hill Country;Pays de la Colline Verte;;;Paese delle Verdi Colline;;x
PROV95;Michel Delving;Grand'Cave;;;Pietraforata;;x
PROV96;Men Erain;Men Erain;;;Men Erain;;x
PROV97;Bucklebury;Château-Brande;;;Buckburgo;;x
PROV98;Eryn Vorn;Eryn Vorn;;;Eryn Vorn;;x
PROV99;Cithrenor;Cithrenor;;;Cithrenor;;x
PROV100;Angoth;Angoth;;;Angoth;;x
PROV101;Annithir;Annithir;;;Annithir;;x
PROV102;Minas Girithlin;Minas Girithlin;;;Minas Girithlin;;x
PROV103;Girithdôr;Girithdôr;;;Girithdôr;;x
PROV104;Old Forest;La Vieille Forêt;;;Vecchia Foresta;;x
PROV105;Tyrn Gorthad;Tyrn Gorthad;;;Tyrn Gorthad;;x
PROV106;Ost Gorthad;Ost Gorthad;;;Ost Gorthad;;x
PROV107;Harloeg;Harloeg;;;Harloeg;;x
PROV108;Bondor;Bondor;;;Bondor;;x
PROV109;Ered Angûrath;Ered Angûrath;;;Ered Angûrath;;x
PROV110;Fenmarch;Fenmarch;;;Fenmarch;;x
PROV111;The Folde;Le Folde;;;Falda;;x
PROV112;Snowbourn;Snowbourn;;;Acquaneve;;x
PROV113;Imping;Imping;;;Imping;;x
PROV114;Aldburg;Aldburg;;;Aldburgo;;x
PROV115;Edoras;Edoras;;;Edoras;;x
PROV116;Harrowdale;Harrowdale;;;Dunclivo;;x
PROV117;King Fold;Terre-du-Roi;;;Falda del Re;;x
PROV118;Grimslade;Grimslade;;;Grimslade;;x
PROV119;Marton;Marton;;;Marton;;x
PROV120;Gap of Rohan;Cap du Rohan;;;Breccia di Rohan;;x
PROV121;Adornfold;Adornfold;;;Adornfold;;x
PROV122;Helm's Deep;Gouffre de Helm;;;Fosso di Helm;;x
PROV123;Tir Ethir;Tir Ethir;;;Tir Ethir;;x
PROV124;Methir;Methir;;;Methir;;x
PROV125;Minas Laer;Minas Laer;;;Minas Laer;;x
PROV126;Aegardh;Aegardh;;;Aegardh;;x
PROV127;Galadrin;Galadrin;;;Galadrin;;x
PROV128;Aegthelion;Aegthelion;;;Aegthelion;;x
PROV129;Barad Harn;Barad Harn;;;Barad Harn;;x
PROV130;Emyn Annûn;Emyn Annûn;;;Emyn Annûn;;x
PROV131;Gobel Mírlond;Gobel Mírlond;;;Gobel Mírlond;;x
PROV132;Has Sabiya;Has Sabiya;;;Has Sabiya;;x
PROV133;Caradhram;Caradhram;;;Caradhram;;x
PROV134;Emyn Laer;Emyn Laer;;;Emyn Laer;;x
PROV135;Amonost;Amonost;;;Amonost;;x
PROV136;Hingrenost;Hingrenost;;;Hingrenost;;x
PROV137;Carnenost;Carnenost;;;Carnenost;;x
PROV138;Bar Malduin;Bar Malduin;;;Bar Malduin;;x
PROV139;Emyn Imladrim;Emyn Imladrim;;;Emyn Imladrim;;x
PROV140;Faday;Faday;;;Faday;;x
PROV141;Romenor;Romenor;;;Romenor;;x
PROV142;Carnen;Carnen;;;Carnen;;x
PROV143;Tirith Argon;Tirith Argon;;;Tirith Argon;;x
PROV144;Abârloni;Abârloni;;;Abârloni;;x
PROV145;Suk Abârrim;Suk Abârrim;;;Suk Abârrim;;x
PROV146;Gobel Ancalimon;Gobel Ancalimon;;;Gobel Ancalimon;;x
PROV147;Morgal;Morgal;;;Morgal;;x
PROV148;Orodruin;Orodruin;;;Orodruin;;x
PROV149;Cirith Ungol;Cirith Ungol;;;Cirith Ungol;;x
PROV150;Carach Angren;Carach Angren;;;Carach Angren;;x
PROV151;Ered Lithui;Ered Lithui;;;Ered Lithui;;x
PROV152;Minas Dûrlith;Minas Dûrlith;;;Minas Dûrlith;;x
PROV153;East Lithad;Lithad Oriental;;;Est Lithad;;x
PROV154;Linnuis;Linnuis;;;Linnuis;;x
PROV155;Lond Daer;Lond Daer;;;Lond Daer;;x
PROV156;Sudúri;Sudúri;;;Sudúri;;x
PROV157;Minas Emrys;Minas Emrys;;;Minas Emrys;;x
PROV158;Talsir;Talsir;;;Talsir;;x
PROV159;Bregnas;Bregnas;;;Bregnas;;x
PROV160;Daelmoth;Daelmoth;;;Daelmoth;;x
PROV161;Balost;Balost;;;Balost;;x
PROV162;Alandor;Alandor;;;Alandor;;x
PROV163;Argond;Argond;;;Argond;;x
PROV164;Deveney;Deveney;;;Deveney;;x
PROV165;Entamundo;Entamundo;;;Entamundo;;x
PROV166;Thaendor;Thaendor;;;Thaendor;;x
PROV167;Seren;Seren;;;Seren;;x
PROV168;Gwaelin;Gwaelin;;;Gwaelin;;x
PROV169;Andrath;Andrath;;;Andrath;;x
PROV170;Arnach;Arnach;;;Arnach;;x
PROV171;Thalion;Thalion;;;Thalion;;x
PROV172;Tharbad;Tharbad;;;Tharbad;;x
PROV173;Herwen;Herwen;;;Herwen;;x
PROV174;Nen-i-Sûl ;Nen-i-Sûl ;;;Nen-i-Sûl ;;x
PROV175;Denerond;Denerond;;;Denerond;;x
PROV176;Nidada;Nidada;;;Nidada;;x
PROV177;Gleinfaerdor;Gleinfaerdor;;;Gleinfaerdor;;x
PROV178;Bar Morthil;Bar Morthil;;;Bar Morthil;;x
PROV179;Parth-i-Certémar;Parth-i-Certémar;;;Parth-i-Certémar;;x
PROV180;Tharagrondost;Tharagrondost;;;Tharagrondost;;x
PROV181;Parth Iaur;Parth Iaur;;;Parth Iaur;;x
PROV182;Perth Maiwin;Perth Maiwin;;;Perth Maiwin;;x
PROV183;Cirith Analanohir;Cirith Analanohir;;;Cirith Analanohir;;x
PROV184;Balorn;Balorn;;;Balorn;;x
PROV185;Ruasin;Ruasin;;;Ruasin;;x
PROV186;Abastmil;Abastmil;;;Abastmil;;x
PROV187;Nimrhand;Nimrhand;;;Nimrhand;;x
PROV188;Rast Lefnui;Rast Lefnui;;;Rast Lefnui;;x
PROV189;Rast Hwarin;Rast Hwarin;;;Rast Hwarin;;x
PROV190;Fangmaer;Fangmaer;;;Fangmaer;;x
PROV191;Dunlostir;Dunlostir;;;Dunlostir;;x
PROV192;Broadacres;Broadacres;;;Grandacro;;x
PROV193;Kingstead;Kingstead;;;Seggio dei Re;;x
PROV194;Entwash Vale;Vallée de l'Entalluve;;;Valle dell'Entalluvio;;x
PROV195;Annulond;Annulond;;;Annulond;;x
PROV196;Lómost;Lómost;;;Lómost;;x
PROV197;Lond Galen;Lond Galen;;;Lond Galen;;x
PROV198;Rondalph;Rondalph;;;Rondalph;;x
PROV199;Rhûnwaith;Rhûnwaith;;;Rhûnwaith;;x
PROV200;Haerlond;Haerlond;;;Haerlond;;x
PROV201;Lindabad;Lindabad;;;Lindabad;;x
PROV202;Imlad Arheledh;Imlad Arheledh;;;Imlad Arheledh;;x
PROV203;Annon Wain;Annon Wain;;;Annon Wain;;x
PROV204;Umb Dolen;Umb Dolen;;;Umb Dolen;;x
PROV205;Bar Feryth;Bar Feryth;;;Bar Feryth;;x
PROV206;Saerthondost;Saerthondost;;;Saerthondost;;x
PROV207;Dol Gwaer;Dol Gwaer;;;Dol Gwaer;;x
PROV208;Rond Deren;Rond Deren;;;Rond Deren;;x
PROV209;Corgonin;Corgonin;;;Corgonin;;x
PROV210;Parth Feren;Parth Feren;;;Parth Feren;;x
PROV211;Nineryn;Nineryn;;;Nineryn;;x
PROV212;Umb Estelwain;Umb Estelwain;;;Umb Estelwain;;x
PROV213;Rond Rhandir;Rond Rhandir;;;Rond Rhandir;;x
PROV214;Morlad;Morlad;;;Morlad;;x
PROV215;Erech;Erech;;;Erech;;x
PROV216;Thargol;Thargol;;;Thargol;;x
PROV217;Sardol;Sardol;;;Sardol;;x
PROV218;Cemenduril;Cemenduril;;;Cemenduril;;x
PROV219;Lancrath;Lancrath;;;Lancrath;;x
PROV220;Calembel;Calembel;;;Calembel;;x
PROV221;Ethring;Ethring;;;Ethring;;x
PROV222;Dínadab;Dínadab;;;Dínadab;;x
PROV223;Bar Elir;Bar Elir;;;Bar Elir;;x
PROV224;Lothgobel;Lothgobel;;;Lothgobel;;x
PROV225;Isengard;Isengard;;;Isengard;;x
PROV226;Isendale;Isendale;;;Isenvalle;;x
PROV227;Derwath;Derwath;;;Derwath;;x
PROV228;Drúwaith Nimrais;Drúwaith Nimrais;;;Drúwaith Nimrais;;x
PROV229;Imlothim;Imlothim;;;Imlothim;;x
PROV230;Isenangle;Isenangle;;;Isenspigolo;;x
PROV231;Drúwaith Laden;Drúwaith Laden;;;Drúwaith Laden;;x
PROV232;Dunlogan;Dunlogan;;;Dunlogan;;x
PROV233;Perth Ülmyn;Perth Ülmyn;;;Perth Ülmyn;;x
PROV234;Rivendell;Fondcombe;;;Gran Burrone;;x
PROV235;Caras Galadhon;Caras Galadhon;;;Caras Galadhon;;x
PROV236;Gobel Lhûn;Gobel Lhûn;;;Gobel Lhûn;;x
PROV237;Falathlorn;Falathlorn;;;Falathlorn;;x
PROV238;Low Lands;Basses-Terres;;;Terre Basse;;x
PROV239;Thorin's Gate;Porte de Thorin;;;Porte di Thorin;;x
PROV240;The Dune Sea;Mer de Sable;;;Mare delle Dune;;x
PROV241;Forodwaith;Forodwaith;;;Forodwaith;;x
PROV242;Hyarromenyar;Hyarromenyar;;;Hyarromenyar;;x
PROV243;Tarmear;Tarmear;;;Tarmear;;x
PROV244;Brethyar;Brethyar;;;Brethyar;;x
PROV245;Glandagol;Glandagol;;;Glandagol;;x
PROV246;East Luneland;Luneland Oriental;;;Est Luneland;;x
PROV247;Noirinanyar;Noirinanyar;;;Noirinanyar;;x
PROV248;Ongoth;Ongoth;;;Ongoth;;x
PROV249;Tirith Glann;Tirith Glann;;;Tirith Glann;;x
PROV250;Formenyar;Formenyar;;;Formenyar;;x
PROV251;Emyn Uial;Emyn Uial;;;Emyn Uial;;x
PROV252;Annumenyar;Annumenyar;;;Annumenyar;;x
PROV253;Tyrn Fornech;Tyrn Fornech;;;Tyrn Fornech;;x
PROV254;Emenyar;Emenyar;;;Emenyar;;x
PROV255;Balgrist;Balgrist;;;Balgrist;;x
PROV256;Parth Aduial;Parth Aduial;;;Parth Aduial;;x
PROV257;Oronyar;Oronyar;;;Oronyar;;x
PROV258;Celephyar;Celephyar;;;Celephyar;;x
PROV259;Maenthirost;Maenthirost;;;Maenthirost;;x
PROV260;Tyrn Formen;Tyrn Formen;;;Tyrn Formen;;x
PROV261;Ramunnidon;Ramunnidon;;;Ramunnidon;;x
PROV262;Rammas Formen;Rammas Formen;;;Rammas Formen;;x
PROV263;Esteldin;Esteldin;;;Esteldin;;x
PROV264;Archet;Bois-de-Chet;;;Arceto;;x
PROV265;Combe;Combe;;;Conca;;x
PROV266;Brandy Hills;Monts-de-Brande;;;Colli di Brandy;;x
PROV267;Bree;Bree;;;Brea;;x
PROV268;Midgewater Marshes;Eaux-aux-Cousins;;;Chiane Ditteri;;x
PROV269;Weather Hills;Weather Hills;;;Colline Vento;;x
PROV270;Fornost Erain;Fornost Erain;;;Fornost Erain;;x
PROV271;Gladden Fields;Champs-aux-Iris;;;Campi Gaggiolo;;x
PROV272;Ordugh;Ordugh;;;Ordugh;;x
PROV273;Sutcrofts;Sutcrofts;;;Sudpoderi;;x
PROV274;Norcrofts;Norcrofts;;;Nordpoderi;;x
PROV275;East Wall;Mur-de-l'Est;;;Rupe dell'Est;;x
PROV276;Walstow;Walstow;;;Walstow;;x
PROV277;Ethir Onodló;Ethir Onodló;;;Ethir Onodló;;x
PROV278;Harwick;Harwick;;;Harwick;;x
PROV279;Longhold;Longhold;;;Fortelungo;;x
PROV280;Sarn Gebir;Sarn Gebir;;;Sarn Gebir;;x
PROV281;Parth Celebrant;Parth Celebrant;;;Parth Celebrant;;x
PROV282;Eorlsmead;Eorlsmead;;;Praterie di Eorl;;x
PROV283;Taur Luinen;Taur Luinen;;;Taur Luinen;;x
PROV284;Nan Celebrant;Nan Celebrant;;;Nan Celebrant;;x
PROV285;Moria;Moria;;;Moria;;x
PROV286;Echad Bruinen;Echad Bruinen;;;Echad Bruinen;;x
PROV287;Echad Mirabel;Echad Mirabel;;;Echad Mirabel;;x
PROV288;Tîr Sirannon;Tîr Sirannon;;;Tîr Sirannon;;x
PROV289;Fennas Drùnnin;Fennas Drùnnin;;;Fennas Drùnnin;;x
PROV290;Ost-in-Edhil;Ost-in-Edhil;;;Ost-in-Edhil;;x
PROV291;Swanfleet;Nîn-in-Eilph;;;Agilcigno;;x
PROV292;Erebor;Erebor;;;Erebor;;x
PROV293;Cillien;Cillien;;;Cillien;;x
PROV294;Nimrodel;Nimrodel;;;Nimrodel;;x
PROV295;Nandhuirion;Nandhuirion;;;Nandhuirion;;x
PROV296;Ianth Methad;Ianth Methad;;;Ianth Methad;;x
PROV297;Pinnath Tereg;Pinnath Tereg;;;Pinnath Tereg;;x
PROV298;Barad Remmellad;Barad Remmellad;;;Barad Remmellad;;x
PROV299;Hoardale;Hoardale;;;Vallebrina;;x
PROV300;Magillos;Magillos;;;Magillos;;x
PROV301;Gleinangmar;Gleinangmar;;;Gleinangmar;;x
PROV302;Udanoriath;Udanoriath;;;Udanoriath;;x
PROV303;Eldanar;Eldanar;;;Eldanar;;x
PROV304;Gleinenedoriath;Gleinenedoriath;;;Gleinenedoriath;;x
PROV305;Menegaur;Menegaur;;;Menegaur;;x
PROV306;Nothros;Nothros;;;Nothros;;x
PROV307;Mithereithel;Mithereithel;;;Mithereithel;;x
PROV308;Safin Rhaglaw;Safin Rhaglaw;;;Safin Rhaglaw;;x
PROV309;Taur Morvith;Taur Morvith;;;Taur Morvith;;x
PROV310;Amon Lanc;Amon Lanc;;;Amon Lanc;;x
PROV311;Emyn Lûm;Emyn Lûm;;;Emyn Lûm;;x
PROV312;Sâd Meryrn;Sâd Meryrn;;;Sâd Meryrn;;x
PROV313;Galdesgal;Galdesgal;;;Galdesgal;;x
PROV314;Imlad Aras;Imlad Aras;;;Imlad Aras;;x
PROV315;Egyr-e-Taur;Egyr-e-Taur;;;Egyr-e-Taur;;x
PROV316;Imlad Megli;Imlad Megli;;;Imlad Megli;;x
PROV317;Galadhmôr;Galadhmôr;;;Galadhmôr;;x
PROV318;Brôgorn;Brôgorn;;;Brôgorn;;x
PROV319;Cell Angol;Cell Angol;;;Cell Angol;;x
PROV320;Eryn Aras;Eryn Aras;;;Eryn Aras;;x
PROV321;Western Forest Path;Route de la Forêt Occidentale;;;Via Silvana Ovest;;x
PROV322;Eastern Forest Path;Route de la Forêt Orientale;;;Via Silvana Est;;x
PROV323;Halls of Thranduil;Salles de Thranduil;;;Sale di Thranduil;;x
PROV324;Emyn Duir;Emyn Duir;;;Emyn Duir;;x
PROV325;Rhosgobel;Rhosgobel ;;;Rhosgobel;;x
PROV326;Athrad Laegrim;Athrad Laegrim;;;Athrad Laegrim;;x
PROV327;Taeg Dîn;Taeg Dîn;;;Taeg Dîn;;x
PROV328;Celebannon;Celebannon;;;Celebannon;;x
PROV329;Amon Lhaw;Amon Lhaw;;;Amon Lhaw;;x
PROV330;Emyn Muil;Emyn Muil;;;Emyn Muil;;x
PROV331;East Bight;Lisière Orientale;;;Ansa Orientale;;x
PROV332;Kirithgal;Kirithgal;;;Kirithgal;;x
PROV333;Gap of Nurn;Cap de Nurn;;;Breccia di Núrn;;x
PROV334;Seregost;Seregost;;;Seregost;;x
PROV335;Harlond;Harlond;;;Harlond;;x
PROV336;Anhaman;Anhaman;;;Anhaman;;x
PROV337;Lairiardhon;Lairiardhon;;;Lairiardhon;;x
PROV338;Lildarhdan;Lildarhdan;;;Lildarhdan;;x
PROV339;Ardalyalinya;Ardalyalinya;;;Ardalyalinya;;x
PROV340;Ardquetto;Ardquetto;;;Ardquetto;;x
PROV341;Laerglinn;Laerglinn;;;Laerglinn;;x
PROV342;Uleineithel;Uleineithel;;;Uleineithel;;x
PROV343;Amon Ulein;Amon Ulein;;;Amon Ulein;;x
PROV344;Belesîr;Belesîr;;;Belesîr;;x
PROV345;Bar Irlossiel;Bar Irlossiel;;;Bar Irlossiel;;x
PROV346;Lond Telerion;Lond Telerion;;;Lond Telerion;;x
PROV347;Belethyar;Belethyar;;;Belethyar;;x
PROV348;Lond Thalos;Lond Thalos;;;Lond Thalos;;x
PROV349;Tîr Lowen;Tîr Lowen;;;Tîr Lowen;;x
PROV350;Forlond;Forlond;;;Forlond;;x
PROV351;Apariath;Apariath;;;Apariath;;x
PROV352;Estoriand;Estoriand;;;Estoriand;;x
PROV353;Olòrmindon;Olòrmindon;;;Olòrmindon;;x
PROV354;Mänoriand;Mänoriand;;;Mänoriand;;x
PROV355;Sandariand;Sandariand;;;Sandariand;;x
PROV356;Thargelion;Thargelion;;;Thargelion;;x
PROV357;Lothlann;Lothlann;;;Lothlann;;x
PROV358;Mindolhendi;Mindolhendi;;;Mindolhendi;;x
PROV359;Aranaforn;Aranaforn;;;Aranaforn;;x
PROV360;Anfangneder;Anfangneder;;;Anfangneder;;x
PROV361;Annùduin;Annùduin;;;Annùduin;;x
PROV362;Amon Mithlond;Amon Mithlond;;;Amon Mithlond;;x
PROV363;Numeriador;Numeriador;;;Numeriador;;x
PROV364;Caras Celairnen;Caras Celairnen;;;Caras Celairnen;;x
PROV365;Dolumarb;Dolumarb;;;Dolumarb;;x
PROV366;Grothum;Grothum;;;Grothum;;x
PROV367;Gobel Tolfalas;Gobel Tolfalas;;;Gobel Tolfalas;;x
PROV368;Tarnost;Tarnost;;;Tarnost;;x
PROV369;Nenim;Nenim;;;Nenim;;x
PROV370;Rhudaur Nimrais;Rhudaur Nimrais;;;Rhudaur Nimrais;;x
PROV371;Glan Vraig;Glan Vraig;;;Glan Vraig;;x
PROV372;Wolfdale;Wolfdale;;;Val di Lupo;;x
PROV373;Cameth Brin;Cameth Brin;;;Cameth Brin;;x
PROV374;Carras;Carras;;;Carras;;x
PROV375;Haradaelmoth;Haradaelmoth;;;Haradaelmoth;;x
PROV376;Gwathlim;Gwathlim;;;Gwathlim;;x
PROV377;Gwathlolîn;Gwathlolîn;;;Gwathlolîn;;x
PROV378;Lond Angren;Lond Angren;;;Lond Angren;;x
PROV379;Gwathlethir;Gwathlethir;;;Gwathlethir;;x
PROV380;Bhainnan;Bhainnan;;;Bhainnan;;x
PROV381;Dunered;Dunered;;;Dunered;;x
PROV382;Duncillien;Duncillien;;;Duncillien;;x
PROV383;Galtrev;Galtrev;;;Galtrev;;x
PROV384;Talorgan;Talorgan;;;Talorgan;;x
PROV385;Fidach;Fidach;;;Fidach;;x
PROV386;Morbet;Morbet;;;Morbet;;x
PROV387;Gyroth;Gyroth;;;Gyroth;;x
PROV388;Caladach;Caladach;;;Caladach;;x
PROV389;Wredech;Wredech;;;Wredech;;x
PROV390;Isendun;Isendun;;;Isendun;;x
PROV391;Arithach;Arithach;;;Arithach;;x
PROV392;Isenvale;Isenvale;;;Isenvalle;;x
PROV393;Larach;Larach;;;Larach;;x
PROV394;Duhnann;Duhnann;;;Duhnann;;x
PROV395;Dunsenem;Dunsenem;;;Dunsenem;;x
PROV396;Cairill;Cairill;;;Cairill;;x
PROV397;Enedhîn;Enedhîn;;;Enedhîn;;x
PROV398;Burh Anduin;Burh Anduin;;;Burh Anduin;;x
PROV399;Imlad Ninglor;Imlad Ninglor;;;Imlad Ninglor;;x
PROV400;Sîr Ninglor;Sîr Ninglor;;;Sîr Ninglor;;x
PROV401;Amon Ninglorin;Amon Ninglorin;;;Amon Ninglorin;;x
PROV402;Athrad Iaur;Athrad Iaur;;;Athrad Iaur;;x
PROV403;Methelburg;Methelburg;;;Methelburg;;x
PROV404;Framsburg;Framsburg;;;Framsburg;;x
PROV405;Eredlangwed;Eredlangwed;;;Eredlangwed;;x
PROV406;Dor Firnen;Dor Firnen;;;Dor Firnen;;x
PROV407;Men Rimenn;Men Rimenn;;;Men Rimenn;;x
PROV408;Burh Baran;Burh Baran;;;Burh Baran;;x
PROV409;Talath Harroch;Talath Harroch;;;Talath Harroch;;x
PROV410;Haradnûr;Haradnûr;;;Haradnûr;;x
PROV411;Talu Baran;Talu Baran;;;Talu Baran;;x
PROV412;Rosghened;Rosghened;;;Rosghened;;x
PROV413;Amrûn Anduin;Amrûn Anduin;;;Amrûn Anduin;;x
PROV414;Nan Anduin;Nan Anduin;;;Nan Anduin;;x
PROV415;Wuduburg;Wuduburg;;;Wuduburg;;x
PROV416;Mallendan;Mallendan;;;Mallendan;;x
PROV417;Forest Gate;Porte de la Forêt;;;Porta della Foresta;;x
PROV418;Mirkmaer;Mirkmaer;;;Mirkmaer;;x
PROV419;Imrad Laegrim;Imrad Laegrim;;;Imrad Laegrim;;x
PROV420;Peleth Tawar;Peleth Tawar;;;Peleth Tawar;;x
PROV421;Isenflow;Isenflow;;;Isenflutti;;x
PROV422;Minas Tirith;Minas Tirith;;;Minas Tirith;;x
PROV423;Pinnath Luin;Pinnath Luin;;;Pinnath Luin;;x
PROV424;Gebin Luin;Gebin Luin;;;Gebin Luin;;x
PROV425;Inlilò;Inlilò;;;Inlilò;;x
PROV426;Minas Ithil;Minas Ithil;;;Minas Ithil;;x
PROV427;East Osgiliath;Est Osgiliath;;;Osgiliath Est;;x
PROV428;West Osgiliath;Ouest Osgiliath;;;Osgiliath Ovest;;x
PROV429;Edhellond;Edhellond;;;Edhellond;;x
PROV430;Umbar;Umbar;;;Umbar;;x
PROV431;Marös;Marös;;;Marös;;x
PROV432;Caldûr;Caldûr;;;Caldûr;;x
PROV433;Pellardur;Pellardur;;;Pellardur;;x
PROV434;Barazôn;Barazôn;;;Barazôn;;x
PROV435;Isigir;Isigir;;;Isigir;;x
PROV436;Erädas;Erädas;;;Erädas;;x
PROV437;Númerös;Númerös;;;Númerös;;x
PROV438;Ardûmir;Ardûmir;;;Ardûmir;;x
PROV439;Eithel Angir;Eithel Angir;;;Eithel Angir;;x
PROV440;Urlutsu Nurn;Urlutsu Nurn;;;Urlutsu Nurn;;x
PROV441;Nurumurl;Nurumurl;;;Nurumurl;;x
PROV442;Sturlurtsa Nurn;Sturlurtsa Nurn;;;Sturlurtsa Nurn;;x
PROV443;Olbamarl;Olbamarl;;;Olbamarl;;x
PROV444;Gap of Khand;Cap de Khand;;;Breccia del Khand;;x
PROV445;Carn Telloth;Carn Telloth;;;Carn Telloth;;x
PROV446;Ubesesh;Ubesesh;;;Ubesesh;;x
