#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_WAR_OF_THE_RING;The War of the Ring;La Guerre de l'Anneau;;;;;;;;;;;;x
ERA_CHAR_INFO_3104;Thranduil is the son of Oropher, a Sindar from the former Kingdom of Doriath ruled by Elu Thingol. After the fall of Beleriand, Thranduil and Oropher settled in Greenwood the Great, the great forest in the east of the Misty Mountains, where they rules the Sylvan Elves. After the death of Oropher during the War of the Last Alliance, Thranduil reign alone in the forest, and settled in sumptuous caves, like the Menegroth of old.;Thranduil est le fils d'Oropher, un Sindar originaire de l'ancienne Doriath du Roi Elu Thingol. Après la chute du Beleriand, Oropher et Thranduil se sont installés dans Vertbois-le-Grand, la grande forêt à l'Est des Monts Brumeux, où ils règnent sur les Elfes Sylvains. Après la mort d'Oropher durant la guerre de la Dernière Alliance, Thranduil règne seul sur sa forêt, et s'est installé dans de somptueuses cavernes, à l'image de l'ancienne Menegroth.;;;;;;;;;;;;x
ERA_CHAR_INFO_2013;Malvegil was the son of Celebrindor, and gained the kingship of Arthedain upon his father's death in T.A. 1272. It was during Malvegil's reign that the Witch-king founded the Angmar. Arthedain is the most powerful of the three Kingdoms of Arnor.;Malvegil était le fils de Celebrindor, et a gagné le Royaume d'Arthedain à la mort de son père en 1272 TA. C'est pendant le règne de Malvegil que le Roi-Sorcier a fondé le Royaume d'Angmar. Arthedain est le plus puissant des trois royaumes d'Arnor.;;;;;;;;;;;;x
ERA_CHAR_INFO_2089;Minalcar is the King of Cardolan, one of the Three Kingdoms of the Dunedains in the North. Even if he's not a true heir of Isildur, he can claim to have some royal blood in his veins.;Minalcar est le roi de Cardolan, l'un des Trois Royaumes des Dunedains dans le Nord. Même si il n'est pas un vrai héritier d'Isildur, il peut prétendre avoir un peu de sang royal dans les veines.;;;;;;;;;;;;x
ERA_CHAR_INFO_2097;Forodacil is the King of Rhudaur, one of the Three Kingdoms of the Dunedain in the North. Even if he's not a true heir of Isildur, he can claim to have some royal blood in his veins. His Kingdom is mostly inhabited by Hillmen, and his power seems to don't be strong enough to resist to the mighty armies of Angmar, in the North.;Forodacil est le roi de Rhudaur, l'un des Trois Royaumes des Dunedains du Nord. Même si il n'est pas un vrai héritier d'Isildur, il peut prétendre avoir un peu de sang royal dans les veines. Son royaume est principalement habité par des montagnards, et son pouvoir semble ne pas être assez fort pour résister aux puissantes armées d'Angmar, dans le Nord.;;;;;;;;;;;;x
ERA_CHAR_INFO_1668;"Rómendacil II, born Minalcar, is the nineteenth King of Gondor. To secure the East of Gondor, in T.A. 1248 Minalcar led a great force that defeated a large Easterling army between Rhovanion and the Sea of Rhûn, and even destroyed their encampments east of the Sea. Minalcar then took the name Rómendacil or ""East-victor"".";"Rómendacil II, né Minalcar, est le dix-neuvième roi de Gondor. Pour sécuriser l'Est du Gondor, en 1248, Minalcar a mené une grande force qui a vaincu une armée d'Hommes de l'Est entre le Rhovanion et la mer de Rhûn, et a même détruit leurs campements à l'est de la mer. Minalcar prit alors le nom de Rómendacil ou ""Est-victor"".";;;;;;;;;;;;x
ERA_CHAR_INFO_12223;The Witch-King of Angmar is one of the Ringwraiths, corrupted during Second Age by the Rings of the Men, gifts of Sauron himself. He's now a servent of Sauron, and rules a terrifying Kingdom in the North of the Kingdom of the Dunedain.;Le Roi-Sorcier d'Angmar est l'un des Spectres de l'Anneau, corrompus pendant le Second Age par les anneaux des hommes, cadeaux de Sauron lui-même. Il est maintenant le plus terrible Serviteur de Sauron, et le souverain d'un royaume terrifiant au Nord des Royaumes des Dúnedains.;;;;;;;;;;;;x
ERA_CHAR_INFO_9010;Fulkahari is the son of the great King Vidugavia of Rhovanion. He's a true friend and ally of the Kingdom of Gondor, and his realm is a powerful strength in the East. His sister was married to Valacar, heir of the throne of Gondor.;Fulkahari est le fils du grand roi Vidugavia de Rhovanion. Il est un véritable ami et allié du Royaume du Gondor, et son royaume est une force puissante dans l'Est. Sa sœur est mariée à Valacar, héritier du trône de Gondor.;;;;;;;;;;;;x
ERA_CHAR_INFO_2016;Araphor is the ninth King of Arthedain, and the true heir of Isildur. He take the crown young, as his father Arveleg I was killed in the defence of Amon Sûl. Arthedain is now the last Kingdom of the Dunedain of North.;Araphor est le neuvième roi d'Arthedain, et le véritable héritier d'Isildur. Il prend la couronne jeune, après que son père Arveleg ait été tuer dans la défense d'Amon Sul. Arthedain est le dernier Royaume des Dunedain du Nord.;;;;;;;;;;;;x
ERA_CHAR_INFO_1670;Valacar is the twentieth King of Gondor. He's the True heir of Anarion, the brother of Isildur and son of Elendil the Tall. He married a daughter of Vidugavia of Rhovanion and had a son with her : Eldacar.;Valacar est le vingtième roi de Gondor. Il est le véritable héritier d'Anarion, le frère d'Isildur et fils d'Elendil le Grand. Il a épousé une fille de Vidugavia de Rhovanion et a eu un fils avec elle: Eldacar.;;;;;;;;;;;;x
ERA_CHAR_INFO_1739;Castamir is a member of the Royal House of Gondor, heir of Anarion of Gondor. He's a true Numenorean, and he's proud of his blood.;Castamir est un membre de la famille royale du Gondor, héritier d'Anarion du Gondor. Il est un vrai Numenorean, et il est fier de son sang.;;;;;;;;;;;;x
ERA_CHAR_INFO_9013;Liubagilds is the heir of the great King Vidugavia of Rhovanion. He is a true friend and ally of the Kingdom of Gondor, and his realm is a powerful bastion in the East.;Liubagilds est l'héritier du grand roi Vidugavia de Rhovanion. Il est un véritable ami et allié du Royaume du Gondor, et son royaume est une force puissante dans l'Est.;;;;;;;;;;;;x
ERA_CHAR_INFO_24;Théoden was the only son of Thengel, and became king after the death of his father in T.A. 2980. Théoden spoke Sindarin and Westron rather than Rohirric, for he had been born in Gondor and spent his youth there. During the War of the Ring, his spirit was corrupted by Saruman, with the help of the King's deceitful councellor Grima.;Théoden était le seul fils de Thengel, et est devenu roi après la mort de son père en 2980. Théoden parlait sindarin et westron plutôt que Rohirric, car il était né en Gondor et y a passé sa jeunesse. Au cours de la Guerre de l'Anneau, son esprit a été corrompu par Saruman, avec l'aide de son Conseiller Grima.;;;;;;;;;;;;x
ERA_CHAR_INFO_1943;Denethor II is the twenty-sixth ruling Steward of Gondor. He succeeded his father Ecthelion II at his death in T.A. 2984. Denethor was described as appearing noble and powerful, even to rival the lordliness of Gandalf. He was proud, tall, wise, far-sighted, and valiant;" ""more kingly"" than any of his predecessors for a long time. As the Steward of Gondor, he rules the Kingdom of the South, waiting for the Return of a King.";"Denethor est le vingt-sixième et avant-dernière Décision Intendant du Gondor. Il a succédé à son père Echtelion II à sa mort en 2984. Denethor est décrit comme apparaissant noble et puissant, capable même de rivaliser avec Gandalf. Il était fier, grand, sage, perspicace, et vaillant; ""plus royal"" que tous ses prédécesseurs depuis longtemps. Comme Intendant du Gondor, il dirige Royaume du Sud, en attendant le retour d'un roi.";;;;;;;;;;;x
ERA_CHAR_INFO_10016;"Sauron was the greatest and most trusted servant of Morgoth before and during the First Age. After the downfall of his master, he continuously strove to conquer Middle-earth throughout the Second and Third Ages. Deceiving the Elves of Eregion, who under his guidance had created the Rings of Power, he secretly forged the One Ring in Mount Doom. Thus Sauron became ""The Lord of the Rings"".";"Sauron était le plus grand et plus fidèle serviteur de Morgoth avant et pendant le premier âge. Après la chute de son maître, il continue de s'efforcer à conquérir la Terre du Milieu à travers les deuxième et troisième âge. Il trompa les Elfes d'Eregion, qui, sous sa direction ont créés les Anneaux de Pouvoir, puis il a secrètement forgé l'Anneau Unique dans la Montagne du Destin. Ainsi Sauron est devenu ""Le Seigneur des Anneaux"".";;;;;;;;;;;;x
ERA_CHAR_INFO_2038;Aragorn II is the son of Arathorn II and Gilraen. He is the Chieftain of the Dúnedain and a direct descendant of Isildur through many generations, the last High King of both Arnor and Gondor. He rules the last survivors of the Dunedain of the North.;Aragorn II est le fils d'Arathorn et Gilraen. Il est un chef des Dúnedain et un descendant direct par de nombreuses générations d'Isildur, le dernier Haut-Roi de Gondor et Arnor. Il command les derniers survivants des Dunedains du Nord.;;;;;;;;;;;;x
ERA_CHAR_INFO_3003;Elrond Peredhel is a half-elf, son of Eärendil and Elwing, and twin brother of Elros. While his brother chose a mortal life, he chose to live with the elves. During the Second Age, he was the Lieutenant of Gil-Galad, the last High King of the Noldor. He founded the sanctuary of Rivendell, the last Homely House east of the sea, where the last of the Noldor remain during the Third Age.;Elrond Peredhel est un demi-elfe, né d'Eärendil et Elwing. Tandis que son frère Elros a choisi de faire partie de l'humanité, il a choisi de vivre avec les elfes. Pendant le Deuxième Âge, il était le lieutenant de Gil-Galad, le dernier Haut Roi des Noldor, et bâtit la ville de Fondcombe, où les derniers Noldor resident pendant le Troisième Âge.;;;;;;;;;;;;x
ERA_CHAR_INFO_8079;"Frodo Baggins is the child of the respectable Drogo Baggins and Primula Brandybuck. After his parents died in a boating accident in his youth he went to live in Brandy Hall with his mother’s relatives of the Brandybucks. He grew up under the guardianship of the his uncle, Master of Buckland Rorimac ""Goldfather"" Brandybuck. He was raised by Rory until his uncle Bilbo took him in to live at Bag End, his estate in Hobbiton.";Frodon Sacquet est le seul fils du respectable Drogo Baggins et de Primula Brandebouc. Après la mort de ses parents dans un accident de bateau, il est allé vivre à Château-Brande avec les Brandebouc, la famille de sa mère de sa mère. Il a grandi sous la tutelle du Maître du Pays-de-Bouc Rorimac Brandebouc, jusqu'à ce que son oncle Bilbo l'invite à vivre avec lui à Cul de Sac, sa demeure à Hobbitebourg.;;;;;;;;;;;;x
DARK_AGES;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
DARK_AGES_INFO;Middle-Earth, 1 Narwain 1308, the Third Age of this world. This bookmark takes place roughly 1700 years before the events of the Lord of the Rings trilogy. It is a turbulent time for the successor kingdoms of Arnor, and the last light of the Dúnedain seems near to being extinguished. The three kingdoms of Arthedain, Cardolan and Rhudaur, split from Arnor upon the death Eärendur have had a relatively peaceful period, but this is set to change with the rise of the Witch-King of Angmar in the north. His strength is growing and soon he will be ready to strike at Rhudaur, the weakest of the three kingdoms and, if successful, perhaps begin to bring the age of the Dúnedain to a close.;Terre du Milieu, 1 Narwain 1308 du Tiers Age.;;;;;;;;;;;;x
VIKING_ERA;The Kin-Strife;La Guerre Fratricide;;;;;;;;;;;;x
VIKING_ERA_INFO;Middle-Earth, 1 Narwain 1427, the Third Age of this world. The peaceful kingdom of Gondor is approaching a perilous time in it's history. Valacar, son of Romendacil II of Gondor, married a non-Numenorean wife. Despite her being daughter of the mighty King of Rhovanion, Vidugavia, most of the lords of Gondor think that her son, Eldacar, is not a true Numenorean, and so cannot be king. Civil war threatens to tear apart the great Southern kingdom of men. In Eriador, both Rhudaur and Cardolan have been defeated by Angmar, and Arthedain seems the only realm that can stop a full invasion of Eriador. Will you play as the Witch-King, and complete the conquest of the North? Or will you play as Araphor of Arthedain, and try to save the last remnants of the Kingdom of Arnor from darkness?;Terre du Milieu, 1 Narwain 1427 du Tiers Âge.;;;;;;;;;;;;x
EARLY_MED;The War of the Ring;La Guerre de l'Anneau;;;;;;;;;;;;x
EARLY_MED_INFO;Middle-Earth, 1 Narwain 3018, the Third Age of this World. I amar prestar aen, The world is changed. Han mathon ne nen, I feel it in the water. Han mathon ne chae, I feel it in the earth.  A han noston ned 'wilith, I smell it in the air. Much that once was is lost, for none now live who remember it. These are dark times for Middle-Earth, large shadows spread in the East. Sauron, the Dark Lord, desperately looks for his Ring and is gathering all evil to him. Soon he will be ready to strike the Free Peoples. The kingdoms of Men are weak and in decline. Gondor seems to be the last realm with any chance of defending Middle-Earth. The Dwarves hide in the depths of their mountains, while the Elves flee to West. While Mordor prepares in the east, the traitor Saruman expands his domain into a weak Rohan, the Land of Horses. In these dark times the fates of all Middle-Earth lie with a single Hobbit, charged with a very dangerous mission.;Terre du Milieu, 1 Narwain 3018 du Tiers Âge.;;;;;;;;;;;;x
HIGH_MED;Coming soon…;Bientôt…;;;;;;;;;;;;x
LATE_MED;Coming soon…;Bientôt…;;;;;;;;;;;;x
PICK_STARTING_ERA_TEXT;The Middle-Earth Project bookmarks span the Third Age of Arda. The Age of Men is coming!;Le Middle-Earth Project prend place durant le Tiers Âge d'Arda. Le Temps des Hommes est arrivé !;;;;;;;;;;;;x
PICK_ERA_YEAR;$YEAR$, Third Age;$YEAR$, Tiers Âge;;;;;;;;;;;;x
BM_CHARLEMAGNE;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
BM_THE_OLD_GODS;The Kin-Strife;La Guerre Fratricide;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND;The War of the Ring;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_RISE_OF_THE_HANSA;Coming soon…;Bientôt…;;;;;;;;;;;;x
BM_RISE_OF_THE_HANSA_DESC;Coming soon…;Bientôt…;;;;;;;;;;;;x
BM_100_YEARS_WAR;Coming soon…;Bientôt…;;;;;;;;;;;;x
BM_100_YEARS_WAR_DESC;Coming soon…;Bientôt…;;;;;;;;;;;;x
ERA_CHAR_INFO_4043;Dain II Ironfoot is one of the most powerful warriors of Middle-Earth. He fought in the Battles of Azanulbizar and Five Armies. After the death of Thorin Oakenshield, he became the King Under the Mountain, and the true heir of the House of Durin. His kingdom is exceedingly rich and his people very prosperous. He is a true friend of the Men of Dale.;Dain II Ironfoot est l'un des combattants les plus puissants de la Terre-du-Milieu. Il participa aux batailles d'Azanulbizar et des Cinq Armées. Après la mort de Thorin Ecu-de-Chêne, il devint le nouveau Roi sous la Montagne, et le véritable héritier de la Maison de Durin. Son Royaume est incroyablement riche, et son peuple est prospère. Il est également un ami et allié fidèle des Hommes de Dale.;;;;;;;;;;;;x
