#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
d_snaga_gundabad_adj;Snaga;Snaga;;;Gundabadrim;;x
d_snaga_moria;Snaga of Moria;Hordes Snaga de la Moria;;;Snaga di Moria;;x
d_snaga_moria_adj;Snaga;Snaga;;;Moriarim;;x
d_snaga_goblintown;Snaga of Goblintown;Hordes Snaga de Goblintown;;;Snaga della Città dei Goblin;;x
d_snaga_goblintown_adj;Snaga;Snaga;;;Snaga;;x
d_snaga_all;Goblins Horde;Hordes Gobelins;;;Orde Goblin;;x
d_snaga_all_adj;Goblins;Gobelins;;;Goblin;;x
d_eolhgardings;Tribe of Eolhgardings;Tribus des Eolgardhing;;;Tribù degli Eolhgarding;;x
d_eolhgardings_adj;Eolhgarding;Eolhgarding;;;Eolhgarding;;x
d_beoralas;Tribe of Beoralas;Tribu de Beoralas;;;Tribù dei Beorala;;x
d_beoralas_adj;Beorala;Beorala;;;Beorala;;x
d_ontheras;Tribe of Ontheras;Tribu d'Ontheras;;;Tribù degli Onthera;;x
d_ontheras_adj;Onthera;Onthera;;;Onthera;;x
d_dryhtenas;Tribe of Dryhtenas;Tribu de Drythenas;;;Tribù dei Dryhtena;;x
d_dryhtenas_adj;Dryhtena;Drythena;;;Dryhtena;;x
d_eoedreas;Tribe of Eoedreas;Tribu des Eoedreas;;;Tribù degli Eoedrea;;x
d_eoedreas_adj;Eoedrea;Eoedrea;;;Eoedrea;;x
d_padricas;Tribe of Padricas;Tribu de Padricas;;;Tribù dei Padrica;;x
d_padricas_adj;Padrica;Padrica;;;Padrica;;x;;;;;
d_waldingas;Tribe of Waldingas;Tribu des Waldingas;;;Tribù dei Waldinga;;x;;;;;
d_waldingas_adj;Waldinga;Waldinga;;;Waldinga;;x;;;;;
#FLEETS;;x;;x;;;x;;x;;x;;x
d_corsairs_of_umbar;Corsairs of Umbar;Corsaires d'Umbar;;;Corsari di Umbar;;x;;;;;
d_corsairs_of_umbar_adj;Umbarim;Umbarim;;;Umbarim;;x;;;;;
d_raiders_of_bellakar;Raiders of Bellakar;Raiders du Bellakar;;;Razziatori del Bellakar;;x;;;;;
d_raiders_of_bellakar_adj;Bellakarim;Bellakarim;;;Bellakarim;;x;;;;;
d_pirates_of_mirlond;Pirates of Mirlond;Pirates de Mirlond;;;Pirati del Mirlond;;x;;;;;
d_pirates_of_mirlond_adj;Mirlondrim;Mirlondrim;;;Mirlondrim;;x;;;;;
d_pelargir_company;Pelargir Shipping Company;Compagnie Navale de Pelargir;;;Compagnia di Trasporto di Pelargir;;x;;;;;
d_pelargir_company_adj;Pelargirim;Pelargirim;;;Pelargirim;;x;;;;;
d_dol_amroth_company;Dol Amroth Shipping Company;Compagnie Navale de Dol Amroth;;;Compagnia di Trasporto di Dol Amroth;;x;;;;;
d_dol_amroth_company_adj;Amrothrim;Amrothrim;;;Amrothrim;;x;;;;;
d_tolfalas_company;Tolfalas Shipping Company;Compagnie Navale de Tolfalas;;;Compagnia di Trasporto di Tolfalas;;x;;;;;
d_tolfalas_company_adj;Tolfalasrim;Tolfalasrim;;;Tolfalasrim;;x;;;;;
d_mithlond_company;Mithlond Shipping Company;Compagnie Navale du Mithlond;;;Compagnia di Trasporto di Mithlond;;x
d_mithlond_company_adj;Mithlondrim;Mithlondrim;;;Mithlondrim;;x
d_grey_company;The Grey Company;x;x;x;x;;x;x
d_grey_company_adj;The Grey Company's;x;x;x;x;;x;x
d_rangers_ithilien;The Rangers of Ithilien;x;x;x;x;;x;x
d_rangers_ithilien_adj;The Rangers of Ithilien's;x;x;x;x;;x;x
##;x;x;x;x;x;;x;x
Head;;;;;;;x
myhead;;;;;;;x
CAPTAIN;Captain;Capitaine;;;;;x
CAPTAIN_FOA;My Captain;Mon Capitaine;;;;;x
