give_palantir_orthanc_to_son_desc;Yield the Orthanc-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre d'Orthanc à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;;;;x
give_palantir_osgiliath_to_son_desc;Yield the Osgiliath-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre dOsgiliath à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;;;;x
give_palantir_annuminas_to_son_desc;Yield the Annúminas-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre d'Annúminas à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;;;;x
command_servants;Command Servants;Command Servants;;;;;;;x
command_servants_desc;Command any rulers you have influence over to go to war.;Command any rulers you have influence over to war.;;;;;;;x
command_nazgul;Command Nazgûl;Command Nazgûl;;;;;;;x
command_nazgul_desc;Command the Nazgûl to do your bidding.;Command the Nazgûl to do your bidding.;;;;;;;x
call_assembly_dwarves;Assemble the Seven Kingdoms;Inviter les Rois des Nains à une Assemblée;;;;;;x
call_assembly_dwarves_desc;Call all Dwarven Kings to a Council Assembly in Erebor.;Inviter les Rois des Nains à une Assemblée;;;;;;x
erebor_craft_decision;Mine or Craft in Erebor;Miner ou Fabriquer des objets en Erebor;;;;;;x
erebor_craft_decision_desc;Mine for materials or craft an item.;Miner ou Fabriquer des objets en Erebor;;;;;;x
red_arrow_rohan;Send Red Arrow to Rohan;;;;;;;;;x
red_arrow_rohan_desc;Gondor's need is great, war and death are at our doors. Shall we send the Red Arrow, and call for Rohan to honour the old alliance?;;;;;;;;;x
TT_REDARROW_TT1;You must not have called upon recently.;;;;;;x
TT_REDARROW_TT2;Rohan must be free of the threat of Saruman.;;;;;;x
TT_REDARROW_TT3;Rohan must not already be a defender in your wars.;;;;;;x
red_arrow_gondor;Send Red Arrow to Gondor;;;;;;;;;x
red_arrow_gondor_desc;Rohan's need is great, war and death are at our doors. Shall we send the Red Arrow, and call for Gondor to honour the old alliance?;;;;;;;;;x
TT_REDARROW_TT4;Gondor must not be under attack by Sauron.;;;;;;x
TT_REDARROW_TT5;Gondor must not already be a defender in your wars.;;;;;;x
claim_narsil;Claim the shards of Narsil;Demander les fragments de Narsil;;;;;;x
claim_narsil_desc;Only the true king of Arnor can reclaim the sword of Elendil !;Seul le vrai roi de l'Arnor peut réclamer l'épée d'Elendil.;;;;;x
claim_victory_vs_witchking;Victory against Angmar!;Victoire contre Angmar !;;;;;x
claim_victory_vs_witchking_desc;Claim victory against the Witch King of Angmar!;Déclarer la victoire contre le Roi Soricer d'Angmar !;;;;;;x
reforge_narsil;Reforge Narsil;Reforger Narsil;;;;;;x
reforge_narsil_desc;Only an heroic king, acknowledged by all, will dare to reforge the sword of Elendil.;Seul un Roi émérite et reconnu par tous pourra prétendre à reforger l'épée d'Elendil.;;;;;;x 
rebuild_tharbad;Rebuild Tharbad;Reconstruire Tharbad.;;;;;;x 
rebuild_tharbad_desc;Rebuild Tharbad;Reconstruire Tharbad.;;;;;;x
change_temple;@FIXME@ Convert to City;@FIXME@ Convert to City;;;;;;x 
change_temple_desc;@FIXME@ Convert to City;@FIXME@ Convert to City;;;;;;x
receive_gundabad;@FIXME@ Receive Gundabad;@FIXME@ Receive Gundabad;;;;;;x 
receive_gundabad_desc;@FIXME@ Receive Gundabad;@FIXME@ Receive Gundabad;;;;;;x
claim_reunited_kingdom;Claim Reunited Kingdom;@FIXME@ Claim Reunited Kingdom;;;;;;x 
claim_reunited_kingdom_desc;Claim the Reunited Kingdom of Arnor and Gondor.;@FIXME@ Claim Reunited Kingdom;;;;;;x
subjugate_new_land;Subjugate New Land;@FIXME@ Subjugate New Land;;;;;;x
subjugate_new_land_desc;You can invade new lands to expand your realm.;@FIXME@ Subjugate New Land;;;;;;x
vassalize_shire;Vassalize the Shire;@FIXME@ Vassalize the Shire;;;;;;x
vassalize_shire_desc;Send the Hobbits of the Shire the option to be peacefully vassalised under the Kingdom of Arnor, as it was in past times.;@FIXME@ Vassalize the Shire;;;;;;x
create_orc;Create Orc;@FIXME@ Create Orc;;;;;;x
create_orc_desc;Create a new orc to add to your court.;@FIXME@ Create Orc;;;;;;x
cleanse_barrows;Cleanse the barrows;;;;;;;;;x
cleanse_barrows_desc;Reports have been coming in again from wights haunting the barrows. Time to end this evil once and for all.;;;;;;;;;x
