EVTOPTCbuilding_aglarond.3;Pay for additional beams. I go help the men !;Ajoutons des poutres et je vais aider les mineurs.;;;;;;;;;;;x
EVTOPTDbuilding_aglarond.3;No, I'm exhausted.;Je suis épuisé…;;;;;;;;;;;;x
EVTTITbuilding_aglarond.4;Collapse;Effondrement;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.4;The collapse could not be stopped. Most of the galleries are lost, and you've failed to save the diggers. After honoring them, you decide to leave the depth of the Glittering Caves abandoning the work for now.;L'effondrement n'a pas pu être arrêté et la majorité des galleries sont perdues, ainsi que les sapeurs qui s'y trouvaient. Après avoir honoré leur mémoire, vous décider de laisser les entrailles d'Erebor à la montagne elle-même.;;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.4;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuilding_aglarond.5;Magma;Magma;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.5;You came too far and too deep and encountered a minor magmatic chamber. It could very well mean the end for this new kingdom it the lava comes up. There are water drains above that can be diverted to stop the main lava flow but some miners got trapped and need some help. Losing time could prevent from stopping the lava... What do you decide ?;Vous avez creusé trop loin et trop profondément et avez rencontré une petite poche de magma. Cela pourrait très bien signifier la fin de ce nouveau royaume si la lave remonte. Des canalisations d'eau sont un peu plus haut et peuvent être utilisés pour bloquer le principal torrent de lave. Cependant un groupe de mineurs s'est retrouvé pris au piège et a besoin d'aide... mais chaque minute perdue pourrait rendre le torrent de lave inarrêtable... Que décidez-vous ?;;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.5;Use the water against the main lava flow !;Utilisez l'eau contre l'écoulement de lave principal !;;;;;;;;;;;x
EVTOPTBbuilding_aglarond.5;Save the miners first, the lava will wait !;Sauvez les mineurs d'abord, la lave attendra !;;;;;;;;;;;x
EVTOPTCbuilding_aglarond.5;Split the water in two !;Séparez l'eau en deux écoulements !;;;;;;;;;;;x
EVTOPTDbuilding_aglarond.5;This place is too dangerous, we leave now !;;;;;;;;;;;;x
EVTTITbuilding_aglarond.6;Magma;Magma;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.6;You failed to fill the gallerie leading to the magmatic chamber, and now lava is rising. The only thing you can do is leave this place with as many living dwarves as possible.;Vous avez échoué à boucher la gallerie menant à la oche de magma, et maintenant la lave remonte. tout ce qu'il vous reste à faire est de quitter les lieux avec autant de nains vivants qu'il est encore possible.;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.6;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuilding_aglarond.7;A new kingdom !;Un nouveau royaume !;;;;;;;;;;;;x
EVTDESCbuilding_aglarond.7;You managed to dig and build a major home for dwarves. Something that will last forever and that could challenge the glory of Khazâd-dum or Erebor themselves!;Vous avez réussi à creuser assez profond et à bâtir un nouveau foyer pour le peuple Nain. Quelquechose qui perdurera et qui pourrait bien rivaliser avec Khazâd-dum !;;;;;;;;;;;;x
EVTOPTAbuilding_aglarond.7;Great !;Parfait !;;;;;;;;;;;;x
