#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;x
#CULTURE GROUPS;;;;;;;x
culture_druwaithing;Drúwaithings;Drúwaithrim;;;Drúwaithiani;;x
culture_andrasting;Dunir;Dunir;;;Dunir;;x
culture_breelander;Men of Bree;Hommes de Bree;;;Uomini di Brea;;x
culture_daoine;Daoine;Daoine;;;Daoine;;x
culture_eredrim;Eredrim;Eredrim;;;Eredrim;;x
culture_ethirfolk;Sakalai;Sakalai;;;Sakalai;;x
# Forodwaith Cultures;;;;;;;x
culture_lossoth;Snowmen;Lossoth;;;Uomini delle Nevi;;x
culture_hillmen;Hill-men;Hommes des Collines;;;Uomini delle Colline;;x
culture_helmivalmistajat;Forodwaith;;;;;;x
culture_helmivalmistajat_desc;The Forodwaith, or Helmivalmistajat, are an ancient nomadic culture of the far north, ancestors of the Hillmen of Angmar and relatives of the Lossoth.;;;;;;x
# Southron Cultures
culture_haradrim;Haradrim;Haradrim;;;Haradrim;;x
culture_harondorian;Harondorim;Harondorim;;;Harûze;;x
culture_far_haradrim;Barangils;Barangils;;;Barangil;;x
culture_umbareans;Umbareans;Umbarien;;;Umbarim;;x
culture_bellakaze;Bellakaze;Bellakaze;;;Bellakaze;;x
# Halfling Cultures;;;;;;;x
culture_harfoot;Harfoots;Pieds-Velus;;;Pelopiedi;;x
culture_fallohide;Fallohides;Pâles;;;Paloidi;;x
culture_stoor;Stoors;Forts;;;Sturoi;;x
culture_hobbit;Hobbits;Hobbits;;;Hobbits;;x
# Dwarven Cultures;;;;;;;x
culture_longbeard;Longbeards;Longue-Barbes;;;Lungobarbi;;x
culture_firebeard;Firebeards;Barbes-Enflammées;;;Barbafiamma;;x
culture_broadbeam;Broadbeams;Torses-Larges;;;Vastifasci;;x
culture_ironfist;Ironfists;Poings-de-Fer;;;Pugniferro;;x
culture_stiffbeard;Stiffbeards;Barbes-Touffues;;;Barbedure;;x
culture_blacklock;Blacklocks;Boucles-Noires;;;Nerachiave;;x
culture_stonefoot;Stonefoots;Pieds-de-Pierre;;;Piediroccia;;x
culture_petty_dwarves;Petty-Dwarves;Petits-Nains;;;;;x
# Elven Quendi Cultures;;;;;;;x
culture_minyar;Minyar;Minyar;;;Minyar;;x
culture_tatyar;Tatyar;Tatyar;;;Tatyar;;x
culture_nelyar;Nelyar;Nelyar;;;Nelyar;;x
culture_teleri;Teleri;Teleri;;;Teleri;;x
# Elven Amanyar Cultures;;;;;;;x
culture_vanyar;Vanyar;Vanyar;;;Vanyar;;x
culture_vanyar_desc;Followers of Ingwë, they were blond and pretty and went to Aman, and stayed there.;;;;;;x
culture_noldor;Noldor;Noldor;;;Noldor;;x
culture_noldor;Followers of Finwë, they went to Aman. However, events prompted many of them to head back to Middle-Earth, and as such they are the only High Elves on the map. They also have a crafting tradition rivalling that of the Dwarves.;;;;;;x
culture_falmari;Falmari;Falmari;;;Falmari;;x
culture_falmari_desc;Formed from those Teleri who reached Aman, this Elven culture is both highly Maritime and stay-at-home.;;;;;;x
# Elven Sindar Cultures;;;;;;;x
culture_sindar;Sindar;Sindar;;;Sindar;;x
culture_sindar_desc;The Grey-Elf culture formed in the 3rd age from those Teleri who reached Beleriand, but missed the boat to Aman. Under the leadership of Elu Thingol and Melian, they formed a thriving civilization before the Noldor came back, and thier culture persists among many elves until the 3rd age and later.;;;;;;x
culture_falathrim;Falathrim;Falathrim;Falathrim;;Falathrim;;x
culture_falathrim_desc;The 'Shore-Elves', who since the First Age have been shipbuilders and sailors, under the guidance of Círdan the Shipwright. They are often considered a subset of the Sindar.;;;;;;
# Elven Wood-Elf Cultures;;;;;;;x
culture_nandor;Nandor;Nandor;;;Nandor;;x
culture_nandor_desc;The original Wood-Elves, the center of their culture was Lindórinand, which later became Lórien. Their culture eventually shifted to Silvan, but this took quite some time. Some, like Nimrodel, stayed Nandor well into the Third Age.;;;;;;x
culture_laegrim;Laegrim;Laegrim;;;Laegrim;;x
culture_laegrim_desc;The Green-Elves of Ossiriand were a Nandor offshoot who migrated into Beleriand during the First Age.;;;;;;x
culture_silvan;Silvan;Silvan;;;Silvan;;x
culture_silvan_desc;The Wood Elves of old came under the influence of Sindar culture, to the point where by the end of the 3rd age, they were all speaking Sindarin. This 'new' wood-elf culture is called Silvan.;;;;;;x
culture_sirannar;Sirannar;Sirannar;Sirannar;;Sirannar;;x
culture_sirannar_desc;The Sirannar are elves related to the Nandor and the Green-Elves of Ossiriand, but whose homeland lay in Southwestern Arthedain (Siragale), in Eriador. They persisted well into the second age, and provided many migrants to Lindon.;;;;;x
# Elven Avari Cultures;;;;;;;x
culture_avari;Avari;Avari;;;Avari;;x
culture_avari;Elves whose ancestors refused to journey to Aman. Likely a primitive lot.;;;;;;x
# Ent-Huorn Cultures;;;;;;;x
culture_entish;Ent;Ent;;;Ent;;x
culture_huorn;Huorns;Huorn;;;Ucorni;;x
# Valar/Maiar Cultures;;;;;;;x
culture_maiar;Maiar;Maiar;;;Maiar;;x
culture_valar;Valar;Valar;;;Valar;;x
culture_enigma;Unknown;Inconnu;;;Ignoti;;x
culture_istari;Istari;Istari;;;Istari;;x
culture_eagles;Great Eagles;Grand Aigle;;;Grandi Aquile;;x
# Orc Troll Cultures;;;;;;;x
culture_half_orc;Half Orcs;Semi-Orque;;;;;x
culture_urukhai;Uruk-hai;Uruk-hai;;;;;x
culture_goblin;Goblins;Gobelin;;;;;x
culture_orkish;Orcs;Orque;;;Orchi;;x
culture_kul_uruk;Ice-Orcs;;;;;x
culture_kul_uruk_desc;The 'Kul Uruk' Ice-Orcs were bred by Mogoth as guardians of the Ered Engrin. They thrive in frigid temperatures and high elevations.;;;;;x
culture_troll;Trolls;Troll;;;;;x
# Other Evil Cultures;;;;;;;x
culture_balrog;Balrog;Balrog;;;Balrog;;x
culture_dragons;Dragons;Dragon;;;Draghi;;x
culture_spider;Spiders;Araignée;;;Ragni;;x
culture_wight;Wights;Ombre;;;Spettri;;x
#culture_wargs;Wargs;Wargs;Warge;;;;x
culture_umaiar;Úmaiar;;;;;;x  # 'Evil Spirits' : Sauron, Melkor, etc
# Wilderness Cultures;;;;;;;x
culture_wilderness;Wilderness;Vie Sauvage;;;Terre Selvagge;;x
culture_wilderness_desc;This empty land is not peopled.;Vie Sauvage;;;Terre Selvagge;;x
culture_mountains;Mountains;Mountains;;;Montagne;;x
