#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_MOwall_1;Wooden Palisade;Palisade en bois;;;;;x
ca_MOwall_2;Low Stone Wall;Muret de pierre;;;;;x  
ca_MOwall_3;Stone Wall;Hauts murs;;;;;x  
ca_MOwall_4;Large Stone Wall;Murs larges;;;;;x  
ca_MOwall_5;Massive Stone Wall;Murs massifs;;;;;x
ca_MOwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;x
ca_MOwatchtower_6_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MOkeep_1;Keep;Forteresse;;;;;x
ca_MOkeep_2;Keep;Forteresse;;;;;x
ca_MOkeep_3;Keep;Forteresse;;;;;x
ca_MOkeep_4;Keep;Forteresse;;;;;x
ca_MOkeep_5;Keep;Forteresse;;;;;x
ca_MOkeep_6;Keep;Forteresse;;;;;x
ca_MOkeep_1_desc;The keep allow more troops to be stationned in the castle.;La forteresse permet de stationner plus de troupe dans le chateau;;;;;x
ca_MOstable_1;Stables;Écurie;Ställe;Establos;;;;;x
ca_MOstable_2;Stables;Écurie;Ställe;Establos;;;;;x
ca_MOstable_3;Stables;Écurie;Ställe;Establos;;;;;x
ca_MOstable_4;Stables;Écurie;Ställe;Establos;;;;;x
ca_MOstable_5;Stables;Écurie;Ställe;Establos;;;;;x
ca_MOstable_6;Stables;Écurie;Ställe;Establos;;;;;x
ca_MOstable_1_desc;This stable just outside the castle walls houses all the steeds of the levy.;Cette écurie tout près du château abrite tous les destriers de l'ost.;Dieser Stall, direkt außerhalb der Burgmauern, beherbergt alle Rösser des Heeres.;Este establo situado junto a las murallas del castillo alberga las monturas de la leva. ;;;;;x
ca_MOshipyard_1;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_MOshipyard_2;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_MOshipyard_3;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_MOshipyard_4;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
MOshipyard_desc;Skilled shipwrights are hard at work here, building all sorts of seafaring vessels.;De talentueux charpentiers sont à l'œuvre ici, construisant toutes sortes de navires.;Erfahrene Schiffsbauer arbeiten hier hart und bauen alle Arten von hochseetüchtigen Schiffen.;Carpinteros navales cualificados trabajan duro aquí, construyendo todo tipo de embarcaciones marinas.;;;;;x
ca_MOorc_militiabarracks_1_desc;Lesser orcs are organised here for war;Les Orques les plus faibles se regroupent ici pour la guerre.;;;;;;;x
ca_MOorc_militiabarracks_1;Orc Raiding Parties;Petit Groupe d'Orques;;;;;;;x
ca_MOorc_militiabarracks_2;Orc Raiding Parties;Groupe d'Orques Moyen;;;;;;;x
ca_MOorc_militiabarracks_3;Orc Raiding Parties;Grand Groupes d'Orques;;;;;;;x
ca_MOorc_militiabarracks_4;Orc Raiding Parties;Armée orque;;;;;;;x
ca_MOorctraining_grounds_1_desc;Orcs can learn proper fighting discipline under the whips of their masters;Les Orques peuvent apprendre les rudiments du combat, sous les fouets de leur maitres.;;;;;;;x
ca_MOorctraining_grounds_1;Orc Training Ground;Petit camp d'entrainement orque;;;;;;;x
ca_MOorctraining_grounds_2;Orc Training Ground;Camp d'entrainement orque moyen;;;;;;;x
ca_MOorctraining_grounds_3;Orc Training Ground;Grand camp d'entrainement orque;;;;;;;x
ca_MOorcbarracks_1_desc;The stronger orcs are outfitted with better weapons and armor here;Les Orques les plus forts reçoivent une meilleur éducation, de meilleurs armes et de meilleurs armures ici.;;;;;;;x
ca_MOorcbarracks_1;Orc Barracks;Petite caserne orque;;;;;;;x
ca_MOorcbarracks_2;Orc Barracks;Caserne orque moyenne;;;;;;;x
ca_MOorcbarracks_3;Orc Barracks;Grande caserne orque;;;;;;;x
ca_MOorcbarracks_4;Orc Barracks;Très Grande caserne orque;;;;;;;x
ca_MOorcbarracks_5;Orc Barracks;Immense caserne orque;;;;;;;x
ca_MOorcbarracks_6;Orc Barracks;Gigantesque caserrne d'orques;;;;;;;x
ca_MOorctown_1_desc;Slaves and weaker orcs toil here day and night;Les esclaves et orques les plus faibles travaillent ici sans relaches;;;;;;;x
ca_MOorctown_1;Orc Tunnels;Petit tunnel d'orques;;;;;;;x
ca_MOorctown_2;Orc Tunnels;Tunnel d'orques;;;;;;;x
ca_MOorctown_3;Orc Tunnels;Grand Tunnel d'orques;;;;;;;x
ca_MOorctown_4;Orc Tunnels;Petit réseau de Galeries orques;;;;;;;x
ca_MOorctown_5;Orc Tunnels;Réseau de galeries orques;;;;;;;x
ca_MOorctown_6;Orc Tunnels;Grand réseau de galeries orques;;;;;;;x
ca_MO_elite_1;Elite Orcs;Elite Orc;;;;;;;x
ca_MO_elite_2;Elite Orcs;Elite Orc;;;;;;;x
ca_MO_elite_3;Elite Orcs;Elite Orc;;;;;;;x
ca_MO_elite_4;Elite Orcs;Elite Orc;;;;;;;x
ca_MO_elite_5;Elite Orcs;Elite Orc;;;;;;;x
ca_MO_elite_desc;The best orcish troops are trained here.;Les meilleurs troupes orques sont entrainées ici.;;;;;;;x
ca_blackgate;Walls of the Black Gate;Murs de la Porte Noire;;;;;;;x
ca_blackgate_desc;Impossibly high and almost impenetrable.;Incroyablement hauts et pratiquement infranchissables;;;;;;;x
ca_baraddur;Walls of Barad-dúr;Murs de Barad-Dûr;;;;;;;x
ca_baraddur_desc;Impossibly high and almost impenetrable.;Incroyablement hauts et pratiquement infranchissables;;;;;;;x
ca_dolguldur;Dol Guldur;Dol Guldur;;;;;;;x
ca_dolguldur_desc;A dark fortress built upon Amon Lanc, spreading corruption across southern Mirkwood.;Une Forteresse Noire qui diffuse sa corruption dans toute la Forêt Noire. Autre fois la capitale du Royaume d'Oropher, père de Thranduil.;;;;;;;x
ca_isengarduruk;Uruk Pits of Isengard;Fosses d'Uruk d'Isengard;;;;;;;x
ca_isengarduruk_desc;With foul craft Saruman breeds an army that can march in sunlight, stronger and more loyal than Orcs.;Saroumane a réussi à créer une armée capable de marcher sous le soleil.;;;;;;;x
ca_numenorean2up;Fortress of Minas Morgul;Forteresse de Minas Morgul;;;;;;;x
ca_numenorean2up_desc;In TA 2002, Minas Ithil fell to the Nazgûl and was transformed into a bastion of evil. As a result, it came to be called Minas Morgul, which in Sindarin means Tower of Dark Sorcery.;En l'an 2002 du Second Age, Minas Ithil tomba aux mains des Nazgûls et fut transformée en une forteresse maléfique. Elle fut alors appelée Minas Morgul, ce qui signifie "Tour de la Magie Noire" en Sindarin.;;;;;;;x
ca_watcher_lake;Watcher's Lake;Le Lac du Guetteur;;;;;;;x
ca_watcher_lake_desc;In the lake at the western gate of Moria, a terrifying creature dwelled. This way is impractical for an army to come, and so makes easier your defense of the East Gate.;Dans le lac situé à la porte Ouest de la Moria, une créature terrifiante se blottit. Cette entrée semble impratiquable, ce qui facilite votre défense sur la Porte Est.;;;;;;;x
ca_moria;Moria;Moria;;;;;;;x
ca_moria_desc;The Mines of Moria offer perfect protection for the orcs and other evil creatures.;Les mines de la Moria offrent une parfaite protection pour les orques et autres créatures maléfiques.;;;;;;;x
ca_witchking_fortress;Fortress of the Witch King;Forteresse du Roi Sorcier;;;;;;x
ca_witchking_fortress_desc;This strong fortress has been raised through dark arts, only creatures of darkness would dwell here.;Cette forteresse a été érigée par le moyen de la magie noire. Seules des créatures des ténèbres peuvent y résider.;;;;;;x
ca_Gundabad_Orc;Orc Stronghold;Forteresse Orc;;;;;;x
ca_Gundabad_Orc_desc;Gundabad has been an orcish stronghold since the First Age. They have strongly entrenched themselves in it.;Gundabad est un bastion des Orcs depuis le Premier Age. Ils s'y sont fortement retranchés depuis.;;;;;;x
ca_shrine_melkor;Shrine of Melkor;Temple de Melkor;;;;;;;x;;;;;;;;;
