#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##################
#	Modifiers
##################
EVTOPTBmep_tours_events.12;I must turn back, the way is shut.;;;;;;;;;;;;;x
EVTOPTCmep_tours_events.12;What luck...;;;;;;;;;;;;;x
EVTTTLmep_tours_events.13;[tour_target.GetFullBaseName];;;;;;;;;;;;;x
EVTDESCmep_tours_events.13gondor;Long before you catch glimpse of the famed Tower, Tirith Aear, you hear a great toll carrying on the wind across the plains. The once faint ring grows into a crashing boom as you approach the tower's grounds. The guards eye you as you enter the grand structure, though you continue.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.13rohan;You make your way across the plains of the Riddermark to the Grand Fortess of the Hornburg, built Ages ago by the Numenoreans. Pulling up your hood, you make your way inside. You sneak through the guarded door to the Deeping Wall and marvel at it's ramparts, noting the culvert and stream as you return to the Fortress.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.13mordor;You enter the pale-lit courtyards of the silent city, the ground all around you bathed in soft, sickly, white. The flowers of the great meadows corrupted by the touch of evil. You push yourself onward toward the ghastly, vapor-veiled citadel before you, its tower enveloped in the moonlight. But a wyerven shreiks and Orcs pour out of the gate.;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.13;I can't wait to look out on the Sea;;;;;;;;;;;;;x
EVTOPTBmep_tours_events.13;What force could breach such a stalwart Citadel?;;;;;;;;;;;;;x
EVTOPTCmep_tours_events.13;A Pox on this land!;;;;;;;;;;;;;x
EVTTTLmep_tours_events.14;[tour_target.GetFullBaseName];;;;;;;;;;;;;x
EVTDESCmep_tours_events.14gondor;You enter the pale-lit courtyards of the silent city, the ground all around you bathed in soft, sickly, white. The flowers of the great meadows corrupted by the touch of evil. You push yourself onward toward the ghastly, vapor-veiled citadel before you, its tower enveloped in the moonlight.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.14rohan;You hire a trotter and head for the East-mark region to visit the ancient city of Aldburg along the way. You arrive at the outergate shortly after Noon, turning in your rental, and, upon entering the city, are greeted by the clamor of bustling crowds and horses. The next day you continue your journey through Rohan.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.14mordor;You come to the high western passage of Cirith Ungol, at its pinnacle is the Blackstone Tower. You make your way up the steep slope and come to the Tower, casting off a cold shadowy light. You consider resting withint the lower walls but the Orcs screeching inside deters you. So you continue down the western slope and greet the plains of Gondor.;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.14;I must see it, no matter the cost;;;;;;;;;;;;;x
EVTOPTBmep_tours_events.14;*To your pony*"Onward, Bill, into East-mark.";;;;;;;;;;;;;x
EVTOPTCmep_tours_events.14;Finally, I'm free of this cursed land.;;;;;;;;;;;;;x
EVTTTLmep_tours_events.100;[tour_target.GetFullBaseName];;;;;;;;;;;;;x
EVTDESCmep_tours_events.100;After your long journey throughout the land, you have finally return to your own realm. Seeing the outline of your palace in the distance, a sigh of relief escapes your lips.You've been on the road for quite some time, but you've finally made it home.;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.100;And there's no place like it;;;;;;;;;;;;;x
EVTTTLmep_tours_events.101;Lost on Tour;;;;;;;;;;;;;x
EVTDESCmep_tours_events.101A;You lose your way in a forest find yourself trapped in a room with a tomb. In the center is a pillar inscribed with - Cold be Hand and Heart and Bone, and Cold be sleep under---;;;;;;;;;;;;;x
EVTDESCmep_tours_events.101AB;You fail to discover the exit and return to the pillar to read the inscription again - Cold be Hand and Heart and bone, and Cold be sleep under---;;;;;;;;;;;;;x
EVTDESCmep_tours_events.101B;You wake and find yourself in a in a dimly-lit room. From a crack on the far wall, Moonlight seeps through and illuminates an inscription behind you - Nevermore to wake on Stony Bed, never, till the Sun fails and the Moon is---;;;;;;;;;;;;;x
EVTDESCmep_tours_events.101BB;Nothing happens so you return to the inscription - Nevermore to wake on Stony Bed, never, till the Sun fails and the Moon is---;;;;;;;;;;;;;x
EVTDESCmep_tours_events.101C;You stumble through ancient ruins, unable to find your way. You feel the wall and discover an inscription - till the Dark Lord lifts his hand over Dead Sea and Withered---;;;;;;;;;;;;;x
EVTDESCmep_tours_events.101CB;As the ruin begins to fill with dirt, you rush back to the the inscription to find out what you've missed - till the Dark Lord lifts his hand over Dead Sea and Withered---;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.101;Gold, Search for Gold;;;;;;;;;;;;;x
EVTOPTBmep_tours_events.101;Stone, Find a Stone;;;;;;;;;;;;;x
EVTOPTCmep_tours_events.101;Tomb, Open the Tomb;;;;;;;;;;;;;x
EVTOPTDmep_tours_events.101;Ground, Dig around the in Ground;;;;;;;;;;;;;x
EVTOPTEmep_tours_events.101;"Dead" you speak;;;;;;;;;;;;;x
EVTOPTFmep_tours_events.101;"Dark" you declare;;;;;;;;;;;;;x
EVTOPTGmep_tours_events.101;"Bled" you utter;;;;;;;;;;;;;x
EVTOPTHmep_tours_events.101;"Waned" you state;;;;;;;;;;;;;x
EVTOPTImep_tours_events.101;It has to be Ground;;;;;;;;;;;;;x
EVTOPTJmep_tours_events.101;Wood, no doubt;;;;;;;;;;;;;x
EVTOPTKmep_tours_events.101;Sand, it's sand!;;;;;;;;;;;;;x
EVTOPTLmep_tours_events.101;Ofcourse it's Land;;;;;;;;;;;;;x
EVTTTLmep_tours_events.102;Found Treasure;;;;;;;;;;;;;x
EVTDESCmep_tours_events.102A;You breathe a sigh of a relief as you emerge into a tunnel, ahead of you is the moonlight. You catch the glint of metal out of the corner of your eye. You dig up an anciet dagger, still sharp as new.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.102B;You smile wide as you enter an open room, moon's light bathing you from a partially open door. You spot a pile of wood nearby and use a piece begin to pry open the door. As it opens you feel warmt from the staff.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.102C;You burst forth into a cave, glad to be free from you previous confines. As you inch your way through the reciding darkness towards the distant light, your foot catches on some metal. You pick it up and find it unworn.;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.102;This will come in handy;;;;;;;;;;;;;x
EVTOPTBmep_tours_events.102;The Power, Incredible!;;;;;;;;;;;;;x
EVTOPTCmep_tours_events.102;Amazing, still sharp;;;;;;;;;;;;;x
EVTTTLmep_tours_events.110;Grave of Iron Beagle;;;;;;;;;;;;;x
EVTDESCmep_tours_events.110;As you travel through the darkness, along back roads of Middle-Earth, you stumble upon an ancient tombstone, mired with ash of Ages past. Clearing it, you find old-Numer Runes, glowing in the moon's light. "Here lies the Fierce Iron Beagle, felled in brave battle against his many foes, his last words forever etched in this stone, 'I’m a Man of the West and the only reason I fight is for the pure joy of killing orcs.'";;;;;;;;;;;;;x
EVTOPTAmep_tours_events.110;A mighty Warrior of the Bygone Ages;;;;;;;;;;;;;x
