#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTpalantir_use.1;The Seeing Stones;Utiliser le Palantír?;;;;;x
EVTDESCpalantir.1;You are the protector of the Tower of Elostirion, and as such, you need to guard the Elendil-Stone, one of the seven palantíri brought to Middle-earth by Elendil and the survivors of Numenor.;Vous êtes le protecteur de la Tour d'Elostirion, et en tant que tel, vous devez garder la Pierre d'Elendil, l'un des sept Palantiri amenés en Terre-du-Milieu par Elendil et les survivants de Numenor.;;;;;x
EVTOPTApalantir.1;My House will guard this Stone.;Ma Maison protégera cette Pierre.;;;;;x
EVTDESCpalantir.2;You are the protector of the City of Minas Anor, and as such, you need to guard the Anor-Stone, one of the seven palantíri brought to Middle-earth by Elendil and the survivors of Numenor.;Vous êtes le protecteur de la Cité de Minas Anor, et en tant que tel, vous devez garder la Pierre d'Anor, l'un des sept Palantiri amenés en Terre-du-Milieu par Elendil et les survivants de Numenor.;;;;;x
EVTOPTApalantir.2;My House will guard this Stone.;Ma Maison protégera cette Pierre.;;;;;x
EVTDESCpalantir.3;You are the protector of the City of Minas Ithil, and as such, you need to guard the Ithil-Stone, one of the seven palantíri brought to Middle-earth by Elendil and the survivors of Numenor.;Vous êtes le protecteur de la Cité de Minas Ithil, et en tant que tel, vous devez garder la Pierre d'Ithil, l'un des sept Palantiri amenés en Terre-du-Milieu par Elendil et les survivants de Numenor.;;;;;x
EVTOPTApalantir.3;My House will guard this Stone.;Ma Maison protégera cette Pierre.;;;;;x
EVTDESCpalantir.4;You are the protector of the Tower of Orthanc, and as such, you need to guard the Orthanc-Stone, one of the seven palantíri brought to Middle-earth by Elendil and the survivors of Numenor.;Vous êtes le protecteur de la Tour d'Orthanc, et en tant que tel, vous devez garder la Pierre d'Orthanc, l'un des sept Palantiri amenés en Terre-du-Milieu par Elendil et les survivants de Numenor.;;;;;x
EVTOPTApalantir.4;My House will guard this Stone.;Ma Maison protégera cette Pierre.;;;;;x
EVTDESCpalantir.5;You are the protector of the Dome of the Stars, and as such, you need to guard the Osgiliath-Stone, one of the seven palantíri brought to Middle-earth by Elendil and the survivors of Numenor.;Vous êtes le protecteur du Dôme des Etoiles, et en tant que tel, vous devez garder la Pierre d'Osgiliath, l'un des sept Palantiri amenés en Terre-du-Milieu par Elendil et les survivants de Numenor.;;;;;x
EVTOPTApalantir.5;My House will guard this Stone.;Ma Maison protégera cette Pierre.;;;;;x
EVTDESCpalantir.6;You are the protector of the Tower of Amon Sûl, and as such, you need to guard the Amon Sûl-Stone, one of the seven palantíri brought to Middle-earth by Elendil and the survivors of Numenor.;Vous êtes le protecteur de la Tour d'Amon Sûl, et en tant que tel, vous devez garder la Pierre d'Amon Sûl, l'un des sept Palantiri amenés en Terre-du-Milieu par Elendil et les survivants de Numenor.;;;;;x
EVTOPTApalantir.6;My House will guard this Stone.;Ma Maison protégera cette Pierre.;;;;;x
EVTDESCpalantir.7;You know that the Elendil-Stone isn't connected to the others Palantiri of Middle-Earth, but is linked to the Master-Stone, located in the Tower of Avallonë, in Tol Eressëa. You can go on pilgrimage, and try to look into the stone, to try to see the Undying Lands.;Vous savez que la pierre d'Elendil n'est pas reliée aux autres Palantir de la Terre du Milieu, mais est liée à la Pierre-Maitre, située dans la Tour d'Avallonë, à Tol Eressëa. Vous pouvez partir en pélerinage, et essayer de regarder dans la pierre, pour tenter d'apercevoir les Terres Immortelles.;;;;;x
EVTOPTApalantir.7;I want to see the Undying Lands.;Je veux tenter d'apercevoir les Terres Immortelles.;;;;;x
EVTOPTBpalantir.7;The Link is broken…;Le Lien est brisé…;;;;;x
EVTDESCpalantir.8;A company came in your court, and asked permission to look to the Elendil-Stone. You're the Guardian of this Palantir, so it's up to you to decide if visitors can access it ... or not.;Une compagnie est arrivée dans votre cour, et demande l'autorisation de regarder dans la Pierre d'Elendil. Vous en êtes le Gardien, c'est donc à vous de décider si des visiteurs peuvent y avoir accès... ou non.;;;;;x
EVTOPTApalantir.8;You can try to look at it.;Vous pouvez tenter de regarder.;;;;;x
EVTOPTBpalantir.8;The Stone is locked.;La Pierre est enfermée.;;;;;x
EVTDESCpalantir.9;You've entered the Tower, and you're in front of a pedestal surmounted by the Elendil-Stone. The crystal sphere is completely black, and doesn't seem to return any reflection. Will you dare to put your hands on the Palantir, to try to see the Undying Lands?;Vous êtes entré dans la Tour, et vous vous retrouvez face à un piédestal, surmonté par la Pierre d'Elendil. La sphère de cristal est entièrement noire, et ne semble renvoyer aucun reflet. Allez-vous oser poser vos mains sur le Palantir, pour tenter de voir les Terres Immortelles?;;;;;x
EVTOPTApalantir.9;I'll try to see the Undying Lands.;Je vais tenter d'apercevoir les Terres Immortelles.;;;;;x
EVTOPTBpalantir.9;I just wanted to see the Stone.;Je voulais juste voir la Pierre.;;;;;x
EVTDESCpalantir.10;The Guardian of the Elendil-Stone denied to you the access to the Tower, saying that, under his protection, the Palantir can be seen by visitors. You've come a long way for nothing, and now, it's time for you to come back to home.;Le Gardien de la Pierre d'Elendil vous a refusé l'accès à la Tour, vous disant que sous sa protection le Palantir ne peut être vu par les visiteurs. Vous avez fait un long chemin pour rien, et vous ne pouvez plus que rentrer.;;;;;x
EVTOPTApalantir.10;An unnecessary travel ...;Un voyage inutile…;;;;;x
EVTDESCpalantir.11;You looked in the Palantir, but you haven't seen anything. It seems that the link between the Undying Lands and Middle Earth is broken, after all ...;Vous avez regardé dans le Palantir, mais vous n'avez rien pu voir. Il semble que le lien entre les Terres Immortelles et la Terre du Milieu soit brisé, après tout...;;;;;x
EVTOPTApalantir.11;At least, I saw the Stone…;Au moins, j'ai vu la Pierre…;;;;;x
EVTDESCpalantir.12;You look in the Stone of Elendil, and after several minutes with nothing happening, you start to see some movements in the lines of the crystal. A white light appears for a few seconds, then disappears … You can't see anything now…;Vous regardez dans la Pierre d'Elendil, et après de longues minutes sans que rien ne se passe, vous commencez à voir des mouvements dans les lignes du cristal. Une lumière blanche apparait pendant quelques secondes, puis disparait… Vous ne voyez plus rien maintenant...;;;;;x
EVTOPTApalantir.12;At least, I saw something!;Au moins, j'ai vu quelquechose !;;;;;x
EVTDESCpalantir.13;You look in the Stone of Elendil, and after several minutes and nothing happens, you start to see movement in the lines of the crystal. A white light appears for a few seconds, then disappears ... Finally, it's replaced by the vision of a Great White Tower, with a white city and a major port. In the port, many swan-ships...;Vous regardez dans la Pierre d'Elendil, et après de longues minutes sans que rien ne se passe, vous commencez à voir des mouvements dans les lignes du cristal. Une lumière blanche apparait pendant quelques secondes, puis disparait... Enfin, elle est remplacée par la vision d'une Grande Tour Blanche, avec en contrebas une ville et un grand port. Dans le port, de nombreux navires en forme de cygnes semblent attendre de prendre la Mer...;;;;;x
EVTOPTApalantir.13;This is Tol Eressëa !;C'est Tol Eressëa !;;;;;x
EVTTITpalantir.14;The Anor-Stone;La Pierre d'Anor;;;;;x
EVTDESCpalantir.14;You're the Lord of Minas Tirith, formerly named Minas Anor, but the Palantir that was in this city left the walls, carried out by one of his Guardian. You should ask the current Guardian of the Anor-Stone to bring the palantir to where it should be.;Vous êtes le Seigneur de Minas Tirith, anciennement nommée Minas Anor, mais le Palantir qui se trouvait dans cette cité a quitté les murs, emporté par l'un de ses gardiens. Vous devriez demander à son gardien actuel de rapporter la pierre à l'endroit où elle doit reposer.;;;;;x
EVTOPTApalantir.14;I'll claim the Palantir.;Je réclame le Palantir.;;;;;x
EVTOPTBpalantir.14;It's not that important.;Ce n'est pas si grave.;;;;;x
EVTTITpalantir.15;The Anor-Stone;La Pierre d'Anor;;;;;x
EVTDESCpalantir.15;You're the Guardian of the Anor-Stone, but you're not in Minas Tirith, where the Palantir should be. The current lord of the city of Gondor sent you a letter, asking you to return the stone to its rightful location. What will you answer him?;Vous êtes le Gardien de la Pierre d'Anor, mais vous ne vous trouvez pas à Minas Tirith, où le Palantir devrait se trouver. L'actuel seigneur de la cité du Gondor vous a envoyé une missive, vous demandant de ramener la pierre à son emplacement légitime, sous sa garde. Qu'allez-vous lui répondre?;;;;;x
EVTOPTApalantir.15;This is a legitimate request.;C'est une demande légitime;;;;;x
EVTOPTBpalantir.15;I'm the rightful guardian of the Stone.;Je suis le Gardien Légitime de cette Pierre.;;;;;x
EVTTITpalantir.16;The Anor-Stone;La Pierre d'Anor;;;;;x
EVTDESCpalantir.16;The Guardian of the Anor-Stone has accepted your request and the Palantir returned to the city. As Lords of Minas Tirith, you and your heirs now become the guardians and will have to protect the stone, whatever the cost.;Le Gardien de la Pierre a accepté votre demande, et le Palantir est revenu dans la cité. En tant que Seigneur de Minas Tirith, vous et vos héritiers en devenez maintenant le gardien, et devrez protéger la pierre quoiqu'il en coûte.;;;;;x
EVTOPTApalantir.16;The Anor-Stone is back in the city.;La Pierre d'Anor est de retour dans la cité.;;;;;x
EVTTITpalantir.17;The Anor-Stone;La Pierre d'Anor;;;;;x
EVTDESCpalantir.17;The Guardian of the Anot-Stone has denied your claim, arguing that he's the legitimate protector of the Palantir. The Stone doesn't return to Minas Tirith, for now ...;Le Gardien de la Pierre a rejeté votre demande, arguant qu'il est le protecteur légitime du Palantir. La Pierre ne revient donc pas à Minas Tirith, pour le moment...;;;;;x
EVTOPTApalantir.17;I'll remember this…;Je m'en souviendrais…;;;;;x
EVTTITpalantir.18;The Palantir;Le Palantir;;;;;x
EVTDESCpalantir.18;The Palantir is still kept outside the walls of the city, despite your request. You may find a way to take the stone so that it can regain its original location. What do you say?;Le Palantir est encore gardé en dehors des murs de la cité, malgré votre demande. Vous devriez peut-être trouver un stratagème pour reprendre cette pierre, afin qu'elle puisse retrouver son emplacement originel. Qu'en dites-vous?;;;;;x
EVTOPTApalantir.18;We'll stole it!;Nous la volerons !;;;;;x
EVTOPTBpalantir.18;We don't want a fight…;Nous ne voulons pas de combats…;;;;;x
EVTTITpalantir.19;Raiders in the Dark…;Des Voleurs dans le Noir…;;;;;x
EVTDESCpalantir.19;You've gathered some of your best scouts, giving them a delicate mission. They must find the Palantir, and bring it back to the City. They swapped their official uniforms for discrete clothes and are now waiting to your order to go ahead ...;;;;;;x
EVTOPTApalantir.19;Seize only the Palantir!;Emparez-vous seulement du Palantir !;;;;;x
EVTOPTBpalantir.19;Steal the Stone and kill his guardian!;Volez la Pierre et tuez son Gardien!;;;;;x
EVTOPTCpalantir.19;We don't want a fight…;Nous ne voulons pas de combats…;;;;;x
EVTTITpalantir.20;An Attack in the Night;Une Attaque dans la Nuit;;;;;x
EVTDESCpalantir.20;While you were going to get some rest after a long day, you heared some noises in the hallways of your home. You take your sword, and you quickly notice that black-weared men are heading towards the room where's kept the Palantir.;Alors que vous vous apprêtez à aller vous reposer après une longue journée, vous entendez des bruits dans les couloirs de votre demeure. Vous prenez votre épée, et vous remarquez que des hommes en noir se dirigent vers la salle où est gardé le Palantir.;;;;;x
EVTOPTApalantir.20;I'll defend the Palantir !;Je vais défendre le Palantir !;;;;;x
EVTTITpalantir.21;Sucess!;Réussite de la Mission!;;;;;x
EVTDESCpalantir.21;Your men returned victorious, bringing with them the coveted Palantir. You can now congratulate them as they should be, and most importantly, put the Stone of Vision on his original base.;Vos hommes sont revenus, victorieux, rapportant avec eux le Palantir tant convoité. Vous pouvez maintenant les féliciter comme il se doit, et surtout, placer la pierre de vision sur son socle originel.;;;;;x
EVTOPTApalantir.21;Finally, the Stone came back.;Enfin, le Palantir est de retour.;;;;;x
EVTTITpalantir.22;Loss of a Palantir…;Perte d'un Palantir…;;;;;x
EVTDESCpalantir.22;Despite your efforts, you haven't managed to prevent thieves from taking the stone. You can imagine, however, that the sponsor of this robbery is none other than the one who claimed the stone a few days ago...;Malgré vos efforts, vous n'avez pas réussi à empêcher les voleurs de prendre la pierre. Vous vous doutez cependant que le commanditaire de ce rapine n'est autre que celui qui a réclamé la pierre il y a quelques jours...;;;;;x
EVTOPTApalantir.22;Damn…;Malédiction…;;;;;x
EVTTITpalantir.23;Fail of the Mission…;Echec de la Mission…;;;;;x
EVTDESCpalantir.23;Despite your best men, the Guardian of the Palantir, aided by his personal guard, was able to protect the room where the stone is stored. Some of your men returned, while others were killed or captured ...;Malgré vos meilleurs hommes, le gardien du palantir, aidé de sa garde personnelle, a réussi à protéger la salle où est stockée la pierre. Une partie de vos hommes sont rentrés, tandis que d'autres ont été tués ou capturés...;;;;;x
EVTOPTApalantir.23;Damn…;Malédiction…;;;;;x
EVTTITpalantir.24;A Good Defender;Un Bon défenseur;;;;;x
EVTDESCpalantir.24;You managed to protect the room that keeps the palantir. Some Survivors of the robbers fled in the night, while the bodies of those you've defeated are lying on the ground.;Vous avez réussi à protéger la salle qui garde le palantir. Les voleurs survivants se sont enfuis dans la nuit, tandis que les corps de ceux que vous avez vaincu gisent sur le sol.;;;;;x
EVTOPTApalantir.24;I'm a True Guardian.;Je suis un véritable Gardien.;;;;;x
EVTTITpalantir.25;Sucess!;Réussite de la Mission!;;;;;x
EVTDESCpalantir.25;Your men returned from mission, the Palantir in their luggage. During the stealing, they also killed the former protector of the stone, which had dared to deny your legitimate request.;Vos hommes sont revenus de mission, le Palantir dans leurs bagages. Durant le vol, ils ont également tués l'ancien protecteur de la pierre, qui avait osé refuser votre légitime demande. ;;;;;x
EVTOPTApalantir.25;"A Good lesson for this ""Guardian"".";"Une Bonne leçon pour ce ""Gardien"".";;;;;x
EVTTITpalantir.26;Defeat!;Défaite !;;;;;x
EVTDESCpalantir.26;Despite a heroic defense, you've been defeated by the thieves in front of the doors of the room that contained the palantir. You're seriously injured, and while you catch your breath difficulty, you see the men in black leave with the precious stone ... All is lost.;Malgré une défense héroïque, vous avez été défait par les voleurs, devant les portes de la salle qui renfermait le palantir. Vous êtes gravement blessé, et pendant que vous reprenez votre souffle difficilement, vous voyez les hommes en noir repartir avec la précieuse pierre... Tout est perdu.;;;;;x
EVTOPTApalantir.26;I… am… dying…;Je… meurs…;;;;;x
EVTTITpalantir.27;Raiders in the Dark…;Des Voleurs dans le Noir…;;;;;x
EVTDESCpalantir.27;You've gathered some of your best scouts, giving them a delicate mission. They must find the Palantir of Minas Tirith, kill the actual guardian, and bring it back to the City. They swapped their official uniforms for discrete clothes and are now waiting to your order to go ahead ...;;;;;;x
EVTOPTApalantir.27;Kill this fool!;Tuez cet idiot !;;;;;x
EVTTITpalantir.28;The Ithil-Stone;La Pierre d'Ithil;;;;;x
EVTDESCpalantir.28;You're the Lord of Minas Ithil, but the Palantir that was in this city left the walls, carried out by one of his Guardian. You should ask the current Guardian of the Ithil-Stone to bring the palantir to where it should be.;Vous êtes le Seigneur de Minas Ithil, mais le Palantir qui se trouvait dans cette cité a quitté les murs, emporté par l'un de ses gardiens. Vous devriez demander à son gardien actuel de rapporter la pierre à l'endroit où elle doit reposer.;;;;;x
EVTOPTApalantir.28;I'll claim the Palantir.;Je réclame le Palantir.;;;;;x
EVTOPTBpalantir.28;It's not that important.;Ce n'est pas si grave.;;;;;x
EVTTITpalantir.29;The Ithil-Stone;La Pierre d'Ithil;;;;;x
EVTDESCpalantir.29;You're the Guardian of the Ithil-Stone, but you're not in Minas Ithil, where the Palantir should be. The current lord of the city of Gondor sent you a letter, asking you to return the stone to its rightful location. What will you answer him?;Vous êtes le Gardien de la Pierre d'Ithil, mais vous ne vous trouvez pas à Minas Ithil, où le Palantir devrait se trouver. L'actuel seigneur de la cité du Gondor vous a envoyé une missive, vous demandant de ramener la pierre à son emplacement légitime, sous sa garde. Qu'allez-vous lui répondre?;;;;;x
EVTOPTApalantir.29;This is a legitimate request.;C'est une demande légitime;;;;;x
EVTOPTBpalantir.29;I'm the rightful guardian of the Stone.;Je suis le Gardien Légitime de cette Pierre.;;;;;x
EVTTITpalantir.30;The Ithil-Stone;La Pierre d'Ithil;;;;;x
EVTDESCpalantir.30;The Guardian of the Ithil-Stone has accepted your request and the Palantir returned to the city. As Lords of Minas Ithil, you and your heirs now become the guardians and will have to protect the stone, whatever the cost.;Le Gardien de la Pierre a accepté votre demande, et le Palantir est revenu dans la cité. En tant que Seigneur de Minas Ithil, vous et vos héritiers en devenez maintenant le gardien, et devrez protéger la pierre quoiqu'il en coûte.;;;;;x
EVTOPTApalantir.30;The Ithil-Stone is back in the city.;La Pierre d'Ithil est de retour dans la cité.;;;;;x
EVTTITpalantir.31;The Ithil-Stone;La Pierre d'Ithil;;;;;x
EVTDESCpalantir.31;The Guardian of the Ithil-Stone has denied your claim, arguing that he's the legitimate protector of the Palantir. The Stone doesn't return to Minas Ithil, for now ...;Le Gardien de la Pierre a rejeté votre demande, arguant qu'il est le protecteur légitime du Palantir. La Pierre ne revient donc pas à Minas Ithil, pour le moment...;;;;;x
EVTOPTApalantir.31;I'll remember this…;Je m'en souviendrais…;;;;;x
EVTTITpalantir.32;The Osgiliath-Stone;La Pierre dOsgiliath;;;;;x
EVTDESCpalantir.32;You're the Lord of Osgiliath, but the Palantir that was in this city left the walls, carried out by one of his Guardian. You should ask the current Guardian of the Osgiliath-Stone to bring the palantir to where it should be.;Vous êtes le Seigneur d'Osgiliath, mais le Palantir qui se trouvait dans cette cité a quitté les murs, emporté par l'un de ses gardiens. Vous devriez demander à son gardien actuel de rapporter la pierre à l'endroit où elle doit reposer.;;;;;x
EVTOPTApalantir.32;I'll claim the Palantir.;Je réclame le Palantir.;;;;;x
EVTOPTBpalantir.32;It's not that important.;Ce n'est pas si grave.;;;;;x
EVTTITpalantir.33;The Osgiliath-Stone;La Pierre d'Osgiliath;;;;;x
EVTDESCpalantir.33;You're the Guardian of the Osgiliath-Stone, but you're not in Osgiliath, where the Palantir should be. The current lord of the city of Gondor sent you a letter, asking you to return the stone to its rightful location. What will you answer him?;Vous êtes le Gardien de la Pierre dOsgiliath, mais vous ne vous trouvez pas à Osgiliath, où le Palantir devrait se trouver. L'actuel seigneur de la cité du Gondor vous a envoyé une missive, vous demandant de ramener la pierre à son emplacement légitime, sous sa garde. Qu'allez-vous lui répondre?;;;;;x
EVTOPTApalantir.33;This is a legitimate request.;C'est une demande légitime;;;;;x
EVTOPTBpalantir.33;I'm the rightful guardian of the Stone.;Je suis le Gardien Légitime de cette Pierre.;;;;;x
EVTTITpalantir.34;The Osgiliath-Stone;La Pierre d'Osgiliath;;;;;x
EVTDESCpalantir.34;The Guardian of the Osgiliath-Stone has accepted your request and the Palantir returned to the city. As Lords of Osgiliath, you and your heirs now become the guardians and will have to protect the stone, whatever the cost.;Le Gardien de la Pierre a accepté votre demande, et le Palantir est revenu dans la cité. En tant que Seigneurs d'Osgiliath, vous et vos héritiers en devenez maintenant le gardien, et devrez protéger la pierre quoiqu'il en coûte.;;;;;x
EVTOPTApalantir.34;The Osgiliath-Stone is back in the city.;La Pierre d'Osgiliath est de retour dans la cité.;;;;;x
EVTTITpalantir.35;The Osgiliath-Stone;La Pierre d'Osgiliath;;;;;x
EVTDESCpalantir.35;The Guardian of the Osgiliath-Stone has denied your claim, arguing that he's the legitimate protector of the Palantir. The Stone doesn't return to Minas Osgiliath, for now ...;Le Gardien de la Pierre a rejeté votre demande, arguant qu'il est le protecteur légitime du Palantir. La Pierre ne revient donc pas à Osgiliath, pour le moment...;;;;;x
EVTOPTApalantir.35;I'll remember this…;Je m'en souviendrais…;;;;;x
EVTTITpalantir.36;The Orthanc-Stone;La Pierre d'Orthanc;;;;;x
EVTDESCpalantir.36;You're the Lord of Orthanc, but the Palantir that was in this Tower left the walls, carried out by one of his Guardian. You should ask the current Guardian of the Orthanc-Stone to bring the palantir to where it should be.;Vous êtes le Seigneur d'Orthanc, mais le Palantir qui se trouvait dans cette Tour a quitté les murs, emporté par l'un de ses gardiens. Vous devriez demander à son gardien actuel de rapporter la pierre à l'endroit où elle doit reposer.;;;;;x
EVTOPTApalantir.36;I'll claim the Palantir.;Je réclame le Palantir.;;;;;x
EVTOPTBpalantir.36;It's not that important.;Ce n'est pas si grave.;;;;;x
EVTTITpalantir.37;The Orthanc-Stone;La Pierre d'Orthanc;;;;;x
EVTDESCpalantir.37;You're the Guardian of the Orthanc-Stone, but you're not in Orthanc, where the Palantir should be. The current lord of this Tower of Gondor sent you a letter, asking you to return the stone to its rightful location. What will you answer him?;Vous êtes le Gardien de la Pierre d'Orthanc, mais vous ne vous trouvez pas à Orthanc, où le Palantir devrait se trouver. L'actuel seigneur de la cité du Gondor vous a envoyé une missive, vous demandant de ramener la pierre à son emplacement légitime, sous sa garde. Qu'allez-vous lui répondre?;;;;;x
EVTOPTApalantir.37;This is a legitimate request.;C'est une demande légitime;;;;;x
EVTOPTBpalantir.37;I'm the rightful guardian of the Stone.;Je suis le Gardien Légitime de cette Pierre.;;;;;x
EVTTITpalantir.38;The Orthanc-Stone;La Pierre d'Orthanc;;;;;x
EVTDESCpalantir.38;The Guardian of the Orthanc-Stone has accepted your request and the Palantir returned to the Tower. As Lords of Orthanc, you and your heirs now become the guardians and will have to protect the stone, whatever the cost.;Le Gardien de la Pierre a accepté votre demande, et le Palantir est revenu dans la tour. En tant que Seigneurs d'Orthanc, vous et vos héritiers en devenez maintenant le gardien, et devrez protéger la pierre quoiqu'il en coûte.;;;;;x
EVTOPTApalantir.38;The Orthanc-Stone is back in the Tower.;La Pierre d'Orthanc est de retour dans la Tour.;;;;;x
EVTTITpalantir.39;The Orthanc-Stone;La Pierre d'Orthanc;;;;;x
EVTDESCpalantir.39;The Guardian of the Orthanc-Stone has denied your claim, arguing that he's the legitimate protector of the Palantir. The Stone doesn't return to Orthanc, for now ...;Le Gardien de la Pierre a rejeté votre demande, arguant qu'il est le protecteur légitime du Palantir. La Pierre ne revient donc pas à Orthanc, pour le moment...;;;;;x
EVTOPTApalantir.39;I'll remember this…;Je m'en souviendrais…;;;;;x
EVTTITpalantir.40;The Elendil-Stone;La Pierre d'Elendil;;;;;x
