#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_MGwall_1;Wooden Palisade;Palisade en bois;;;;;x
ca_MGwatchtower_2;Watchtower;Tour de garde;;;;;x
ca_MGwatchtower_3;Watchtower;Tour de garde;;;;;x
ca_MGwatchtower_4;Watchtower;Tour de garde;;;;;x
ca_MGwatchtower_5;Watchtower;Tour de garde;;;;;x
ca_MGwatchtower_6;Watchtower;Tour de garde;;;;;x
ca_MGwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MGwatchtower_2_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MGwatchtower_3_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MGwatchtower_4_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MGwatchtower_5_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MGwatchtower_6_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_MGkeep_1;Keep;Forteresse;;;;;x
ca_MGkeep_2;Keep;Forteresse;;;;;x
ca_MGkeep_3;Keep;Forteresse;;;;;x
ca_MGkeep_4;Keep;Forteresse;;;;;x
ca_MGkeep_5;Keep;Forteresse;;;;;x
ca_MGkeep_6;Keep;Forteresse;;;;;x
ca_MGkeep_1_desc;The keep allow more troops to be stationned in the castle.;La forteresse permet de stationner plus de troupe dans le chateau;;;;;x
ca_MGmilitia_barracks_1;Militia;Milice;;;;;x
ca_MGmilitia_barracks_2;Militia;Milice;;;;;x
ca_MGmilitia_barracks_3;Militia;Milice;;;;;x
ca_MGmilitia_barracks_4;Militia;Milice;;;;;x 
ca_MGmilitia_barracks_5;Militia;Milice;;;;;x
ca_MGmilitia_barracks_6;Militia;Milice;;;;;x 
ca_MGmilitia_barracks_1_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_MGmilitia_barracks_2_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_MGmilitia_barracks_3_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_MGmilitia_barracks_4_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_MGtraining_grounds_1;Training Grounds;Zone d'entraînement;;;;;x
ca_MGtraining_grounds_2;Training Grounds;Zone d'entraînement;;;;;x
ca_MGtraining_grounds_3;Training Grounds;Zone d'entraînement;;;;;x
ca_MGtraining_grounds_1_desc;Training Grounds allow replacement of fallen troups.;Ce centre d'entraînement permet de mieux remplacer les troupes perdues au combat.;;;;;x 
ca_MGcastleguards_1;Castle Guard;Garde du chateau;;;;;x 
ca_MGcastleguards_2;Castle Guard;Garde du chateau;;;;;x 
ca_MGcastleguards_3;Castle Guard;Garde du chateau;;;;;x 
ca_MGcastleguards_4;Castle Guard;Garde du chateau;;;;;x 
ca_MGcastleguards_5;Castle Guard;Garde du chateau;;;;;x
ca_MGcastleguards_6;Castle Guard;Garde du chateau;;;;;x
ca_MGcastleguards_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ca_MGtown_1;Castle Town;Ville du chateau;;;;;x
ca_MGtown_2;Castle Town;Ville du chateau;;;;;x
ca_MGtown_3;Castle Town;Ville du chateau;;;;;x
ca_MGtown_4;Castle Town;Ville du chateau;;;;;x
ca_MGtown_5;Castle Town;Ville du chateau;;;;;x
ca_MGtown_6;Castle Town;Ville du chateau;;;;;x
ca_MGtown_1_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_MGtown_2_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_MGtown_3_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_MGtown_4_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_MGtown_5_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_MGtown_6_desc;The Castle Town provides accomodation for burghers.;La ville du chateau offre des logements aux gens aisés.;;;;;x
ca_MGstable_1;Stables;Écurie;Ställe;Establos;;;;;x
ca_MGstable_2;Stables;Écurie;Ställe;Establos;;;;;x
ca_MGstable_3;Stables;Écurie;Ställe;Establos;;;;;x
ca_MGstable_4;Stables;Écurie;Ställe;Establos;;;;;x
ca_MGstable_5;Stables;Écurie;Ställe;Establos;;;;;x
ca_MGstable_6;Stables;Écurie;Ställe;Establos;;;;;x
ca_MGstable_1_desc;This stable just outside the castle walls houses all the steeds of the levy.;Cette écurie tout près du château abrite tous les destriers de l'ost.;Dieser Stall, direkt außerhalb der Burgmauern, beherbergt alle Rösser des Heeres.;Este establo situado junto a las murallas del castillo alberga las monturas de la leva. ;;;;;x
ca_MGshipyard_1;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_MGshipyard_2;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_MGshipyard_3;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
ca_MGshipyard_4;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
MGshipyard_desc;Skilled shipwrights are hard at work here, building all sorts of seafaring vessels.;De talentueux charpentiers sont à l'œuvre ici, construisant toutes sortes de navires.;Erfahrene Schiffsbauer arbeiten hier hart und bauen alle Arten von hochseetüchtigen Schiffen.;Carpinteros navales cualificados trabajan duro aquí, construyendo todo tipo de embarcaciones marinas.;;;;;x
ca_MGraiders_1;Raiders;Pilleurs;;;;;x
ca_MGraiders_2;Raiders;Pilleurs;;;;;x
ca_MGraiders_3;Raiders;Pilleurs;;;;;x
ca_MGraiders_desc;Those looters come, kill and take every and anything.;Ces pilleurs viennent, tuent, et prennent tout ce qu'ils peuvent.ca_MGraiders_1;Raiders;Pilleurs;;;;;x 


