#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
herbalist;Herbalist;Herbaliste;;;;;;;;;;;x
mariner_desc;This character has decided to make a career on the sea, and is part of a crew.;Ce personnage a décidé de faire carrière dans la Marine, et a embarqué à bord d'un équipage.;;;;;;;;;;;x
navigator;Navigator;Navigateur;;;;;;;;;;;x
navigator_desc;This character is able to navigate by the stars, and direct a vessel to its destination. He is one of the most important members of his crew.;Ce personnage est capable de naviguer grâce aux étoiles, et de diriger un navire vers sa destination. Il est l'un des membres les plus importants de son équipage.;;;;;;;;;;;x
captain;Captain;Capitaine;;;;;;;;;;;x
captain_desc;This character is capable of commanding a crew, and navigating his ship where he wishes.;Ce personnage est capable de commander un équipage, et de mener son navire là où il le souhaite.;;;;;;;;;;;x
ship_builder;Ship-Builder;Constructeur de Navires;;;;;;;;;;;x
ship_builder_desc;This character is able to build ships. Many sailors rely on his talents, and he has built ships that bring goods from all over the continent.;Ce personnage est capable de batir des navires. De nombreux marins font appel à ses talents, et les navires qu'il construit ramènent de nombreuses marchandises du monde entier.;;;;;;;;;;;x
trader;Trader;Commerçant;;;;;;;;;;;x
trader_desc;This character is a trader, and provides many resources to the people of his city.;Ce personnage tient un commerce, et fournit de nombreuses ressources aux habitants de sa cité.;;;;;;;;;;;x
tradesman;Tradesman;Marchand;;;;;;;;;;;x
tradesman_desc;This character runs a market, and provides almost all the resources needed by the city.;Ce personnage tient un marché, et fournit quasiment toutes les ressources dont a besoin la cité.;;;;;;;;;;;x
great_merchant;Great Merchant;Grand Marchand;;;;;;;;;;;x
great_merchant_desc;This character owns a market, and has traveled extensively throughout Middle Earth to recover rare and valuable goods for to sell to his people.;Ce personnage tient un marché, et voyage beaucoup à travers la Terre du Milieu afin de récupérer des marchandises rares et précieuses pour son peuple.;;;;;;;;;;;x
mushroom_farmer;Mushroom Farmer;Cultivateur de Champignon;;;;;;;;;;;x
mushroom_farmer_desc;This character knows how to cultivate mushrooms. The Hobbits of the Shire all rave about his products!;Ce personnage sait tenir un champ suffisamment pour y faire pousser des champignons. Les Hobbits de toute la Comté raffolent de ses produits !;;;;;;;;;;;x
hop_farmer;Hops Farmer;Cultivateur de Houblon;;;;;;;;;;;x
hop_farmer_desc;This person knows how to grow hops, the essential ingredient for a good ale! They brew their own alcohol, and provide for all the local inns.;Ce personnage sait faire pousser du houblon, l'ingrédient indispensable à toute bonne bière ! Il brasse lui-même sa bière, et fournit les auberges de la Comté.;;;;;;;;;;;x
pipe_weed_farmer;Pipe-Weed Farmer;Cultivateur d'Herbe à Pipe;;;;;;;;;;;x
pipe_weed_farmer_desc;This person knows how to grow pipe-weed, the most famous product of the Shire. All Hobbits have heard of their fields, and they export many barrels beyond the Shire itself.;Ce personnage sait faire pousser de l'Herbe-à-Pipe, la ressource la plus célèbre de la Comté. Tous les Hobbits connaissent ses champs, et il exporte de pleins tonneaux au-delà de la Comté elle-même.;;;;;;;;;;;x
EVTDESCciviltraits.1;You have begun training to become an healer. You now know how to recognize the various herbal plants, and their unique healing powers.;Vous avez entamé une formation afin de devenir soigneur. Vous savez maintenant reconnaitre les plantes, et vous connaissez leurs pouvoirs de guérisons.;;;;;;;;;;;x
EVTOPTAciviltraits.1;I'm a Herbalist!;Je suis un Herboriste!;;;;;;;;;;;x
EVTDESCciviltraits.2;You continue your medical education, and you're now able to make balms and potions from plants found in nature.;Votre formation continue, et vous êtes maintenant capable de réaliser des baumes ou des potions à partir des plantes que vous trouvez dans la nature.;;;;;;;;;;;x
EVTOPTAciviltraits.2;I am an Apothecary;Je suis un Apothicaire!;;;;;;;;;;;x
EVTDESCciviltraits.3;You are now able to cure most diseases, thanks to the knowledge of ancient Numenor and the Elves. You have become a great healer.;Vous êtes dorénavant capable de soigner la plupart des maladies, grâce au Savoir de l'ancienne Numenor et des Elfes. Vous devenez un grand soigneur.;;;;;;;;;;;x
EVTOPTAciviltraits.3;I am a Great Healer!;Je suis un Grand Soigneur !;;;;;;;;;;;x
EVTDESCciviltraits.4;You have acquired all the healing knowledge of the Elves and Men of Numenor, and you are now able to cure all diseases, including those caused by the Forces of Evil.;Vous avez acquis tout le savoir des Elfes et des Hommes de Numenor, et vous êtes maintenant capable de soigner toutes les maladies, même celles causées par les Forces du Mal.;;;;;;;;;;;x
EVTOPTAciviltraits.4;I am a Master Healer!;Je suis un Maitre Soigneur !;;;;;;;;;;;x
EVTDESCciviltraits.5;Thanks to your teaching, your young pupil has progressed. He'll soon be as talented as you, no doubt.;Grâce à votre apprentissage, votre jeune pupille a progressé. Il sera bientôt aussi talentueux que vous, à n'en pas douter.;;;;;;;;;;;x
EVTDESCciviltraits.6;You started training to become a craftsman. You have acquired some knowledge and are able to make objects of every day.;Vous avez débuté une formation afin de devenir artisan. Vous avez acquis quelques connaissances, et êtes capable de réaliser des objets de tout les jours.;;;;;;;;;;;x
EVTOPTAciviltraits.6;I am a Craftsman!;Je suis un Artisan !;;;;;;;;;;;x
EVTDESCciviltraits.7;Your talents have increased, and you are now able to create objects for the most beautiful houses of your people. Your reputation grows.;Vos talents ont augmenté, et vous êtes maintenant capable de réaliser des objets qui garniront les plus belles maisons de votre peuple. Votre renom grandit.;;;;;;;;;;;x
EVTOPTAciviltraits.7;I am a Skilled Craftsman!;Je suis un Artisan Talentueux !;;;;;;;;;;;x
EVTDESCciviltraits.8;You have opened your own shop and many apprentices come to work at your side. You are known throughout Middle-earth for the quality of your work.;Vous avez ouvert votre propre atelier, et de nombreux apprentis viennent travailler à vos cotés. Vous êtes réputé dans toute la Terre du Milieu pour la qualité de votre travail.;;;;;;;;;;;x
EVTOPTAciviltraits.8;I am a Master Craftsman!;Je suis un Maitre-Artisan !;;;;;;;;;;;x
EVTDESCciviltraits.9;You now craft fantastic objects, worthy of the greatest craftsmen of the past, like Telchar or Celebrimbor. Your reputation will cross time and survive your death, as your creations will.;Vous réalisez maintenant des objets fantastiques, dignes des plus grands artisans du passé, comme Celebrimbor ou Telchar. Votre réputation traversera le temps, et survivra à votre mort, comme vos créations.;;;;;;;;;;;x
EVTOPTAciviltraits.9;I am a Legendary Craftsman!;Je suis un Artisan Légendaire !;;;;;;;;;;;x
EVTDESCciviltraits.10;You have started training as a musician, and are able to write beautiful poems, but you still need more teaching to be able to compose music.;Vous avez débuté une formation de musicien, et êtes capable d'écrire de beaux textes. Mais il vous faut encore de l'aide pour pouvoir composer une musique.;;;;;;;;;;;x
EVTOPTAciviltraits.10;I am a Song-Writer!;Je suis un Auteur !;;;;;;;;;;;x
EVTDESCciviltraits.11;You now know how to compose music, beautiful melodies that accompany your ballads.;Vous savez maintenant composer de la musique, de jolies mélodies qui accompagnent vos textes. ;;;;;;;;;;;x
EVTOPTAciviltraits.11;I am a Composer!;Je suis un Compositeur !;;;;;;;;;;;x
EVTDESCciviltraits.12;Your works are sung regularly, and you have made a name for yourself among your people. You have progressed, and your songs might survive you.;Vos oeuvres sont chantées régulièrement, et vous vous faites un nom au sein de votre peuple. Vous avez progressé, et vos chansons vous survivront certainement.;;;;;;;;;;;x
EVTOPTAciviltraits.12;I am a Skilled Composer!;Je suis un Compositeur Talentueux !;;;;;;;;;;;x
EVTDESCciviltraits.13;Your songs are famous among all peoples, and your melodies embrace the hearts of all those who listen. You are a renowned musician, and the Kings are asking for you worldwide.;Vos chansons sont célèbres parmi tous les peuples, et vos mélodies embrassent le coeur de ceux qui les écoutent. Vous êtes un musicien de renom, et les rois vous demandent à travers le monde.;;;;;;;;;;;x
EVTOPTAciviltraits.13;I am a Legendary Musician!;Je suis un Musicien Légendaire !;;;;;;;;;;;x
EVTDESCciviltraits.14;You begin a seafaring career. You're currently only a crew member like others, but you work hard to get ahead.;Vous commencez une carrière de marin. Vous n'êtes pour l'instant qu'un membre d'équipage parmi les autres, mais vous travaillez dur pour monter en grade.;;;;;;;;;;;x
EVTOPTAciviltraits.14;I am a Mariner!;Je suis un Marin !;;;;;;;;;;;x
EVTDESCciviltraits.15;Your sailing talents have increased, and you are now able to navigate using the stars. You have become Navigator aboard your ship.;Vos talents de marins ont grandi, et vous êtes capable de vous diriger grâce à la lumière des étoiles. Vous êtes maintenant Officier Navigateur à bord de votre navire.;;;;;;;;;;;x
EVTOPTAciviltraits.15;I am a Navigator!;Je suis un Navigateur !;;;;;;;;;;;x
EVTDESCciviltraits.16;You have proven yourself as a sailor, and the commander of the fleet has given you the command of a ship. You are a true captain now.;Vous avez fait vos preuves en tant que marin, et le commandant de la flotte vous a donné le commandement d'un navire. Vous êtes un véritable capitaine maintenant.;;;;;;;;;;;x
EVTOPTAciviltraits.16;I am a Captain!;Je suis un Capitaine !;;;;;;;;;;;x
EVTDESCciviltraits.17;You are now able to build your own ships and command your own fleet. Many sailors come to you, and your reputation is high, both on sea and on land.;Vous êtes maintenant capable de batir vos propres navires et de commander votre propre flotte. De nombreux marins viennent chez vous, et votre renommée est grande, tant sur mer que sur terre.;;;;;;;;;;;x
EVTOPTAciviltraits.17;I am a Ship-Builder!;Je suis un Constructeur de Navires !;;;;;;;;;;;x
EVTDESCciviltraits.18;You have started training to become a merchant. You're now able to open your own shop in the city.;Vous avez commencé une formation pour devenir marchand. Vous êtes maintenant capable d'ouvrir votre propre boutique au sein de votre cité.;;;;;;;;;;;x
EVTOPTAciviltraits.18;I am a Trader!;Je suis un Commerçant !;;;;;;;;;;;x
EVTDESCciviltraits.19;You have improved your skills, and you're now able to hold an entire market. Your talents mean you will supply the entire city with your resources.;Vous avez amélioré vos qualités, et vous êtes maintenant capable de tenir un marché entier. Vous allez alimenter toute la ville avec vos ressources.;;;;;;;;;;;x
EVTOPTAciviltraits.19;I am a Tradesman!;Je suis un Marchand !;;;;;;;;;;;x
EVTDESCciviltraits.20;You are now a shrewd and well known trader, and travel long distances to find the most rare and precious resources of Middle-Earth. Thanks to you, your city will be enhanced considerably.;Vous êtes maintenant capable de voyager sur de longues distances afin de trouver les ressources les plus rares et précieuses de la Terre du Milieu. Avec vous, votre ville va s'enrichir considérablement.;;;;;;;;;;;x
EVTOPTAciviltraits.20;I am a Great Merchant!;Je suis un Grand Marchand !;;;;;;;;;;;x
EVTDESCciviltraits.21;You have learned all the cultivation techniques, navigating the forest to forage for the very best mushrooms. You also now know how sell your products. You don't have all the knowledge of this craft, but you know enough to produce and sell mushrooms.;Vous avez appris à labourer un champ, et à vendre vos produits. Vous n'avez pas encore toutes les connaissances de ce métier, mais vous en savez assez pour produire des champignons.;;;;;;;;;;;x
EVTOPTAciviltraits.21;I am a Mushroom Farmer!;Je suis un Cultivateur de Champignons !;;;;;;;;;;;x
EVTDESCciviltraits.22;You have improved your knowledge, and you can now grow hops. With this cereal, you brew your own beer, and you supply all the local inns of the Shire.;Vous avez amélioré vos connaissances, et vous pouvez maintenant cultiver du houblon. Avec cette céréale, vous brassez votre propre bière, et vous pouvez alimenter les auberges de la Comté.;;;;;;;;;;;x
EVTOPTAciviltraits.22;I am a Hops Farmer!;Je suis un Cultivateur de Houblon !;;;;;;;;;;;x
EVTDESCciviltraits.23;You have improved your knowledge. You can now grow pipe-weed, and offer the best quality to all the Hobbits of the Shire. Your field is now famous in your country.;Vous avez amélioré vos connaissances, et vous pouvez maintenant cultiver de l'herbe-à-pipe, et ainsi offrir à tous les Hobbits de la Comté et d'ailleurs la meilleure qualité possible. Votre champ est maintenant réputé dans votre pays.;;;;;;;;;;;x
EVTOPTAciviltraits.23;I am a Pipe-Weed Farmer!;Je suis un Cultivateur d'Herbes à Pipe !;;;;;;;;;;;x
EVTOPTAciviltraits.23;I am a Pipe-Weed Farmer!;Je suis un Cultivateur d'Herbes à Pipe !;;;;;;;;;;;x
