#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_Psnowmen_1;Snowmen;Hommes des Neiges;;;;;x
ca_Psnowmen_2;Snowmen;Hommes des Neiges;;;;;x
ca_Psnowmen_3;Snowmen;Hommes des Neiges;;;;;x
ca_Psnowmen_4;Snowmen;Hommes des Neiges;;;;;x
ca_Psnowmen_5;Snowmen;Hommes des Neiges;;;;;x
ca_Psnowmen_6;Snowmen;Hommes des Neiges;;;;;x
ca_Psnowmen_1_desc;These light troops are used to fighting in snowy terrains and know how to use it to their advantadge.;Ces troupes légères connaissent bien les zones enneigées et savent les utiliser à leur avantage.;;;;;x
ca_Phillsmen_1;Hillsmen;Hommes des Collines;;;;;x
ca_Phillsmen_2;Hillsmen;Hommes des Collines;;;;;x
ca_Phillsmen_3;Hillsmen;Hommes des Collines;;;;;x
ca_Phillsmen_4;Hillsmen;Hommes des Collines;;;;;x
ca_Phillsmen_5;Hillsmen;Hommes des Collines;;;;;x
ca_Phillsmen_6;Hillsmen;Hommes des Collines;;;;;x
ca_Phillsmen_1_desc;These light troops are used to fighting in hills and know how to use it to their advantadge.;Ces troupes légères connaissent bien les collines et savent les utiliser à leur avantage.;;;;;x
tb_Pwall_1;Wooden Palisade;Palisade en bois;;;;;x
tb_Pwall_2;Low Stone Wall;Muret de pierre;;;;;x  
tb_Pwall_3;Stone Wall;Hauts murs;;;;;x  
tb_Pwatchtower_1;Watchtower;Tour de garde;;;;;x
tb_Pwatchtower_2;Watchtower;Tour de garde;;;;;x
tb_Pwatchtower_3;Watchtower;Tour de garde;;;;;x
tb_Pwatchtower_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
tb_Pkeep_1;Tribal Keep;Forteresse Tribale;;;;;x
tb_Pkeep_2;Tribal Keep;Forteresse Tribale;;;;;x
tb_Pkeep_3;Tribal Keep;Forteresse Tribale;;;;;x
tb_Pkeep_1_desc;The keep allow more troops to be stationned in the town.;La forteresse permet de stationner plus de troupe dans le village.;;;;;;x
tb_Pmilitia_barracks_1;Militia;Milice;;;;;x
tb_Pmilitia_barracks_2;Militia;Milice;;;;;x
tb_Pmilitia_barracks_3;Militia;Milice;;;;;x
tb_Pmilitia_barracks_4;Militia;Milice;;;;;x
tb_Pmilitia_barracks_desc;Light troops trained for war.;Troupes lègères formées pour la guerre.;;;;;x
tb_Ptraining_grounds_1;Training Grounds;Zone d'entraînement;;;;;x
tb_Ptraining_grounds_2;Training Grounds;Zone d'entraînement;;;;;x
tb_Ptraining_grounds_3;Training Grounds;Zone d'entraînement;;;;;x
tb_Ptraining_grounds_1_desc;Training Grounds allow replacement of fallen troups.;Ce centre d'entraînement permet de mieux remplacer les troupes perdues au combat.;;;;;x 
tb_Pcastleguards_1;Guard;Garde;;;;;x 
tb_Pcastleguards_2;Guard;Garde;;;;;x 
tb_Pcastleguards_3;Guard;Garde;;;;;x 
tb_Pcastleguards_1_desc;Tribal Guard with primitive gear;;;;;;x
tb_Ptown_1;Primitive Town;Village Primitif;;;;;x
tb_Ptown_2;Little Town;Petit Village;;;;;x
tb_Ptown_3;Average Town;Village de Moyenne Taille;;;;;x
tb_Ptown_desc;Tribal Town;Village Tribal;;;;;x
tb_Pstable_1;Stables;Écurie;Ställe;Establos;;;;;x
tb_Pstable_2;Stables;Écurie;Ställe;Establos;;;;;x
tb_Pstable_3;Stables;Écurie;Ställe;Establos;;;;;x
tb_Pstable_1_desc;Tribal stables with crude saddles;Etables tribales avec des selles primitives;;;;;;x
tb_Pshipyard_1;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
tb_Pshipyard_2;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
tb_Pshipyard_3;Castle Shipyard;Chantier naval du château;Schloss-Werft;Astillero del Castillo;;;;;x
tb_Psnowmen_1;Snowmen;Hommes des Neiges;;;;;x
tb_Psnowmen_2;Snowmen;Hommes des Neiges;;;;;x
tb_Psnowmen_3;Snowmen;Hommes des Neiges;;;;;x
tb_Psnowmen_4;Snowmen;Hommes des Neiges;;;;;x
tb_Psnowmen_5;Snowmen;Hommes des Neiges;;;;;x
tb_Psnowmen_6;Snowmen;Hommes des Neiges;;;;;x
tb_Phillsmen_1;Hillsmen;Hommes des Collines;;;;;x
tb_Phillsmen_2;Hillsmen;Hommes des Collines;;;;;x
tb_Phillsmen_3;Hillsmen;Hommes des Collines;;;;;x
tb_Phillsmen_4;Hillsmen;Hommes des Collines;;;;;x
tb_Phillsmen_5;Hillsmen;Hommes des Collines;;;;;x
tb_Phillsmen_6;Hillsmen;Hommes des Collines;;;;;x

