#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITnewshadow.0;A New Shadow;Une Nouvelle Ombre;;;;;;;;;;;;x
EVTTITnewshadow.3;The Tomb of Herumor;Le Tombeau d'Herumor;;;;;;;;;;;;x
EVTDESCnewshadow.3;You're Going in search of the lost tomb of Herumor, former Númenorean who ruled the Haradrim during the War of the Last Alliance. You know that the tomb is somewhere south of the Ephel Duath, the mountains bordering the south of Nurn and Northern Harad. You hope you'll find it ...;Vous partez à la recherche du tombeau perdu de Herumor, l'ancien Numénoréen qui dirigea les Haradrim durant la Guerre de la Dernière Alliance. Vous savez que le tombeau se trouve quelque part au Sud des Ephel Duath, les montagnes qui bordent le Sud du pays de Nurn, et le Nord du Harad. Esperons que vous puissiez la trouver...;;;;;;;;;;;;x
EVTOPTAnewshadow.3;Let find it.;Trouvons la.;;;;;;;;;;;;x
EVTTITnewshadow.4;The Tomb of Herumor;Le Tombeau d'Herumor;;;;;;;;;;;;x
EVTDESCnewshadow.4;The Tomb of Herumor was found in a desertic canyon. In the edges of it, an old door, guarded by two skeletons forgotten. After opening, you'll be presented with a stone coffin, topped by a large statue representing Herumor in front of a parched tree. It's time to find the symbol that will legitimize your action.;Le Tombeau de Herumor a été retrouvé, dans un canyon sinistre. Au fond de celui-ci, une porte ancienne, gardée par deux squelettes oubliés. Après l'avoir ouvert, vous vous retrouvez face à un cercueil en pierre, surmonté d'une grande statue représentant Herumor devant un arbre désséché. Il est temps de trouver le symbole qui légitimera votre action.;;;;;;;;;;;;x
EVTOPTAnewshadow.4;What will i find in this tomb?;Que trouverais-je dans ce tombeau?;;;;;;;;;;;;x
EVTTITnewshadow.5;The Tomb of Herumor;Le Tombeau d'Herumor;;;;;;;;;;;;x
EVTDESCnewshadow.5;You searched for weeks any track of the ancient tomb of Herumor, but you didn't managed to find anything. Belegûr told you that failed in this quest, so you didn't show worthy of leading the worship of Melkor.;Vous avez cherché pendant des semaines une trace de l'antique tombeau d'Herumor, mais vous n'avez finalement rien trouvé. Belegûr vous a dit qu'en ayant échoué dans cette quête, vous ne vous êtes pas montré digne de mener le culte de Melkor.;;;;;;;;;;;;x
EVTOPTAnewshadow.5;Damn!;Malédiction !;;;;;;;;;;;;x
EVTTITnewshadow.6;The Seal of Herumor;Le Sceau d'Herumor;;;;;;;;;;;;x
EVTDESCnewshadow.6;You open the coffin of Herumor, and you find inside it an old seal, placed next to his body. After studying quickly, you notice that the emblem is a black tree, parched, like the statue that overlooks you.;Vous ouvrez le cercueil d'Herumor, et vous trouvez à l'intérieur, posé à côté de son corps, un vieux sceau. Après l'avoir étudié rapidement, vous remarquez que l'emblème est un arbre noir, désséché, comme celui de la statue qui vous surplombe.;;;;;;;;;;;;x
EVTOPTAnewshadow.6;The Dark Tree…;L'Arbre Noir…;;;;;;;;;;;;x
EVTTITnewshadow.7;The Crown of Herumor;La Couronne d'Herumor;;;;;;;;;;;;x
EVTDESCnewshadow.7;You open the coffin of Herumor, and you find inside it a black crown, placed next to his body. All around the crown, bare branches are shown, identical to the black tree that overhangs you ...;Vous ouvrez le cercueil d'Herumor, et vous trouvez à l'intérieur une couronne noire, posé à côté de son corps. Sur tout le tour de la couronne, des branches nues sont représentées, identiques à l'arbre noir qui vous surplombe...;;;;;;;;;;;;x
EVTOPTAnewshadow.7;The Dark Tree…;L'Arbre Noir…;;;;;;;;;;;;x
EVTTITnewshadow.8;Nothing…;Rien…;;;;;;;;;;;;x
EVTDESCnewshadow.8;You open the coffin of Herumor, but you haven't found anything inside. While you were on the verge of dropping your quest, your gaze falls again on the parched tree overlooking you, to whom the statue Herumor seems to pay homage ...;Vous ouvrez le cercueil d'Herumor, et vous n'avez rien trouvé à l'intérieur. Alors que vous étiez sur le point de laisser tomber votre quête, votre regard se pose de nouveau sur l'Arbre désséché qui vous surplombe, à qui la statue d'Herumor semble rendre hommage...;;;;;;;;;;;;x
EVTOPTAnewshadow.8;The Dark Tree…;L'Arbre Noir…;;;;;;;;;;;;x
EVTTITnewshadow.9;The Dark Tree;L'Arbre Noir;;;;;;;;;;;;x
EVTDESCnewshadow.9;You came back to home and tell the Dark Priest that you've found the Tomb of Herumor at the foot of the Ephel Duath. There, you've also found a symbol, something that will represent your worship, and your brotherhood: a Dark Tree. Belegûr is watching you, then smiles, and tells you that you have successfully completed your quest, and it's now time to take charge of your destiny. Create the Brotherhood, and take the leadership of it. It's time for your Lord Melkor to resume its place in the hearts of your people.;Vous rentrez chez vous, et prévenez le mage noir que vous avez trouvé le Tombeau d'Herumor, au pied des Ephel Duath. Vous y avez également trouvé un symbole, quelquechose qui pourra représenter votre culte, et votre confrérie : un Arbre Noir. Belegûr vous observe, souriant, et vous dit que vous avez réussi votre quête, et qu'il est maintenant temps de prendre en main votre destin. Crééz la Confrérie, et prenez en la tête. Il est temps que votre Seigneur Melkor reprenne sa place dans le coeur de votre peuple.;;;;;;;;;;;;x
EVTOPTAnewshadow.9;The Dark Tree will raise !;L'Arbre Noir prospérera !;;;;;;;;;;;;x
EVTOPTBnewshadow.9;I don't want to do it.;Je ne veux pas le faire.;;;;;;;;;;;;x
EVTTITnewshadow.10;The Dark Tree;L'Arbre Noir;;;;;;;;;;;;x
EVTDESCnewshadow.10;You founded the Brotherhood of the Dark Tree, but now you need to recruit disciples to expand your influence. You know some people who might follow you, and you should send them your invitation.;Vous avez fondé la confrérie de l'Arbre Noir, mais vous devez maintenant recruter des disciples, pour étendre votre influence. Vous connaissez quelques personnes susceptibles de vous suivre, et vous devriez leur envoyer votre invitation.;;;;;;;;;;;;x
EVTOPTAnewshadow.10;I want some disciples.;Je veux des disciples.;;;;;;;;;;;;x
EVTOPTBnewshadow.10;I don't want any disciples for now.;Je ne veux pas encore de disciples.;;;;;;;;;;;;x
EVTTITnewshadow.11;The Dark Tree;L'Arbre Noir;;;;;;;;;;;;x
EVTDESCnewshadow.11;A letter was sent by a messenger in the night. On the seal that seals the envelope, you can see a picture of a black tree, parched. Whoever wrote this letter, and who calls himself Herumor, announces it's time for your people to rise up and finally take the place they deserves in this world. We should dominate this world, and not bind us with unclean or decaying races. We deserve immortality that the Valar refuse us. It offers you to join the Brotherhood of the Dark Tree, to spread the word of the Giver of Freedom to all our people. What do you say?;Une missive vous a été envoyé par un émissaire, dans la nuit. Sur le sceau qui scelle l'enveloppe, vous pouvez voir un symbole représentant un arbre noir, désséché. Celui qui a écrit cette lettre, et qui se fait appeler Herumor, vous annonce qu'il est temps pour votre peuple de s'élever, de prendre enfin la place qui leur est du dans ce monde. Nous devrions dominer ce monde, et non nous lier avec les races impures ou décadentes. Nous méritons l'immortalité que les Valar nous refusent. Il vous propose de rejoindre la Confrérie de l'Arbre Noir, afin de propager la parole du Donneur de Liberté à tout notre peuple. Qu'en dites-vous?;;;;;;;;;;;;x
EVTOPTAnewshadow.11;We deserves a better fate !;Nous méritons un meilleur Destin !;;;;;;;;;;;;x
EVTOPTBnewshadow.11;Our world is good as it is now.;Notre monde est bien comme il est.;;;;;;;;;;;;x
EVTTITnewshadow.12;A New Disciple;Un Nouveau Disciple;;;;;;;;;;;;x
EVTDESCnewshadow.12;[From.GetFirstName] choose to join us, and is now a disciple of the Dark Tree. ;[From.GetFirstName] a choisi de nous rejoindre, et est désormais un disciple de l'Arbre Noir.;;;;;;;;;;;;x
EVTOPTAnewshadow.12;Perfect.;Parfait.;;;;;;;;;;;;x
