#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ct_Nguard_2;City Guard;Garde de la cité;;;;;x
ct_Nguard_3;City Guard;Garde de la cité;;;;;x
ct_Nguard_4;City Guard;Garde de la cité;;;;;x
ct_Nguard_5;City Guard;Garde de la cité;;;;;x
ct_Nguard_6;City Guard;Garde de la cité;;;;;x
ct_Nguard_1_desc;City Guard forms pikemen usually used for defense.;La garde de la cité se compose de piquiers et assure normalement un rôle défensif.;;;;;x
ct_Nmarketplace_1;Marketplace;Marché;;;;;x
ct_Nmarketplace_2;Marketplace;Marché;;;;;x
ct_Nmarketplace_3;Marketplace;Marché;;;;;x
ct_Nmarketplace_4;Marketplace;Marché;;;;;x
ct_Nmarketplace_5;Marketplace;Marché;;;;;x
ct_Nmarketplace_6;Marketplace;Marché;;;;;x
ct_Nmarketplace_1_desc;The marketplace allows merchant to sell their goods... and to pay taxes!;Le marché permet aux marchands de vendre des biens... et de payer des taxes !;;;;;x
ct_Nport_1;Port;Port;;;;;x
ct_Nport_2;Port;Port;;;;;x
ct_Nport_3;Port;Port;;;;;x
ct_Nport_4;Port;Port;;;;;x
ct_Nport_5;Port;Port;;;;;x
ct_Nport_1_desc;A port that services ships coming in to load or unload cargo.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;;;;;x
ct_Nshipyard_1;City Shipyard;Chantier naval de la ville;;;;;x
ct_Nshipyard_2;City Shipyard;Chantier naval de la ville;;;;;x
ct_Nshipyard_3;City Shipyard;Chantier naval de la ville;;;;;x
ct_Nshipyard_4;City Shipyard;Chantier naval de la ville;;;;;x
tp_numenorean_archives;Hall of Archives;Salles des Archives;;;;;x
tp_numenorean_archives_desc;In this building, many documents are preserved. They contain the written memory of the realms of Númenor, Gondor and Arnor.;Dans ce batiment, de nombreux documents sont conservés, qui contiennent la mémoire de Númenor, du Gondor et d'Arnor.;;;;;x
tp_numenorean_tombs;Númenorean Tombs;Tombes Númenoréenes;;;;;x
tp_numenorean_tombs_desc;Men of Númenor had a habit of embalming the dead and burying them in rich tombs, so they might be remembered for all time. This tradition continues in Middle-Earth among their heirs.;Les Hommes de Númenor ont pris l'habitude de faire embaumer les morts et de les inhumer dans de riches tombes. Cette tradition perdure en Terre du Milieu parmi leurs héritiers.;;;;;x
tp_healing2;Houses of Healing;Maison de Guérison;;;;;x
tp_elendil_tomb;Tomb of Elendil;Tombeau d'Elendil;;;;;x
tp_elendil_tomb_desc;The Tomb of Elendil was the tomb of the first King of Arnor and Gondor built by Isildur on Eilenaer, the mid-point of the Kingdom while it endured. In an oval lawn upon the summit of the hill, on the eastern side, was placed a low mound. It's location was kept a secret for many centuries among the Kings of Gondor and the Stewards. At Isildur's command, the hill would be a hallow and none would disturb it other than a heir of Elendil. Later King's were known to visit the hallow from time to time, especially when they felt the need of wisdom in times of danger or distress for thei kingdom.;Le tombeau d'Elendil était le tombeau du premier roi d'Arnor et du Gondor construit par Isildur sur Eilenaer, le point médian du Royaume Unifié. Dans une pelouse ovale sur le sommet de la colline a été placé un petit tertre. Son emplacement était un secret bien gardé pendant des siècles par les Rois du Gondor et les Intendants. A la demande d'Isildur, la colline a été sanctifiée et aucun être ne peut la déranger autre qu'un héritier d'Elendil. Le roi doit venir visiter le sanctuaire de temps en temps, surtout quand il sent venir le besoin de se recueillir dans les périodes de péril ou de détresse.;;;;;x
tp_oath_eorl;The Oath of Eorl;Le Serment d'Eorl;;;;;x
tp_oath_eorl_desc;The Oath was first sworn in T.A. 2510 by Cirion, the twelfth Ruling Steward of Gondor, and by Eorl, King of the Éothéod (later first King of Rohan) following the Battle of the Field of Celebrant. The Oath stated that the province of Calenardhon forever belong to Rohan, established its borders, and an alliance between the kingdoms. The two rulers swore their oaths on the Halifirien hill at the site of the Tomb of Elendil.;Le serment a été prêté serment en 2510 T.A.  par Cirion, le douzième Intendant du Gondor, et par Eorl, Roi de l'Éothéod (plus tard premier Roi de Rohan) suite à la bataille du Champ de Celebrant. Le serment a déclaré que la province de Calenardhon appartiendrait toujours au Rohan, a établi ses frontières, et une alliance entre les royaumes. Les deux dirigeants ont juré solennellement sur ??la colline d'Halifirien, sur le site de la tombe d'Elendil.;;;;;x
tp_meneltarma;Meneltarma;Meneltarma;;;;;x
tp_meneltarma_desc;The Meneltarma is a sacred place, where only the true heirs of Elros Tar-Minyatur can set foot to honor Eru Iluvatar, the creator of Arda. Over the island, despite the flooding of the ancient continent of Numenor, some great eagles continue to guard this holy land.;Le Meneltarma est un lieu sacré, où seuls les véritables héritiers d'Elros Tar-Minyatur peuvent poser le pied, afin d'honorer Eru Iluvatar, le créateur d'Arda. Au-dessus de l'île, et malgré la submersion de l'antique continent de Numenor, de grands aigles continuent de surveiller les allées et venues.;;;;;x
ct_fornost_ruins;The Ruins of Fornost Erain;Les Ruines de Fornost Erain;;;;;x
ct_fornost_erain;Fornost Erain;Fornost Erain;;;;;x
ct_amon_sul;Amon Sûl;Amon Sûl;;;;;x
ct_amon_sul_desc;The Mighty Tower of Amon Sûl had been built during the days of Elendil the Tall, and stored one of the Palantiri of Arnor. It's one of the greatest fortress of Arnor, and the proud of the Men of the West.;La Puissante Tour d'Amon Sûl a été construite au temps d'Elendil le Grand, et renfermait en son sein l'un des Palantiri d'Arnor. Cette puissante forteresse était l'une des places fortes les plus importantes d'Arnor, et une fierté pour les Hommes de l'Ouest.;;;;;x
ct_amon_sul_ruins;Amon Sûl's Ruins;Ruines d'Amon Sûl;;;;;x
ct_amon_sul_ruins_desc;In 1409 of the Third Age, the legions of the Witch-king of Angmar besieged the Tower of Amon Sûl, and destroyed it, killing the King Arveleg I during the battle. Since this time, the Tower is ruins, and some shadows could be seen around the summit…;En 1409 du Tiers-Âge, les Légions du Roi-Sorcier d'Angmar ont assiégé la Tour d'Amon Sûl, et l'ont détruite, tuant le Roi Argeleb I d'Arthedain durant la bataille. Depuis ce temps, la Tour est en ruine, et on peut voir des ombres inquiétantes roder à son sommet...;;;;;x
ct_annuminas_ruins;The Ruins of Annúminas;Les Ruines d'Annúminas;;;;;x
ct_annuminas_ruins_desc;After the Fall of Arnor, Annúminas fell into decay. Little by little, the people left for other cities, and the once great city was abandoned.;Depuis la division de l'Arnor, Annuminas a perdu de son éclat. Petit à petit, les habitants sont partis pour d'autres villes, et la cité a été abandonnée.;;;;;x
ct_osgiliath_ruins;Ruines of Osgiliath;Ruins d'Osgiliath;;;;;x
ct_osgiliath_ruins_desc;Once the biggest city of Gondor, Osgiliath was hardly hit by the kin-strife and by the great plague. Only ruins remains to remind of its greatness.;Osgiliath fut autrefois la plus grande cité du Gondor, mais elle fut durement touchée par la guerre civile puis par la Grande Peste. Il ne reste que des ruines pour se rappeler de sa grandeur.;;;;;x
ct_numenorean_Annuminas;Númenorean Walls;Murs Numénoréens;;;;;x
ct_numenorean2;Númenorean Walls of Minas Ithil;Murs Numénoréens de Minas Ithil;;;;;x
ct_Pelargir;Great Port of Pelargir;Grand port de Pelargir;;;;;x
ct_numenorean3;Haven of Umbar;Havre de Umbar;;;;;x
ct_umbar_haven;Haven of Umbar;Havre de Umbar;;;;;x
ct_barrow_downs;Barrow-downs;;;;;;x
ct_royal_burial_mounds;The royal burial mounds;;;;;;x
ct_lond_daer;Great Port of Lond Daer;Grand port de Lond Daer;;;;;x
ct_minas_ithil_ruins;The ruins of Minas Ithil;;;;;;x
ct_tower_of_moon;The tower of the moon;;;;;;x
