#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
unificate_dwarves;Call the Council of the Kings;Réunir le Conseil des Rois;;;;;;;;;;;;;x
EVTTITunificatedwarves.5;The Council of the Dwarven Kings;L'Assemblée des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.5;The Kings of Dwarves gathered in Mount Gundabad for the Grand Assembly, as in the past. The Interim Head of the Council proposed to unify all the tribes and kingdoms of the dwarves under the reign of a King of all Mountains, elected by the Council of Kings.;Les Rois des Nains se sont réunis au sein du Mont Gundabad en une Grande Assemblée, comme au temps jadis. Le Chef provisoire du Conseil a proposé d'unifier toutes les tribus et Royaumes des Nains sous le règne d'un Roi de toutes les Montagnes, qui serait élu par le Conseil des Rois.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.5;I accept this proposal.;J'accepte cette unification.;;;;;;;;;;;;;x
EVTOPTBunificatedwarves.5;No, I don't want to join them.;Non, je ne veux pas de ça.;;;;;;;;;;;;;x
EVTTITunificatedwarves.6;Unification of the Dwarves;L'Union des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.6;The Kings of the Dwarves have accepted the proposal and agreed to create a Great Kingdom of All Mountains, ruled by one King elected every 20 years. It's now time to proceed to the election of the First King.;Les Rois des Nains ont accepté la proposition, et sont d'accord pour créer un Grand Royaume de toutes les Montagnes, gouvernés par l'un d'entre eux, élu tous les 20 ans. Il est maintenant temps de passer à l'élection du Premier Roi.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.6;We must choose wisely...;Il est maintenant temps de choisir notre Roi.;;;;;;;;;;;;;x
EVTTITunificatedwarves.7;Unification of the Dwarves;L'Union des Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.7;The Kings of the Dwarves have refused the proposal to create a Great Kingdom of All Mountains, ruled by one of them elected every 20 years. Hope is lost for this Council.;Les Rois des Nains ont refusé la proposition de créer un Grand Royaume de toutes les Montagnes, gouvernés par l'un d'entre eux, élu tous les 20 ans. L'espoir est perdu pour cette session du Conseil.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.7;Too bad…;Tant d'énergies perdues…;;;;;;;;;;;;;x
EVTTITunificatedwarves.8;The King of the Dwarvish Union;Le Roi de l'Union des Peuples Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.8;It's now time to vote for one of the Kings of the Dwarves, who will become the new King of All Mountains.;Il est maintenant temps de voter pour élire parmi les Rois des Nains, qui deviendra le nouveau Roi de toutes les Montagnes. ;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.8;Who are the candidates?;Qui est candidat?;;;;;;;;;;;;;x
EVTDESCunificatedwarves.4001;[From.GetTitle] [From.GetFirstName] voted for your proposal to unite all the Dwarves under a same King.;[From.GetTitle] [From.GetFirstName] vote en faveur de votre prosition d'unifier tous les Nains sous un même Royaume.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.4001;Thanks, [From.GetFirstName];Merci, [From.GetFirstName];;;;;;;;;;;;;x
EVTDESCunificatedwarves.4002;[From.GetTitle] [From.GetFirstName] refused to join the Union of all the Dwarves. He wants to remain independant.;[From.GetTitle] [From.GetFirstName] refuse de rejoindre une quelconque Union des Peuples Nains. Il préfère rester indépendant.;;;;;;;;;;;;;x
EVTOPTAcouncilgondor.4002;I see, [From.GetFirstName];Très bien, [From.GetFirstName];;;;;;;;;;;;;x
EVTTITunificatedwarves.9;The King of the Dwarvish Union;Le Roi de l'Union des Peuples Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.9;It's time to elect who will lead the Union of the Dwarfs. Will you offer your services?;Il est temps d'élire celui qui dirigera l'Union des Peuples Nains. Allez-vous proposer votre candidature ?;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.9;I should rule this Union.;Je devrais diriger cette Union.;;;;;;;;;;;;;x
EVTOPTBunificatedwarves.9;I won't be a candidate.;Je ne serais pas candidat.;;;;;;;;;;;;;x
EVTTITunificatedwarves.10;A New Candidate!;Un Nouveau candidat !;;;;;;;;;;;;;x
EVTDESCunificatedwarves.10;[From.GetTitle] [From.GetFirstName] nominated himself to become King of the Dwarvish Union. [From.GetFirstName] thinks that he will be able to skillfully guide the destiny of the Dwarves of Middle-earth with the mandate we'll grant to the future King.;[From.GetTitle] [From.GetFirstName] a proposé sa candidature, afin de devenir le Roi de l'Union des Peuples Nains. [From.GetFirstName] pense être à même de diriger la destinée des Nains de la Terre du Milieu, pendant le mandat qui lui sera accordé.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.10;Very Well.;Très Bien.;;;;;;;;;;;;;x
EVTTITunificatedwarves.33;The King of the Dwarvish Union;Le Roi de l'Union des Peuples Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.33;The Kings of the Dwarves have voted and at the count, you discover that you are the lucky one. The Council of Kings elected you King of the Dwarvish Union, and you will now govern all the kingdoms of the Dwarves. The next election will take place in 20 years.;Les Rois des Nains ont voté, et au moment du dépouillement, vous découvrez que vous êtes l'heureux élu. Le Conseil des Rois vous a élu Roi de l'Union des Peuples Nains, et vous gouvernez dorénavant tous les Royaumes des Nains. Une prochaine élection aura lieu dans 20 ans.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.33;I am King of all Mountains!;Je suis le Roi de toutes les Montagnes !;;;;;;;;;;;;;x
EVTTITunificatedwarves.34;The King of the Dwarvish Union;Le Roi de l'Union des Peuples Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.34;The Kings of the Dwarves have voted and at the count, you discover that [From.GetTitle] [From.GetFirstName] is the lucky one. The Council of Kings elected him King of the Dwarvish Union, and now he will govern all the kingdoms of the Dwarves. The next election will take place in 20 years.;Les Rois des Nains ont voté, et au moment du dépouillement, vous découvrez que le [From.GetTitle] [From.GetFirstName] est l'heureux élu. Le Conseil des Rois l'a élu Roi de l'Union des Peuples Nains, et il gouvernera dorénavant tous les Royaumes des Nains. Une prochaine élection aura lieu dans 20 ans.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.34;May his beard always grow longer!;Puisse sa Barbe pousser toujours plus longue !;;;;;;;;;;;;;x
EVTTITunificatedwarves.11;The King of the Dwarvish Union;Le Roi de l'Union des Peuples Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.11;The Candidates are declared, and it's time for the Kings of the Dwarves to vote for who will guide the destiny of our people. This moment will be legendary in the history of thr Dwarves.;Les candidatures ont été déposées, et il est temps pour les Rois des Nains de voter pour celui qui gouvernera à la destinée de nos peuples. L'instant est important, dans l'Histoire de votre peuple.;;;;;;;;;;;;;x
EVTOPTBunificatedwarves.11;But… I'm the only candidate!;Je suis le seul candidat !;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.11;Time to vote.;Il est temps de voter.;;;;;;;;;;;;;x
EVTTITunificatedwarves.12;The King of the Dwarvish Union;Le Roi de l'Union des Peuples Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.12;It's your turn to vote for who will rule the Dwarves in this Union.;C'est votre tour de voter, pour celui qui gouvernera les Nains au sein de cette Union. Pour qui allez-vous voter?;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.12;I vote for this King.;Je vote pour ce Roi.;;;;;;;;;;;;;x
CURRENTRINGMYVOTE;My Vote;Mon Vote;;;;;;;;;;;;;x
EVTTITunificatedwarves.14;The King of the Dwarvish Union;Le Roi de l'Union des Peuples Nains;;;;;;;;;;;;;x
EVTDESCunificatedwarves.14;The voting is over, it's time to announce the new King of the Dwarvish Union.;Le vote est terminé, il est temps d'annoncer le nom du nouveau Roi de l'Union des Peuples Nains.;;;;;;;;;;;;;x
EVTOPTAunificatedwarves.14;The King is…;Le Roi est…;;;;;;;;;;;;;x
