#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silmaril;Silmaril;Silmaril;Silmaril;;Silmaril;;;;;;;;;x
vingilot_desc;Vingilótë was the ship in which Eärendil and Elwing sailed to Aman to seek pardon and assistance from the Valar.;Vingilótë est le navire avec lequel Eärendil et Elwing ont fait voile vers Aman pour demander le Pardon et l'Aide des Valar.;;;;;;;;;;;;x
legendary_craftman;Legendary Craftman;Artisan Légendaire;;;;;;;;;;;;x
legendary_craftman_desc;This man have incredible skills, and is able to create objects of great valour, who'll change the fate of their holders.;Ce personnage a un talent incroyable, et est capable de créer des objets de grande puissance et de grande beauté, qui changeront la destinée de ceux qui les porteront.;;;;;;;;;;;;x
gwaith_i_mirdain;Leader of the of the Gwaith-i-Mirdain;Leader du Gwaith-i-Mirdain;;;;;;;;;;;;x
gwaith_i_mirdain_desc;The Gwaith-i-Mírdain, the People of the Jewel-smiths, was a brotherhood of Elven master craftsmen of the Second Age who created the Rings of Power.;Le Gwaith-i-Mirdain, le Peuple des Forgerons de Joyaux, est une fraternité de Maîtres Artisans Elfes, qui créerent entre autre les Anneaux de Pouvoir.;;;;;;;;;;;;x
staff_of_doom;Staff of Doom;Le Baton du Destin;;;;;;;;;;;;x
staff_of_doom_desc;The Staff of Doom was a staff carried by Turgon, King of Gondolin.;Le Baton du Destin était la propriété de Turgon, le roi de Gondolin.;;;;;;;;;;;;x
nimphelos;Nimphelos;Nimphelos;;;;;;;;;;;;x
nimphelos_desc;Nimphelos is an huge pearl, found along the shores of the Isle of Balar during First Age. Thingol of Doriath offered it to the Dwarves of Belegost, to aid in the building of Menegroth.;Nimphelos est une perle gigantesque, trouvée au Premier Age par les Elfes, sur les rivages de l'île de Balar. Le Roi Thingol l'offrit aux Nains de Belegost, après leur aide lors de la construction de Menegroth.;;;;;;;;;;;;x
mirror_of_galadriel;Mirror of Galadriel;Miroir de Galadriel;;;;;;;;;;;;x
mirror_of_galadriel_desc;The Mirror of Galadriel was a basin filled with water in which one could see visions of the past, present and future, used by Galadriel, the Lady of Lórien.;Le Miroir de Galadriel était un bassin rempli d'eau dans lequel on pouvait voir des visions du passé, présent et futur, utilisée par Galadriel, la Dame de la Lorien.;;;;;;;;;;;;x
necklace_of_girion;The Necklace of Girion;Le Collier de Girion;;;;;;;;;;;;x
necklace_of_girion_desc;The Necklace of Girion was a marvelous piece of jewelry originally owned by Girion, Lord of Dale. The necklace was studded with five hundred emeralds as green as grass.;Le collier de Girion est une magnifique pièce de joaillerie appartenant à l'origine à Girion, Seigneur de Dale. Le collier a été parsemée de cinq cents émeraudes verts.;;;;;;;;;;;;x
key_of_orthanc;The Key of Orthanc;La Clé d'Orthanc;;;;;;;;;;;;x
key_of_orthanc_desc;This is the Key of Orthanc, the only way to enter the otherwise impenetrable tower of Orthanc. ;Ce personnage possède la clé d'Orthanc, la seule façon d'entrer dans la tour d'Orthanc autrement impénétrable.;;;;;;;;;;;;x
gwaith_i_mirdain_member;Member of the of the Gwaith-i-Mirdain;Membre du Gwaith-i-Mirdain;;;;;;;;;;;;x
gwaith_i_mirdain_member_desc;The Gwaith-i-Mírdain, the People of the Jewel-smiths, was a brotherhood of Elven master craftsmen of the Second Age who created the Rings of Power.;Le Gwaith-i-Mirdain, le Peuple des Forgerons de Joyaux, est une fraternité de Maîtres Artisans Elfes, qui créerent entre autre les Anneaux de Pouvoir.;;;;;;;;;;;;x
gurthang;Gurthang;Gurthang;;;;;;;;;;;;x
gurthang_desc;"Gurthang was the sword of Túrin Turambar, reforged from Anglachel the sword wielded by Beleg Cúthalion when Túrin slew him in a tragic turn of events. His name means ""Iron of Death"".";"Gurthang était l'épée de Túrin Turambar, reforgée à partir d'Anglachel, l'épée brandie par Beleg Cúthalion quand Túrin le tua. Son nom signifie ""fer de mort"".";;;;;;;;;;;;x
shards_gurthang;The Shards of Gurthang;Les Fragments de Gurthang;;;;;;;;;;;;x
shards_gurthang_desc;When Túrin was told that his wife was his sister Nienor, after she threw herself in the gorges of Cabed-en-Aras, he cast himself upon his sword Gurthang and the blade broke under him. The Shards of Gurthang were buried with Túrin beneath the Stone of the Hapless.;Quand Túrin a découvert que sa femme était en réalité sa sœur Niënor, après qu'elle se soit jetée dans les gorges de Cabed-en-Aras, il s'empala sur son épée Gurthang, dont la lame cassa sous lui. Les Éclats de Gurthang ont été enterrés avec Túrin sous la Pierre de l'Infortuné.;;;;;;;;;;;;x
anglachel;Anglachel;Anglachel;;;;;;;;;;;;x
anglachel_desc;Anglachel was one of a pair of iron-cutting swords forged by Eöl, the Dark Elf, from an iron meteorite. The blade glowed and could easily slice through iron. Eöl gave Anglachel to his lord, King Thingol of Doriath, as payment for letting him dwell in the Forest of Nan Elmoth. Thingol would not bear it, declaring that there was malice in the blade.;Anglachel était l'une des épées en fer forgée par Eöl, l'Elfe Noir, à partir d'une météorite. La lame brillait et pouvait facilement couper à travers le fer. Eöl a offert Anglachel à son seigneur, le roi Thingol de Doriath, à titre de paiement pour l'avoir laissé habiter dans la forêt de Nan Elmoth. Thingol ne pouvait la supporter, déclarant qu'il y avait malice dans la lame.;;;;;;;;;;;;x
