#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mine_moria_decision;Search for Mithril in Khazad-d˚m;Chercher du Mithril en Khazad-d˚m;;;;;;;;;;;;x
EVTDESCmoria.6;You receive from [From.GetTitle] [From.GetFirstName] a beautiful chainmail hauberk made of Mithril, a gift worthy of a king. This gift is proof of his affection, and you should be deeply grateful.;Vous recevez de [From.GetTitle] [From.GetFirstName] une magnifique cotte de maille en Mithril, un cadeau digne d'un Roi. Ce cadeau est la preuve de son affection, et vous devriez l'en remercier longuement.;;;;;;;;;;;;x,,,,,,,,,,,
EVTOPTAmoria.6;Thanks you very much, [From.GetTitle] [From.GetFirstName];Merci à vous, [From.GetTitle] [From.GetFirstName];;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESCmoria.7;Your miners have arrived in the depths of Moria and begun digging new galleries in search of Mithril veins. We hope that is all they will find...;Vos mineurs sont arrivés dans les profondeurs de la Moria, et commencent à creuser de nouvelles galeries, à la recherche de filons de Mithril. Esperons qu'ils ne fassent pas de mauvaises rencontres...;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTOPTAmoria.7;They'll soon find more Mithril!;Je veux qu'ils trouvent plus de Mithril!;;;;;;;;;;;;x
EVTTITmoria.8;Something in the Depths...;Une ombre dans les Profondeurs...;;;;;;;;;;;;x
EVTDESCmoria.8;One of your miners returned from the depths, half-crazed and wounded. He tells you that after many days of digging they found a vast vein of Mithril. It was so fabulous that they dug too recklessly, and soon breached a huge cavern. While they were exploring the vast space a terrifying creature appeared, a shadow that extinguished the lights, and in the ensuing panic almost the entire company was slain... Their cries echoed through the depths for several minutes before silence fell... Then a large fire was kindled, and the survivors were able to see a gigantic creature approaching them. The next part of the miner's story is inconsistent, and soon his breath gives out... You should go and verify his statements...;Un de vos mineurs remonte des profondeurs, à moitié fou. Il vous raconte qu'après de nombreux jours de forage, vos mineurs ont trouvé un important filon de mithril. Celui-ci était si fabuleux qu'ils n'ont pas su s'arrêter à temps, et ils ont atteint une immense cavité. Alors qu'ils s'avançaient à l'intérieur, une ombre terrifiante s'est déployée, et la plupart des mineurs ont été massacrés... Leurs cris ont résonné de longues minutes, avant que le silence ne retombe... Puis un grand feu s'est allumé, et les survivants ont pu voir une créature gigantesque, s'approcher d'eux. La suite du récit du mineur est incohérente, et son coeur finit par lâcher... Vous devriez vous rendre sur place pour vérifier ses dires...;;;;;;;;;;;;x
EVTOPTAmoria.8;I want to see it myself.;Je veux voir ça moi-même.;;;;;;;;;;;;x
EVTOPTBmoria.8;My [Root.job_marshal.GetTitledFirstName] will go.;Mon Sénéchal va s'occuper de ce problème.;;;;;;;;;;;;x
EVTDESCmoria.9;You arrive in the depths and find the cavern. As your eyes adjust to the darkness, you see the Balrog, even more terrifying than the description of the miner. It notices you, your royal armor glittering from the torches of your entourage, and moves toward you springing to attack. What will you do?;Vous arrivez dans les profondeurs, et la créature qui se tient là est encore plus terrifiante que le description du mineur. Celle-ci vous remarque, avec votre armure royale, et s'avance vers vous, prête à vous attaquer. Qu'allez-vous faire?;;;;;;;;;;;;x,,,,,,
EVTOPTAmoria.9;I will fight it myself, Khaz‚d ai-mÍnu!;Je vais la combattre, pour mon Royaume !;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTOPTBmoria.9;This foe is beyond us! Run for your lives!;Je dois tenter de sauver ma vie!;;;;;;;;;;;;x
EVTDESCmoria.10;You arrive in the depths and find the cavern. As your eyes adjust to the darkness, you see the Balrog, even more terrifying than the description of the miner. It notices you, your officer's armor glittering from the torches of your entourage, and moves toward you springing to attack. What will you do?;Vous arrivez dans les profondeurs, et la créature qui se tient là est encore plus terrifiante que le description du mineur. Celle-ci vous remarque, avec votre armure royale, et s'avance vers vous, prête à vous attaquer. Qu'allez-vous faire?;;;;;;;;;;;;x,,,,,,
EVTOPTAmoria.10;I will fight it myself, Khaz‚d ai-mÍnu!;Je combattrais, pour mon Roi.;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESCmoria.11;I [ROOT.GetTitledFirstName], will face this Evil!;I [ROOT.GetTitledFirstName], will face this Evil!;;;;;;;;;;;;x
EVTOPTAmoria.11;Baruk Khaz‚d!;Baruk Khaz‚d!;;;;;;;;;;;;x
EVTDESCmoria.12;In the chaos, you manage to escape the depths before the creature can catch you. Some of your men are dead, and it seems obvious that you cannot win a fight against this beast. The city is certainly lost, will you evacuate your people to other mountains?;Vous avez réussi à vous enfuir des profondeurs avant que la créature ne vous rattrape. Certains de vos hommes sont morts, et il semble évident que vous ne pourrez la vaincre. La cité est certainement perdue, allez-vous prendre la décision d'évacuer votre peuple vers d'autres montagnes?;;;;;;;;;;;;x,,,,,,,,,,,
EVTOPTAmoria.12;We must abandon the City of Khazad-d˚m...;Nous évacuons la cité de Khazad-d˚m.;;;;;;;;;;;;x
EVTOPTBmoria.12;I must fight this creature, for my city!;Je vais combattre cette créature pour ma cité!;;;;;;;;;;;;x
EVTDESCmoria.14;You have left behind the halls of your ancestors, and here you are on the road at the beginning of your exile. What direction will you take? To the North, and the Grey Mountains? To the West, and the Blue Mountains? Or to East, and the Iron Hills?;Vous avez quitté les salles de vos ancêtres, et vous voila sur la route, au début de votre exil. Quelle direction allez-vous prendre? Vers le Nord, et les Montagnes Grises? Vers l'Ouest, et les Montagnes Bleues? Ou vers l'Est, et les Monts du Fer?;;;;;;;;;;;;x,,,,,,
EVTOPTAmoria.14;We'll go to the Grey Mountains.;Nous irons dans les Montagnes Grises.;;;;;;;;;;;;x
EVTOPTBmoria.14;We'll go to the Ered Luin.;Nous irons dans les Montagnes Bleues.;;;;;;;;;;;;x
EVTOPTCmoria.14;We'll go to the Iron Hills.;Nous irons dans les Monts du Fer.;;;;;;;;;;;;x
EVTDESCmoria.16;Despite your valiant efforts the beast quickly overpowers you. Lying on your back, your axe in pieces on the ground, the Balrog stands over you, ready to end your life.;Alors que vous vous battiez avec votre adversaire, celui-ci a réussi à vous mettre à terre. Il se tient devant vous, prêt à mettre fin à votre vie.;;;;;;;;;;;;x,,,,,,,,,,,
EVTOPTAmoria.16;I have failed...;J'ai échoué...;;;;;;;;;;;;x
EVTDESCmoria.15;@FIXME@ The balrog become the new ruler of Moria;@FIXME@ The balrog become the new ruler of Moria;;;;;;;;;;;;x
EVTOPTAmoria.15;@FIXME@ The Mines are mine!;@FIXME@ The Mines are mine!;;;;;;;;;;;;x
EVTDESCmoria.17;The Balrog has slain the forces sent to fight it, and it seems nothing will be able to stop it from taking possession of the city of Khazad-d˚m. What will you do?;Le Balrog a réussi à tuer son adversaire, et plus rien ne semble pouvoir l'empêcher de prendre possession de la cité de Khazad-d˚m. Qu'allez-vous faire?;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTOPTAmoria.17;We must evacuate the city!;Nous devons quitter la cité !;;;;;;;;;;;;x
EVTOPTBmoria.17;I must avenge my king!;Je vais me battre moi-même !;;;;;;;;;;;;x
EVTTITmoria.14;The Exile of Durin's Folk;L'Exil du Peuple de Durin;;;;;;;;;;;;x
EVTTITmoria.18;[ROOT.GetTitledFirstName] The Holder of Nenya can use once again nenya;[ROOT.GetTitle] [ROOT.GetFirstName] The Holder of Nenya can use once again nenya;;;;;;;;;;;;x
EVTDESCmoria.18;[ROOT.GetTitledFirstName] The Holder of Nenya can use once again nenya;[ROOT.GetTitle] [ROOT.GetFirstName] The Holder of Nenya can use once again nenya;;;;;;;;;;;;x
EVTOPTAmoria.18;@FIXME@ Perfect;@FIXME@ Parfait;;;;;;;;;;;;x
EVTDESCmoria.19;@FIXME@ Victory;@FIXME@ Victoire;;;;;;;;;;;;x
EVTOPTAmoria.19;@FIXME@ Perfect;@FIXME@ Parfait;;;;;;;;;;;;x
EVTDESCmoria.20;You have slain the legendary Balrog, and peace returns in the depths of Khazad-d˚m. You mourn the death of many miners, but now, the terror will never again threaten the glorious city of your people.;Le Balrog a été vaincu par vos forces, et la paix revient dans les profondeurs de la Moria. Vous pleurez la mort de nombreux mineurs, mais dorénavant, cette menace ne pesera plus sur la glorieuse cité de votre peuple.;;;;;;;;;;;;x,,,,,,,,,
EVTOPTAmoria.20;Glory for the Dwarves!;@FIXME@ Victory for the Dwarves!;;;;;;;;;;;;x
EVTTITmoria.21;The Exile of Durin's Folk;L'Exil du Peuple de Durin;;;;;;;;;;;;x
EVTDESCmoria.21;Messengers report that Durin's Folk have awakened an ancient evil in the depths of Khazad-d˚m. Having suffered many losses, the Dwarves have abandoned the home of their ancestors to live in exile. The Gates of Moria are now closed, and a certain death seems certain to any who would enter them... A mourning silence falls throughout the cities of the Dwarves...;Des messagers vous rapportent que le Peuple de Durin a réveillé un mal ancien dans les profondeurs de Khazad-d˚m. Après avoir soufferts de nombreuses pertes, les nains ont abandonnés les demeures de leurs ancêtres pour vivre en exil. Les Portes de la Moria se sont maintenant refermées, et une mort certaine semble être promise à ceux qui les franchiront... Un lourd silence est tombé à l'intérieur de la plus grande des cités naines...;;;;;;;;;;;;x,,,,,,,,,,,
EVTOPTAmoria.21;I see...;Je vois...;;;;;;;;;;;;x
EVTTITmoria.22;Silence in Moria...;Silence dans la Moria...;;;;;;;;;;;;x
EVTDESCmoria.22;Much time has passed since the dwarves abandoned the ancient mines of Moria,driven out by Durin's Bane. You are now alone in the mines, and none seems to be willing to enter Moria. You could you descend to the depths once more, until things change...;Depuis que les nains ont abandonné les mines de la Moria, le temps a passé. Vous êtes seul dans les mines, et nul être ne semble vouloir prendre le risque de passer les portes. Vous pourriez aller vous installer dans les profondeurs, en attendant que les choses évoluent...;;;;;;;;;;;;x,,,,,,,,,
EVTOPTAmoria.22;I could wait another age...;Je peux bien attendre encore un âge...;;;;;;;;;;;;x
EVTTITmoria.23;Silence in Moria...;Silence dans la Moria...;;;;;;;;;;;;x
EVTDESCmoria.23;The Mines of Moria have been silent for nearly a century since the exodus of Durin's Folk. You could attempt to settle the empty halls once more, and use the wealth of the caves to strengthen your kingdom. What do you say?;Les mines de la Moria sont silencieuses depuis près d'un siècle et le départ des nains. Vous pourriez aller vous installer dans les grandes salles vides, et profiter des richesses des cavernes pour fortifier votre royaume. Qu'en dites vous?;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTOPTAmoria.23;We'll recolonize Moria!;Nous allons coloniser la Moria !;;;;;;;;;;;;x
EVTOPTBmoria.23;Only shadow awaits us there...;Il y a encore une ombre là-bas...;;;;;;;;;;;;x
mithril_moria;Mithril in the mines of Moria;Du Mithril dans les mines de la Moria.;;;;;;;;;;;;x
mithril_moria_desc;Your miners found mithril in the mines of Khazad-dum, improving the income of the city.;Vos mineurs ont trouvé du mithril dans les mines de Khazad-d˚m, ce qui améliore les rentrées d'argent de la cité.;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTTITmoria.24;@FIXME@ The orcs will choose to come in Moria... or not;@FIXME@ The orcs will choose to come in Moria... or not;;;;;;;;;;;;x
EVTDESCmoria.24;@FIXME@ The orcs will choose to come in Moria... or not;@FIXME@ The orcs will choose to come in Moria... or not;;;;;;;;;;;;x
EVTOPTAmoria.24;@FIXME@ We'll install in Moria;@FIXME@ We'll install in Moria;;;;;;;;;;;;x
