LOADING_TIP_20;I would have followed you, my brother... my captain... my King. - Boromir;;;;;;X
LOADING_TIP_21;A wizard is never late, Frodo Baggins. Nor is he early. He arrives precisely when he means to. - Gandalf the Grey;;;;;;X
LOADING_TIP_22;“And some things that should not have been forgotten were lost. History became legend. Legend became myth. And for two and a half thousand years, the ring? passed out of all knowledge.”;;;;;;X
LOADING_TIP_23;Ash nazg durbatulûk, ash nazg gimbatul, \n\n ash nazg thrakatulûk, agh burzum-ishi krimpatul.;;;;;;X
LOADING_TIP_24;“Where there's life there's hope, and need of vittles.”;;;;;;X
LOADING_TIP_25;“I am old, Gandalf. I don't look it, but I am beginning to feel it in my heart of hearts. Well-preserved indeed! Why, I feel all thin, sort of stretched, if you know what I mean: like butter that has been scraped over too much bread. That can't be right. I need a change, or something.”;;;;;;X
LOADING_TIP_26;“Pay heed to the tales of old wives. It may well be that they alone keep in memory what it was once needful for the wise to know.”;;;;;;X
LOADING_TIP_27;I don't know what strength is in my blood but I swear to you I won't let the White City fall nor our people fail. Be at peace son of Gondor."" - Aragorn";;;;;;X
LOADING_TIP_28;It's a strange fate that we should suffer so much fear and doubt over so small a thing. Such a little thing. - Boromir;;;;;;X
LOADING_TIP_29;I will take it. I will take it. I will take the ring to Mordor. - Frodo Baggins;;;;;;X
LOADING_TIP_30;I give you the light of Earendil, our most beloved star. May it be a light for you in dark places where all other lights go out. - Galadriel;;;;;;X
LOADING_TIP_31;“The enemy? His sense of duty was no less than yours, I deem. You wonder what his name is, where he came from. And if he was really evil at heart. What lies or threats led him on this long march from home. If he would not rather have stayed there in peace. War will make corpses of us all.”;;;;;;X
LOADING_TIP_32;Look to my coming on the first light of the fifth day. At dawn, look to the east. - Gandalf;;;;;;X
LOADING_TIP_33;"The Road goes ever on and on, Out from the door where it began. \n\n Now far ahead the Road has gone. Let others follow, if they can!";;;;;;X
LOADING_TIP_34;“Home is behind, the world ahead, and there are many paths to tread \n\nthrough shadows to the edge of night, until the stars are all alight.” ;;;;;;X
LOADING_TIP_35;Against the power of Mordor there can be no victory! - Saruman;;;;;;X
LOADING_TIP_36;I do not know half of you as well as I should like. I like less than half of you half as well as you deserve. - Bilbo Baggins;;;;;;X
LOADING_TIP_37;Drums, drums in the deep. We cannot get out... they are coming.;;;;;;X
LOADING_TIP_38;I would cut off your head, dwarf, if it stood but a little higher from the ground. - Eomer;;;;;;X
LOADING_TIP_39;We'll be nice to them if they'll be nice to us... - Gollum;;;;;;X
LOADING_TIP_40;All our hopes now lie with two little Hobbits somewhere in the wilderness. - Gandalf;;;;;;X
LOADING_TIP_41;The Horn of Helm Hammerhand will sound in the deep one last time! - Theoden;Le cor du Gouffre va retentir une dernière fois! - Théoden;;;;;x
LOADING_TIP_42;I am Saruman. Or rather, as he should have been. - Gandalf;Je suis Saroumane. Ou plutôt ce qu'il aurait du être. - Gandalf;;;;;x
LOADING_TIP_43;Death! Death! Death! - Rohirrim Charge;A mort! A mort! A mort! - Charge des Rohirrim;;;;;x
LOADING_TIP_44;They will answer to the King... of Gondor. - Elrond;Ils répondront au Roi du Gondor! - Elrond;;;;;x
LOADING_TIP_45;Let this be the hour when we draw swords together. - Theoden;Il est l'heure de brandir nos épées ensemble! Théoden;;;;;x
LOADING_TIP_46;They are taking the Hobbits to Isengard! - Legolas;Ils emmenent les Hobbits en Isengard! - Legolas;;;;;x
LOADING_TIP_47;I AM NO MAN! - Eowyn;Je ne suis pas un Homme! - Eowyn;;;;;x
LOADING_TIP_48;That still only counts as one! - Gimli;Cela ne compte quand même que pour un! - Gimli;;;;;x
LOADING_TIP_50;Po-ta-toes! Boil 'em, mash 'em, stick 'em in a stew! - Sam Gamgee;;;;;;X
LOADING_TIP_51;What can men do against such reckless hate? - Theoden;;;;;;X
LOADING_TIP_52;Where now are the horse and the rider? Where is the horn that was blowing? - Theoden;;;;;;X
LOADING_TIP_53;I was there three thousand years ago. I was there the day the strength of men failed. - Elrond;;;;;;X
LOADING_TIP_49;In a dream, I saw the Eastern sky grow dark, but in the West a pale light lingered. A voice was crying, "The doom is near at hand, Isildur's Bane is found." - Boromir;;;;;;X
